"","Nation","iso_code3","efficfactor_enfu_industrial_energy_fuel_hydrogen","Year"
"793","Bulgaria","BGR",1,2028
"794","Cambodia","KHM",1,2028
"795","Cameroon","CMR",1,2028
"796","Canada","CAN",1,2028
"797","Chile","CHL",1,2028
"798","China","CHN",1,2028
"799","Colombia","COL",1,2028
"800","Costa Rica","CRI",1,2028
"801","Croatia","HRV",1,2028
"802","Cuba","CUB",1,2028
"803","Cyprus","CYP",1,2028
"804","Denmark","DNK",1,2028
"805","Dominican Republic","DOM",1,2028
"806","Ecuador","ECU",1,2028
"807","Egypt","EGY",1,2028
"808","El Salvador","SLV",1,2028
"809","Eritrea","ERI",1,2028
"810","Estonia","EST",1,2028
"811","Ethiopia","ETH",1,2028
"812","Finland","FIN",1,2028
"813","France","FRA",1,2028
"814","Gabon","GAB",1,2028
"815","Georgia","GEO",1,2028
"816","Germany","DEU",1,2028
"817","Ghana","GHA",1,2028
"818","Gibraltar","GIB",1,2028
"819","Greece","GRC",1,2028
"820","Guatemala","GTM",1,2028
"821","Haiti","HTI",1,2028
"822","Honduras","HND",1,2028
"823","Hungary","HUN",1,2028
"824","Iceland","ISL",1,2028
"825","India","IND",1,2028
"826","Indonesia","IDN",1,2028
"827","Iraq","IRQ",1,2028
"828","Ireland","IRL",1,2028
"829","Israel","ISR",1,2028
"830","Italy","ITA",1,2028
"831","Jamaica","JAM",1,2028
"832","Japan","JPN",1,2028
"833","Jordan","JOR",1,2028
"834","Kazakhstan","KAZ",1,2028
"835","Kenya","KEN",1,2028
"836","Korea","KOR",1,2028
"837","Kosovo","XKX",1,2028
"838","Kuwait","KWT",1,2028
"839","Latvia","LVA",1,2028
"840","Lebanon","LBN",1,2028
"841","Libya","LBY",1,2028
"842","Lithuania","LTU",1,2028
"843","Luxembourg","LUX",1,2028
"844","Malaysia","MYS",1,2028
"845","Malta","MLT",1,2028
"846","Mauritius","MUS",1,2028
"847","Mexico","MEX",1,2028
"848","Mongolia","MNG",1,2028
"849","Montenegro","MNE",1,2028
"850","Morocco","MAR",1,2028
"851","Mozambique","MOZ",1,2028
"852","Myanmar","MMR",1,2028
"853","Namibia","NAM",1,2028
"854","Nepal","NPL",1,2028
"855","Netherlands","NLD",1,2028
"856","New Zealand","NZL",1,2028
"857","Nicaragua","NIC",1,2028
"858","Niger","NER",1,2028
"859","Nigeria","NGA",1,2028
"860","Norway","NOR",1,2028
"861","Oman","OMN",1,2028
"862","Pakistan","PAK",1,2028
"863","Panama","PAN",1,2028
"864","Paraguay","PRY",1,2028
"865","Peru","PER",1,2028
"866","Philippines","PHL",1,2028
"867","Poland","POL",1,2028
"868","Portugal","PRT",1,2028
"869","Qatar","QAT",1,2028
"870","Romania","ROU",1,2028
"871","Russian Federation","RUS",1,2028
"872","Saudi Arabia","SAU",1,2028
"873","Senegal","SEN",1,2028
"874","Serbia","SRB",1,2028
"875","Singapore","SGP",1,2028
"876","Slovak Republic","SVK",1,2028
"877","Slovenia","SVN",1,2028
"878","South Africa","ZAF",1,2028
"879","South Sudan","SSD",1,2028
"880","Spain","ESP",1,2028
"881","Sri Lanka","LKA",1,2028
"882","Sudan","SDN",1,2028
"883","Suriname","SUR",1,2028
"884","Sweden","SWE",1,2028
"885","Switzerland","CHE",1,2028
"886","Syrian Arab Republic","SYR",1,2028
"887","Tajikistan","TJK",1,2028
"888","Thailand","THA",1,2028
"889","Togo","TGO",1,2028
"890","Trinidad and Tobago","TTO",1,2028
"891","Tunisia","TUN",1,2028
"892","Turkey","TUR",1,2028
"893","Turkmenistan","TKM",1,2028
"894","Ukraine","UKR",1,2028
"895","United Arab Emirates","ARE",1,2028
"896","United Kingdom","GBR",1,2028
"897","United States","USA",1,2028
"898","Uruguay","URY",1,2028
"899","Uzbekistan","UZB",1,2028
"900","Venezuela","VEN",1,2028
"901","Vietnam","VNM",1,2028
"902","Zambia","ZMB",1,2028
"903","Zimbabwe","ZWE",1,2028
"904","Albania","ALB",1,2029
"905","Algeria","DZA",1,2029
"906","Angola","AGO",1,2029
"907","Argentina","ARG",1,2029
"908","Armenia","ARM",1,2029
"909","Australia","AUS",1,2029
"910","Austria","AUT",1,2029
"911","Azerbaijan","AZE",1,2029
"912","Bahrain","BHR",1,2029
"913","Bangladesh","BGD",1,2029
"914","Belarus","BLR",1,2029
"915","Belgium","BEL",1,2029
"916","Benin","BEN",1,2029
"917","Bolivia","BOL",1,2029
"918","Bosnia and Herzegovina","BIH",1,2029
"919","Botswana","BWA",1,2029
"920","Brazil","BRA",1,2029
"921","Brunei Darussalam","BRN",1,2029
"922","Bulgaria","BGR",1,2029
"923","Cambodia","KHM",1,2029
"924","Cameroon","CMR",1,2029
"925","Canada","CAN",1,2029
"926","Chile","CHL",1,2029
"927","China","CHN",1,2029
"928","Colombia","COL",1,2029
"929","Costa Rica","CRI",1,2029
"930","Croatia","HRV",1,2029
"931","Cuba","CUB",1,2029
"932","Cyprus","CYP",1,2029
"933","Denmark","DNK",1,2029
"934","Dominican Republic","DOM",1,2029
"935","Ecuador","ECU",1,2029
"936","Egypt","EGY",1,2029
"937","El Salvador","SLV",1,2029
"938","Eritrea","ERI",1,2029
"939","Estonia","EST",1,2029
"940","Ethiopia","ETH",1,2029
"941","Finland","FIN",1,2029
"942","France","FRA",1,2029
"943","Gabon","GAB",1,2029
"944","Georgia","GEO",1,2029
"945","Germany","DEU",1,2029
"946","Ghana","GHA",1,2029
"947","Gibraltar","GIB",1,2029
"948","Greece","GRC",1,2029
"949","Guatemala","GTM",1,2029
"950","Haiti","HTI",1,2029
"951","Honduras","HND",1,2029
"952","Hungary","HUN",1,2029
"953","Iceland","ISL",1,2029
"954","India","IND",1,2029
"955","Indonesia","IDN",1,2029
"956","Iraq","IRQ",1,2029
"957","Ireland","IRL",1,2029
"958","Israel","ISR",1,2029
"959","Italy","ITA",1,2029
"960","Jamaica","JAM",1,2029
"961","Japan","JPN",1,2029
"962","Jordan","JOR",1,2029
"963","Kazakhstan","KAZ",1,2029
"964","Kenya","KEN",1,2029
"965","Korea","KOR",1,2029
"966","Kosovo","XKX",1,2029
"967","Kuwait","KWT",1,2029
"968","Latvia","LVA",1,2029
"969","Lebanon","LBN",1,2029
"970","Libya","LBY",1,2029
"971","Lithuania","LTU",1,2029
"972","Luxembourg","LUX",1,2029
"973","Malaysia","MYS",1,2029
"974","Malta","MLT",1,2029
"975","Mauritius","MUS",1,2029
"976","Mexico","MEX",1,2029
"977","Mongolia","MNG",1,2029
"978","Montenegro","MNE",1,2029
"979","Morocco","MAR",1,2029
"980","Mozambique","MOZ",1,2029
"981","Myanmar","MMR",1,2029
"982","Namibia","NAM",1,2029
"983","Nepal","NPL",1,2029
"984","Netherlands","NLD",1,2029
"985","New Zealand","NZL",1,2029
"986","Nicaragua","NIC",1,2029
"987","Niger","NER",1,2029
"988","Nigeria","NGA",1,2029
"989","Norway","NOR",1,2029
"990","Oman","OMN",1,2029
"991","Pakistan","PAK",1,2029
"992","Panama","PAN",1,2029
"993","Paraguay","PRY",1,2029
"994","Peru","PER",1,2029
"995","Philippines","PHL",1,2029
"996","Poland","POL",1,2029
"997","Portugal","PRT",1,2029
"998","Qatar","QAT",1,2029
"999","Romania","ROU",1,2029
"1000","Russian Federation","RUS",1,2029
"1001","Saudi Arabia","SAU",1,2029
"1002","Senegal","SEN",1,2029
"1003","Serbia","SRB",1,2029
"1004","Singapore","SGP",1,2029
"1005","Slovak Republic","SVK",1,2029
"1006","Slovenia","SVN",1,2029
"1007","South Africa","ZAF",1,2029
"1008","South Sudan","SSD",1,2029
"1009","Spain","ESP",1,2029
"1010","Sri Lanka","LKA",1,2029
"1011","Sudan","SDN",1,2029
"1012","Suriname","SUR",1,2029
"1013","Sweden","SWE",1,2029
"1014","Switzerland","CHE",1,2029
"1015","Syrian Arab Republic","SYR",1,2029
"1016","Tajikistan","TJK",1,2029
"1017","Thailand","THA",1,2029
"1018","Togo","TGO",1,2029
"1019","Trinidad and Tobago","TTO",1,2029
"1020","Tunisia","TUN",1,2029
"1021","Turkey","TUR",1,2029
"1022","Turkmenistan","TKM",1,2029
"1023","Ukraine","UKR",1,2029
"1024","United Arab Emirates","ARE",1,2029
"1025","United Kingdom","GBR",1,2029
"1026","United States","USA",1,2029
"1027","Uruguay","URY",1,2029
"1028","Uzbekistan","UZB",1,2029
"1029","Venezuela","VEN",1,2029
"1030","Vietnam","VNM",1,2029
"1031","Zambia","ZMB",1,2029
"1032","Zimbabwe","ZWE",1,2029
"1033","Albania","ALB",1,2030
"1034","Algeria","DZA",1,2030
"1035","Angola","AGO",1,2030
"1036","Argentina","ARG",1,2030
"1037","Armenia","ARM",1,2030
"1038","Australia","AUS",1,2030
"1039","Austria","AUT",1,2030
"1040","Azerbaijan","AZE",1,2030
"1041","Bahrain","BHR",1,2030
"1042","Bangladesh","BGD",1,2030
"1043","Belarus","BLR",1,2030
"1044","Belgium","BEL",1,2030
"1045","Benin","BEN",1,2030
"1046","Bolivia","BOL",1,2030
"1047","Bosnia and Herzegovina","BIH",1,2030
"1048","Botswana","BWA",1,2030
"1049","Brazil","BRA",1,2030
"1050","Brunei Darussalam","BRN",1,2030
"1051","Bulgaria","BGR",1,2030
"1052","Cambodia","KHM",1,2030
"1053","Cameroon","CMR",1,2030
"1054","Canada","CAN",1,2030
"1055","Chile","CHL",1,2030
"1056","China","CHN",1,2030
"1057","Colombia","COL",1,2030
"1058","Costa Rica","CRI",1,2030
"1059","Croatia","HRV",1,2030
"1060","Cuba","CUB",1,2030
"1061","Cyprus","CYP",1,2030
"1062","Denmark","DNK",1,2030
"1063","Dominican Republic","DOM",1,2030
"1064","Ecuador","ECU",1,2030
"1065","Egypt","EGY",1,2030
"1066","El Salvador","SLV",1,2030
"1067","Eritrea","ERI",1,2030
"1068","Estonia","EST",1,2030
"1069","Ethiopia","ETH",1,2030
"1070","Finland","FIN",1,2030
"1071","France","FRA",1,2030
"1072","Gabon","GAB",1,2030
"1073","Georgia","GEO",1,2030
"1074","Germany","DEU",1,2030
"1075","Ghana","GHA",1,2030
"1076","Gibraltar","GIB",1,2030
"1077","Greece","GRC",1,2030
"1078","Guatemala","GTM",1,2030
"1079","Haiti","HTI",1,2030
"1080","Honduras","HND",1,2030
"1081","Hungary","HUN",1,2030
"1082","Iceland","ISL",1,2030
"1083","India","IND",1,2030
"1084","Indonesia","IDN",1,2030
"1085","Iraq","IRQ",1,2030
"1086","Ireland","IRL",1,2030
"1087","Israel","ISR",1,2030
"1088","Italy","ITA",1,2030
"1089","Jamaica","JAM",1,2030
"1090","Japan","JPN",1,2030
"1091","Jordan","JOR",1,2030
"1092","Kazakhstan","KAZ",1,2030
"1093","Kenya","KEN",1,2030
"1094","Korea","KOR",1,2030
"1095","Kosovo","XKX",1,2030
"1096","Kuwait","KWT",1,2030
"1097","Latvia","LVA",1,2030
"1098","Lebanon","LBN",1,2030
"1099","Libya","LBY",1,2030
"1100","Lithuania","LTU",1,2030
"1101","Luxembourg","LUX",1,2030
"1102","Malaysia","MYS",1,2030
"1103","Malta","MLT",1,2030
"1104","Mauritius","MUS",1,2030
"1105","Mexico","MEX",1,2030
"1106","Mongolia","MNG",1,2030
"1107","Montenegro","MNE",1,2030
"1108","Morocco","MAR",1,2030
"1109","Mozambique","MOZ",1,2030
"1110","Myanmar","MMR",1,2030
"1111","Namibia","NAM",1,2030
"1112","Nepal","NPL",1,2030
"1113","Netherlands","NLD",1,2030
"1114","New Zealand","NZL",1,2030
"1115","Nicaragua","NIC",1,2030
"1116","Niger","NER",1,2030
"1117","Nigeria","NGA",1,2030
"1118","Norway","NOR",1,2030
"1119","Oman","OMN",1,2030
"1120","Pakistan","PAK",1,2030
"1121","Panama","PAN",1,2030
"1122","Paraguay","PRY",1,2030
"1123","Peru","PER",1,2030
"1124","Philippines","PHL",1,2030
"1125","Poland","POL",1,2030
"1126","Portugal","PRT",1,2030
"1127","Qatar","QAT",1,2030
"1128","Romania","ROU",1,2030
"1129","Russian Federation","RUS",1,2030
"1130","Saudi Arabia","SAU",1,2030
"1131","Senegal","SEN",1,2030
"1132","Serbia","SRB",1,2030
"1133","Singapore","SGP",1,2030
"1134","Slovak Republic","SVK",1,2030
"1135","Slovenia","SVN",1,2030
"1136","South Africa","ZAF",1,2030
"1137","South Sudan","SSD",1,2030
"1138","Spain","ESP",1,2030
"1139","Sri Lanka","LKA",1,2030
"1140","Sudan","SDN",1,2030
"1141","Suriname","SUR",1,2030
"1142","Sweden","SWE",1,2030
"1143","Switzerland","CHE",1,2030
"1144","Syrian Arab Republic","SYR",1,2030
"1145","Tajikistan","TJK",1,2030
"1146","Thailand","THA",1,2030
"1147","Togo","TGO",1,2030
"1148","Trinidad and Tobago","TTO",1,2030
"1149","Tunisia","TUN",1,2030
"1150","Turkey","TUR",1,2030
"1151","Turkmenistan","TKM",1,2030
"1152","Ukraine","UKR",1,2030
"1153","United Arab Emirates","ARE",1,2030
"1154","United Kingdom","GBR",1,2030
"1155","United States","USA",1,2030
"1156","Uruguay","URY",1,2030
"1157","Uzbekistan","UZB",1,2030
"1158","Venezuela","VEN",1,2030
"1159","Vietnam","VNM",1,2030
"1160","Zambia","ZMB",1,2030
"1161","Zimbabwe","ZWE",1,2030
"1162","Albania","ALB",1,2031
"1163","Algeria","DZA",1,2031
"1164","Angola","AGO",1,2031
"1165","Argentina","ARG",1,2031
"1166","Armenia","ARM",1,2031
"1167","Australia","AUS",1,2031
"1168","Austria","AUT",1,2031
"1169","Azerbaijan","AZE",1,2031
"1170","Bahrain","BHR",1,2031
"1171","Bangladesh","BGD",1,2031
"1172","Belarus","BLR",1,2031
"1173","Belgium","BEL",1,2031
"1174","Benin","BEN",1,2031
"1175","Bolivia","BOL",1,2031
"1176","Bosnia and Herzegovina","BIH",1,2031
"1177","Botswana","BWA",1,2031
"1178","Brazil","BRA",1,2031
"1179","Brunei Darussalam","BRN",1,2031
"1180","Bulgaria","BGR",1,2031
"1181","Cambodia","KHM",1,2031
"1182","Cameroon","CMR",1,2031
"1183","Canada","CAN",1,2031
"1184","Chile","CHL",1,2031
"1185","China","CHN",1,2031
"1186","Colombia","COL",1,2031
"1187","Costa Rica","CRI",1,2031
"1188","Croatia","HRV",1,2031
"1189","Cuba","CUB",1,2031
"1190","Cyprus","CYP",1,2031
"1191","Denmark","DNK",1,2031
"1192","Dominican Republic","DOM",1,2031
"1193","Ecuador","ECU",1,2031
"1194","Egypt","EGY",1,2031
"1195","El Salvador","SLV",1,2031
"1196","Eritrea","ERI",1,2031
"1197","Estonia","EST",1,2031
"1198","Ethiopia","ETH",1,2031
"1199","Finland","FIN",1,2031
"1200","France","FRA",1,2031
"1201","Gabon","GAB",1,2031
"1202","Georgia","GEO",1,2031
"1203","Germany","DEU",1,2031
"1204","Ghana","GHA",1,2031
"1205","Gibraltar","GIB",1,2031
"1206","Greece","GRC",1,2031
"1207","Guatemala","GTM",1,2031
"1208","Haiti","HTI",1,2031
"1209","Honduras","HND",1,2031
"1210","Hungary","HUN",1,2031
"1211","Iceland","ISL",1,2031
"1212","India","IND",1,2031
"1213","Indonesia","IDN",1,2031
"1214","Iraq","IRQ",1,2031
"1215","Ireland","IRL",1,2031
"1216","Israel","ISR",1,2031
"1217","Italy","ITA",1,2031
"1218","Jamaica","JAM",1,2031
"1219","Japan","JPN",1,2031
"1220","Jordan","JOR",1,2031
"1221","Kazakhstan","KAZ",1,2031
"1222","Kenya","KEN",1,2031
"1223","Korea","KOR",1,2031
"1224","Kosovo","XKX",1,2031
"1225","Kuwait","KWT",1,2031
"1226","Latvia","LVA",1,2031
"1227","Lebanon","LBN",1,2031
"1228","Libya","LBY",1,2031
"1229","Lithuania","LTU",1,2031
"1230","Luxembourg","LUX",1,2031
"1231","Malaysia","MYS",1,2031
"1232","Malta","MLT",1,2031
"1233","Mauritius","MUS",1,2031
"1234","Mexico","MEX",1,2031
"1235","Mongolia","MNG",1,2031
"1236","Montenegro","MNE",1,2031
"1237","Morocco","MAR",1,2031
"1238","Mozambique","MOZ",1,2031
"1239","Myanmar","MMR",1,2031
"1240","Namibia","NAM",1,2031
"1241","Nepal","NPL",1,2031
"1242","Netherlands","NLD",1,2031
"1243","New Zealand","NZL",1,2031
"1244","Nicaragua","NIC",1,2031
"1245","Niger","NER",1,2031
"1246","Nigeria","NGA",1,2031
"1247","Norway","NOR",1,2031
"1248","Oman","OMN",1,2031
"1249","Pakistan","PAK",1,2031
"1250","Panama","PAN",1,2031
"1251","Paraguay","PRY",1,2031
"1252","Peru","PER",1,2031
"1253","Philippines","PHL",1,2031
"1254","Poland","POL",1,2031
"1255","Portugal","PRT",1,2031
"1256","Qatar","QAT",1,2031
"1257","Romania","ROU",1,2031
"1258","Russian Federation","RUS",1,2031
"1259","Saudi Arabia","SAU",1,2031
"1260","Senegal","SEN",1,2031
"1261","Serbia","SRB",1,2031
"1262","Singapore","SGP",1,2031
"1263","Slovak Republic","SVK",1,2031
"1264","Slovenia","SVN",1,2031
"1265","South Africa","ZAF",1,2031
"1266","South Sudan","SSD",1,2031
"1267","Spain","ESP",1,2031
"1268","Sri Lanka","LKA",1,2031
"1269","Sudan","SDN",1,2031
"1270","Suriname","SUR",1,2031
"1271","Sweden","SWE",1,2031
"1272","Switzerland","CHE",1,2031
"1273","Syrian Arab Republic","SYR",1,2031
"1274","Tajikistan","TJK",1,2031
"1275","Thailand","THA",1,2031
"1276","Togo","TGO",1,2031
"1277","Trinidad and Tobago","TTO",1,2031
"1278","Tunisia","TUN",1,2031
"1279","Turkey","TUR",1,2031
"1280","Turkmenistan","TKM",1,2031
"1281","Ukraine","UKR",1,2031
"1282","United Arab Emirates","ARE",1,2031
"1283","United Kingdom","GBR",1,2031
"1284","United States","USA",1,2031
"1285","Uruguay","URY",1,2031
"1286","Uzbekistan","UZB",1,2031
"1287","Venezuela","VEN",1,2031
"1288","Vietnam","VNM",1,2031
"1289","Zambia","ZMB",1,2031
"1290","Zimbabwe","ZWE",1,2031
"1291","Albania","ALB",1,2032
"1292","Algeria","DZA",1,2032
"1293","Angola","AGO",1,2032
"1294","Argentina","ARG",1,2032
"1295","Armenia","ARM",1,2032
"1296","Australia","AUS",1,2032
"1297","Austria","AUT",1,2032
"1298","Azerbaijan","AZE",1,2032
"1299","Bahrain","BHR",1,2032
"1300","Bangladesh","BGD",1,2032
"1301","Belarus","BLR",1,2032
"1302","Belgium","BEL",1,2032
"1303","Benin","BEN",1,2032
"1304","Bolivia","BOL",1,2032
"1305","Bosnia and Herzegovina","BIH",1,2032
"1306","Botswana","BWA",1,2032
"1307","Brazil","BRA",1,2032
"1308","Brunei Darussalam","BRN",1,2032
"1309","Bulgaria","BGR",1,2032
"1310","Cambodia","KHM",1,2032
"1311","Cameroon","CMR",1,2032
"1312","Canada","CAN",1,2032
"1313","Chile","CHL",1,2032
"1314","China","CHN",1,2032
"1315","Colombia","COL",1,2032
"1316","Costa Rica","CRI",1,2032
"1317","Croatia","HRV",1,2032
"1318","Cuba","CUB",1,2032
"1319","Cyprus","CYP",1,2032
"1320","Denmark","DNK",1,2032
"1321","Dominican Republic","DOM",1,2032
"1322","Ecuador","ECU",1,2032
"1323","Egypt","EGY",1,2032
"1324","El Salvador","SLV",1,2032
"1325","Eritrea","ERI",1,2032
"1326","Estonia","EST",1,2032
"1327","Ethiopia","ETH",1,2032
"1328","Finland","FIN",1,2032
"1329","France","FRA",1,2032
"1330","Gabon","GAB",1,2032
"1331","Georgia","GEO",1,2032
"1332","Germany","DEU",1,2032
"1333","Ghana","GHA",1,2032
"1334","Gibraltar","GIB",1,2032
"1335","Greece","GRC",1,2032
"1336","Guatemala","GTM",1,2032
"1337","Haiti","HTI",1,2032
"1338","Honduras","HND",1,2032
"1339","Hungary","HUN",1,2032
"1340","Iceland","ISL",1,2032
"1341","India","IND",1,2032
"1342","Indonesia","IDN",1,2032
"1343","Iraq","IRQ",1,2032
"1344","Ireland","IRL",1,2032
"1345","Israel","ISR",1,2032
"1346","Italy","ITA",1,2032
"1347","Jamaica","JAM",1,2032
"1348","Japan","JPN",1,2032
"1349","Jordan","JOR",1,2032
"1350","Kazakhstan","KAZ",1,2032
"1351","Kenya","KEN",1,2032
"1352","Korea","KOR",1,2032
"1353","Kosovo","XKX",1,2032
"1354","Kuwait","KWT",1,2032
"1355","Latvia","LVA",1,2032
"1356","Lebanon","LBN",1,2032
"1357","Libya","LBY",1,2032
"1358","Lithuania","LTU",1,2032
"1359","Luxembourg","LUX",1,2032
"1360","Malaysia","MYS",1,2032
"1361","Malta","MLT",1,2032
"1362","Mauritius","MUS",1,2032
"1363","Mexico","MEX",1,2032
"1364","Mongolia","MNG",1,2032
"1365","Montenegro","MNE",1,2032
"1366","Morocco","MAR",1,2032
"1367","Mozambique","MOZ",1,2032
"1368","Myanmar","MMR",1,2032
"1369","Namibia","NAM",1,2032
"1370","Nepal","NPL",1,2032
"1371","Netherlands","NLD",1,2032
"1372","New Zealand","NZL",1,2032
"1373","Nicaragua","NIC",1,2032
"1374","Niger","NER",1,2032
"1375","Nigeria","NGA",1,2032
"1376","Norway","NOR",1,2032
"1377","Oman","OMN",1,2032
"1378","Pakistan","PAK",1,2032
"1379","Panama","PAN",1,2032
"1380","Paraguay","PRY",1,2032
"1381","Peru","PER",1,2032
"1382","Philippines","PHL",1,2032
"1383","Poland","POL",1,2032
"1384","Portugal","PRT",1,2032
"1385","Qatar","QAT",1,2032
"1386","Romania","ROU",1,2032
"1387","Russian Federation","RUS",1,2032
"1388","Saudi Arabia","SAU",1,2032
"1389","Senegal","SEN",1,2032
"1390","Serbia","SRB",1,2032
"1391","Singapore","SGP",1,2032
"1392","Slovak Republic","SVK",1,2032
"1393","Slovenia","SVN",1,2032
"1394","South Africa","ZAF",1,2032
"1395","South Sudan","SSD",1,2032
"1396","Spain","ESP",1,2032
"1397","Sri Lanka","LKA",1,2032
"1398","Sudan","SDN",1,2032
"1399","Suriname","SUR",1,2032
"1400","Sweden","SWE",1,2032
"1401","Switzerland","CHE",1,2032
"1402","Syrian Arab Republic","SYR",1,2032
"1403","Tajikistan","TJK",1,2032
"1404","Thailand","THA",1,2032
"1405","Togo","TGO",1,2032
"1406","Trinidad and Tobago","TTO",1,2032
"1407","Tunisia","TUN",1,2032
"1408","Turkey","TUR",1,2032
"1409","Turkmenistan","TKM",1,2032
"1410","Ukraine","UKR",1,2032
"1411","United Arab Emirates","ARE",1,2032
"1412","United Kingdom","GBR",1,2032
"1413","United States","USA",1,2032
"1414","Uruguay","URY",1,2032
"1415","Uzbekistan","UZB",1,2032
"1416","Venezuela","VEN",1,2032
"1417","Vietnam","VNM",1,2032
"1418","Zambia","ZMB",1,2032
"1419","Zimbabwe","ZWE",1,2032
"1420","Albania","ALB",1,2033
"1421","Algeria","DZA",1,2033
"1422","Angola","AGO",1,2033
"1423","Argentina","ARG",1,2033
"1424","Armenia","ARM",1,2033
"1425","Australia","AUS",1,2033
"1426","Austria","AUT",1,2033
"1427","Azerbaijan","AZE",1,2033
"1428","Bahrain","BHR",1,2033
"1429","Bangladesh","BGD",1,2033
"1430","Belarus","BLR",1,2033
"1431","Belgium","BEL",1,2033
"1432","Benin","BEN",1,2033
"1433","Bolivia","BOL",1,2033
"1434","Bosnia and Herzegovina","BIH",1,2033
"1435","Botswana","BWA",1,2033
"1436","Brazil","BRA",1,2033
"1437","Brunei Darussalam","BRN",1,2033
"1438","Bulgaria","BGR",1,2033
"1439","Cambodia","KHM",1,2033
"1440","Cameroon","CMR",1,2033
"1441","Canada","CAN",1,2033
"1442","Chile","CHL",1,2033
"1443","China","CHN",1,2033
"1444","Colombia","COL",1,2033
"1445","Costa Rica","CRI",1,2033
"1446","Croatia","HRV",1,2033
"1447","Cuba","CUB",1,2033
"1448","Cyprus","CYP",1,2033
"1449","Denmark","DNK",1,2033
"1450","Dominican Republic","DOM",1,2033
"1451","Ecuador","ECU",1,2033
"1452","Egypt","EGY",1,2033
"1453","El Salvador","SLV",1,2033
"1454","Eritrea","ERI",1,2033
"1455","Estonia","EST",1,2033
"1456","Ethiopia","ETH",1,2033
"1457","Finland","FIN",1,2033
"1458","France","FRA",1,2033
"1459","Gabon","GAB",1,2033
"1460","Georgia","GEO",1,2033
"1461","Germany","DEU",1,2033
"1462","Ghana","GHA",1,2033
"1463","Gibraltar","GIB",1,2033
"1464","Greece","GRC",1,2033
"1465","Guatemala","GTM",1,2033
"1466","Haiti","HTI",1,2033
"1467","Honduras","HND",1,2033
"1468","Hungary","HUN",1,2033
"1469","Iceland","ISL",1,2033
"1470","India","IND",1,2033
"1471","Indonesia","IDN",1,2033
"1472","Iraq","IRQ",1,2033
"1473","Ireland","IRL",1,2033
"1474","Israel","ISR",1,2033
"1475","Italy","ITA",1,2033
"1476","Jamaica","JAM",1,2033
"1477","Japan","JPN",1,2033
"1478","Jordan","JOR",1,2033
"1479","Kazakhstan","KAZ",1,2033
"1480","Kenya","KEN",1,2033
"1481","Korea","KOR",1,2033
"1482","Kosovo","XKX",1,2033
"1483","Kuwait","KWT",1,2033
"1484","Latvia","LVA",1,2033
"1485","Lebanon","LBN",1,2033
"1486","Libya","LBY",1,2033
"1487","Lithuania","LTU",1,2033
"1488","Luxembourg","LUX",1,2033
"1489","Malaysia","MYS",1,2033
"1490","Malta","MLT",1,2033
"1491","Mauritius","MUS",1,2033
"1492","Mexico","MEX",1,2033
"1493","Mongolia","MNG",1,2033
"1494","Montenegro","MNE",1,2033
"1495","Morocco","MAR",1,2033
"1496","Mozambique","MOZ",1,2033
"1497","Myanmar","MMR",1,2033
"1498","Namibia","NAM",1,2033
"1499","Nepal","NPL",1,2033
"1500","Netherlands","NLD",1,2033
"1501","New Zealand","NZL",1,2033
"1502","Nicaragua","NIC",1,2033
"1503","Niger","NER",1,2033
"1504","Nigeria","NGA",1,2033
"1505","Norway","NOR",1,2033
"1506","Oman","OMN",1,2033
"1507","Pakistan","PAK",1,2033
"1508","Panama","PAN",1,2033
"1509","Paraguay","PRY",1,2033
"1510","Peru","PER",1,2033
"1511","Philippines","PHL",1,2033
"1512","Poland","POL",1,2033
"1513","Portugal","PRT",1,2033
"1514","Qatar","QAT",1,2033
"1515","Romania","ROU",1,2033
"1516","Russian Federation","RUS",1,2033
"1517","Saudi Arabia","SAU",1,2033
"1518","Senegal","SEN",1,2033
"1519","Serbia","SRB",1,2033
"1520","Singapore","SGP",1,2033
"1521","Slovak Republic","SVK",1,2033
"1522","Slovenia","SVN",1,2033
"1523","South Africa","ZAF",1,2033
"1524","South Sudan","SSD",1,2033
"1525","Spain","ESP",1,2033
"1526","Sri Lanka","LKA",1,2033
"1527","Sudan","SDN",1,2033
"1528","Suriname","SUR",1,2033
"1529","Sweden","SWE",1,2033
"1530","Switzerland","CHE",1,2033
"1531","Syrian Arab Republic","SYR",1,2033
"1532","Tajikistan","TJK",1,2033
"1533","Thailand","THA",1,2033
"1534","Togo","TGO",1,2033
"1535","Trinidad and Tobago","TTO",1,2033
"1536","Tunisia","TUN",1,2033
"1537","Turkey","TUR",1,2033
"1538","Turkmenistan","TKM",1,2033
"1539","Ukraine","UKR",1,2033
"1540","United Arab Emirates","ARE",1,2033
"1541","United Kingdom","GBR",1,2033
"1542","United States","USA",1,2033
"1543","Uruguay","URY",1,2033
"1544","Uzbekistan","UZB",1,2033
"1545","Venezuela","VEN",1,2033
"1546","Vietnam","VNM",1,2033
"1547","Zambia","ZMB",1,2033
"1548","Zimbabwe","ZWE",1,2033
"1549","Albania","ALB",1,2034
"1550","Algeria","DZA",1,2034
"1551","Angola","AGO",1,2034
"1552","Argentina","ARG",1,2034
"1553","Armenia","ARM",1,2034
"1554","Australia","AUS",1,2034
"1555","Austria","AUT",1,2034
"1556","Azerbaijan","AZE",1,2034
