"iso_code3","frac_waso_isw_incinerated_recovered_for_energy","Year"
"EGY",0.0465802171637107,2046
"EGY",0.0465802171637107,2047
"EGY",0.0465802171637107,2048
"EGY",0.0465802171637107,2049
"EGY",0.0465802171637107,2050
"ERI",0.0361611391480051,2021
"ERI",0.0361611391480051,2022
"ERI",0.0361611391480051,2023
"ERI",0.0361611391480051,2024
"ERI",0.0361611391480051,2025
"ERI",0.0361611391480051,2026
"ERI",0.0361611391480051,2027
"ERI",0.0361611391480051,2028
"ERI",0.0361611391480051,2029
"ERI",0.0361611391480051,2030
"ERI",0.0361611391480051,2031
"ERI",0.0361611391480051,2032
"ERI",0.0361611391480051,2033
"ERI",0.0361611391480051,2034
"ERI",0.0361611391480051,2035
"ERI",0.0361611391480051,2036
"ERI",0.0361611391480051,2037
"ERI",0.0361611391480051,2038
"ERI",0.0361611391480051,2039
"ERI",0.0361611391480051,2040
"ERI",0.0361611391480051,2041
"ERI",0.0361611391480051,2042
"ERI",0.0361611391480051,2043
"ERI",0.0361611391480051,2044
"ERI",0.0361611391480051,2045
"ERI",0.0361611391480051,2046
"ERI",0.0361611391480051,2047
"ERI",0.0361611391480051,2048
"ERI",0.0361611391480051,2049
"ERI",0.0361611391480051,2050
"ESP",0.0238278584383803,2021
"ESP",0.0238278584383803,2022
"ESP",0.0238278584383803,2023
"ESP",0.0238278584383803,2024
"ESP",0.0238278584383803,2025
"ESP",0.0238278584383803,2026
"ESP",0.0238278584383803,2027
"ESP",0.0238278584383803,2028
"ESP",0.0238278584383803,2029
"ESP",0.0238278584383803,2030
"ESP",0.0238278584383803,2031
"ESP",0.0238278584383803,2032
"ESP",0.0238278584383803,2033
"ESP",0.0238278584383803,2034
"ESP",0.0238278584383803,2035
"ESP",0.0238278584383803,2036
"ESP",0.0238278584383803,2037
"ESP",0.0238278584383803,2038
"ESP",0.0238278584383803,2039
"ESP",0.0238278584383803,2040
"ESP",0.0238278584383803,2041
"ESP",0.0238278584383803,2042
"ESP",0.0238278584383803,2043
"ESP",0.0238278584383803,2044
"ESP",0.0238278584383803,2045
"ESP",0.0238278584383803,2046
"ESP",0.0238278584383803,2047
"ESP",0.0238278584383803,2048
