Year,iso_code3,frac_scoe_heat_energy_commercial_municipal_coal
2012,BLZ,0.013190323236053207
2013,BLZ,0.013190323236053207
2014,BLZ,0.013190323236053207
2015,BLZ,0.013190323236053207
2016,BLZ,0.013190323236053207
2017,BLZ,0.013190323236053207
2018,BLZ,0.013190323236053207
2019,BLZ,0.013190323236053207
2011,BOL,0.013190323236053207
2012,BOL,0.013190323236053207
2013,BOL,0.013190323236053207
2014,BOL,0.013190323236053207
2015,BOL,0.013190323236053207
2016,BOL,0.013190323236053207
2017,BOL,0.013190323236053207
2018,BOL,0.013190323236053207
2019,BOL,0.013190323236053207
2011,BRA,0.0
2012,BRA,0.0
2013,BRA,0.0
2014,BRA,0.0
2015,BRA,0.0
2016,BRA,0.0
2017,BRA,0.0
2018,BRA,0.0
2019,BRA,0.0
2011,BRB,0.013190323236053304
2012,BRB,0.013190323236053304
2013,BRB,0.013190323236053304
2014,BRB,0.013190323236053304
2015,BRB,0.013190323236053304
2016,BRB,0.013190323236053304
2017,BRB,0.013190323236053304
2018,BRB,0.013190323236053304
2019,BRB,0.013190323236053304
2011,BRN,0.013190323236053304
2012,BRN,0.013190323236053304
2013,BRN,0.013190323236053304
2014,BRN,0.013190323236053304
2015,BRN,0.013190323236053304
2016,BRN,0.013190323236053304
2017,BRN,0.013190323236053304
2018,BRN,0.013190323236053304
2019,BRN,0.013190323236053304
2011,BTN,0.013190323236053207
2012,BTN,0.013190323236053207
2013,BTN,0.013190323236053207
2014,BTN,0.013190323236053207
2015,BTN,0.013190323236053207
2016,BTN,0.013190323236053207
2017,BTN,0.013190323236053207
2018,BTN,0.013190323236053207
2019,BTN,0.013190323236053207
2011,BWA,0.013190323236053207
2012,BWA,0.013190323236053207
2013,BWA,0.013190323236053207
2014,BWA,0.013190323236053207
2015,BWA,0.013190323236053207
2016,BWA,0.013190323236053207
2017,BWA,0.013190323236053207
2018,BWA,0.013190323236053207
2019,BWA,0.013190323236053207
2011,CAF,0.013190323236053207
2012,CAF,0.013190323236053207
2013,CAF,0.013190323236053207
2014,CAF,0.013190323236053207
2015,CAF,0.013190323236053207
2016,CAF,0.013190323236053207
2017,CAF,0.013190323236053207
2018,CAF,0.013190323236053207
2019,CAF,0.013190323236053207
2011,CAN,0.0
2012,CAN,0.0
2013,CAN,0.0
2014,CAN,0.0
2015,CAN,0.0
2016,CAN,0.0
2017,CAN,0.0
2018,CAN,0.0
2019,CAN,0.0
2011,CHE,0.0004993446101991003
2012,CHE,0.0004555237954242002
2013,CHE,0.00042434015106500035
2014,CHE,0.00039157845274300006
2015,CHE,0.0003605119269362001
2016,CHE,0.0002280735765357001
2017,CHE,0.00023354663926380005
2018,CHE,0.0002511931675458001
2019,CHE,0.00024577270939830004
2011,CHL,0.010255841671979305
2012,CHL,0.013440408588421004
2013,CHL,0.005565798170243801
2014,CHL,0.013326786841551506
2015,CHL,0.0110135949062123
2016,CHL,0.0027225701061802006
2017,CHL,0.0
2018,CHL,0.0004801690194948002
2019,CHL,0.0
2011,CHN,0.013190323236053207
2012,CHN,0.013190323236053207
2013,CHN,0.013190323236053207
2014,CHN,0.013190323236053207
2015,CHN,0.013190323236053207
2016,CHN,0.013190323236053207
2017,CHN,0.013190323236053207
2018,CHN,0.013190323236053207
2019,CHN,0.013190323236053207
2011,CIV,0.013190323236053207
2012,CIV,0.013190323236053207
2013,CIV,0.013190323236053207
2014,CIV,0.013190323236053207
2015,CIV,0.013190323236053207
2016,CIV,0.013190323236053207
2017,CIV,0.013190323236053207
2018,CIV,0.013190323236053207
2019,CIV,0.013190323236053207
2011,CMR,0.013190323236053207
2012,CMR,0.013190323236053207
2013,CMR,0.013190323236053207
2014,CMR,0.013190323236053207
2015,CMR,0.013190323236053207
2016,CMR,0.013190323236053207
2017,CMR,0.013190323236053207
2018,CMR,0.013190323236053207
2019,CMR,0.013190323236053207
2011,COD,0.013190323236053207
2012,COD,0.013190323236053207
2013,COD,0.013190323236053207
2014,COD,0.013190323236053207
2015,COD,0.013190323236053207
2016,COD,0.013190323236053207
2017,COD,0.013190323236053207
2018,COD,0.013190323236053207
2019,COD,0.013190323236053207
2011,COG,0.013190323236053207
2012,COG,0.013190323236053207
2013,COG,0.013190323236053207
2014,COG,0.013190323236053207
2015,COG,0.013190323236053207
2016,COG,0.013190323236053207
2017,COG,0.013190323236053207
2018,COG,0.013190323236053207
2019,COG,0.013190323236053207
2011,COL,0.0
2012,COL,0.0
2013,COL,0.0
2014,COL,0.0
2015,COL,0.0
2016,COL,0.0
2017,COL,0.0
2018,COL,0.0
2019,COL,0.0
2011,COM,0.013190323236053207
2012,COM,0.013190323236053207
2013,COM,0.013190323236053207
2014,COM,0.013190323236053207
2015,COM,0.013190323236053207
2016,COM,0.013190323236053207
2017,COM,0.013190323236053207
2018,COM,0.013190323236053207
2019,COM,0.013190323236053207
2011,CPV,0.013190323236053207
2012,CPV,0.013190323236053207
2013,CPV,0.013190323236053207
2014,CPV,0.013190323236053207
2015,CPV,0.013190323236053207
2016,CPV,0.013190323236053207
2017,CPV,0.013190323236053207
2018,CPV,0.013190323236053207
2019,CPV,0.013190323236053207
2011,CRI,0.013190323236053207
2012,CRI,0.013190323236053207
2013,CRI,0.013190323236053207
2014,CRI,0.013190323236053207
2015,CRI,0.013190323236053207
2016,CRI,0.013190323236053207
2017,CRI,0.013190323236053207
2018,CRI,0.013190323236053207
2019,CRI,0.013190323236053207
2011,CUB,0.013190323236053207
2012,CUB,0.013190323236053207
2013,CUB,0.013190323236053207
2014,CUB,0.013190323236053207
2015,CUB,0.013190323236053207
2016,CUB,0.013190323236053207
2017,CUB,0.013190323236053207
2018,CUB,0.013190323236053207
2019,CUB,0.013190323236053207
2011,CYP,0.0
2012,CYP,0.0
2013,CYP,0.0
2014,CYP,0.0
2015,CYP,0.0
2016,CYP,0.0
2017,CYP,0.0
2018,CYP,0.0
2019,CYP,0.0
2011,CZE,0.013190323236053304
2012,CZE,0.013190323236053304
2013,CZE,0.013190323236053304
2014,CZE,0.013190323236053304
2015,CZE,0.013190323236053304
2016,CZE,0.013190323236053304
2017,CZE,0.013190323236053304
2018,CZE,0.013190323236053304
2019,CZE,0.013190323236053304
2011,DEU,0.02436253783465761
2012,DEU,0.006933769714617403
2013,DEU,0.0023571087031187
2014,DEU,0.0030941948817346013
2015,DEU,0.004314069646017802
2016,DEU,0.003979918255722802
2017,DEU,0.0007201680392091001
2018,DEU,0.0009292446568432005
2019,DEU,0.00013355057560290005
2011,DJI,0.013190323236053207
2012,DJI,0.013190323236053207
2013,DJI,0.013190323236053207
2014,DJI,0.013190323236053207
2015,DJI,0.013190323236053207
2016,DJI,0.013190323236053207
2017,DJI,0.013190323236053207
2018,DJI,0.013190323236053207
2019,DJI,0.013190323236053207
2011,DNK,0.0
2012,DNK,0.0
2013,DNK,0.0
2014,DNK,0.0
2015,DNK,0.0
2016,DNK,0.0
2017,DNK,0.0
2018,DNK,0.0
2019,DNK,0.0
2011,DOM,0.013190323236053207
2012,DOM,0.013190323236053207
2013,DOM,0.013190323236053207
