"iso_code3","frac_waso_initial_composition_mun_other","Year"
"CYP",0.02014,2019
"CYP",0.02014,2020
"CZE",0.0298,2010
"CZE",0.0298,2011
"CZE",0.0298,2012
"CZE",0.0298,2013
"CZE",0.0298,2014
"CZE",0.0298,2015
"CZE",0.0298,2016
"CZE",0.0298,2017
"CZE",0.0298,2018
"CZE",0.0298,2019
"CZE",0.0298,2020
"DEU",0.0354,2010
"DEU",0.0354,2011
"DEU",0.0354,2012
"DEU",0.0354,2013
"DEU",0.0354,2014
"DEU",0.0354,2015
"DEU",0.0354,2016
"DEU",0.0354,2017
"DEU",0.0354,2018
"DEU",0.0354,2019
"DEU",0.0354,2020
"DJI",0.0389148436026262,2010
"DJI",0.0389148436026262,2011
"DJI",0.0389148436026262,2012
"DJI",0.0389148436026262,2013
"DJI",0.0389148436026262,2014
"DJI",0.0389148436026262,2015
"DJI",0.0389148436026262,2016
"DJI",0.0389148436026262,2017
"DJI",0.0389148436026262,2018
"DJI",0.0389148436026262,2019
"DJI",0.0389148436026262,2020
"DMA",0.028,2010
"DMA",0.028,2011
"DMA",0.028,2012
"DMA",0.028,2013
"DMA",0.028,2014
"DMA",0.028,2015
"DMA",0.028,2016
"DMA",0.028,2017
"DMA",0.028,2018
"DMA",0.028,2019
"DMA",0.028,2020
"DNK",0.04772,2010
"DNK",0.04772,2011
"DNK",0.04772,2012
"DNK",0.04772,2013
"DNK",0.04772,2014
"DNK",0.04772,2015
"DNK",0.04772,2016
"DNK",0.04772,2017
"DNK",0.04772,2018
"DNK",0.04772,2019
"DNK",0.04772,2020
"DOM",0.02,2010
"DOM",0.02,2011
"DOM",0.02,2012
"DOM",0.02,2013
"DOM",0.02,2014
"DOM",0.02,2015
"DOM",0.02,2016
"DOM",0.02,2017
"DOM",0.02,2018
"DOM",0.02,2019
"DOM",0.02,2020
"DZA",0.0016,2010
"DZA",0.0016,2011
"DZA",0.0016,2012
"DZA",0.0016,2013
"DZA",0.0016,2014
"DZA",0.0016,2015
"DZA",0.0016,2016
"DZA",0.0016,2017
"DZA",0.0016,2018
"DZA",0.0016,2019
"DZA",0.0016,2020
"ECU",0.02756,2010
"ECU",0.02756,2011
"ECU",0.02756,2012
"ECU",0.02756,2013
"ECU",0.02756,2014
"ECU",0.02756,2015
"ECU",0.02756,2016
"ECU",0.02756,2017
"ECU",0.02756,2018
"ECU",0.02756,2019
"ECU",0.02756,2020
"EGY",0.03,2010
"EGY",0.03,2011
"EGY",0.03,2012
"EGY",0.03,2013
"EGY",0.03,2014
"EGY",0.03,2015
"EGY",0.03,2016
"EGY",0.03,2017
"EGY",0.03,2018
"EGY",0.03,2019
"EGY",0.03,2020
"ERI",0.0392165318016381,2010
"ERI",0.0392165318016381,2011
"ERI",0.0392165318016381,2012
"ERI",0.0392165318016381,2013
"ERI",0.0392165318016381,2014
"ERI",0.0392165318016381,2015
"ERI",0.0392165318016381,2016
"ERI",0.0392165318016381,2017
"ERI",0.0392165318016381,2018
"ERI",0.0392165318016381,2019
"ERI",0.0392165318016381,2020
"ESP",0.028,2010
