,Nation,Year,Oil and oil products (PJ),Gas (PJ),Coal and coal products (PJ),Biofuels and waste (PJ),Heat (PJ),Electricity (PJ),Other sources (PJ),Total final energy use (PJ),Pseudo Total (PJ),frac_scoe_heat_energy_commercial_municipal_coal,frac_scoe_heat_energy_commercial_municipal_diesel,frac_scoe_heat_energy_commercial_municipal_electricity,frac_scoe_heat_energy_commercial_municipal_gasoline,frac_scoe_heat_energy_commercial_municipal_hydrocarbon_gas_liquids,frac_scoe_heat_energy_commercial_municipal_hydrogen,frac_scoe_heat_energy_commercial_municipal_kerosene,frac_scoe_heat_energy_commercial_municipal_natural_gas,frac_scoe_heat_energy_commercial_municipal_solid_biomass,gdp_mmm_usd,gdp_class
104,Chile,2016,26.01,5.31,0.1,1.03,0.0,42.8,0.0,75.25,36.730000000000004,0.002722570106180234,0.5665123876939832,0.11652600054451402,0.0708140484617479,0.0,0.0,0.0708140484617479,0.1445684726381704,0.028042472093656408,282.02645912,2
105,Chile,2017,29.74,6.77,0.0,0.89,0.0,46.16,0.0,83.55,42.016000000000005,0.0,0.5662604722010662,0.10986290936785983,0.07078255902513328,0.0,0.0,0.07078255902513328,0.1611290936785986,0.02118240670220868,285.86073584,2
106,Chile,2018,30.33,5.95,0.02,1.1,0.0,42.52,0.0,79.92,41.65200000000001,0.0004801690194948621,0.5825410544511667,0.1020839335446077,0.07281763180639583,0.0,0.0,0.07281763180639583,0.1428502832997215,0.02640929607221742,289.69501256,2
107,Chile,2019,27.6,6.19,0.0,0.99,0.0,44.17,0.0,78.96,39.197,0.0,0.5633084164604434,0.11268719544863129,0.07041355205755542,0.0,0.0,0.07041355205755542,0.15792024899864784,0.02525703497716662,293.52928928,2
108,Colombia,2011,8.29,13.27,0.0,0.33,0.0,42.14,0.0,64.03,26.104,0.0,0.25406068035550106,0.16143119828378794,0.03175758504443763,0.0,0.0,0.03175758504443763,0.5083512105424456,0.012641740729390132,395.58090966,2
109,Colombia,2012,10.8,15.83,0.0,0.33,0.0,43.78,0.0,70.73,31.338,0.0,0.27570361860999426,0.1397025974854809,0.03446295232624928,0.0,0.0,0.03446295232624928,0.5051375327078945,0.010530346544131725,412.89198012,2
110,Colombia,2013,2.26,14.95,0.0,0.0,0.0,44.48,0.0,61.69,21.657999999999998,0.0,0.08347954566441962,0.2053744574752978,0.010434943208052452,0.0,0.0,0.010434943208052452,0.6902761104441777,0.0,430.20305058,2
111,Colombia,2014,2.58,15.65,0.0,0.0,0.0,46.17,0.0,64.4,22.847,0.0,0.09034008841423381,0.20208342451963057,0.011292511051779227,0.0,0.0,0.011292511051779227,0.6849914649625771,0.0,447.51412104,2
112,Colombia,2015,2.91,13.9,0.0,0.0,0.0,47.03,0.0,63.84,21.513,0.0,0.10821363826523497,0.21861200204527495,0.013526704783154372,0.0,0.0,0.013526704783154372,0.6461209501231813,0.0,464.8251915,2
113,Colombia,2016,2.81,14.4,0.0,0.0,0.0,47.58,0.0,64.8,21.968,0.0,0.1023306627822287,0.2165877640203933,0.012791332847778588,0.0,0.0,0.012791332847778588,0.6554989075018208,0.0,471.13540196,2
114,Colombia,2017,2.05,14.62,0.0,0.0,0.0,57.22,0.0,73.9,22.392,0.0,0.07324044301536263,0.2555376920328689,0.009155055376920329,0.0,0.0,0.009155055376920329,0.6529117541979278,0.0,477.44561242,2
115,Colombia,2018,5.58,15.82,0.0,0.0,0.0,47.86,0.0,69.27,26.186,0.0,0.1704727717100741,0.18276941877339037,0.021309096463759263,0.0,0.0,0.021309096463759263,0.604139616589017,0.0,483.75582288,2
116,Colombia,2019,2.51,16.86,0.0,0.0,0.0,58.86,0.0,78.23,25.256,0.0,0.07950585999366487,0.23305353183401964,0.009938232499208109,0.0,0.0,0.009938232499208109,0.6675641431738992,0.0,490.06603334,2
117,Croatia,2011,3.74,5.9,0.13,0.16,3.06,19.57,0.36,32.92,15.307,0.008492846410139152,0.19546612660874113,0.12785000326647938,0.02443326582609264,0.02351865159730842,0.0,0.02443326582609264,0.5853531064218985,0.010452734043248186,70.421981618,2
118,Croatia,2012,3.1,5.51,0.12,0.14,2.91,19.57,0.38,31.73,14.117,0.008500389601190053,0.17567471842459448,0.1386271870794078,0.02195933980307431,0.026917900403768506,0.0,0.02195933980307431,0.5964440036835021,0.009917121201388397,71.542144336,2
119,Croatia,2013,2.68,5.67,0.04,0.14,2.96,19.12,0.39,31.01,13.792000000000002,0.002900232018561485,0.15545243619489557,0.13863109048723898,0.019431554524361946,0.028277262180974476,0.0,0.019431554524361946,0.6257250580046402,0.010150812064965197,72.662307054,2
120,Croatia,2014,2.22,5.53,0.02,0.18,2.32,18.49,0.27,29.02,12.389000000000001,0.0016143352974412784,0.14335297441278555,0.14924529824844618,0.017919121801598194,0.02179352651545726,0.0,0.017919121801598194,0.6336266042457017,0.014529017676971505,73.782469772,2
121,Croatia,2015,2.6,7.09,0.01,0.23,2.52,19.17,0.33,31.95,14.697,0.0006804109682248078,0.14152548139076004,0.13043478260869568,0.017690685173845005,0.02245356195141866,0.0,0.017690685173845005,0.6538749404640403,0.01564945226917058,74.90263249,2
122,Croatia,2016,2.57,7.58,0.0,0.29,2.61,19.27,0.35,32.67,15.326999999999998,0.0,0.13414236314999675,0.12572584328309522,0.016767795393749594,0.022835519018725128,0.0,0.016767795393749594,0.6648398251451687,0.018920858615515106,76.146574058,2
123,Croatia,2017,2.46,8.03,0.01,0.35,2.54,20.51,0.35,34.23,15.790999999999999,0.0006332721170286874,0.12462795263124565,0.12988411120258378,0.015578494078905707,0.022164524096004053,0.0,0.015578494078905707,0.6693686276993225,0.022164524096004053,77.390515626,1
124,Croatia,2018,2.14,8.46,0.0,0.42,2.39,21.09,0.35,34.86,15.869000000000002,0.0,0.1078832944735018,0.13290062385783602,0.013485411809187725,0.02205558006175562,0.0,0.013485411809187725,0.6837229819144244,0.026466696074106746,78.634457194,1
125,Croatia,2019,1.72,8.74,0.0,0.52,2.34,21.29,0.36,34.98,15.809,0.0,0.08703902840154344,0.13467012461256248,0.01087987855019293,0.0227718388259852,0.0,0.01087987855019293,0.7008665949775444,0.032892656081978625,79.878398762,1
126,Cyprus,2011,1.6,0.0,0.0,0.2,0.0,7.7,0.39,9.9,2.960000000000001,0.0,0.4324324324324324,0.2601351351351351,0.05405405405405405,0.13175675675675672,0.0,0.05405405405405405,0.0,0.06756756756756756,26.236258652,1
127,Cyprus,2012,1.51,0.0,0.0,0.2,0.0,7.2,0.41,9.32,2.8400000000000007,0.0,0.42535211267605627,0.2535211267605633,0.053169014084507034,0.14436619718309854,0.0,0.053169014084507034,0.0,0.0704225352112676,26.771596004,1
128,Cyprus,2013,1.46,0.0,0.0,0.2,0.0,6.43,0.41,8.5,2.713,0.0,0.43051971986730553,0.23700700331736085,0.05381496498341319,0.15112421673424253,0.0,0.05381496498341319,0.0,0.07371913011426465,27.306933356,1
129,Cyprus,2014,1.15,0.0,0.0,0.21,0.0,6.62,0.42,8.39,2.442,0.0,0.3767403767403767,0.2710892710892711,0.04709254709254709,0.17199017199017197,0.0,0.04709254709254709,0.0,0.08599508599508598,27.842270708,1
130,Cyprus,2015,1.2,0.0,0.0,0.23,0.0,6.79,0.43,8.65,2.539,0.0,0.37810161480897986,0.2674281213076014,0.04726270185112248,0.16935801496652225,0.0,0.04726270185112248,0.0,0.09058684521465143,28.37760806,1
131,Cyprus,2016,1.16,0.0,0.0,0.24,0.0,7.44,0.43,9.26,2.5740000000000007,0.0,0.3605283605283604,0.289044289044289,0.04506604506604505,0.16705516705516701,0.0,0.04506604506604505,0.0,0.0932400932400932,29.183430626,1
132,Cyprus,2017,1.3,0.0,0.0,0.3,0.0,7.55,0.44,9.59,2.7949999999999995,0.0,0.37209302325581406,0.27012522361359576,0.04651162790697676,0.15742397137745978,0.0,0.04651162790697676,0.0,0.10733452593917711,29.989253192,1
133,Cyprus,2018,1.29,0.0,0.0,0.24,0.0,7.83,0.45,9.8,2.763,0.0,0.3735070575461455,0.28338762214983715,0.04668838219326819,0.16286644951140067,0.0,0.04668838219326819,0.0,0.08686210640608034,30.795075758,1
134,Cyprus,2019,1.68,0.0,0.0,0.24,0.0,7.82,0.46,10.19,3.162000000000001,0.0,0.42504743833017067,0.2473118279569892,0.053130929791271334,0.14547754585705247,0.0,0.053130929791271334,0.0,0.07590132827324476,31.600898324,1
135,Denmark,2011,2.5,7.85,0.0,1.82,31.2,38.13,0.08,81.57,47.263,0.0,0.042316399720711766,0.08067621606753698,0.005289549965088971,0.0016926559888284707,0.0,0.005289549965088971,0.8262277045468971,0.03850792374584771,190.53019218,1
136,Denmark,2012,2.85,8.71,0.0,1.77,31.93,37.27,0.08,82.6,49.067,0.0,0.046467075631279685,0.07595736442007868,0.005808384453909961,0.0016304237063606904,0.0,0.005808384453909961,0.8282552428312308,0.036073124503230275,195.09777846,1
137,Denmark,2013,2.69,9.05,0.0,1.97,31.86,36.76,0.08,82.4,49.326,0.0,0.04362810688075255,0.07452459149333009,0.005453513360094068,0.0016218627093216558,0.0,0.005453513360094068,0.8293800429793617,0.03993836921704578,199.66536474,1
138,Denmark,2014,2.34,6.7,0.0,2.08,29.23,36.6,0.08,77.04,44.09,0.0,0.04245860739396688,0.08301202086640962,0.00530732592424586,0.0018144704014515763,0.0,0.00530732592424586,0.8149240190519391,0.04717623043774098,204.23295102,1
139,Denmark,2015,2.59,7.44,0.0,1.71,31.35,36.15,0.09,79.32,46.795,0.0,0.04427823485415108,0.07725184314563521,0.005534779356768885,0.0019232824019660218,0.0,0.005534779356768885,0.8289347152473554,0.03654236563735442,208.8005373,1
140,Denmark,2016,2.62,7.61,0.0,2.26,32.21,35.8,0.09,80.59,48.37,0.0,0.04333264420095101,0.07401281786231136,0.005416580525118876,0.0018606574322927434,0.0,0.005416580525118876,0.8232375439321894,0.046723175522017775,212.3084621,1
141,Denmark,2017,2.4,7.9,0.0,2.39,32.39,37.2,0.09,82.37,48.89,0.0,0.03927183473102884,0.0760891797913684,0.004908979341378605,0.0018408672530169769,0.0,0.004908979341378605,0.8240949069339333,0.04888525260789528,215.8163869,1
142,Denmark,2018,2.57,7.47,0.0,2.67,32.24,36.79,0.09,81.84,48.719,0.0,0.04220119460580061,0.0755146862620333,0.005275149325725076,0.0018473285576469137,0.0,0.005275149325725076,0.815082411379544,0.05480408054352511,219.3243117,1
143,Denmark,2019,1.42,7.71,0.0,2.55,31.3,36.98,0.09,80.04,46.768,0.0,0.02429011289770783,0.0790711597673623,0.003036264112213479,0.0019243927471775573,0.0,0.003036264112213479,0.8341173451932945,0.054524461170030784,222.8322365,1
144,Estonia,2011,1.79,1.3,0.07,0.82,4.31,8.56,0.0,16.85,9.146,0.007653619068445222,0.15657117865733655,0.09359282746555872,0.01957139733216707,0.0,0.0,0.01957139733216707,0.6133828996282527,0.08965668051607259,22.837847628,2
145,Estonia,2012,1.83,1.46,0.08,0.5,4.74,9.13,0.0,17.75,9.523,0.008400714060695159,0.15373306731072145,0.09587314921768351,0.01921663341384018,0.0,0.0,0.01921663341384018,0.6510553397038749,0.052504462879344745,23.574754766,2
146,Estonia,2013,1.66,1.81,0.14,0.52,4.27,9.11,0.0,17.51,9.311,0.015035978949629472,0.14262700032219955,0.09784126302223177,0.017828375040274944,0.0,0.0,0.017828375040274944,0.6529910858124799,0.055847921812909464,24.311661904,2
147,Estonia,2014,1.28,2.8,0.08,0.44,4.5,10.06,0.0,19.17,10.106,0.007916089451810805,0.10132594498317832,0.09954482485652089,0.01266574312289729,0.0,0.0,0.01266574312289729,0.722343162477736,0.04353849198495943,25.048569042,1
148,Estonia,2015,1.4,2.93,0.03,0.48,4.52,10.13,0.0,19.5,10.373000000000001,0.0028921237828979074,0.10797262122818854,0.0976573797358527,0.013496577653523568,0.0,0.0,0.013496577653523568,0.718210739419647,0.04627398052636652,25.78547618,1
149,Estonia,2016,1.11,3.32,0.05,0.63,5.06,10.7,0.0,20.87,11.24,0.004448398576512456,0.07900355871886122,0.09519572953736655,0.009875444839857653,0.0,0.0,0.009875444839857653,0.7455516014234874,0.05604982206405694,26.612507948,1
150,Estonia,2017,1.27,3.06,0.0,0.55,4.98,9.78,0.0,19.63,10.838000000000001,0.0,0.09374423325336777,0.09023805130097803,0.011718029156670971,0.0,0.0,0.011718029156670971,0.7418342867687765,0.05074737036353571,27.439539716,1
151,Estonia,2018,1.15,3.19,0.04,0.49,5.1,10.56,0.0,20.54,11.026,0.0036277888626881916,0.0834391438418284,0.09577362597496826,0.01042989298022855,0.0,0.0,0.01042989298022855,0.7518592417921276,0.04444041356793035,28.266571484,1
152,Estonia,2019,1.08,3.07,0.04,0.56,4.3,10.52,0.0,19.57,10.102,0.0039596119580281135,0.08552761829340726,0.10413779449613939,0.010690952286675907,0.0,0.0,0.010690952286675907,0.7295585032666798,0.05543456741239359,29.093603252,1
153,Finland,2011,10.34,1.55,0.09,3.64,41.29,64.77,0.0,121.68,63.387,0.0014198494959534289,0.13049994478363072,0.1021818353921151,0.01631249309795384,0.0,0.0,0.01631249309795384,0.6758483600738321,0.057425024058560904,173.76037788,1
154,Finland,2012,11.48,1.4,0.11,4.15,44.44,66.94,0.0,128.53,68.274,0.0016111550517034303,0.13451679995313004,0.09804610832820693,0.016814599994141255,0.0,0.0,0.016814599994141255,0.6714122506371385,0.060784486041538514,177.16921866,1
155,Finland,2013,10.21,1.46,0.1,3.59,42.34,65.66,0.0,123.35,64.266,0.001556032738928827,0.1270967541157066,0.10216910963806677,0.015887094264463324,0.0,0.0,0.015887094264463324,0.6815423396508262,0.055861575327544884,180.57805944,1
156,Finland,2014,10.17,1.25,0.1,3.64,41.98,65.45,0.0,122.59,63.685,0.0015702284682421292,0.12775378817617963,0.10277145324644736,0.015969223522022454,0.0,0.0,0.015969223522022454,0.6788097668210724,0.0571563162440135,183.98690022,1
157,Finland,2015,9.33,1.17,0.09,3.26,36.94,65.29,0.0,116.07,57.318999999999996,0.0015701599818559293,0.1302186011619184,0.11390638357263737,0.0162773251452398,0.0,0.0,0.0162773251452398,0.6648755212058829,0.05687468378722588,187.395741,1
158,Finland,2016,10.47,1.18,0.1,3.61,41.27,63.1,0.0,119.73,62.940000000000005,0.0015888147442008262,0.13307912297426122,0.10025421035907213,0.016634890371782653,0.0,0.0,0.016634890371782653,0.6744518589132507,0.05735621226564982,189.76081886,1
159,Finland,2017,10.46,1.22,0.1,4.02,42.85,65.86,0.0,124.51,65.236,0.001532895947023116,0.12827273284689436,0.10095652707094242,0.016034091605861795,0.0,0.0,0.016034091605861795,0.6755472438530872,0.061622417070329255,192.12589672,1
160,Finland,2018,10.96,1.08,0.1,4.02,45.3,65.52,0.0,126.98,68.012,0.0014703287655119686,0.12891842616008942,0.09633594071634417,0.016114803270011177,0.0,0.0,0.016114803270011177,0.6819384814444509,0.05910721637358113,194.49097458,1
161,Finland,2019,10.87,1.13,0.1,3.88,43.82,64.37,0.0,124.19,66.237,0.0015097302112112567,0.13128613916693088,0.09718133369566861,0.01641076739586636,0.0,0.0,0.01641076739586636,0.67862372993946,0.058577532194996756,196.85605244,1
162,France,2011,117.62,241.59,1.94,17.16,27.31,488.24,0.0,893.86,454.4440000000001,0.004268952830271715,0.20705741521507598,0.10743677988927128,0.025882176901884497,0.0,0.0,0.025882176901884497,0.5917120701340538,0.03776042812755807,2035.1594202,1
163,France,2012,127.6,271.58,2.16,19.85,28.68,510.35,0.0,960.22,500.90500000000003,0.004312194927181801,0.2037911380401473,0.10188558708737186,0.025473892255018414,0.0,0.0,0.025473892255018414,0.5994350226090776,0.039628272826184606,2076.9363784,1
164,France,2013,117.64,285.41,2.33,21.65,30.73,511.33,0.0,969.08,508.89300000000003,0.004578565631675028,0.18493475052712458,0.10047888259417992,0.023116843815890572,0.0,0.0,0.023116843815890572,0.6212307891835809,0.042543324431658515,2118.7133366,1
165,France,2014,109.79,230.34,1.93,18.65,27.15,496.66,1.15,885.67,438.67600000000004,0.004399602440069664,0.20022066399803043,0.1132179558489637,0.025027582999753804,0.0026215247699896958,0.0,0.025027582999753804,0.5869707939344755,0.042514293008963325,2160.4902948,1
166,France,2015,114.21,244.89,2.16,17.69,29.36,508.89,1.18,918.39,460.37899999999996,0.0046917865497774665,0.19846257105558682,0.11053718783871551,0.024807821381948352,0.0025631056151562085,0.0,0.024807821381948352,0.595704843183551,0.038424862993316385,2202.267253,1
167,France,2016,105.62,249.07,2.32,20.34,32.59,510.75,1.21,921.9,462.2250000000001,0.005019200605765589,0.18280274757964193,0.11049813402563685,0.02285034344745524,0.002617772729731191,0.0,0.02285034344745524,0.6093569149223861,0.044004543241927624,2215.0783008,1
168,France,2017,109.91,257.46,1.73,22.98,33.78,509.04,1.23,936.13,477.994,0.0036192922923718707,0.1839520998171525,0.10649506060745532,0.02299401247714406,0.0025732540575823127,0.0,0.02299401247714406,0.6092963510002217,0.04807591727092809,2227.8893486,1
169,France,2018,101.41,253.68,1.78,21.86,33.58,505.77,1.25,919.34,464.137,0.0038350745577275676,0.17479321838164164,0.10896998084617257,0.021849152297705204,0.0026931703354828424,0.0,0.021849152297705204,0.618912088456641,0.047098162826923945,2240.7003964,1
170,France,2019,99.4,250.35,1.84,22.59,33.51,491.79,1.27,900.76,458.13899999999995,0.004016248343843245,0.17357177625131243,0.10734515070753638,0.021696472031414053,0.0027720844547178916,0.0,0.021696472031414053,0.6195936167844258,0.049308179395336355,2253.5114442,1
171,Georgia,2011,0.09,0.94,0.26,1.42,0.0,3.85,0.17,6.74,3.265,0.07963246554364471,0.022052067381316997,0.11791730474732005,0.0027565084226646246,0.05206738131699847,0.0,0.0027565084226646246,0.2879019908116386,0.43491577335375187,18.99676993,2
172,Georgia,2012,0.09,1.82,0.53,1.64,0.0,4.04,0.17,8.29,4.654,0.11388053287494629,0.015470562956596476,0.08680704770090246,0.0019338203695745595,0.0365277180919639,0.0,0.0019338203695745595,0.3910614525139665,0.35238504512247526,19.45240026,2
173,Georgia,2013,0.22,4.56,0.03,0.33,0.0,9.26,0.34,14.73,6.406,0.004683109584764283,0.0274742428972838,0.1445519825163909,0.003434280362160475,0.053075241960661886,0.0,0.003434280362160475,0.7118326568841711,0.051514205432407124,19.90803059,2
174,Georgia,2014,0.3,7.66,0.03,0.33,0.0,9.24,0.39,17.94,9.634,0.0031139713514635662,0.02491177081170853,0.09591031762507785,0.0031139713514635662,0.04048162756902637,0.0,0.0031139713514635662,0.7951006850736974,0.034253684866099234,20.36366092,2
175,Georgia,2015,0.6,6.32,0.04,0.29,0.0,9.16,0.44,16.86,8.606,0.004647920055775041,0.05577504066930049,0.10643736927724844,0.006971880083662561,0.05112712061352545,0.0,0.006971880083662561,0.7343713688124565,0.033697420404369044,20.81929125,2
176,Georgia,2016,0.47,6.61,0.04,0.18,0.0,10.38,0.48,18.16,8.818,0.004536176003628941,0.04264005443411205,0.11771376729417102,0.005330006804264006,0.05443411204354729,0.0,0.005330006804264006,0.7496030845996825,0.020412792016330235,21.555951812,2
177,Georgia,2017,0.41,6.9,0.02,0.16,0.0,10.99,0.48,18.96,9.069,0.0022053148086889404,0.03616716286249862,0.12118204873745726,0.004520895357812327,0.05292755540853456,0.0,0.004520895357812327,0.7608336089976844,0.017642518469511523,22.292612374,2
178,Georgia,2018,0.06,7.24,0.01,0.15,0.0,13.61,0.49,21.56,9.311,0.001073998496402105,0.005155192782730104,0.1461711953603265,0.000644399097841263,0.052625926323703144,0.0,0.000644399097841263,0.777574911395124,0.016109977446031574,23.029272936,2
179,Georgia,2019,0.04,8.13,0.0,0.13,0.0,13.63,0.5,22.42,10.163000000000002,0.0,0.003148676571878382,0.13411394273344485,0.00039358457148479774,0.04919807143559971,0.0,0.00039358457148479774,0.7999606415428514,0.012791498573255925,23.765933498,2
180,Germany,2011,153.66,365.93,16.75,17.17,86.25,477.71,0.0,1117.46,687.531,0.024362537834657638,0.17879630154858472,0.06948195790444359,0.02234953769357309,0.0,0.0,0.02234953769357309,0.6576867079448054,0.024973419380362488,2764.4640094,1
181,Germany,2012,202.64,319.03,4.61,40.61,47.73,502.42,0.0,1117.04,664.862,0.0069337697146174705,0.24382804251107748,0.07556756138867916,0.030478505313884685,0.0,0.0,0.030478505313884685,0.5516332712653153,0.061080344492541315,2820.0279598,1
182,Germany,2013,203.9,390.24,1.75,43.93,56.29,463.25,0.0,1159.37,742.4349999999998,0.002357108703118792,0.21970946951584994,0.06239603466970174,0.027463683689481242,0.0,0.0,0.027463683689481242,0.601439856687791,0.059170163044576306,2875.5919102,1
183,Germany,2014,186.77,369.98,2.12,22.46,55.46,483.64,0.0,1120.43,685.1540000000001,0.003094194881734617,0.21807652002323566,0.07058851002840237,0.027259565002904457,0.0,0.0,0.027259565002904457,0.6209406936250828,0.03278095143573561,2931.1558606,1
184,Germany,2015,193.9,392.83,3.21,45.2,57.87,510.67,0.0,1203.67,744.0770000000001,0.004314069646017818,0.2084730478162878,0.06863133788572957,0.026059130977035976,0.0,0.0,0.026059130977035976,0.6057168814517851,0.06074640124610759,2986.719811,1
185,Germany,2016,196.55,430.26,3.19,53.45,67.22,508.54,0.0,1259.21,801.5240000000001,0.003979918255722847,0.19617628417863966,0.06344663416192153,0.024522035522329958,0.0,0.0,0.024522035522329958,0.6206676281683392,0.06668546419071668,3015.1015626,1
186,Germany,2017,191.71,393.3,0.54,60.04,52.9,513.35,0.0,1211.83,749.8249999999999,0.0007201680392091489,0.20453839229153475,0.06846264128296604,0.025567299036441844,0.0,0.0,0.025567299036441844,0.5950721835094855,0.08007201680392093,3043.4833142,1
187,Germany,2018,190.6,366.7,0.7,119.7,23.4,522.0,0.0,1223.1,753.3000000000001,0.000929244656843223,0.20241603610779235,0.06929510155316607,0.025302004513474044,0.0,0.0,0.025302004513474044,0.5178547723350589,0.15890083632019114,3071.8650658,1
188,Germany,2019,157.5,376.6,0.1,123.7,38.2,526.8,0.0,1222.9,748.7800000000001,0.00013355057560298085,0.16827372525975584,0.0703544432276503,0.02103421565746948,0.0,0.0,0.02103421565746948,0.5539677876011645,0.1652020620208873,3100.2468174,1
189,Greece,2011,9.58,6.9,0.0,0.58,0.0,60.62,0.62,78.3,23.741999999999997,0.0,0.3228034706427429,0.25532811052143883,0.04035043383034286,0.02611405947266448,0.0,0.04035043383034286,0.2906242102602983,0.024429281442169996,291.21936852,1
190,Greece,2012,7.13,5.78,0.0,1.23,0.0,66.49,0.62,81.25,21.409000000000002,0.0,0.2664300060722126,0.31057032089308234,0.03330375075902658,0.02895978326871876,0.0,0.03330375075902658,0.2699799149890233,0.0574524732589098,292.81199254,1
191,Greece,2013,8.1,5.22,0.0,1.06,0.0,61.23,0.62,76.23,21.123,0.0,0.3067746058798466,0.2898735975003551,0.03834682573498083,0.029351891303318656,0.0,0.03834682573498083,0.24712398806987643,0.050182265776641574,294.40461656,1
192,Greece,2014,4.5,5.25,0.0,0.88,0.0,60.49,0.66,71.76,17.339,0.0,0.20762443047465254,0.3488667166503259,0.025953053809331567,0.038064478920352966,0.0,0.025953053809331567,0.30278562777553497,0.05075263856047062,295.99724058,1
193,Greece,2015,4.91,6.94,0.0,1.46,0.0,64.53,0.65,78.5,20.413,0.0,0.1924263949443982,0.3161220790672611,0.024053299368049775,0.031842453338558764,0.0,0.024053299368049775,0.33997942487630434,0.07152304903737813,297.5898646,1
194,Greece,2016,7.38,6.2,0.0,1.06,0.0,70.01,0.66,85.31,22.301,0.0,0.2647414914129411,0.3139321106676831,0.03309268642661764,0.029595085422178383,0.0,0.03309268642661764,0.27801443881440296,0.04753150082955922,298.32519464,1
195,Greece,2017,5.17,6.31,0.0,0.78,0.0,69.28,0.67,82.2,19.858,0.0,0.2082787793332662,0.3488770268909256,0.026034847416658274,0.03373955081075637,0.0,0.026034847416658274,0.3177560680833921,0.039278880048343234,299.06052468,1
196,Greece,2018,5.04,6.03,0.0,1.15,0.0,64.11,0.67,76.99,19.301,0.0,0.20890109320760583,0.332158955494534,0.02611263665095073,0.0347132272939226,0.0,0.02611263665095073,0.3124190456453034,0.05958240505673281,299.79585472,1
197,Greece,2019,5.27,6.4,0.0,1.12,0.0,64.49,0.76,78.04,19.999,0.0,0.21081054052702639,0.3224661233061653,0.026351317565878298,0.03800190009500475,0.0,0.026351317565878298,0.32001600080004006,0.05600280014000701,300.53118476,1
198,"Hong Kong SAR, China",2011,3.27,10.37,0.0,1.26,0.0,99.9,0.0,114.81,24.890000000000004,0.0,0.10510245078344715,0.40136601044596226,0.013137806347930894,0.0,0.0,0.013137806347930894,0.4166331860184812,0.05062274005624748,293.79417962,1
199,"Hong Kong SAR, China",2012,3.03,10.45,0.0,1.42,0.0,102.35,0.0,117.25,25.134999999999998,0.0,0.09643922816789338,0.4072011139844838,0.012054903520986673,0.0,0.0,0.012054903520986673,0.41575492341356673,0.056494927392082755,306.54456814,1
200,"Hong Kong SAR, China",2013,2.88,10.71,0.0,1.42,0.0,102.22,0.0,117.23,25.232000000000006,0.0,0.09131261889663916,0.4051204819277108,0.011414077362079895,0.0,0.0,0.011414077362079895,0.42446100190234615,0.05627774254914393,319.29495666,1
201,"Hong Kong SAR, China",2014,2.77,10.81,0.0,1.7,0.0,103.48,0.0,118.77,25.627999999999997,0.0,0.0864679257062588,0.4037771187763385,0.01080849071328235,0.0,0.0,0.01080849071328235,0.4218042765724989,0.06633369751833933,332.04534518,1
202,"Hong Kong SAR, China",2015,2.65,10.81,0.0,1.61,0.0,104.68,0.0,119.75,25.538000000000004,0.0,0.08301354843762236,0.4098989740778448,0.010376693554702795,0.0,0.0,0.010376693554702795,0.4232907823635366,0.06304330801159057,344.7957337,1
203,"Hong Kong SAR, China",2016,2.58,10.82,0.0,1.67,0.0,104.9,0.0,119.97,25.560000000000002,0.0,0.08075117370892018,0.4104068857589985,0.010093896713615023,0.0,0.0,0.010093896713615023,0.4233176838810641,0.06533646322378715,348.32505742,1
204,"Hong Kong SAR, China",2017,2.42,11.09,0.0,1.8,0.0,104.76,0.0,120.07,25.786,0.0,0.07507950050414954,0.4062669665710075,0.009384937563018692,0.0,0.0,0.009384937563018692,0.43007833708213755,0.06980532071666795,351.85438114,1
205,"Hong Kong SAR, China",2018,2.48,11.32,0.0,1.84,0.0,106.38,0.0,122.02,26.278,0.0,0.0755004186011112,0.404825329172692,0.0094375523251389,0.0,0.0,0.0094375523251389,0.430778598066824,0.07002054950909507,355.38370486,1
206,"Hong Kong SAR, China",2019,2.33,10.8,0.0,1.83,0.0,108.1,0.0,123.07,25.770000000000003,0.0,0.07233216918897943,0.4194800155219247,0.009041521148622429,0.0,0.0,0.009041521148622429,0.41909196740395804,0.0710128055878929,358.91302858,1
207,Hungary,2011,0.74,72.26,0.13,1.47,8.52,41.28,3.45,127.83,90.698,0.0014333281880526585,0.0065271560563628745,0.045513682771395184,0.0008158945070453593,0.038038324990628244,0.0,0.0008158945070453593,0.8906480848530288,0.0162076341264416,173.71851384,2
208,Hungary,2012,1.19,58.08,0.04,1.57,6.09,28.14,3.45,98.54,73.234,0.0005461943905836087,0.012999426495889888,0.038424775377556876,0.001624928311986236,0.04710926618783626,0.0,0.001624928311986236,0.8762323510937543,0.021438129830406643,178.28043858,2
209,Hungary,2013,0.75,58.95,0.1,1.63,5.83,27.03,3.56,97.84,73.523,0.0013601186023421243,0.008160711614052747,0.03676400582130762,0.0010200889517565934,0.04842022224337963,0.0,0.0010200889517565934,0.8810848305972281,0.022169933218176625,182.84236332,2
210,Hungary,2014,1.14,52.05,0.1,1.29,5.48,27.53,0.95,88.53,63.763,0.0015683076392265108,0.014302965669745777,0.04317550930790584,0.0017878707087182221,0.014898922572651851,0.0,0.0017878707087182221,0.9022473848470116,0.02023116854602199,187.40428806,1
