"iso_code3","frac_waso_non_recycled_landfilled","Year"
"COL",0,2020
"COM",0,2010
"COM",0,2011
"COM",0,2012
"COM",0,2013
"COM",0,2014
"COM",0,2015
"COM",0,2016
"COM",0,2017
"COM",0,2018
"COM",0,2019
"COM",0,2020
"CPV",0,2010
"CPV",0,2011
"CPV",0,2012
"CPV",0,2013
"CPV",0,2014
"CPV",0,2015
"CPV",0,2016
"CPV",0,2017
"CPV",0,2018
"CPV",0,2019
"CPV",0,2020
"CRI",0.235,2010
"CRI",0.235,2011
"CRI",0.235,2012
"CRI",0.235,2013
"CRI",0.235,2014
"CRI",0.235,2015
"CRI",0.235,2016
"CRI",0.235,2017
"CRI",0.235,2018
"CRI",0.235,2019
"CRI",0.235,2020
"CUB",0.3068,2010
"CUB",0.3068,2011
"CUB",0.3068,2012
"CUB",0.3068,2013
"CUB",0.3068,2014
"CUB",0.3068,2015
"CUB",0.3068,2016
"CUB",0.3068,2017
"CUB",0.3068,2018
"CUB",0.3068,2019
"CUB",0.3068,2020
"CUW",0,2010
"CUW",0,2011
"CUW",0,2012
"CUW",0,2013
"CUW",0,2014
"CUW",0,2015
"CUW",0,2016
"CUW",0,2017
"CUW",0,2018
"CUW",0,2019
"CUW",0,2020
"CYM",0,2010
"CYM",0,2011
"CYM",0,2012
"CYM",0,2013
"CYM",0,2014
"CYM",0,2015
"CYM",0,2016
"CYM",0,2017
"CYM",0,2018
"CYM",0,2019
"CYM",0,2020
"CYP",0.7449,2010
"CYP",0.7449,2011
"CYP",0.7449,2012
"CYP",0.7449,2013
"CYP",0.7449,2014
"CYP",0.7449,2015
"CYP",0.7449,2016
"CYP",0.7449,2017
"CYP",0.7449,2018
"CYP",0.7449,2019
"CYP",0.7449,2020
"CZE",0.5259,2010
"CZE",0.5259,2011
"CZE",0.5259,2012
"CZE",0.5259,2013
"CZE",0.5259,2014
"CZE",0.5259,2015
"CZE",0.5259,2016
"CZE",0.5259,2017
"CZE",0.5259,2018
"CZE",0.5259,2019
"CZE",0.5259,2020
"DEU",0.0021,2010
"DEU",0.0021,2011
"DEU",0.0021,2012
"DEU",0.0021,2013
"DEU",0.0021,2014
"DEU",0.0021,2015
"DEU",0.0021,2016
"DEU",0.0021,2017
"DEU",0.0021,2018
"DEU",0.0021,2019
"DEU",0.0021,2020
"DJI",0,2010
"DJI",0,2011
"DJI",0,2012
"DJI",0,2013
"DJI",0,2014
"DJI",0,2015
"DJI",0,2016
"DJI",0,2017
"DJI",0,2018
"DJI",0,2019
"DJI",0,2020
"DMA",0.94,2010
"DMA",0.94,2011
"DMA",0.94,2012
"DMA",0.94,2013
"DMA",0.94,2014
"DMA",0.94,2015
"DMA",0.94,2016
"DMA",0.94,2017
"DMA",0.94,2018
"DMA",0.94,2019
"DMA",0.94,2020
"DNK",0.0113,2010
"DNK",0.0113,2011
"DNK",0.0113,2012
"DNK",0.0113,2013
"DNK",0.0113,2014
"DNK",0.0113,2015
"DNK",0.0113,2016
"DNK",0.0113,2017
"DNK",0.0113,2018
"DNK",0.0113,2019
"DNK",0.0113,2020
"DOM",0,2010
"DOM",0,2011
"DOM",0,2012
"DOM",0,2013
"DOM",0,2014
"DOM",0,2015
"DOM",0,2016
"DOM",0,2017
"DOM",0,2018
"DOM",0,2019
"DOM",0,2020
"DZA",0.02,2010
"DZA",0.02,2011
"DZA",0.02,2012
"DZA",0.02,2013
"DZA",0.02,2014
"DZA",0.02,2015
"DZA",0.02,2016
"DZA",0.02,2017
"DZA",0.02,2018
"DZA",0.02,2019
"DZA",0.02,2020
"ECU",0,2010
"ECU",0,2011
"ECU",0,2012
"ECU",0,2013
"ECU",0,2014
"ECU",0,2015
