Year,iso_code3,pij_lndu_forests_mangroves_to_forests_mangroves
2044,SLV,0.9737068803464386
2045,SLV,0.9737068803464386
2046,SLV,0.9737068803464386
2047,SLV,0.9737068803464386
2048,SLV,0.9737068803464386
2049,SLV,0.9737068803464386
2050,SLV,0.9737068803464386
2019,SOM,0.992340292143398
2020,SOM,0.9908141148476248
2021,SOM,0.9908141148476248
2022,SOM,0.9908141148476248
2023,SOM,0.9908141148476248
2024,SOM,0.9908141148476248
2025,SOM,0.9908141148476248
2026,SOM,0.9908141148476248
2027,SOM,0.9908141148476248
2028,SOM,0.9908141148476248
2029,SOM,0.9908141148476248
2030,SOM,0.9908141148476248
2031,SOM,0.9908141148476248
2032,SOM,0.9908141148476248
2033,SOM,0.9908141148476248
2034,SOM,0.9908141148476248
2035,SOM,0.9908141148476248
2036,SOM,0.9908141148476248
2037,SOM,0.9908141148476248
2038,SOM,0.9908141148476248
2039,SOM,0.9908141148476248
2040,SOM,0.9908141148476248
2041,SOM,0.9908141148476248
2042,SOM,0.9908141148476248
2043,SOM,0.9908141148476248
2044,SOM,0.9908141148476248
2045,SOM,0.9908141148476248
2046,SOM,0.9908141148476248
2047,SOM,0.9908141148476248
2048,SOM,0.9908141148476248
2049,SOM,0.9908141148476248
2050,SOM,0.9908141148476248
2019,SRB,0.990380978255255
2020,SRB,0.99042326466771
2021,SRB,0.99042326466771
2022,SRB,0.99042326466771
2023,SRB,0.99042326466771
2024,SRB,0.99042326466771
2025,SRB,0.99042326466771
2026,SRB,0.99042326466771
2027,SRB,0.99042326466771
2028,SRB,0.99042326466771
2029,SRB,0.99042326466771
2030,SRB,0.99042326466771
2031,SRB,0.99042326466771
2032,SRB,0.99042326466771
2033,SRB,0.99042326466771
2034,SRB,0.99042326466771
2035,SRB,0.99042326466771
2036,SRB,0.99042326466771
2037,SRB,0.99042326466771
2038,SRB,0.99042326466771
2039,SRB,0.99042326466771
2040,SRB,0.99042326466771
2041,SRB,0.99042326466771
2042,SRB,0.99042326466771
2043,SRB,0.99042326466771
2044,SRB,0.99042326466771
2045,SRB,0.99042326466771
2046,SRB,0.99042326466771
2047,SRB,0.99042326466771
2048,SRB,0.99042326466771
2049,SRB,0.99042326466771
2050,SRB,0.99042326466771
2019,SSD,0.9903443540525614
2020,SSD,0.9903998884590096
2021,SSD,0.9903998884590096
2022,SSD,0.9903998884590096
2023,SSD,0.9903998884590096
2024,SSD,0.9903998884590096
2025,SSD,0.9903998884590096
2026,SSD,0.9903998884590096
2027,SSD,0.9903998884590096
2028,SSD,0.9903998884590096
2029,SSD,0.9903998884590096
2030,SSD,0.9903998884590096
2031,SSD,0.9903998884590096
2032,SSD,0.9903998884590096
2033,SSD,0.9903998884590096
2034,SSD,0.9903998884590096
2035,SSD,0.9903998884590096
2036,SSD,0.9903998884590096
2037,SSD,0.9903998884590096
2038,SSD,0.9903998884590096
2039,SSD,0.9903998884590096
2040,SSD,0.9903998884590096
2041,SSD,0.9903998884590096
2042,SSD,0.9903998884590096
2043,SSD,0.9903998884590096
2044,SSD,0.9903998884590096
2045,SSD,0.9903998884590096
2046,SSD,0.9903998884590096
2047,SSD,0.9903998884590096
2048,SSD,0.9903998884590096
2049,SSD,0.9903998884590096
2050,SSD,0.9903998884590096
2019,STP,0.9891249042467708
2020,STP,0.9891669062021352
2021,STP,0.9891669062021352
2022,STP,0.9891669062021352
2023,STP,0.9891669062021352
2024,STP,0.9891669062021352
2025,STP,0.9891669062021352
2026,STP,0.9891669062021352
2027,STP,0.9891669062021352
2028,STP,0.9891669062021352
2029,STP,0.9891669062021352
2030,STP,0.9891669062021352
2031,STP,0.9891669062021352
2032,STP,0.9891669062021352
2033,STP,0.9891669062021352
2034,STP,0.9891669062021352
2035,STP,0.9891669062021352
2036,STP,0.9891669062021352
2037,STP,0.9891669062021352
2038,STP,0.9891669062021352
2039,STP,0.9891669062021352
2040,STP,0.9891669062021352
2041,STP,0.9891669062021352
2042,STP,0.9891669062021352
2043,STP,0.9891669062021352
2044,STP,0.9891669062021352
2045,STP,0.9891669062021352
2046,STP,0.9891669062021352
2047,STP,0.9891669062021352
2048,STP,0.9891669062021352
2049,STP,0.9891669062021352
2050,STP,0.9891669062021352
2019,SUR,0.988974006629148
2020,SUR,0.9877600180874364
2021,SUR,0.9877600180874364
2022,SUR,0.9877600180874364
2023,SUR,0.9877600180874364
2024,SUR,0.9877600180874364
2025,SUR,0.9877600180874364
2026,SUR,0.9877600180874364
2027,SUR,0.9877600180874364
2028,SUR,0.9877600180874364
2029,SUR,0.9877600180874364
2030,SUR,0.9877600180874364
2031,SUR,0.9877600180874364
2032,SUR,0.9877600180874364
2033,SUR,0.9877600180874364
2034,SUR,0.9877600180874364
2035,SUR,0.9877600180874364
2036,SUR,0.9877600180874364
2037,SUR,0.9877600180874364
2038,SUR,0.9877600180874364
2039,SUR,0.9877600180874364
2040,SUR,0.9877600180874364
2041,SUR,0.9877600180874364
2042,SUR,0.9877600180874364
2043,SUR,0.9877600180874364
2044,SUR,0.9877600180874364
2045,SUR,0.9877600180874364
2046,SUR,0.9877600180874364
2047,SUR,0.9877600180874364
2048,SUR,0.9877600180874364
2049,SUR,0.9877600180874364
2050,SUR,0.9877600180874364
2019,SVK,0.9903979093396764
2020,SVK,0.99043147096439
2021,SVK,0.99043147096439
2022,SVK,0.99043147096439
2023,SVK,0.99043147096439
2024,SVK,0.99043147096439
2025,SVK,0.99043147096439
2026,SVK,0.99043147096439
2027,SVK,0.99043147096439
2028,SVK,0.99043147096439
2029,SVK,0.99043147096439
2030,SVK,0.99043147096439
2031,SVK,0.99043147096439
2032,SVK,0.99043147096439
2033,SVK,0.99043147096439
2034,SVK,0.99043147096439
2035,SVK,0.99043147096439
2036,SVK,0.99043147096439
2037,SVK,0.99043147096439
2038,SVK,0.99043147096439
2039,SVK,0.99043147096439
2040,SVK,0.99043147096439
2041,SVK,0.99043147096439
2042,SVK,0.99043147096439
2043,SVK,0.99043147096439
2044,SVK,0.99043147096439
2045,SVK,0.99043147096439
2046,SVK,0.99043147096439
2047,SVK,0.99043147096439
2048,SVK,0.99043147096439
2049,SVK,0.99043147096439
2050,SVK,0.99043147096439
2019,SVN,0.9903786551269738
2020,SVN,0.9904248400288732
2021,SVN,0.9904248400288732
2022,SVN,0.9904248400288732
2023,SVN,0.9904248400288732
2024,SVN,0.9904248400288732
2025,SVN,0.9904248400288732
2026,SVN,0.9904248400288732
2027,SVN,0.9904248400288732
2028,SVN,0.9904248400288732
2029,SVN,0.9904248400288732
2030,SVN,0.9904248400288732
2031,SVN,0.9904248400288732
2032,SVN,0.9904248400288732
2033,SVN,0.9904248400288732
2034,SVN,0.9904248400288732
2035,SVN,0.9904248400288732
2036,SVN,0.9904248400288732
2037,SVN,0.9904248400288732
2038,SVN,0.9904248400288732
2039,SVN,0.9904248400288732
2040,SVN,0.9904248400288732
2041,SVN,0.9904248400288732
2042,SVN,0.9904248400288732
2043,SVN,0.9904248400288732
2044,SVN,0.9904248400288732
2045,SVN,0.9904248400288732
2046,SVN,0.9904248400288732
2047,SVN,0.9904248400288732
2048,SVN,0.9904248400288732
2049,SVN,0.9904248400288732
2050,SVN,0.9904248400288732
2019,SWE,0.9903516986345164
2020,SWE,0.9903904282649298
2021,SWE,0.9903904282649298
2022,SWE,0.9903904282649298
2023,SWE,0.9903904282649298
2024,SWE,0.9903904282649298
2025,SWE,0.9903904282649298
2026,SWE,0.9903904282649298
2027,SWE,0.9903904282649298
2028,SWE,0.9903904282649298
2029,SWE,0.9903904282649298
2030,SWE,0.9903904282649298
2031,SWE,0.9903904282649298
2032,SWE,0.9903904282649298
2033,SWE,0.9903904282649298
2034,SWE,0.9903904282649298
2035,SWE,0.9903904282649298
2036,SWE,0.9903904282649298
2037,SWE,0.9903904282649298
2038,SWE,0.9903904282649298
2039,SWE,0.9903904282649298
2040,SWE,0.9903904282649298
2041,SWE,0.9903904282649298
2042,SWE,0.9903904282649298
2043,SWE,0.9903904282649298
2044,SWE,0.9903904282649298
2045,SWE,0.9903904282649298
2046,SWE,0.9903904282649298
2047,SWE,0.9903904282649298
2048,SWE,0.9903904282649298
2049,SWE,0.9903904282649298
2050,SWE,0.9903904282649298
2019,SWZ,0.9903503284302436
2020,SWZ,0.99041371228339
2021,SWZ,0.99041371228339
2022,SWZ,0.99041371228339
2023,SWZ,0.99041371228339
2024,SWZ,0.99041371228339
2025,SWZ,0.99041371228339
2026,SWZ,0.99041371228339
2027,SWZ,0.99041371228339
2028,SWZ,0.99041371228339
2029,SWZ,0.99041371228339
2030,SWZ,0.99041371228339
2031,SWZ,0.99041371228339
2032,SWZ,0.99041371228339
2033,SWZ,0.99041371228339
2034,SWZ,0.99041371228339
2035,SWZ,0.99041371228339
2036,SWZ,0.99041371228339
2037,SWZ,0.99041371228339
2038,SWZ,0.99041371228339
2039,SWZ,0.99041371228339
2040,SWZ,0.99041371228339
2041,SWZ,0.99041371228339
2042,SWZ,0.99041371228339
2043,SWZ,0.99041371228339
2044,SWZ,0.99041371228339
2045,SWZ,0.99041371228339
2046,SWZ,0.99041371228339
2047,SWZ,0.99041371228339
2048,SWZ,0.99041371228339
2049,SWZ,0.99041371228339
2050,SWZ,0.99041371228339
2019,SYC,0.9891251690446604
2020,SYC,0.9891638089092476
2021,SYC,0.9891638089092476
2022,SYC,0.9891638089092476
2023,SYC,0.9891638089092476
2024,SYC,0.9891638089092476
2025,SYC,0.9891638089092476
2026,SYC,0.9891638089092476
2027,SYC,0.9891638089092476
2028,SYC,0.9891638089092476
2029,SYC,0.9891638089092476
2030,SYC,0.9891638089092476
2031,SYC,0.9891638089092476
2032,SYC,0.9891638089092476
2033,SYC,0.9891638089092476
2034,SYC,0.9891638089092476
2035,SYC,0.9891638089092476
2036,SYC,0.9891638089092476
2037,SYC,0.9891638089092476
2038,SYC,0.9891638089092476
2039,SYC,0.9891638089092476
2040,SYC,0.9891638089092476
2041,SYC,0.9891638089092476
2042,SYC,0.9891638089092476
2043,SYC,0.9891638089092476
2044,SYC,0.9891638089092476
2045,SYC,0.9891638089092476
