,Nation,iso_code3,Year,occrate_trns_passenger_per_vehicle_rail_passenger
453,Grenada,GRD,2007,132.57142857142856
454,Grenada,GRD,2008,132.57142857142856
455,Greenland,GRL,2004,132.57142857142856
456,Greenland,GRL,2005,132.57142857142856
457,Greenland,GRL,2006,132.57142857142856
458,Greenland,GRL,2007,132.57142857142856
459,Greenland,GRL,2008,132.57142857142856
460,Guatemala,GTM,2004,132.57142857142856
461,Guatemala,GTM,2005,132.57142857142856
462,Guatemala,GTM,2006,132.57142857142856
463,Guatemala,GTM,2007,132.57142857142856
464,Guatemala,GTM,2008,132.57142857142856
465,Guam,GUM,2004,132.57142857142856
466,Guam,GUM,2005,132.57142857142856
467,Guam,GUM,2006,132.57142857142856
468,Guam,GUM,2007,132.57142857142856
469,Guam,GUM,2008,132.57142857142856
470,Guyana,GUY,2004,132.57142857142856
471,Guyana,GUY,2005,132.57142857142856
472,Guyana,GUY,2006,132.57142857142856
473,Guyana,GUY,2007,132.57142857142856
474,Guyana,GUY,2008,132.57142857142856
475,High income,HIC,2004,132.57142857142856
476,High income,HIC,2005,132.57142857142856
477,High income,HIC,2006,132.57142857142856
478,High income,HIC,2007,132.57142857142856
479,High income,HIC,2008,132.57142857142856
480,"Hong Kong SAR, China",HKG,2004,132.57142857142856
481,"Hong Kong SAR, China",HKG,2005,132.57142857142856
482,"Hong Kong SAR, China",HKG,2006,132.57142857142856
483,"Hong Kong SAR, China",HKG,2007,132.57142857142856
484,"Hong Kong SAR, China",HKG,2008,132.57142857142856
485,Honduras,HND,2004,132.57142857142856
486,Honduras,HND,2005,132.57142857142856
487,Honduras,HND,2006,132.57142857142856
488,Honduras,HND,2007,132.57142857142856
489,Honduras,HND,2008,132.57142857142856
490,Heavily indebted poor countries (HIPC),HPC,2004,132.57142857142856
491,Heavily indebted poor countries (HIPC),HPC,2005,132.57142857142856
492,Heavily indebted poor countries (HIPC),HPC,2006,132.57142857142856
493,Heavily indebted poor countries (HIPC),HPC,2007,132.57142857142856
494,Heavily indebted poor countries (HIPC),HPC,2008,132.57142857142856
495,Croatia,HRV,2004,132.57142857142856
496,Croatia,HRV,2005,132.57142857142856
497,Croatia,HRV,2006,132.57142857142856
498,Croatia,HRV,2007,132.57142857142856
499,Croatia,HRV,2008,132.57142857142856
500,Haiti,HTI,2004,132.57142857142856
501,Haiti,HTI,2005,132.57142857142856
502,Haiti,HTI,2006,132.57142857142856
503,Haiti,HTI,2007,132.57142857142856
504,Haiti,HTI,2008,132.57142857142856
505,Hungary,HUN,2004,140.8
506,Hungary,HUN,2005,144.0
507,Hungary,HUN,2006,137.6
508,Hungary,HUN,2007,108.80000000000001
509,Hungary,HUN,2008,108.80000000000001
510,IBRD only,IBD,2004,132.57142857142856
511,IBRD only,IBD,2005,132.57142857142856
512,IBRD only,IBD,2006,132.57142857142856
513,IBRD only,IBD,2007,132.57142857142856
514,IBRD only,IBD,2008,132.57142857142856
515,IDA & IBRD total,IBT,2004,132.57142857142856
516,IDA & IBRD total,IBT,2005,132.57142857142856
517,IDA & IBRD total,IBT,2006,132.57142857142856
518,IDA & IBRD total,IBT,2007,132.57142857142856
519,IDA & IBRD total,IBT,2008,132.57142857142856
520,IDA total,IDA,2004,132.57142857142856
521,IDA total,IDA,2005,132.57142857142856
522,IDA total,IDA,2006,132.57142857142856
523,IDA total,IDA,2007,132.57142857142856
524,IDA total,IDA,2008,132.57142857142856
525,IDA blend,IDB,2004,132.57142857142856
526,IDA blend,IDB,2005,132.57142857142856
527,IDA blend,IDB,2006,132.57142857142856
528,IDA blend,IDB,2007,132.57142857142856
529,IDA blend,IDB,2008,132.57142857142856
530,Indonesia,IDN,2004,132.57142857142856
531,Indonesia,IDN,2005,132.57142857142856
532,Indonesia,IDN,2006,132.57142857142856
533,Indonesia,IDN,2007,132.57142857142856
534,Indonesia,IDN,2008,132.57142857142856
535,IDA only,IDX,2004,132.57142857142856
536,IDA only,IDX,2005,132.57142857142856
537,IDA only,IDX,2006,132.57142857142856
538,IDA only,IDX,2007,132.57142857142856
539,IDA only,IDX,2008,132.57142857142856
540,Isle of Man,IMN,2004,132.57142857142856
541,Isle of Man,IMN,2005,132.57142857142856
542,Isle of Man,IMN,2006,132.57142857142856
543,Isle of Man,IMN,2007,132.57142857142856
544,Isle of Man,IMN,2008,132.57142857142856
545,India,IND,2004,132.57142857142856
546,India,IND,2005,132.57142857142856
547,India,IND,2006,132.57142857142856
548,India,IND,2007,132.57142857142856
549,India,IND,2008,132.57142857142856
550,Not classified,INX,2004,132.57142857142856
551,Not classified,INX,2005,132.57142857142856
552,Not classified,INX,2006,132.57142857142856
553,Not classified,INX,2007,132.57142857142856
554,Not classified,INX,2008,132.57142857142856
555,Ireland,IRL,2004,132.57142857142856
556,Ireland,IRL,2005,132.57142857142856
557,Ireland,IRL,2006,132.57142857142856
558,Ireland,IRL,2007,132.57142857142856
559,Ireland,IRL,2008,132.57142857142856
560,"Iran, Islamic Rep.",IRN,2004,132.57142857142856
561,"Iran, Islamic Rep.",IRN,2005,132.57142857142856
562,"Iran, Islamic Rep.",IRN,2006,132.57142857142856
563,"Iran, Islamic Rep.",IRN,2007,132.57142857142856
564,"Iran, Islamic Rep.",IRN,2008,132.57142857142856
565,Iraq,IRQ,2004,132.57142857142856
566,Iraq,IRQ,2005,132.57142857142856
567,Iraq,IRQ,2006,132.57142857142856
568,Iraq,IRQ,2007,132.57142857142856
569,Iraq,IRQ,2008,132.57142857142856
570,Iceland,ISL,2004,132.57142857142856
571,Iceland,ISL,2005,132.57142857142856
572,Iceland,ISL,2006,132.57142857142856
573,Iceland,ISL,2007,132.57142857142856
574,Iceland,ISL,2008,132.57142857142856
575,Israel,ISR,2004,132.57142857142856
576,Israel,ISR,2005,132.57142857142856
577,Israel,ISR,2006,132.57142857142856
578,Israel,ISR,2007,132.57142857142856
579,Israel,ISR,2008,132.57142857142856
580,Italy,ITA,2004,134.4
581,Italy,ITA,2005,134.4
582,Italy,ITA,2006,140.8
583,Italy,ITA,2007,134.4
584,Italy,ITA,2008,134.4
585,Jamaica,JAM,2004,132.57142857142856
586,Jamaica,JAM,2005,132.57142857142856
587,Jamaica,JAM,2006,132.57142857142856
