Year,prodinit_ippu_electronics_tonne,iso_code3
2050,2115214.90052528,"BTN"
2021,27711.66,"BWA"
2022,28995.0948283807,"BWA"
2023,30337.9705187921,"BWA"
2024,31743.0400088986,"BWA"
2025,33213.1837356224,"BWA"
2026,34751.4155401302,"BWA"
2027,36360.8888463029,"BWA"
2028,38044.9031253546,"BWA"
2029,39806.9106598527,"BWA"
2030,41650.5236210068,"BWA"
2031,43579.5214737335,"BWA"
2032,45597.8587246797,"BWA"
2033,47709.6730290858,"BWA"
2034,49919.2936731102,"BWA"
2035,52231.2504490029,"BWA"
2036,54650.2829413229,"BWA"
2037,57181.3502432368,"BWA"
2038,59829.6411228162,"BWA"
2039,62600.5846601771,"BWA"
2040,65499.8613772654,"BWA"
2041,68533.414883107,"BWA"
2042,71707.4640583944,"BWA"
2043,75028.5158043888,"BWA"
2044,78503.3783822735,"BWA"
2045,82139.1753703053,"BWA"
2046,85943.3602673746,"BWA"
2047,89923.7317729149,"BWA"
2048,94088.4497744827,"BWA"
2049,98446.0520757855,"BWA"
2050,103005.47189945,"BWA"
2021,3673.206,"CAF"
2022,3957.33977553524,"CAF"
2023,4263.45217203537,"CAF"
2024,4593.24330339428,"CAF"
2025,4948.54479254174,"CAF"
2026,5331.32994407153,"CAF"
2027,5743.72470375371,"CAF"
2028,6188.0194657988,"CAF"
2029,6666.68179345018,"CAF"
2030,7182.37012355338,"CAF"
2031,7737.94853121599,"CAF"
2032,8336.50263655933,"CAF"
2033,8981.3567419063,"CAF"
2034,9676.09229458338,"CAF"
2035,10424.5677778771,"CAF"
2036,11230.9401406173,"CAF"
2037,12099.687884404,"CAF"
2038,13035.6359367032,"CAF"
2039,14043.9824479521,"CAF"
2040,15130.3276615032,"CAF"
2041,16300.7050167477,"CAF"
2042,17561.6146581604,"CAF"
2043,18920.0595363725,"CAF"
2044,20383.5843017739,"CAF"
2045,21960.3172066543,"CAF"
2046,23659.0152486041,"CAF"
2047,25489.1128058965,"CAF"
2048,27460.7740349654,"CAF"
2049,29584.9493209893,"CAF"
2050,31873.436095102,"CAF"
2021,4882804,"CAN"
2022,4822891.61406129,"CAN"
2023,4763714.35777121,"CAN"
2024,4705263.21103164,"CAN"
2025,4647529.26442175,"CAN"
2026,4590503.71784001,"CAN"
2027,4534177.87916282,"CAN"
2028,4478543.16291962,"CAN"
2029,4423591.08898423,"CAN"
2030,4369313.28128229,"CAN"
2031,4315701.46651452,"CAN"
2032,4262747.47289567,"CAN"
2033,4210443.22890894,"CAN"
2034,4158780.76207565,"CAN"
2035,4107752.19774009,"CAN"
2036,4057349.75786914,"CAN"
2037,4007565.75986681,"CAN"
2038,3958392.61540311,"CAN"
2039,3909822.82925749,"CAN"
2040,3861848.99817632,"CAN"
2041,3814463.80974448,"CAN"
2042,3767660.04127074,"CAN"
2043,3721430.55868686,"CAN"
2044,3675768.31546019,"CAN"
2045,3630666.35151956,"CAN"
2046,3586117.79219444,"CAN"
2047,3542115.84716703,"CAN"
2048,3498653.80943725,"CAN"
2049,3455725.05430046,"CAN"
2050,3413323.03833764,"CAN"
2021,1208384,"CHE"
2022,1202669.16296435,"CHE"
2023,1196981.35323322,"CHE"
2024,1191320.44298579,"CHE"
2025,1185686.30500573,"CHE"
2026,1180078.81267836,"CHE"
2027,1174497.83998783,"CHE"
2028,1168943.26151422,"CHE"
2029,1163414.95243079,"CHE"
2030,1157912.78850113,"CHE"
2031,1152436.64607639,"CHE"
2032,1146986.4020925,"CHE"
2033,1141561.93406738,"CHE"
2034,1136163.12009823,"CHE"
2035,1130789.83885876,"CHE"
2036,1125441.96959647,"CHE"
2037,1120119.39212994,"CHE"
2038,1114821.98684611,"CHE"
2039,1109549.63469763,"CHE"
2040,1104302.21720017,"CHE"
2041,1099079.61642971,"CHE"
2042,1093881.71501998,"CHE"
2043,1088708.39615974,"CHE"
2044,1083559.5435902,"CHE"
2045,1078435.04160238,"CHE"
2046,1073334.77503456,"CHE"
2047,1068258.62926963,"CHE"
2048,1063206.49023253,"CHE"
2049,1058178.24438773,"CHE"
2050,1053173.77873663,"CHE"
2021,744216.8,"CHL"
2022,784901.345591463,"CHL"
2023,827810.017606818,"CHL"
2024,873064.40369753,"CHL"
2025,920792.738420041,"CHL"
2026,971130.2666061,"CHL"
2027,1024219.62659769,"CHL"
2028,1080211.25443246,"CHL"
2029,1139263.81012506,"CHL"
2030,1201544.62725219,"CHL"
2031,1267230.18711541,"CHL"
2032,1336506.61882533,"CHL"
2033,1409570.22672412,"CHL"
2034,1486628.04664102,"CHL"
2035,1567898.43255694,"CHL"
2036,1653611.67534069,"CHL"
2037,1744010.65530994,"CHL"
2038,1839351.53046615,"CHL"
2039,1939904.46235371,"CHL"
2040,2045954.38159997,"CHL"
2041,2157801.79530557,"CHL"
2042,2275763.63857282,"CHL"
2043,2400174.1725851,"CHL"
2044,2531385.93178214,"CHL"
2045,2669770.72281504,"CHL"
2046,2815720.67811184,"CHL"
2047,2969649.36703886,"CHL"
2048,3131992.96780675,"CHL"
2049,3303211.50344163,"CHL"
2050,3483790.14532396,"CHL"
2021,180892800,"CHN"
2022,198373687.76808,"CHN"
2023,217543871.28016,"CHN"
2024,238566598.544496,"CHN"
2025,261620893.322226,"CHN"
2026,286903079.64446,"CHN"
2027,314628453.653715,"CHN"
2028,345033117.006624,"CHN"
2029,378375987.450686,"CHN"
2030,414941003.696562,"CHN"
2031,455039543.36201,"CHN"
2032,499013074.57801,"CHN"
2033,547236063.83741,"CHN"
2034,600119164.848548,"CHN"
2035,658112715.549247,"CHN"
2036,721710573.060783,"CHN"
2037,791454319.23925,"CHN"
2038,867937872.637636,"CHN"
2039,951812546.152804,"CHN"
2040,1043792593.42692,"CHN"
2041,1144661291.23496,"CHN"
2042,1255277609.65417,"CHN"
2043,1376583526.81698,"CHN"
2044,1509612050.53752,"CHN"
2045,1655496015.12201,"CHN"
2046,1815477728.27395,"CHN"
2047,1990919550.24478,"CHN"
2048,2183315495.31891,"CHN"
2049,2394303954.42828,"CHN"
2050,2625681647.23878,"CHN"
2021,107233.4,"CIV"
2022,120422.038654068,"CIV"
2023,135232.748319105,"CIV"
2024,151865.027550924,"CIV"
2025,170542.911237902,"CIV"
2026,191517.988325168,"CIV"
2027,215072.790688748,"CIV"
2028,241524.598807449,"CIV"
2029,271229.715494417,"CIV"
2030,304588.265255048,"CIV"
2031,342049.583918061,"CIV"
2032,384118.271137433,"CIV"
2033,431360.987291701,"CIV"
2034,484414.086334093,"CIV"
2035,543992.18740709,"CIV"
2036,610897.800680084,"CIV"
2037,686032.137069071,"CIV"
2038,770407.247444031,"CIV"
2039,865159.654837761,"CIV"
2040,971565.663280409,"CIV"
2041,1091058.54946797,"CIV"
2042,1225247.86883456,"CIV"
2043,1375941.13607897,"CIV"
2044,1545168.17217979,"CIV"
2045,1735208.44585056,"CIV"
2046,1948621.77772114,"CIV"
2047,2188282.82082723,"CIV"
2048,2457419.78185612,"CIV"
2049,2759657.90471952,"CIV"
2050,3099068.30217208,"CIV"
2021,86921.85,"CMR"
2022,96789.1939869601,"CMR"
2023,107776.676090596,"CMR"
2024,120011.454075155,"CMR"
2025,133635.120618548,"CMR"
2026,148805.341959696,"CMR"
2027,165697.68256466,"CMR"
2028,184507.636928352,"CMR"
2029,205452.892025812,"CMR"
2030,228775.846596319,"CMR"
2031,254746.416415921,"CMR"
2032,283665.158023713,"CMR"
2033,315866.747052655,"CMR"
2034,351723.851419517,"CMR"
2035,391651.444198258,"CMR"
2036,436111.606089589,"CMR"
2037,485618.873065517,"CMR"
2038,540746.191077012,"CMR"
2039,602131.546738394,"CMR"
2040,670485.350725172,"CMR"
2041,746598.65933311,"CMR"
2042,831352.329346381,"CMR"
2043,925727.212163778,"CMR"
2044,1030815.50515926,"CMR"
2045,1147833.39164579,"CMR"
2046,1278135.11572423,"CMR"
2047,1423228.65490528,"CMR"
2048,1584793.17188287,"CMR"
2049,1764698.44742814,"CMR"
2050,1965026.51929992,"CMR"
2021,62089.17,"COD"
2022,76074.1618458564,"COD"
2023,93209.1393805,"COD"
2024,114203.606760167,"COD"
2025,139926.877168007,"COD"
2026,171444.068269301,"COD"
2027,210060.20529878,"COD"
2028,257374.257946647,"COD"
2029,315345.348536475,"COD"
2030,386373.872962093,"COD"
2031,473400.893339831,"COD"
2032,580029.917905286,"COD"
2033,710676.110667376,"COD"
2034,870749.109110233,"COD"
2035,1066877.01983433,"COD"
2036,1307180.86707395,"COD"
2037,1601610.85811891,"COD"
2038,1962358.38930716,"COD"
2039,2404360.85242769,"COD"
2040,2945920.14393855,"COD"
2041,3609460.48747229,"COD"
2042,4422456.94861424,"COD"
2043,5418573.08875626,"COD"
2044,6639054.86460273,"COD"
2045,8134438.49021188,"COD"
2046,9966642.97863126,"COD"
2047,12211534.0085278,"COD"
2048,14962065.2772605,"COD"
2049,18332127.4136952,"COD"
2050,22461263.8218278,"COD"
2021,12239.75,"COG"
2022,12199.2107362648,"COG"
2023,12158.8057425844,"COG"
2024,12118.5345742432,"COG"
2025,12078.3967879984,"COG"
2026,12038.3919420752,"COG"
2027,11998.5195961623,"COG"
2028,11958.7793114063,"COG"
2029,11919.1706504078,"COG"
2030,11879.6931772158,"COG"
2031,11840.3464573232,"COG"
2032,11801.1300576623,"COG"
2033,11762.0435465994,"COG"
2034,11723.0864939308,"COG"
2035,11684.2584708773,"COG"
2036,11645.5590500802,"COG"
2037,11606.9878055959,"COG"
2038,11568.544312892,"COG"
2039,11530.2281488418,"COG"
2040,11492.0388917203,"COG"
2041,11453.9761211991,"COG"
2042,11416.039418342,"COG"
2043,11378.2283656006,"COG"
2044,11340.5425468091,"COG"
2045,11302.9815471803,"COG"
2046,11265.5449533009,"COG"
2047,11228.2323531266,"COG"
2048,11191.0433359781,"COG"
2049,11153.977492536,"COG"
2050,11117.034414837,"COG"
2021,755604.9,"COL"
2022,764010.490701168,"COL"
2023,772509.587883085,"COL"
2024,781103.231741764,"COL"
2025,789792.474044694,"COL"
2026,798578.378259559,"COL"
2027,807462.019684399,"COL"
2028,816444.485579215,"COL"
2029,825526.875299033,"COL"
2030,834710.30042846,"COL"
2031,843995.884917722,"COL"
2032,853384.76522023,"COL"
2033,862878.090431664,"COL"
2034,872477.022430615,"COL"
2035,882182.73602078,"COL"
2036,891996.419074751,"COL"
2037,901919.272679393,"COL"
2038,911952.511282846,"COL"
2039,922097.362843159,"COL"
2040,932355.068978583,"COL"
2041,942726.885119523,"COL"
2042,953214.080662195,"COL"
2043,963817.939123987,"COL"
2044,974539.758300543,"COL"
2045,985380.850424601,"COL"
2046,996342.542326596,"COL"
2047,1007426.17559705,"COL"
2048,1018633.10675077,"COL"
2049,1029964.70739286,"COL"
2050,1041422.3643866,"COL"
2021,1747.86,"COM"
2022,1968.5002069521,"COM"
2023,2216.99281679909,"COM"
2024,2496.85376327642,"COM"
2025,2812.04281220393,"COM"
2026,3167.01958840045,"COM"
2027,3566.80667512709,"COM"
2028,4017.06067885632,"COM"
2029,4524.1522648655,"COM"
2030,5095.25629608238,"COM"
2031,5738.45335056135,"COM"
2032,6462.84405396598,"COM"
2033,7278.67784475369,"COM"
2034,8197.49799396708,"COM"
2035,9232.30493152405,"COM"
2036,10397.7401899179,"COM"
2037,11710.293567956,"COM"
2038,13188.5364457058,"COM"
2039,14853.3845518332,"COM"
2040,16728.3939012408,"COM"
2041,18840.0940902411,"COM"
2042,21218.3636650742,"COM"
2043,23896.8528748775,"COM"
2044,26913.4597906585,"COM"
2045,30310.8665269004,"COM"
2046,34137.1431528275,"COM"
2047,38446.4278380959,"COM"
2048,43299.6928563276,"COM"
2049,48765.6072847043,"COM"
2050,54921.5086060012,"COM"
2021,2783.715,"CPV"
2022,2792.22630604252,"CPV"
2023,2800.76363570117,"CPV"
2024,2809.32706854405,"CPV"
2025,2817.91668438257,"CPV"
2026,2826.53256327216,"CPV"
2027,2835.174785513,"CPV"
2028,2843.84343165083,"CPV"
2029,2852.53858247762,"CPV"
2030,2861.26031903239,"CPV"
2031,2870.00872260195,"CPV"
2032,2878.78387472161,"CPV"
2033,2887.585857176,"CPV"
2034,2896.41475199982,"CPV"
2035,2905.27064147858,"CPV"
2036,2914.15360814937,"CPV"
2037,2923.06373480167,"CPV"
2038,2932.00110447805,"CPV"
2039,2940.96580047503,"CPV"
2040,2949.95790634379,"CPV"
2041,2958.97750589096,"CPV"
2042,2968.02468317943,"CPV"
2043,2977.09952252912,"CPV"
2044,2986.20210851774,"CPV"
2045,2995.3325259816,"CPV"
2046,3004.49086001643,"CPV"
2047,3013.67719597811,"CPV"
2048,3022.89161948351,"CPV"
2049,3032.13421641129,"CPV"
2050,3041.40507290267,"CPV"
2021,341278.5,"CRI"
2022,338102.926081881,"CRI"
2023,334956.900669482,"CRI"
2024,331840.148815908,"CRI"
2025,328752.398132626,"CRI"
2026,325693.37876566,"CRI"
2027,322662.823372009,"CRI"
2028,319660.467096279,"CRI"
2029,316686.047547538,"CRI"
2030,313739.304776388,"CRI"
2031,310819.981252238,"CRI"
2032,307927.821840804,"CRI"
2033,305062.573781812,"CRI"
2034,302223.986666902,"CRI"
2035,299411.81241775,"CRI"
2036,296625.805264382,"CRI"
2037,293865.7217237,"CRI"
2038,291131.320578199,"CRI"
2039,288422.362854886,"CRI"
2040,285738.611804397,"CRI"
2041,283079.832880305,"CRI"
2042,280445.793718623,"CRI"
2043,277836.264117494,"CRI"
2044,275251.016017074,"CRI"
2045,272689.823479602,"CRI"
2046,270152.462669653,"CRI"
2047,267638.711834574,"CRI"
2048,265148.351285108,"CRI"
2049,262681.163376192,"CRI"
2050,260236.932487933,"CRI"
2021,134650,"CUB"
2022,145938.5235939,"CUB"
2023,158173.43237109,"CUB"
2024,171434.067523331,"CUB"
2025,185806.421894184,"CUB"
2026,201383.6976272,"CUB"
2027,218266.910565124,"CUB"
2028,236565.54531954,"CUB"
2029,256398.265258964,"CUB"
2030,277893.682019535,"CUB"
2031,301191.189528434,"CUB"
2032,326441.867948534,"CUB"
2033,353809.463406194,"CUB"
2034,383471.449855551,"CUB"
2035,415620.179965327,"CUB"
2036,450464.132491429,"CUB"
2037,488229.26422433,"CUB"
2038,529160.475278387,"CUB"
2039,573523.197225208,"CUB"
2040,621605.114369848,"CUB"
2041,673718.029331994,"CUB"
2042,730199.8850301,"CUB"
2043,791416.956180678,"CUB"
2044,857766.224524222,"CUB"
2045,929677.953180681,"CUB"
2046,1007618.47682872,"CUB"
2047,1092093.22580259,"CUB"
2048,1183650.00371726,"CUB"
2049,1282882.5398768,"CUB"
2050,1390434.33950251,"CUB"
2021,3559.154,"CUW"
2022,3601.91219554794,"CUW"
2023,3645.18407026978,"CUW"
2024,3688.97579529342,"CUW"
2025,3733.29361588415,"CUW"
2026,3778.14385233523,"CUW"
2027,3823.53290086935,"CUW"
2028,3869.46723455071,"CUW"
2029,3915.95340420823,"CUW"
2030,3962.99803936977,"CUW"
2031,4010.60784920757,"CUW"
2032,4058.78962349509,"CUW"
2033,4107.55023357527,"CUW"
2034,4156.89663334055,"CUW"
2035,4206.8358602245,"CUW"
2036,4257.37503620552,"CUW"
2037,4308.52136882248,"CUW"
2038,4360.28215220262,"CUW"
2039,4412.66476810181,"CUW"
2040,4465.67668695724,"CUW"
2041,4519.32546895285,"CUW"
2042,4573.61876509745,"CUW"
2043,4628.56431831592,"CUW"
2044,4684.16996455342,"CUW"
2045,4740.44363389285,"CUW"
2046,4797.39335168589,"CUW"
2047,4855.02723969741,"CUW"
2048,4913.3535172638,"CUW"
2049,4972.38050246515,"CUW"
2050,5032.11661331147,"CUW"
2021,4152.444,"CYM"
2022,4146.53743492864,"CYM"
2023,4140.63927153853,"CYM"
2024,4134.74949787888,"CYM"
2025,4128.86810201586,"CYM"
2026,4122.99507203265,"CYM"
2027,4117.13039602934,"CYM"
2028,4111.27406212299,"CYM"
2029,4105.42605844753,"CYM"
2030,4099.58637315378,"CYM"
2031,4093.75499440943,"CYM"
2032,4087.93191039898,"CYM"
2033,4082.11710932374,"CYM"
2034,4076.31057940181,"CYM"
2035,4070.51230886804,"CYM"
2036,4064.72228597402,"CYM"
2037,4058.94049898806,"CYM"
2038,4053.16693619514,"CYM"
2039,4047.40158589693,"CYM"
2040,4041.6444364117,"CYM"
2041,4035.89547607437,"CYM"
2042,4030.15469323644,"CYM"
2043,4024.42207626599,"CYM"
2044,4018.69761354762,"CYM"
2045,4012.98129348248,"CYM"
2046,4007.27310448822,"CYM"
2047,4001.57303499893,"CYM"
2048,3995.88107346518,"CYM"
2049,3990.19720835397,"CYM"
2050,3984.52142814869,"CYM"
2021,30076.81,"CYP"
2022,27628.8467041441,"CYP"
2023,25380.1240956436,"CYP"
2024,23314.4258972508,"CYP"
2025,21416.8556808474,"CYP"
2026,19673.7294444095,"CYP"
2027,18072.4769321746,"CYP"
2028,16601.5509863989,"CYP"
2029,15250.344277011,"CYP"
2030,14009.1128086708,"CYP"
2031,12868.9056536191,"CYP"
2032,11821.5004035978,"CYP"
2033,10859.3438753638,"CYP"
2034,9975.49764220386,"CYP"
2035,9163.5879986608,"CYP"
2036,8417.75999765048,"CYP"
2037,7732.63522851531,"CYP"
2038,7103.27303153871,"CYP"
2039,6525.13486922529,"CYP"
2040,5994.05159741645,"CYP"
2041,5506.1934002226,"CYP"
2042,5058.04217196305,"CYP"
2043,4646.36614695053,"CYP"
2044,4268.19659416743,"CYP"
2045,3920.80640877147,"CYP"
2046,3601.69044604706,"CYP"
2047,3308.54745598402,"CYP"
2048,3039.26348820797,"CYP"
2049,2791.89664758996,"CYP"
2050,2564.66309060292,"CYP"
2021,2846679,"CZE"
2022,2968392.5695015,"CZE"
2023,3095310.1655198,"CZE"
2024,3227654.2931716,"CZE"
2025,3365656.97107759,"CZE"
2026,3509560.13812504,"CZE"
2027,3659616.07762204,"CZE"
2028,3816087.85958709,"CZE"
2029,3979249.80194929,"CZE"
2030,4149387.95146787,"CZE"
2031,4326800.58521395,"CZE"
2032,4511798.73349396,"CZE"
2033,4704706.7251312,"CZE"
2034,4905862.75606178,"CZE"
2035,5115619.48224157,"CZE"
2036,5334344.63790368,"CZE"
2037,5562421.68025037,"CZE"
2038,5800250.46170969,"CZE"
2039,6048247.9309352,"CZE"
2040,6306848.86377807,"CZE"
2041,6576506.62551268,"CZE"
2042,6857693.96565234,"CZE"
2043,7150903.84674833,"CZE"
2044,7456650.3086254,"CZE"
2045,7775469.36956879,"CZE"
2046,8107919.96604272,"CZE"
2047,8454584.93258779,"CZE"
2048,8816072.02361523,"CZE"
2049,9193014.97888926,"CZE"
2050,9586074.63456571,"CZE"
2021,21246610,"DEU"
2022,21485211.6399474,"DEU"
2023,21726492.8011261,"DEU"
2024,21970483.574838,"DEU"
2025,22217214.3903137,"DEU"
2026,22466716.0185072,"DEU"
2027,22719019.5759335,"DEU"
2028,22974156.5285493,"DEU"
2029,23232158.6956772,"DEU"
2030,23493058.2539741,"DEU"
2031,23756887.7414443,"DEU"
2032,24023680.0614971,"DEU"
2033,24293468.4870504,"DEU"
2034,24566286.6646807,"DEU"
2035,24842168.6188189,"DEU"
2036,25121148.7559937,"DEU"
2037,25403261.869123,"DEU"
2038,25688543.1418525,"DEU"
2039,25977028.152944,"DEU"
2040,26268752.8807125,"DEU"
2041,26563753.7075132,"DEU"
2042,26862067.4242789,"DEU"
2043,27163731.2351086,"DEU"
2044,27468782.7619069,"DEU"
2045,27777260.0490766,"DEU"
2046,28089201.5682627,"DEU"
2047,28404646.2231513,"DEU"
2048,28723633.3543205,"DEU"
2049,29046202.7441474,"DEU"
2050,29372394.6217692,"DEU"
2021,8169.073,"DJI"
2022,9089.9600434248,"DJI"
2023,10114.6572678515,"DJI"
2024,11254.8670354282,"DJI"
2025,12523.6108976014,"DJI"
2026,13935.378305298,"DJI"
2027,15506.2920829778,"DJI"
2028,17254.292556321,"DJI"
2029,19199.3424363474,"DJI"
2030,21363.6547998075,"DJI"
2031,23771.9467694523,"DJI"
2032,26451.7217912905,"DJI"
2033,29433.5837325263,"DJI"
2034,32751.5863872758,"DJI"
2035,36443.6223815251,"DJI"
2036,40551.8559187469,"DJI"
2037,45123.2043082646,"DJI"
2038,50209.8737755703,"DJI"
2039,55869.9556737143,"DJI"
2040,62168.0899046903,"DJI"
2041,69176.2031272919,"DJI"
2042,76974.3301820073,"DJI"
2043,85651.5281138795,"DJI"
2044,95306.8932317584,"DJI"
2045,106050.69281908,"DJI"
2046,118005.62442066,"DJI"
2047,131308.217086956,"DJI"
2048,146110.390578439,"DJI"
2049,162581.190336676,"DJI"
2050,180908.71803604,"DJI"
2021,1469.041,"DMA"
2022,1466.7976274889,"DMA"
2023,1464.55768083196,"DMA"
2024,1462.32115479756,"DMA"
2025,1460.08804416207,"DMA"
2026,1457.85834370983,"DMA"
2027,1455.63204823315,"DMA"
2028,1453.4091525323,"DMA"
2029,1451.18965141546,"DMA"
2030,1448.97353969879,"DMA"
2031,1446.76081220631,"DMA"
2032,1444.55146376999,"DMA"
2033,1442.34548922967,"DMA"
2034,1440.14288343307,"DMA"
2035,1437.94364123578,"DMA"
2036,1435.74775750125,"DMA"
2037,1433.55522710077,"DMA"
2038,1431.36604491346,"DMA"
2039,1429.18020582627,"DMA"
2040,1426.99770473395,"DMA"
2041,1424.81853653906,"DMA"
2042,1422.64269615191,"DMA"
2043,1420.47017849061,"DMA"
2044,1418.30097848104,"DMA"
2045,1416.1350910568,"DMA"
2046,1413.97251115925,"DMA"
2047,1411.81323373746,"DMA"
2048,1409.65725374822,"DMA"
2049,1407.50456615602,"DMA"
2050,1405.35516593304,"DMA"
2021,1028675,"DNK"
2022,1023901.330795,"DNK"
2023,1019149.81427931,"DNK"
2024,1014420.34765117,"DNK"
2025,1009712.82858586,"DNK"
2026,1005027.15523352,"DNK"
2027,1000363.22621695,"DNK"
2028,995720.940629364,"DNK"
2029,991100.198032279,"DNK"
2030,986500.89845329,"DNK"
2031,981922.942383928,"DNK"
2032,977366.230777501,"DNK"
2033,972830.665046955,"DNK"
2034,968316.147062738,"DNK"
2035,963822.579150679,"DNK"
2036,959349.864089872,"DNK"
2037,954897.905110577,"DNK"
2038,950466.605892121,"DNK"
2039,946055.870560818,"DNK"
2040,941665.603687893,"DNK"
2041,937295.710287419,"DNK"
2042,932946.095814259,"DNK"
2043,928616.666162024,"DNK"
2044,924307.327661032,"DNK"
2045,920017.987076288,"DNK"
2046,915748.551605462,"DNK"
2047,911498.928876882,"DNK"
2048,907269.026947536,"DNK"
2049,903058.754301083,"DNK"
2050,898868.019845873,"DNK"
2021,335571,"DOM"
2022,358363.800442098,"DOM"
2023,382704.743459071,"DOM"
2024,408698.982668976,"DOM"
2025,436458.813979972,"DOM"
2026,466104.16071208,"DOM"
2027,497763.091669589,"DOM"
2028,531572.374402205,"DOM"
2029,567678.066045051,"DOM"
2030,606236.144289956,"DOM"
2031,647413.18121385,"DOM"
2032,691387.06287523,"DOM"
2033,738347.757787375,"DOM"
2034,788498.137588128,"DOM"
2035,842054.853451573,"DOM"
2036,899249.272027736,"DOM"
2037,960328.474953585,"DOM"
2038,1025556.32625325,"DOM"
2039,1095214.6122387,"DOM"
2040,1169604.25883518,"DOM"
2041,1249046.63159045,"DOM"
2042,1333884.92398376,"DOM"
2043,1424485.64003218,"DOM"
2044,1521240.17759915,"DOM"
2045,1624566.51924524,"DOM"
2046,1734911.03792555,"DOM"
2047,1852750.42533457,"DOM"
2048,1978593.75122883,"DOM"
2049,2112984.66262385,"DOM"
2050,2256503.73236587,"DOM"
2021,247231.9,"DZA"
2022,249890.633335991,"DZA"
2023,252577.95870623,"DZA"
2024,255294.183589625,"DZA"
2025,258039.618771713,"DZA"
2026,260814.578380222,"DZA"
2027,263619.37992101,"DZA"
2028,266454.344314397,"DZA"
2029,269319.79593188,"DZA"
2030,272216.06263325,"DZA"
2031,275143.475804104,"DZA"
2032,278102.370393763,"DZA"
2033,281093.084953591,"DZA"
2034,284115.961675741,"DZA"
2035,287171.346432297,"DZA"
2036,290259.588814858,"DZA"
2037,293381.042174531,"DZA"
2038,296536.063662362,"DZA"
2039,299725.014270204,"DZA"
2040,302948.258872015,"DZA"
2041,306206.166265615,"DZA"
2042,309499.109214872,"DZA"
2043,312827.464492363,"DZA"
2044,316191.612922479,"DZA"
2045,319591.939424997,"DZA"
2046,323028.833059125,"DZA"
2047,326502.687068016,"DZA"
2048,330013.898923762,"DZA"
2049,333562.870372871,"DZA"
2050,337150.007482238,"DZA"
2021,193163.8,"ECU"
2022,198954.851882983,"ECU"
2023,204919.519536164,"ECU"
2024,211063.007961375,"ECU"
2025,217390.678206435,"ECU"
2026,223908.052043408,"ECU"
2027,230620.816787118,"ECU"
2028,237534.83025812,"ECU"
2029,244656.125894468,"ECU"
2030,251990.918016721,"ECU"
2031,259545.607250807,"ECU"
2032,267326.78611346,"ECU"
2033,275341.244765103,"ECU"
2034,283595.976935208,"ECU"
2035,292098.186025301,"ECU"
2036,300855.291394929,"ECU"
2037,309874.93483608,"ECU"
2038,319164.987241716,"ECU"
2039,328733.555474212,"ECU"
2040,338588.989439731,"ECU"
2041,348739.889374668,"ECU"
2042,359195.113350559,"ECU"
2043,369963.78500398,"ECU"
2044,381055.301498182,"ECU"
2045,392479.341723429,"ECU"
2046,404245.874743174,"ECU"
2047,416365.168493449,"ECU"
2048,428847.798743074,"ECU"
2049,441704.658322478,"ECU"
2050,454946.966629214,"ECU"
2021,1216068,"EGY"
2022,1327913.06950428,"EGY"
2023,1450044.83315101,"EGY"
2024,1583409.3860774,"EGY"
2025,1729039.83835438,"EGY"
2026,1888064.31798579,"EGY"
2027,2061714.70996525,"EGY"
2028,2251336.19908762,"EGY"
2029,2458397.6904388,"EGY"
2030,2684503.1882862,"EGY"
2031,2931404.22151652,"EGY"
2032,3201013.41187484,"EGY"
2033,3495419.29011131,"EGY"
2034,3816902.47480913,"EGY"
2035,4167953.33922303,"EGY"
2036,4551291.30298492,"EGY"
2037,4969885.89811988,"EGY"
2038,5426979.77256075,"EGY"
2039,5926113.80935834,"EGY"
2040,6471154.55617345,"EGY"
2041,7066324.17753357,"EGY"
2042,7716233.16187986,"EGY"
2043,8425916.03676982,"EGY"
2044,9200870.368904,"EGY"
2045,10047099.3510908,"EGY"
2046,10971158.3060499,"EGY"
2047,11980205.4672963,"EGY"
2048,13082057.4304803,"EGY"
2049,14285249.7047372,"EGY"
2050,15599102.8331086,"EGY"
2021,2951.267,"ERI"
2022,3119.78243623025,"ERI"
2023,3297.91999483976,"ERI"
2024,3486.22909279087,"ERI"
2025,3685.29051839901,"ERI"
2026,3895.71822261663,"ERI"
2027,4118.16121259835,"ERI"
2028,4353.30555338741,"ERI"
2029,4601.87648389714,"ERI"
2030,4864.64065371358,"ERI"
2031,5142.40848761812,"ERI"
2032,5436.03668512282,"ERI"
2033,5746.4308627276,"ERI"
2034,6074.54834704858,"ERI"
2035,6421.40112743227,"ERI"
2036,6788.05897716212,"ERI"
2037,7175.65275288392,"ERI"
2038,7585.37788242626,"ERI"
2039,8018.49805177331,"ERI"
2040,8476.34910256132,"ERI"
2041,8960.3431521197,"ERI"
2042,9471.97294876372,"ERI"
2043,10012.8164757716,"ERI"
2044,10584.5418182459,"ERI"
2045,11188.9123078692,"ERI"
2046,11827.7919614223,"ERI"
2047,12503.1512298381,"ERI"
2048,13217.073075523,"ERI"
2049,13971.7593966891,"ERI"
2050,14769.5378185117,"ERI"
2021,4657456,"ESP"
2022,4636436.81723779,"ESP"
2023,4615512.49442574,"ESP"
2024,4594682.60345917,"ESP"
2025,4573946.71816547,"ESP"
2026,4553304.41429535,"ESP"
2027,4532755.26951415,"ESP"
2028,4512298.86339324,"ESP"
2029,4491934.77740137,"ESP"
2030,4471662.59489613,"ESP"
