Year,iso_code3,frac_lndu_initial_other
2027,FIN,0.11200945724680454
2028,FIN,0.11200945724680454
2029,FIN,0.11200945724680454
2030,FIN,0.11200945724680454
2031,FIN,0.11200945724680454
2032,FIN,0.11200945724680454
2033,FIN,0.11200945724680454
2034,FIN,0.11200945724680454
2035,FIN,0.11200945724680454
2036,FIN,0.11200945724680454
2037,FIN,0.11200945724680454
2038,FIN,0.11200945724680454
2039,FIN,0.11200945724680454
2040,FIN,0.11200945724680454
2041,FIN,0.11200945724680454
2042,FIN,0.11200945724680454
2043,FIN,0.11200945724680454
2044,FIN,0.11200945724680454
2045,FIN,0.11200945724680454
2046,FIN,0.11200945724680454
2047,FIN,0.11200945724680454
2048,FIN,0.11200945724680454
2049,FIN,0.11200945724680454
2050,FIN,0.11200945724680454
1992,FJI,0.006963786482490454
1993,FJI,0.006860569951957563
1994,FJI,0.0067526058405737895
1995,FJI,0.006716958780377618
1996,FJI,0.0065736153113209305
1997,FJI,0.006498936389467923
1998,FJI,0.017369230821727866
1999,FJI,0.027299269780415393
2000,FJI,0.02995916989063584
2001,FJI,0.00983048045767847
2002,FJI,0.01052427266618245
2003,FJI,0.020041339267180443
2004,FJI,0.016713536279860806
2005,FJI,0.019483661456373907
2006,FJI,0.01818357752396757
2007,FJI,0.02079495202191302
2008,FJI,0.017467728468644892
2009,FJI,0.027108767704620708
2010,FJI,0.11165293628331094
2011,FJI,0.10402455727546674
2012,FJI,0.11548324694716998
2013,FJI,0.10764929014938177
2014,FJI,0.10898676026249975
2019,FJI,0.10985935030257948
2020,FJI,0.1020976679574814
2021,FJI,0.1020976679574814
2022,FJI,0.1020976679574814
2023,FJI,0.1020976679574814
2024,FJI,0.1020976679574814
2025,FJI,0.1020976679574814
2026,FJI,0.1020976679574814
2027,FJI,0.1020976679574814
2028,FJI,0.1020976679574814
2029,FJI,0.1020976679574814
2030,FJI,0.1020976679574814
2031,FJI,0.1020976679574814
2032,FJI,0.1020976679574814
2033,FJI,0.1020976679574814
2034,FJI,0.1020976679574814
2035,FJI,0.1020976679574814
2036,FJI,0.1020976679574814
2037,FJI,0.1020976679574814
2038,FJI,0.1020976679574814
2039,FJI,0.1020976679574814
2040,FJI,0.1020976679574814
2041,FJI,0.1020976679574814
2042,FJI,0.1020976679574814
2043,FJI,0.1020976679574814
2044,FJI,0.1020976679574814
2045,FJI,0.1020976679574814
2046,FJI,0.1020976679574814
2047,FJI,0.1020976679574814
2048,FJI,0.1020976679574814
2049,FJI,0.1020976679574814
2050,FJI,0.1020976679574814
1992,FRA,0.003251487455589438
1993,FRA,0.004186291090060856
1994,FRA,0.003963807618817876
1995,FRA,0.0036901599764089087
1996,FRA,0.003374823840617691
1997,FRA,0.0029135037492569113
1998,FRA,0.0027666030210879164
1999,FRA,0.0027432191376290877
2000,FRA,0.0028950564212483028
2001,FRA,0.003036374801984398
2002,FRA,0.0029203402718678256
2003,FRA,0.0030718603706569136
2004,FRA,0.002830195525600703
2005,FRA,0.0027995477747865265
2006,FRA,0.0026971794908830704
2007,FRA,0.0026100048732708397
2008,FRA,0.002394683301578137
2009,FRA,0.002321555839970487
2010,FRA,0.002408063431555717
2011,FRA,0.0023369220781912373
2012,FRA,0.002243380743182994
2013,FRA,0.0022359090730669755
2014,FRA,0.002143807630081849
2019,FRA,0.0057905174136781605
2020,FRA,0.007228669459458614
2021,FRA,0.007228669459458614
2022,FRA,0.007228669459458614
2023,FRA,0.007228669459458614
2024,FRA,0.007228669459458614
2025,FRA,0.007228669459458614
2026,FRA,0.007228669459458614
2027,FRA,0.007228669459458614
2028,FRA,0.007228669459458614
2029,FRA,0.007228669459458614
2030,FRA,0.007228669459458614
2031,FRA,0.007228669459458614
2032,FRA,0.007228669459458614
2033,FRA,0.007228669459458614
2034,FRA,0.007228669459458614
2035,FRA,0.007228669459458614
2036,FRA,0.007228669459458614
2037,FRA,0.007228669459458614
2038,FRA,0.007228669459458614
2039,FRA,0.007228669459458614
2040,FRA,0.007228669459458614
2041,FRA,0.007228669459458614
2042,FRA,0.007228669459458614
2043,FRA,0.007228669459458614
2044,FRA,0.007228669459458614
2045,FRA,0.007228669459458614
2046,FRA,0.007228669459458614
2047,FRA,0.007228669459458614
2048,FRA,0.007228669459458614
2049,FRA,0.007228669459458614
2050,FRA,0.007228669459458614
1992,FRO,0.08252192182155042
1993,FRO,0.08252491406770213
1994,FRO,0.08252491406770213
1995,FRO,0.08253143442154935
1996,FRO,0.08251838995835027
1997,FRO,0.08251838995835027
1998,FRO,0.08252138201325014
1999,FRO,0.08252437409643448
2000,FRO,0.08252437409643448
2001,FRO,0.08252736620790364
2002,FRO,0.08214209953954306
2003,FRO,0.0821450901204152
2004,FRO,0.08214808072955947
2005,FRO,0.08215107136697633
2006,FRO,0.08215107136697633
2007,FRO,0.08215705272662935
2008,FRO,0.08215406203266612
2009,FRO,0.08325288690448909
2010,FRO,0.08333483396562394
2011,FRO,0.08332584610550937
2012,FRO,0.0833198543403846
2013,FRO,0.08330487542321191
2014,FRO,0.0833658471862982
2019,FRO,0.0836612641244008
2020,FRO,0.08343135846240095
2021,FRO,0.08343135846240095
2022,FRO,0.08343135846240095
2023,FRO,0.08343135846240095
2024,FRO,0.08343135846240095
2025,FRO,0.08343135846240095
2026,FRO,0.08343135846240095
2027,FRO,0.08343135846240095
2028,FRO,0.08343135846240095
2029,FRO,0.08343135846240095
2030,FRO,0.08343135846240095
2031,FRO,0.08343135846240095
2032,FRO,0.08343135846240095
2033,FRO,0.08343135846240095
2034,FRO,0.08343135846240095
2035,FRO,0.08343135846240095
2036,FRO,0.08343135846240095
2037,FRO,0.08343135846240095
2038,FRO,0.08343135846240095
2039,FRO,0.08343135846240095
2040,FRO,0.08343135846240095
2041,FRO,0.08343135846240095
2042,FRO,0.08343135846240095
2043,FRO,0.08343135846240095
2044,FRO,0.08343135846240095
2045,FRO,0.08343135846240095
2046,FRO,0.08343135846240095
2047,FRO,0.08343135846240095
2048,FRO,0.08343135846240095
2049,FRO,0.08343135846240095
2050,FRO,0.08343135846240095
1992,FSM,0.00253482024345738
1993,FSM,0.0025220107868654997
1994,FSM,0.0025076421733948463
1995,FSM,-0.0018349164525824709
1996,FSM,-0.0018371334120029351
1997,FSM,-0.0018421351719046359
1998,FSM,-0.0018471044026885574
1999,FSM,-0.0018499405373337587
2000,FSM,-0.0018532402210482445
2001,FSM,-0.0018564948508400807
2002,FSM,-0.0018596567481433928
2003,FSM,-0.0018627877246284823
2004,FSM,-0.0018652081782834415
2005,FSM,-0.001856572187688324
2006,FSM,-0.0018722731468141817
2007,FSM,-0.0018809555611918945
2008,FSM,-0.0018783187371147912
2009,FSM,-0.0018811717059946309
2010,FSM,-0.00188402467449049
2011,FSM,-0.0018863505067455509
2012,FSM,-0.002043297439136818
2013,FSM,-0.0020508627206458777
2014,FSM,-0.0020528979581620603
2019,FSM,-0.002048066553108001
2020,FSM,-0.0020961049314934324
2021,FSM,-0.0020961049314934324
2022,FSM,-0.0020961049314934324
2023,FSM,-0.0020961049314934324
2024,FSM,-0.0020961049314934324
2025,FSM,-0.0020961049314934324
2026,FSM,-0.0020961049314934324
2027,FSM,-0.0020961049314934324
2028,FSM,-0.0020961049314934324
2029,FSM,-0.0020961049314934324
2030,FSM,-0.0020961049314934324
2031,FSM,-0.0020961049314934324
2032,FSM,-0.0020961049314934324
2033,FSM,-0.0020961049314934324
2034,FSM,-0.0020961049314934324
2035,FSM,-0.0020961049314934324
2036,FSM,-0.0020961049314934324
2037,FSM,-0.0020961049314934324
2038,FSM,-0.0020961049314934324
2039,FSM,-0.0020961049314934324
2040,FSM,-0.0020961049314934324
2041,FSM,-0.0020961049314934324
2042,FSM,-0.0020961049314934324
