"country","country_long","name","gppd_idnr","capacity_mw","latitude","longitude","primary_fuel","other_fuel1","other_fuel2","other_fuel3","commissioning_year","owner","source","url","geolocation_source","wepp_id","year_of_capacity_data","generation_gwh_2013","generation_gwh_2014","generation_gwh_2015","generation_gwh_2016","generation_gwh_2017","generation_gwh_2018","generation_gwh_2019","generation_data_source","estimated_generation_gwh_2013","estimated_generation_gwh_2014","estimated_generation_gwh_2015","estimated_generation_gwh_2016","estimated_generation_gwh_2017","estimated_generation_note_2013","estimated_generation_note_2014","estimated_generation_note_2015","estimated_generation_note_2016","estimated_generation_note_2017"
"ARG","Argentina","EMBALSE","ARG0000112",648,-32.2316,-64.4422,"Nuclear","","","",1984,"NASA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1013181",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2283.62,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","ESCABA","ARG0000339",24,-27.6589,-65.7633,"Hydro","","","",1956,"H. TUCUMAN SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1009867",2015,NA,NA,NA,NA,NA,NA,NA,"",57.43,56.54,76.82,65.13,55.01,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"ARG","Argentina","ESQUINA","ARG0000119",2.215,-30.0102,-59.5321,"Oil","","","",NA,"DPEC","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1013701",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,10.03,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","EX CENTRAL BUENOS AIRES","ARG0000047",321,-34.627,-58.3382,"Gas","Other","","",NA,"ENDESA COSTANERA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1797.92,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","FILO MORADO","ARG0000240",67.5,-37.2742,-69.652,"Gas","","","",NA,"CT FILO MORADO","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1048486",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,378.06,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","FITZ SIMON","ARG0000089",10.8,-32.1784,-64.4207,"Hydro","","","",1943,"EPEC","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1048629",2015,NA,NA,NA,NA,NA,NA,NA,"",27.69,31.34,32.08,37.21,31.47,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"ARG","Argentina","FLORENTINO AMEGHINO","ARG0000079",60,-43.6996,-66.4815,"Hydro","","","",1963,"H. AMEGHINO SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1018421",2015,NA,NA,NA,NA,NA,NA,NA,"",196.56,185.78,236.03,213.26,185.17,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"ARG","Argentina","FUTALEUFU","ARG0000080",472,-43.1288,-71.63,"Hydro","","","",1978,"H. FUTALEUFU SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1018422",2015,NA,NA,NA,NA,NA,NA,NA,"",1117.92,1117.92,1367.97,1447.81,1216.6,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"ARG","Argentina","GENERACION FRIAS SA","ARG0000329",60,-28.6072,-65.1228,"Gas","","","",2015,"GENERACIÓN FRÍAS SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1009869",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,336.06,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","GENERAL ACHA","ARG0000182",1.8,-37.4309,-64.716,"Wind","","","",NA,"COOPERATIVA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1062404",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,11.31,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","GENERAL LEVALLE","ARG0000090",72.78,-34.0364,-63.9217,"Gas","Oil","","",NA,"EPEC","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1015804",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,407.64,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","GENERAL SAN MARTIN","ARG0000208",6,-33.0449,-68.9219,"Hydro","","","",1950,"GEMSA - HIDROCUYO SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1015897",2015,NA,NA,NA,NA,NA,NA,NA,"",17.78,19.07,22.08,25.44,21.74,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"ARG","Argentina","GOYA","ARG0000121",1.33,-29.1388,-59.2277,"Oil","","","",NA,"DPEC","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1009872",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,6.02,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","GOYA (ELECTROPATAGONIA SA)","ARG0000137",17.3,-29.1388,-59.2277,"Gas","","","",NA,"ELECTROPATAGONIA SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1009872",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,96.89,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","GUILLERMO CESPEDES","ARG0000269",5.2,-39.56,-65.6817,"Hydro","","","",1963,"DPA RIO NEGRO","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1048809",2015,NA,NA,NA,NA,NA,NA,NA,"",9.19,9.19,13.29,10.94,9.19,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"ARG","Argentina","H. PICHI PICUN LEUFU","ARG0000272",285,-40.012,-69.9918,"Hydro","","","",1999,"PETROBRAS ENERGIA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1018424",2015,NA,NA,NA,NA,NA,NA,NA,"",805.77,805.77,990.06,953.2,805.77,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"ARG","Argentina","ISLA VERDE","ARG0000091",3.115,-33.2422,-62.3946,"Oil","","","",NA,"EPEC","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1086534",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,14.11,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","ITA IBATE","ARG0000123",1.052,-27.4252,-57.3341,"Oil","","","",NA,"DPEC","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1048638",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4.76,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","ITUZAINGO","ARG0000124",1.33,-27.5785,-56.6726,"Oil","","","",NA,"DPEC","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1048639",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,6.02,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","Iglesia-Guañizuil","WKS0072502",80,-30.34,-69.27,"Solar","","","",NA,"","Wiki-Solar","https://www.wiki-solar.org","Wiki-Solar","",NA,NA,NA,NA,NA,NA,NA,NA,"",189.55,189.42,190.82,188.69,188.51,"SOLAR-V1-NO-AGE","SOLAR-V1-NO-AGE","SOLAR-V1-NO-AGE","SOLAR-V1-NO-AGE","SOLAR-V1-NO-AGE"
"ARG","Argentina","JULIAN  ROMERO","ARG0000270",6.2,-38.8367,-68.038,"Hydro","","","",NA,"DPA RIO NEGRO","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1048810",2015,NA,NA,NA,NA,NA,NA,NA,"",25.93,32.72,28.55,26.85,25.64,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"ARG","Argentina","LA CRUZ","ARG0000125",1.33,-29.1762,-56.6394,"Oil","","","",NA,"DPEC","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1013702",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,6.02,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","LA PLATA COGENERACION","ARG0000164",128,-34.889,-57.9206,"Gas","","","",1997,"LA PLATA COGENERACION","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1012901",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,716.92,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","LA RIOJA","ARG0000188",42,-29.3823,-66.8325,"Oil","Gas","","",NA,"GENERACION RIOJANA SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1086539",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,190.28,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","LA TABLADA","ARG0000222",22.15,-27.4184,-55.9097,"Gas","","","",1969,"EMSA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1014552",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,124.06,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","LA VIÑA","ARG0000094",16,-31.8708,-65.0349,"Hydro","","","",1958,"EPEC","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","",2015,NA,NA,NA,NA,NA,NA,NA,"",43.06,37.06,55.72,50.19,44.18,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"ARG","Argentina","LAS MADERAS","ARG0000169",30,-24.4438,-65.2203,"Hydro","","","",NA,"HIDROELECTRICA LAS MADERAS","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1034444",2015,NA,NA,NA,NA,NA,NA,NA,"",73.63,73.63,100.52,86.34,73.63,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"ARG","Argentina","LOS CORONELES (EX 25  DE MAYO)","ARG0000209",6.6,-34.6,-68.5285,"Hydro","","","",1970,"GEMSA - HIDROCUYO SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","",2015,NA,NA,NA,NA,NA,NA,NA,"",17.19,19.3,22.32,24.96,19.26,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"ARG","Argentina","LOS MOLINOS I","ARG0000096",59.04,-31.838,-64.4452,"Hydro","","","",1957,"EPEC","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1009876",2015,NA,NA,NA,NA,NA,NA,NA,"",122.29,136.89,187.39,164.98,135.62,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"ARG","Argentina","LOS MOLINOS II","ARG0000097",4.5,-31.838,-64.4452,"Hydro","","","",1958,"EPEC","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1050833",2015,NA,NA,NA,NA,NA,NA,NA,"",10.8,10.98,13.78,12.74,11.33,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"ARG","Argentina","LOS QUIROGA","ARG0000331",2.5,-27.6509,-64.3618,"Hydro","","","",1963,"H. RIO HONDO SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1009877",2015,NA,NA,NA,NA,NA,NA,NA,"",8.92,9.11,10.24,9.55,9.11,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"ARG","Argentina","LOS REYUNOS","ARG0000212",224,-34.6028,-68.6383,"Hydro","","","",1983,"HIDISA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1018423",2015,NA,NA,NA,NA,NA,NA,NA,"",496.33,651.04,815.2,703.5,556.92,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"ARG","Argentina","LUJAN DE CUYO","ARG0000198",549.76,-33.0551,-68.981,"Gas","Coal","Other","",1988.1,"CT MENDOZA SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,3079.21,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","MAR DE AJO","ARG0000006",34,-36.7208,-63.1977,"Gas","","","",NA,"CENTRALES DE LA COSTA ATLANTICA SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1011951",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,190.43,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","MAR DEL PLATA (9 DE JULIO)","ARG0000007",201.3,-38.0495,-57.546,"Gas","Coal","","",NA,"CENTRALES DE LA COSTA ATLANTICA SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1011950",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1127.48,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","MAYOR BURATOVICH","ARG0000015",2.02,-39.2291,-62.6497,"Wind","Oil","","",NA,"COOPERATIVAS","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1040106",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,12.69,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","MBURUCUYA","ARG0000128",1.035,-28.0441,-58.2285,"Oil","","","",NA,"DPEC","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1048642",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4.68,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","MERCEDES","ARG0000129",2.308,-29.1808,-58.0793,"Oil","","","",NA,"DPEC","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1048645",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,10.45,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","MODESTO MARANZANA","ARG0000111",250,-33.1608,-64.3656,"Gas","Other","","",2003.2,"GENERACION MEDITERRANEA SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1050708",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1400.25,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","NECOCHEA","ARG0000008",206,-38.5785,-58.7108,"Coal","","","",1968.6,"CENTRALES DE LA COSTA ATLANTICA SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1011952",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1067.69,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"ARG","Argentina","NIHUIL I","ARG0000214",74.24,-34.9907,-68.6237,"Hydro","","","",1957,"HINISA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1018404",2015,NA,NA,NA,NA,NA,NA,NA,"",224.77,223.41,266.72,264.03,223.95,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"ARG","Argentina","NIHUIL II","ARG0000215",133.12,-34.9039,-68.6177,"Hydro","","","",1968,"HINISA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1018405",2015,NA,NA,NA,NA,NA,NA,NA,"",351.98,349.56,427.21,423.49,350.53,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"ARG","Argentina","NIHUIL III","ARG0000216",52,-34.8821,-68.576,"Hydro","","","",1972,"HINISA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1018406",2015,NA,NA,NA,NA,NA,NA,NA,"",157.43,156.48,186.82,184.93,156.86,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"ARG","Argentina","NIHUIL IV","ARG0000213",22.4,-34.833,-68.5168,"Hydro","","","",1965,"HIDRONIHUIL SA - LIHUEN SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1062405",2015,NA,NA,NA,NA,NA,NA,NA,"",73.6,72.92,85.94,86.46,73.35,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"ARG","Argentina","NUEVA ESPERANZA","ARG0000323",3.38,-26.2072,-64.2477,"Oil","","","",NA,"INDUSTRIAS JUAN F. SECCO","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,15.31,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
