Year,iso_code3,cost_enfu_fuel_hydrogen_usd_per_mmbtu
2022,BOL,79.89019222
2023,BOL,79.89019222
2024,BOL,79.89019222
2025,BOL,79.89019222
2026,BOL,79.89019222
2027,BOL,79.89019222
2028,BOL,79.89019222
2029,BOL,79.89019222
2030,BOL,79.89019222
2031,BOL,79.89019222
2032,BOL,79.89019222
2033,BOL,79.89019222
2034,BOL,79.89019222
2035,BOL,79.89019222
2036,BOL,79.89019222
2037,BOL,79.89019222
2038,BOL,79.89019222
2039,BOL,79.89019222
2040,BOL,79.89019222
2041,BOL,79.89019222
2042,BOL,79.89019222
2043,BOL,79.89019222
2044,BOL,79.89019222
2045,BOL,79.89019222
2046,BOL,79.89019222
2047,BOL,79.89019222
2048,BOL,79.89019222
2049,BOL,79.89019222
2050,BOL,79.89019222
2021,BRA,104.4512538
2022,BRA,104.4512538
2023,BRA,104.4512538
2024,BRA,104.4512538
2025,BRA,104.4512538
2026,BRA,104.4512538
2027,BRA,104.4512538
2028,BRA,104.4512538
2029,BRA,104.4512538
2030,BRA,104.4512538
2031,BRA,104.4512538
2032,BRA,104.4512538
2033,BRA,104.4512538
2034,BRA,104.4512538
2035,BRA,104.4512538
2036,BRA,104.4512538
2037,BRA,104.4512538
2038,BRA,104.4512538
2039,BRA,104.4512538
2040,BRA,104.4512538
2041,BRA,104.4512538
2042,BRA,104.4512538
2043,BRA,104.4512538
2044,BRA,104.4512538
2045,BRA,104.4512538
2046,BRA,104.4512538
2047,BRA,104.4512538
2048,BRA,104.4512538
2049,BRA,104.4512538
2050,BRA,104.4512538
2021,BRB,120.89914942397824
2022,BRB,120.89914942397824
2023,BRB,120.89914942397824
2024,BRB,120.89914942397824
2025,BRB,120.89914942397824
2026,BRB,120.89914942397824
2027,BRB,120.89914942397824
2028,BRB,120.89914942397824
2029,BRB,120.89914942397824
2030,BRB,120.89914942397824
2031,BRB,120.89914942397824
2032,BRB,120.89914942397824
2033,BRB,120.89914942397824
2034,BRB,120.89914942397824
2035,BRB,120.89914942397824
2036,BRB,120.89914942397824
2037,BRB,120.89914942397824
2038,BRB,120.89914942397824
2039,BRB,120.89914942397824
2040,BRB,120.89914942397824
2041,BRB,120.89914942397824
2042,BRB,120.89914942397824
2043,BRB,120.89914942397824
2044,BRB,120.89914942397824
2045,BRB,120.89914942397824
2046,BRB,120.89914942397824
