"iso_code3","frac_waso_initial_composition_mun_other","Year"
"BFA",0.122,2050
"BGD",0.01718,2021
"BGD",0.01718,2022
"BGD",0.01718,2023
"BGD",0.01718,2024
"BGD",0.01718,2025
"BGD",0.01718,2026
"BGD",0.01718,2027
"BGD",0.01718,2028
"BGD",0.01718,2029
"BGD",0.01718,2030
"BGD",0.01718,2031
"BGD",0.01718,2032
"BGD",0.01718,2033
"BGD",0.01718,2034
"BGD",0.01718,2035
"BGD",0.01718,2036
"BGD",0.01718,2037
"BGD",0.01718,2038
"BGD",0.01718,2039
"BGD",0.01718,2040
"BGD",0.01718,2041
"BGD",0.01718,2042
"BGD",0.01718,2043
"BGD",0.01718,2044
"BGD",0.01718,2045
"BGD",0.01718,2046
"BGD",0.01718,2047
"BGD",0.01718,2048
"BGD",0.01718,2049
"BGD",0.01718,2050
"BGR",0.03586,2021
"BGR",0.03586,2022
"BGR",0.03586,2023
"BGR",0.03586,2024
"BGR",0.03586,2025
"BGR",0.03586,2026
"BGR",0.03586,2027
"BGR",0.03586,2028
"BGR",0.03586,2029
"BGR",0.03586,2030
"BGR",0.03586,2031
"BGR",0.03586,2032
"BGR",0.03586,2033
"BGR",0.03586,2034
"BGR",0.03586,2035
"BGR",0.03586,2036
"BGR",0.03586,2037
"BGR",0.03586,2038
"BGR",0.03586,2039
"BGR",0.03586,2040
"BGR",0.03586,2041
"BGR",0.03586,2042
"BGR",0.03586,2043
"BGR",0.03586,2044
"BGR",0.03586,2045
"BGR",0.03586,2046
"BGR",0.03586,2047
"BGR",0.03586,2048
"BGR",0.03586,2049
"BGR",0.03586,2050
"BHR",0.0304,2021
"BHR",0.0304,2022
"BHR",0.0304,2023
"BHR",0.0304,2024
"BHR",0.0304,2025
"BHR",0.0304,2026
"BHR",0.0304,2027
"BHR",0.0304,2028
"BHR",0.0304,2029
"BHR",0.0304,2030
"BHR",0.0304,2031
"BHR",0.0304,2032
"BHR",0.0304,2033
"BHR",0.0304,2034
"BHR",0.0304,2035
"BHR",0.0304,2036
"BHR",0.0304,2037
"BHR",0.0304,2038
"BHR",0.0304,2039
"BHR",0.0304,2040
"BHR",0.0304,2041
"BHR",0.0304,2042
"BHR",0.0304,2043
"BHR",0.0304,2044
"BHR",0.0304,2045
"BHR",0.0304,2046
"BHR",0.0304,2047
"BHR",0.0304,2048
"BHR",0.0304,2049
"BHR",0.0304,2050
"BHS",0.024,2021
"BHS",0.024,2022
"BHS",0.024,2023
"BHS",0.024,2024
"BHS",0.024,2025
"BHS",0.024,2026
"BHS",0.024,2027
"BHS",0.024,2028
"BHS",0.024,2029
"BHS",0.024,2030
"BHS",0.024,2031
"BHS",0.024,2032
"BHS",0.024,2033
"BHS",0.024,2034
"BHS",0.024,2035
"BHS",0.024,2036
"BHS",0.024,2037
"BHS",0.024,2038
"BHS",0.024,2039
"BHS",0.024,2040
"BHS",0.024,2041
"BHS",0.024,2042
"BHS",0.024,2043
"BHS",0.024,2044
"BHS",0.024,2045
"BHS",0.024,2046
"BHS",0.024,2047
"BHS",0.024,2048
"BHS",0.024,2049
"BHS",0.024,2050
"BIH",0.1854,2021
"BIH",0.1854,2022
"BIH",0.1854,2023
"BIH",0.1854,2024
"BIH",0.1854,2025
"BIH",0.1854,2026
"BIH",0.1854,2027
"BIH",0.1854,2028
"BIH",0.1854,2029
"BIH",0.1854,2030
"BIH",0.1854,2031
"BIH",0.1854,2032
"BIH",0.1854,2033
"BIH",0.1854,2034
"BIH",0.1854,2035
"BIH",0.1854,2036
"BIH",0.1854,2037
"BIH",0.1854,2038
"BIH",0.1854,2039
"BIH",0.1854,2040
"BIH",0.1854,2041
"BIH",0.1854,2042
"BIH",0.1854,2043
"BIH",0.1854,2044
"BIH",0.1854,2045
"BIH",0.1854,2046
"BIH",0.1854,2047
"BIH",0.1854,2048
"BIH",0.1854,2049
"BIH",0.1854,2050
"BLR",0.07,2021
"BLR",0.07,2022
"BLR",0.07,2023
"BLR",0.07,2024
"BLR",0.07,2025
"BLR",0.07,2026
"BLR",0.07,2027
"BLR",0.07,2028
"BLR",0.07,2029
"BLR",0.07,2030
"BLR",0.07,2031
"BLR",0.07,2032
"BLR",0.07,2033
"BLR",0.07,2034
"BLR",0.07,2035
"BLR",0.07,2036
"BLR",0.07,2037
"BLR",0.07,2038
"BLR",0.07,2039
"BLR",0.07,2040
"BLR",0.07,2041
"BLR",0.07,2042
"BLR",0.07,2043
"BLR",0.07,2044
"BLR",0.07,2045
"BLR",0.07,2046
"BLR",0.07,2047
"BLR",0.07,2048
"BLR",0.07,2049
"BLR",0.07,2050
"BLZ",0.01,2021
"BLZ",0.01,2022
"BLZ",0.01,2023
"BLZ",0.01,2024
"BLZ",0.01,2025
"BLZ",0.01,2026
"BLZ",0.01,2027
"BLZ",0.01,2028
"BLZ",0.01,2029
"BLZ",0.01,2030
"BLZ",0.01,2031
"BLZ",0.01,2032
"BLZ",0.01,2033
"BLZ",0.01,2034
"BLZ",0.01,2035
"BLZ",0.01,2036
"BLZ",0.01,2037
"BLZ",0.01,2038
"BLZ",0.01,2039
"BLZ",0.01,2040
"BLZ",0.01,2041
"BLZ",0.01,2042
"BLZ",0.01,2043
"BLZ",0.01,2044
"BLZ",0.01,2045
"BLZ",0.01,2046
"BLZ",0.01,2047
"BLZ",0.01,2048
"BLZ",0.01,2049
"BLZ",0.01,2050
"BMU",0.052,2021
"BMU",0.052,2022
"BMU",0.052,2023
"BMU",0.052,2024
"BMU",0.052,2025
"BMU",0.052,2026
"BMU",0.052,2027
"BMU",0.052,2028
"BMU",0.052,2029
"BMU",0.052,2030
"BMU",0.052,2031
"BMU",0.052,2032
"BMU",0.052,2033
"BMU",0.052,2034
"BMU",0.052,2035
"BMU",0.052,2036
"BMU",0.052,2037
"BMU",0.052,2038
"BMU",0.052,2039
"BMU",0.052,2040
"BMU",0.052,2041
"BMU",0.052,2042
"BMU",0.052,2043
"BMU",0.052,2044
"BMU",0.052,2045
"BMU",0.052,2046
"BMU",0.052,2047
"BMU",0.052,2048
"BMU",0.052,2049
"BMU",0.052,2050
"BOL",0.0454054054054054,2021
"BOL",0.0454054054054054,2022
"BOL",0.0454054054054054,2023
"BOL",0.0454054054054054,2024
"BOL",0.0454054054054054,2025
"BOL",0.0454054054054054,2026
"BOL",0.0454054054054054,2027
"BOL",0.0454054054054054,2028
"BOL",0.0454054054054054,2029
"BOL",0.0454054054054054,2030
"BOL",0.0454054054054054,2031
"BOL",0.0454054054054054,2032
"BOL",0.0454054054054054,2033
"BOL",0.0454054054054054,2034
"BOL",0.0454054054054054,2035
"BOL",0.0454054054054054,2036
"BOL",0.0454054054054054,2037
"BOL",0.0454054054054054,2038
"BOL",0.0454054054054054,2039
"BOL",0.0454054054054054,2040
"BOL",0.0454054054054054,2041
"BOL",0.0454054054054054,2042
"BOL",0.0454054054054054,2043
"BOL",0.0454054054054054,2044
"BOL",0.0454054054054054,2045
"BOL",0.0454054054054054,2046
"BOL",0.0454054054054054,2047
"BOL",0.0454054054054054,2048
"BOL",0.0454054054054054,2049
"BOL",0.0454054054054054,2050
"BRA",0.0334,2021
"BRA",0.0334,2022
"BRA",0.0334,2023
"BRA",0.0334,2024
"BRA",0.0334,2025
"BRA",0.0334,2026
"BRA",0.0334,2027
"BRA",0.0334,2028
"BRA",0.0334,2029
"BRA",0.0334,2030
"BRA",0.0334,2031
"BRA",0.0334,2032
"BRA",0.0334,2033
"BRA",0.0334,2034
"BRA",0.0334,2035
"BRA",0.0334,2036
"BRA",0.0334,2037
"BRA",0.0334,2038
"BRA",0.0334,2039
"BRA",0.0334,2040
"BRA",0.0334,2041
"BRA",0.0334,2042
"BRA",0.0334,2043
"BRA",0.0334,2044
"BRA",0.0334,2045
"BRA",0.0334,2046
"BRA",0.0334,2047
"BRA",0.0334,2048
"BRA",0.0334,2049
"BRA",0.0334,2050
"BRB",0.0114,2021
"BRB",0.0114,2022
"BRB",0.0114,2023
"BRB",0.0114,2024
"BRB",0.0114,2025
"BRB",0.0114,2026
"BRB",0.0114,2027
"BRB",0.0114,2028
"BRB",0.0114,2029
"BRB",0.0114,2030
"BRB",0.0114,2031
"BRB",0.0114,2032
"BRB",0.0114,2033
"BRB",0.0114,2034
"BRB",0.0114,2035
"BRB",0.0114,2036
"BRB",0.0114,2037
"BRB",0.0114,2038
"BRB",0.0114,2039
"BRB",0.0114,2040
"BRB",0.0114,2041
"BRB",0.0114,2042
"BRB",0.0114,2043
"BRB",0.0114,2044
"BRB",0.0114,2045
"BRB",0.0114,2046
"BRB",0.0114,2047
"BRB",0.0114,2048
"BRB",0.0114,2049
"BRB",0.0114,2050
"BRN",0.03,2021
"BRN",0.03,2022
"BRN",0.03,2023
"BRN",0.03,2024
"BRN",0.03,2025
"BRN",0.03,2026
"BRN",0.03,2027
"BRN",0.03,2028
"BRN",0.03,2029
"BRN",0.03,2030
"BRN",0.03,2031
"BRN",0.03,2032
"BRN",0.03,2033
"BRN",0.03,2034
