Year,iso_code3,cost_enfu_fuel_kerosene_usd_per_m3
2017,SVK,274.0889068
2018,SVK,274.0889068
2019,SVK,274.0889068
2020,SVK,274.0889068
2015,SVN,274.0889068
2016,SVN,274.0889068
2017,SVN,274.0889068
2018,SVN,274.0889068
2019,SVN,274.0889068
2020,SVN,274.0889068
2015,SWE,274.0889068
2016,SWE,274.0889068
2017,SWE,274.0889068
2018,SWE,274.0889068
2019,SWE,274.0889068
2020,SWE,274.0889068
2015,SWZ,274.0889068
2016,SWZ,274.0889068
2017,SWZ,274.0889068
2018,SWZ,274.0889068
2019,SWZ,274.0889068
2020,SWZ,274.0889068
2015,SXM,274.0889068
2016,SXM,274.0889068
2017,SXM,274.0889068
2018,SXM,274.0889068
2019,SXM,274.0889068
2020,SXM,274.0889068
2015,SYC,274.0889068
2016,SYC,274.0889068
2017,SYC,274.0889068
2018,SYC,274.0889068
2019,SYC,274.0889068
2020,SYC,274.0889068
2015,SYR,274.0889068
2016,SYR,274.0889068
2017,SYR,274.0889068
2018,SYR,274.0889068
2019,SYR,274.0889068
2020,SYR,274.0889068
2015,TCA,274.0889068
2016,TCA,274.0889068
2017,TCA,274.0889068
2018,TCA,274.0889068
2019,TCA,274.0889068
2020,TCA,274.0889068
2015,TCD,274.0889068
2016,TCD,274.0889068
2017,TCD,274.0889068
2018,TCD,274.0889068
2019,TCD,274.0889068
2020,TCD,274.0889068
2015,TGO,274.0889068
2016,TGO,274.0889068
2017,TGO,274.0889068
2018,TGO,274.0889068
2019,TGO,274.0889068
2020,TGO,274.0889068
2015,THA,0.33125
2016,THA,0.33125
2017,THA,0.33125
2018,THA,0.33125
2019,THA,0.33125
2020,THA,0.33125
2015,TJK,0.614285714
2016,TJK,0.614285714
2017,TJK,0.614285714
2018,TJK,0.614285714
2019,TJK,0.614285714
2020,TJK,0.614285714
2015,TKM,274.0889068
2016,TKM,274.0889068
2017,TKM,274.0889068
2018,TKM,274.0889068
2019,TKM,274.0889068
2020,TKM,274.0889068
2015,TLS,274.0889068
2016,TLS,274.0889068
2017,TLS,274.0889068
2018,TLS,274.0889068
2019,TLS,274.0889068
2020,TLS,274.0889068
2015,TON,274.0889068
2016,TON,274.0889068
2017,TON,274.0889068
2018,TON,274.0889068
2019,TON,274.0889068
2020,TON,274.0889068
2015,TTO,274.0889068
2016,TTO,274.0889068
2017,TTO,274.0889068
2018,TTO,274.0889068
2019,TTO,274.0889068
2020,TTO,274.0889068
2015,TUN,274.0889068
2016,TUN,274.0889068
2017,TUN,274.0889068
2018,TUN,274.0889068
2019,TUN,274.0889068
2020,TUN,274.0889068
2015,TUR,274.0889068
2016,TUR,274.0889068
2017,TUR,274.0889068
2018,TUR,274.0889068
2019,TUR,274.0889068
2020,TUR,274.0889068
2015,TUV,274.0889068
2016,TUV,274.0889068
2017,TUV,274.0889068
2018,TUV,274.0889068
2019,TUV,274.0889068
2020,TUV,274.0889068
2015,TZA,274.0889068
2016,TZA,274.0889068
2017,TZA,274.0889068
2018,TZA,274.0889068
2019,TZA,274.0889068
2020,TZA,274.0889068
2015,UGA,274.0889068
2016,UGA,274.0889068
2017,UGA,274.0889068
2018,UGA,274.0889068
2019,UGA,274.0889068
2020,UGA,274.0889068
2015,UKR,33.67
2016,UKR,33.67
2017,UKR,33.67
2018,UKR,33.67
2019,UKR,33.67
2020,UKR,33.67
2015,URY,665.37375
2016,URY,665.37375
2017,URY,665.37375
2018,URY,665.37375
2019,URY,665.37375
2020,URY,665.37375
2015,USA,274.0889068
2016,USA,274.0889068
2017,USA,274.0889068
2018,USA,274.0889068
2019,USA,274.0889068
2020,USA,274.0889068
2015,UZB,6.438
2016,UZB,6.438
2017,UZB,6.438
2018,UZB,6.438
2019,UZB,6.438
2020,UZB,6.438
2015,VCT,274.0889068
2016,VCT,274.0889068
2017,VCT,274.0889068
2018,VCT,274.0889068
2019,VCT,274.0889068
2020,VCT,274.0889068
2015,VEN,274.0889068
2016,VEN,274.0889068
2017,VEN,274.0889068
2018,VEN,274.0889068
2019,VEN,274.0889068
2020,VEN,274.0889068
2015,VGB,274.0889068
2016,VGB,274.0889068
2017,VGB,274.0889068
2018,VGB,274.0889068
2019,VGB,274.0889068
2020,VGB,274.0889068
2015,VIR,274.0889068
2016,VIR,274.0889068
2017,VIR,274.0889068
2018,VIR,274.0889068
2019,VIR,274.0889068
2020,VIR,274.0889068
2015,VNM,274.0889068
2016,VNM,274.0889068
2017,VNM,274.0889068
2018,VNM,274.0889068
2019,VNM,274.0889068
2020,VNM,274.0889068
2015,VUT,274.0889068
2016,VUT,274.0889068
2017,VUT,274.0889068
2018,VUT,274.0889068
2019,VUT,274.0889068
2020,VUT,274.0889068
2015,WSM,274.0889068
2016,WSM,274.0889068
2017,WSM,274.0889068
2018,WSM,274.0889068
2019,WSM,274.0889068
2020,WSM,274.0889068
2015,XKX,274.0889068
2016,XKX,274.0889068
2017,XKX,274.0889068
2018,XKX,274.0889068
2019,XKX,274.0889068
2020,XKX,274.0889068
2015,YEM,274.0889068
2016,YEM,274.0889068
2017,YEM,274.0889068
2018,YEM,274.0889068
2019,YEM,274.0889068
2020,YEM,274.0889068
2015,ZAF,274.0889068
2016,ZAF,274.0889068
2017,ZAF,274.0889068
2018,ZAF,274.0889068
2019,ZAF,274.0889068
2020,ZAF,274.0889068
2015,ZMB,274.0889068
2016,ZMB,274.0889068
2017,ZMB,274.0889068
2018,ZMB,274.0889068
2019,ZMB,274.0889068
2020,ZMB,274.0889068
2015,ZWE,274.0889068
2016,ZWE,274.0889068
2017,ZWE,274.0889068
2018,ZWE,274.0889068
2019,ZWE,274.0889068
2020,ZWE,274.0889068
