,Nation,iso_code3,Year,cost_enfu_fuel_biomass_usd_per_m3
1897,"Egypt, Arab Rep.",EGY,2044,40.921
1898,"Egypt, Arab Rep.",EGY,2045,40.921
1899,"Egypt, Arab Rep.",EGY,2046,40.921
1900,"Egypt, Arab Rep.",EGY,2047,40.921
1901,"Egypt, Arab Rep.",EGY,2048,40.921
1902,"Egypt, Arab Rep.",EGY,2049,40.921
1903,"Egypt, Arab Rep.",EGY,2050,40.921
1904,Euro area,EMU,2023,40.921
1905,Euro area,EMU,2024,40.921
1906,Euro area,EMU,2025,40.921
1907,Euro area,EMU,2026,40.921
1908,Euro area,EMU,2027,40.921
1909,Euro area,EMU,2028,40.921
1910,Euro area,EMU,2029,40.921
1911,Euro area,EMU,2030,40.921
1912,Euro area,EMU,2031,40.921
1913,Euro area,EMU,2032,40.921
1914,Euro area,EMU,2033,40.921
1915,Euro area,EMU,2034,40.921
1916,Euro area,EMU,2035,40.921
1917,Euro area,EMU,2036,40.921
1918,Euro area,EMU,2037,40.921
1919,Euro area,EMU,2038,40.921
1920,Euro area,EMU,2039,40.921
1921,Euro area,EMU,2040,40.921
1922,Euro area,EMU,2041,40.921
1923,Euro area,EMU,2042,40.921
1924,Euro area,EMU,2043,40.921
1925,Euro area,EMU,2044,40.921
1926,Euro area,EMU,2045,40.921
1927,Euro area,EMU,2046,40.921
1928,Euro area,EMU,2047,40.921
1929,Euro area,EMU,2048,40.921
1930,Euro area,EMU,2049,40.921
1931,Euro area,EMU,2050,40.921
1932,Eritrea,ERI,2023,40.921
1933,Eritrea,ERI,2024,40.921
1934,Eritrea,ERI,2025,40.921
1935,Eritrea,ERI,2026,40.921
1936,Eritrea,ERI,2027,40.921
1937,Eritrea,ERI,2028,40.921
1938,Eritrea,ERI,2029,40.921
1939,Eritrea,ERI,2030,40.921
1940,Eritrea,ERI,2031,40.921
1941,Eritrea,ERI,2032,40.921
1942,Eritrea,ERI,2033,40.921
1943,Eritrea,ERI,2034,40.921
1944,Eritrea,ERI,2035,40.921
1945,Eritrea,ERI,2036,40.921
1946,Eritrea,ERI,2037,40.921
1947,Eritrea,ERI,2038,40.921
1948,Eritrea,ERI,2039,40.921
1949,Eritrea,ERI,2040,40.921
1950,Eritrea,ERI,2041,40.921
1951,Eritrea,ERI,2042,40.921
1952,Eritrea,ERI,2043,40.921
1953,Eritrea,ERI,2044,40.921
1954,Eritrea,ERI,2045,40.921
1955,Eritrea,ERI,2046,40.921
1956,Eritrea,ERI,2047,40.921
1957,Eritrea,ERI,2048,40.921
1958,Eritrea,ERI,2049,40.921
1959,Eritrea,ERI,2050,40.921
1960,Spain,ESP,2023,40.921
1961,Spain,ESP,2024,40.921
1962,Spain,ESP,2025,40.921
1963,Spain,ESP,2026,40.921
1964,Spain,ESP,2027,40.921
1965,Spain,ESP,2028,40.921
1966,Spain,ESP,2029,40.921
1967,Spain,ESP,2030,40.921
1968,Spain,ESP,2031,40.921
1969,Spain,ESP,2032,40.921
1970,Spain,ESP,2033,40.921
1971,Spain,ESP,2034,40.921
1972,Spain,ESP,2035,40.921
1973,Spain,ESP,2036,40.921
1974,Spain,ESP,2037,40.921
1975,Spain,ESP,2038,40.921
1976,Spain,ESP,2039,40.921
1977,Spain,ESP,2040,40.921
1978,Spain,ESP,2041,40.921
1979,Spain,ESP,2042,40.921
1980,Spain,ESP,2043,40.921
1981,Spain,ESP,2044,40.921
1982,Spain,ESP,2045,40.921
1983,Spain,ESP,2046,40.921
1984,Spain,ESP,2047,40.921
1985,Spain,ESP,2048,40.921
1986,Spain,ESP,2049,40.921
1987,Spain,ESP,2050,40.921
1988,Estonia,EST,2023,40.921
1989,Estonia,EST,2024,40.921
1990,Estonia,EST,2025,40.921
1991,Estonia,EST,2026,40.921
1992,Estonia,EST,2027,40.921
1993,Estonia,EST,2028,40.921
1994,Estonia,EST,2029,40.921
1995,Estonia,EST,2030,40.921
1996,Estonia,EST,2031,40.921
1997,Estonia,EST,2032,40.921
1998,Estonia,EST,2033,40.921
1999,Estonia,EST,2034,40.921
2000,Estonia,EST,2035,40.921
2001,Estonia,EST,2036,40.921
2002,Estonia,EST,2037,40.921
2003,Estonia,EST,2038,40.921
2004,Estonia,EST,2039,40.921
2005,Estonia,EST,2040,40.921
2006,Estonia,EST,2041,40.921
2007,Estonia,EST,2042,40.921
2008,Estonia,EST,2043,40.921
2009,Estonia,EST,2044,40.921
2010,Estonia,EST,2045,40.921
2011,Estonia,EST,2046,40.921
2012,Estonia,EST,2047,40.921
2013,Estonia,EST,2048,40.921
2014,Estonia,EST,2049,40.921
2015,Estonia,EST,2050,40.921
2016,Ethiopia,ETH,2023,40.921
2017,Ethiopia,ETH,2024,40.921
2018,Ethiopia,ETH,2025,40.921
2019,Ethiopia,ETH,2026,40.921
2020,Ethiopia,ETH,2027,40.921
2021,Ethiopia,ETH,2028,40.921
2022,Ethiopia,ETH,2029,40.921
2023,Ethiopia,ETH,2030,40.921
2024,Ethiopia,ETH,2031,40.921
2025,Ethiopia,ETH,2032,40.921
2026,Ethiopia,ETH,2033,40.921
2027,Ethiopia,ETH,2034,40.921
2028,Ethiopia,ETH,2035,40.921
2029,Ethiopia,ETH,2036,40.921
2030,Ethiopia,ETH,2037,40.921
2031,Ethiopia,ETH,2038,40.921
2032,Ethiopia,ETH,2039,40.921
2033,Ethiopia,ETH,2040,40.921
2034,Ethiopia,ETH,2041,40.921
2035,Ethiopia,ETH,2042,40.921
2036,Ethiopia,ETH,2043,40.921
2037,Ethiopia,ETH,2044,40.921
2038,Ethiopia,ETH,2045,40.921
2039,Ethiopia,ETH,2046,40.921
2040,Ethiopia,ETH,2047,40.921
2041,Ethiopia,ETH,2048,40.921
2042,Ethiopia,ETH,2049,40.921
2043,Ethiopia,ETH,2050,40.921
2044,European Union,EUU,2023,40.921
2045,European Union,EUU,2024,40.921
2046,European Union,EUU,2025,40.921
2047,European Union,EUU,2026,40.921
2048,European Union,EUU,2027,40.921
2049,European Union,EUU,2028,40.921
2050,European Union,EUU,2029,40.921
2051,European Union,EUU,2030,40.921
2052,European Union,EUU,2031,40.921
2053,European Union,EUU,2032,40.921
2054,European Union,EUU,2033,40.921
2055,European Union,EUU,2034,40.921
2056,European Union,EUU,2035,40.921
2057,European Union,EUU,2036,40.921
2058,European Union,EUU,2037,40.921
2059,European Union,EUU,2038,40.921
2060,European Union,EUU,2039,40.921
2061,European Union,EUU,2040,40.921
2062,European Union,EUU,2041,40.921
2063,European Union,EUU,2042,40.921
2064,European Union,EUU,2043,40.921
2065,European Union,EUU,2044,40.921
2066,European Union,EUU,2045,40.921
2067,European Union,EUU,2046,40.921
2068,European Union,EUU,2047,40.921
2069,European Union,EUU,2048,40.921
2070,European Union,EUU,2049,40.921
2071,European Union,EUU,2050,40.921
2072,Fragile and conflict affected situations,FCS,2023,40.921
2073,Fragile and conflict affected situations,FCS,2024,40.921
2074,Fragile and conflict affected situations,FCS,2025,40.921
2075,Fragile and conflict affected situations,FCS,2026,40.921
2076,Fragile and conflict affected situations,FCS,2027,40.921
2077,Fragile and conflict affected situations,FCS,2028,40.921
2078,Fragile and conflict affected situations,FCS,2029,40.921
2079,Fragile and conflict affected situations,FCS,2030,40.921
2080,Fragile and conflict affected situations,FCS,2031,40.921
2081,Fragile and conflict affected situations,FCS,2032,40.921
2082,Fragile and conflict affected situations,FCS,2033,40.921
2083,Fragile and conflict affected situations,FCS,2034,40.921
2084,Fragile and conflict affected situations,FCS,2035,40.921
2085,Fragile and conflict affected situations,FCS,2036,40.921
2086,Fragile and conflict affected situations,FCS,2037,40.921
2087,Fragile and conflict affected situations,FCS,2038,40.921
2088,Fragile and conflict affected situations,FCS,2039,40.921
2089,Fragile and conflict affected situations,FCS,2040,40.921
2090,Fragile and conflict affected situations,FCS,2041,40.921
2091,Fragile and conflict affected situations,FCS,2042,40.921
2092,Fragile and conflict affected situations,FCS,2043,40.921
2093,Fragile and conflict affected situations,FCS,2044,40.921
2094,Fragile and conflict affected situations,FCS,2045,40.921
2095,Fragile and conflict affected situations,FCS,2046,40.921
2096,Fragile and conflict affected situations,FCS,2047,40.921
2097,Fragile and conflict affected situations,FCS,2048,40.921
2098,Fragile and conflict affected situations,FCS,2049,40.921
2099,Fragile and conflict affected situations,FCS,2050,40.921
2100,Finland,FIN,2023,40.921
2101,Finland,FIN,2024,40.921
2102,Finland,FIN,2025,40.921
2103,Finland,FIN,2026,40.921
2104,Finland,FIN,2027,40.921
2105,Finland,FIN,2028,40.921
2106,Finland,FIN,2029,40.921
2107,Finland,FIN,2030,40.921
2108,Finland,FIN,2031,40.921
2109,Finland,FIN,2032,40.921
2110,Finland,FIN,2033,40.921
2111,Finland,FIN,2034,40.921
2112,Finland,FIN,2035,40.921
2113,Finland,FIN,2036,40.921
2114,Finland,FIN,2037,40.921
2115,Finland,FIN,2038,40.921
2116,Finland,FIN,2039,40.921
2117,Finland,FIN,2040,40.921
2118,Finland,FIN,2041,40.921
2119,Finland,FIN,2042,40.921
2120,Finland,FIN,2043,40.921
2121,Finland,FIN,2044,40.921
2122,Finland,FIN,2045,40.921
2123,Finland,FIN,2046,40.921
2124,Finland,FIN,2047,40.921
2125,Finland,FIN,2048,40.921
2126,Finland,FIN,2049,40.921
2127,Finland,FIN,2050,40.921
2128,Fiji,FJI,2023,40.921
2129,Fiji,FJI,2024,40.921
2130,Fiji,FJI,2025,40.921
2131,Fiji,FJI,2026,40.921
2132,Fiji,FJI,2027,40.921
2133,Fiji,FJI,2028,40.921
2134,Fiji,FJI,2029,40.921
2135,Fiji,FJI,2030,40.921
2136,Fiji,FJI,2031,40.921
2137,Fiji,FJI,2032,40.921
2138,Fiji,FJI,2033,40.921
2139,Fiji,FJI,2034,40.921
2140,Fiji,FJI,2035,40.921
2141,Fiji,FJI,2036,40.921
2142,Fiji,FJI,2037,40.921
2143,Fiji,FJI,2038,40.921
2144,Fiji,FJI,2039,40.921
2145,Fiji,FJI,2040,40.921
2146,Fiji,FJI,2041,40.921
2147,Fiji,FJI,2042,40.921
2148,Fiji,FJI,2043,40.921
2149,Fiji,FJI,2044,40.921
2150,Fiji,FJI,2045,40.921
2151,Fiji,FJI,2046,40.921
2152,Fiji,FJI,2047,40.921
2153,Fiji,FJI,2048,40.921
2154,Fiji,FJI,2049,40.921
2155,Fiji,FJI,2050,40.921
2156,France,FRA,2023,40.921
2157,France,FRA,2024,40.921
2158,France,FRA,2025,40.921
2159,France,FRA,2026,40.921
2160,France,FRA,2027,40.921
2161,France,FRA,2028,40.921
2162,France,FRA,2029,40.921
2163,France,FRA,2030,40.921
2164,France,FRA,2031,40.921
2165,France,FRA,2032,40.921
2166,France,FRA,2033,40.921
2167,France,FRA,2034,40.921
2168,France,FRA,2035,40.921
2169,France,FRA,2036,40.921
2170,France,FRA,2037,40.921
2171,France,FRA,2038,40.921
2172,France,FRA,2039,40.921
2173,France,FRA,2040,40.921
2174,France,FRA,2041,40.921
2175,France,FRA,2042,40.921
2176,France,FRA,2043,40.921
2177,France,FRA,2044,40.921
2178,France,FRA,2045,40.921
2179,France,FRA,2046,40.921
2180,France,FRA,2047,40.921
2181,France,FRA,2048,40.921
2182,France,FRA,2049,40.921
2183,France,FRA,2050,40.921
2184,Faroe Islands,FRO,2023,40.921
2185,Faroe Islands,FRO,2024,40.921
2186,Faroe Islands,FRO,2025,40.921
2187,Faroe Islands,FRO,2026,40.921
2188,Faroe Islands,FRO,2027,40.921
2189,Faroe Islands,FRO,2028,40.921
2190,Faroe Islands,FRO,2029,40.921
2191,Faroe Islands,FRO,2030,40.921
2192,Faroe Islands,FRO,2031,40.921
2193,Faroe Islands,FRO,2032,40.921
2194,Faroe Islands,FRO,2033,40.921
2195,Faroe Islands,FRO,2034,40.921
2196,Faroe Islands,FRO,2035,40.921
2197,Faroe Islands,FRO,2036,40.921
2198,Faroe Islands,FRO,2037,40.921
2199,Faroe Islands,FRO,2038,40.921
2200,Faroe Islands,FRO,2039,40.921
2201,Faroe Islands,FRO,2040,40.921
2202,Faroe Islands,FRO,2041,40.921
2203,Faroe Islands,FRO,2042,40.921
2204,Faroe Islands,FRO,2043,40.921
2205,Faroe Islands,FRO,2044,40.921
2206,Faroe Islands,FRO,2045,40.921
2207,Faroe Islands,FRO,2046,40.921
2208,Faroe Islands,FRO,2047,40.921
2209,Faroe Islands,FRO,2048,40.921
2210,Faroe Islands,FRO,2049,40.921
2211,Faroe Islands,FRO,2050,40.921
2212,"Micronesia, Fed. Sts.",FSM,2023,40.921
2213,"Micronesia, Fed. Sts.",FSM,2024,40.921
2214,"Micronesia, Fed. Sts.",FSM,2025,40.921
2215,"Micronesia, Fed. Sts.",FSM,2026,40.921
2216,"Micronesia, Fed. Sts.",FSM,2027,40.921
2217,"Micronesia, Fed. Sts.",FSM,2028,40.921
2218,"Micronesia, Fed. Sts.",FSM,2029,40.921
2219,"Micronesia, Fed. Sts.",FSM,2030,40.921
2220,"Micronesia, Fed. Sts.",FSM,2031,40.921
2221,"Micronesia, Fed. Sts.",FSM,2032,40.921
2222,"Micronesia, Fed. Sts.",FSM,2033,40.921
2223,"Micronesia, Fed. Sts.",FSM,2034,40.921
2224,"Micronesia, Fed. Sts.",FSM,2035,40.921
2225,"Micronesia, Fed. Sts.",FSM,2036,40.921
2226,"Micronesia, Fed. Sts.",FSM,2037,40.921
2227,"Micronesia, Fed. Sts.",FSM,2038,40.921
2228,"Micronesia, Fed. Sts.",FSM,2039,40.921
2229,"Micronesia, Fed. Sts.",FSM,2040,40.921
2230,"Micronesia, Fed. Sts.",FSM,2041,40.921
2231,"Micronesia, Fed. Sts.",FSM,2042,40.921
2232,"Micronesia, Fed. Sts.",FSM,2043,40.921
2233,"Micronesia, Fed. Sts.",FSM,2044,40.921
2234,"Micronesia, Fed. Sts.",FSM,2045,40.921
2235,"Micronesia, Fed. Sts.",FSM,2046,40.921
2236,"Micronesia, Fed. Sts.",FSM,2047,40.921
2237,"Micronesia, Fed. Sts.",FSM,2048,40.921
2238,"Micronesia, Fed. Sts.",FSM,2049,40.921
2239,"Micronesia, Fed. Sts.",FSM,2050,40.921
2240,Gabon,GAB,2023,40.921
2241,Gabon,GAB,2024,40.921
2242,Gabon,GAB,2025,40.921
2243,Gabon,GAB,2026,40.921
2244,Gabon,GAB,2027,40.921
2245,Gabon,GAB,2028,40.921
2246,Gabon,GAB,2029,40.921
2247,Gabon,GAB,2030,40.921
2248,Gabon,GAB,2031,40.921
2249,Gabon,GAB,2032,40.921
2250,Gabon,GAB,2033,40.921
2251,Gabon,GAB,2034,40.921
2252,Gabon,GAB,2035,40.921
2253,Gabon,GAB,2036,40.921
2254,Gabon,GAB,2037,40.921
2255,Gabon,GAB,2038,40.921
2256,Gabon,GAB,2039,40.921
2257,Gabon,GAB,2040,40.921
2258,Gabon,GAB,2041,40.921
2259,Gabon,GAB,2042,40.921
2260,Gabon,GAB,2043,40.921
2261,Gabon,GAB,2044,40.921
2262,Gabon,GAB,2045,40.921
2263,Gabon,GAB,2046,40.921
2264,Gabon,GAB,2047,40.921
2265,Gabon,GAB,2048,40.921
2266,Gabon,GAB,2049,40.921
2267,Gabon,GAB,2050,40.921
2268,United Kingdom,GBR,2023,40.921
2269,United Kingdom,GBR,2024,40.921
2270,United Kingdom,GBR,2025,40.921
2271,United Kingdom,GBR,2026,40.921
2272,United Kingdom,GBR,2027,40.921
2273,United Kingdom,GBR,2028,40.921
2274,United Kingdom,GBR,2029,40.921
2275,United Kingdom,GBR,2030,40.921
2276,United Kingdom,GBR,2031,40.921
2277,United Kingdom,GBR,2032,40.921
2278,United Kingdom,GBR,2033,40.921
2279,United Kingdom,GBR,2034,40.921
2280,United Kingdom,GBR,2035,40.921
2281,United Kingdom,GBR,2036,40.921
2282,United Kingdom,GBR,2037,40.921
2283,United Kingdom,GBR,2038,40.921
2284,United Kingdom,GBR,2039,40.921
2285,United Kingdom,GBR,2040,40.921
2286,United Kingdom,GBR,2041,40.921
2287,United Kingdom,GBR,2042,40.921
2288,United Kingdom,GBR,2043,40.921
2289,United Kingdom,GBR,2044,40.921
2290,United Kingdom,GBR,2045,40.921
2291,United Kingdom,GBR,2046,40.921
2292,United Kingdom,GBR,2047,40.921
2293,United Kingdom,GBR,2048,40.921
2294,United Kingdom,GBR,2049,40.921
2295,United Kingdom,GBR,2050,40.921
2296,Georgia,GEO,2023,40.921
2297,Georgia,GEO,2024,40.921
2298,Georgia,GEO,2025,40.921
2299,Georgia,GEO,2026,40.921
2300,Georgia,GEO,2027,40.921
2301,Georgia,GEO,2028,40.921
2302,Georgia,GEO,2029,40.921
2303,Georgia,GEO,2030,40.921
2304,Georgia,GEO,2031,40.921
2305,Georgia,GEO,2032,40.921
2306,Georgia,GEO,2033,40.921
2307,Georgia,GEO,2034,40.921
2308,Georgia,GEO,2035,40.921
2309,Georgia,GEO,2036,40.921
2310,Georgia,GEO,2037,40.921
2311,Georgia,GEO,2038,40.921
2312,Georgia,GEO,2039,40.921
2313,Georgia,GEO,2040,40.921
2314,Georgia,GEO,2041,40.921
2315,Georgia,GEO,2042,40.921
2316,Georgia,GEO,2043,40.921
2317,Georgia,GEO,2044,40.921
2318,Georgia,GEO,2045,40.921
2319,Georgia,GEO,2046,40.921
2320,Georgia,GEO,2047,40.921
2321,Georgia,GEO,2048,40.921
2322,Georgia,GEO,2049,40.921
2323,Georgia,GEO,2050,40.921
2324,Ghana,GHA,2023,40.921
2325,Ghana,GHA,2024,40.921
2326,Ghana,GHA,2025,40.921
2327,Ghana,GHA,2026,40.921
2328,Ghana,GHA,2027,40.921
2329,Ghana,GHA,2028,40.921
2330,Ghana,GHA,2029,40.921
2331,Ghana,GHA,2030,40.921
2332,Ghana,GHA,2031,40.921
2333,Ghana,GHA,2032,40.921
2334,Ghana,GHA,2033,40.921
2335,Ghana,GHA,2034,40.921
2336,Ghana,GHA,2035,40.921
2337,Ghana,GHA,2036,40.921
2338,Ghana,GHA,2037,40.921
2339,Ghana,GHA,2038,40.921
2340,Ghana,GHA,2039,40.921
2341,Ghana,GHA,2040,40.921
2342,Ghana,GHA,2041,40.921
2343,Ghana,GHA,2042,40.921
2344,Ghana,GHA,2043,40.921
2345,Ghana,GHA,2044,40.921
2346,Ghana,GHA,2045,40.921
2347,Ghana,GHA,2046,40.921
2348,Ghana,GHA,2047,40.921
2349,Ghana,GHA,2048,40.921
2350,Ghana,GHA,2049,40.921
2351,Ghana,GHA,2050,40.921
2352,Gibraltar,GIB,2023,40.921
2353,Gibraltar,GIB,2024,40.921
2354,Gibraltar,GIB,2025,40.921
2355,Gibraltar,GIB,2026,40.921
2356,Gibraltar,GIB,2027,40.921
2357,Gibraltar,GIB,2028,40.921
2358,Gibraltar,GIB,2029,40.921
2359,Gibraltar,GIB,2030,40.921
2360,Gibraltar,GIB,2031,40.921
2361,Gibraltar,GIB,2032,40.921
2362,Gibraltar,GIB,2033,40.921
2363,Gibraltar,GIB,2034,40.921
2364,Gibraltar,GIB,2035,40.921
2365,Gibraltar,GIB,2036,40.921
2366,Gibraltar,GIB,2037,40.921
2367,Gibraltar,GIB,2038,40.921
2368,Gibraltar,GIB,2039,40.921
2369,Gibraltar,GIB,2040,40.921
2370,Gibraltar,GIB,2041,40.921
2371,Gibraltar,GIB,2042,40.921
2372,Gibraltar,GIB,2043,40.921
2373,Gibraltar,GIB,2044,40.921
2374,Gibraltar,GIB,2045,40.921
2375,Gibraltar,GIB,2046,40.921
2376,Gibraltar,GIB,2047,40.921
2377,Gibraltar,GIB,2048,40.921
2378,Gibraltar,GIB,2049,40.921
2379,Gibraltar,GIB,2050,40.921
2380,Guinea,GIN,2023,40.921
2381,Guinea,GIN,2024,40.921
2382,Guinea,GIN,2025,40.921
2383,Guinea,GIN,2026,40.921
2384,Guinea,GIN,2027,40.921
2385,Guinea,GIN,2028,40.921
2386,Guinea,GIN,2029,40.921
2387,Guinea,GIN,2030,40.921
2388,Guinea,GIN,2031,40.921
2389,Guinea,GIN,2032,40.921
2390,Guinea,GIN,2033,40.921
2391,Guinea,GIN,2034,40.921
2392,Guinea,GIN,2035,40.921
2393,Guinea,GIN,2036,40.921
2394,Guinea,GIN,2037,40.921
2395,Guinea,GIN,2038,40.921
2396,Guinea,GIN,2039,40.921
2397,Guinea,GIN,2040,40.921
2398,Guinea,GIN,2041,40.921
2399,Guinea,GIN,2042,40.921
2400,Guinea,GIN,2043,40.921
2401,Guinea,GIN,2044,40.921
2402,Guinea,GIN,2045,40.921
2403,Guinea,GIN,2046,40.921
2404,Guinea,GIN,2047,40.921
2405,Guinea,GIN,2048,40.921
2406,Guinea,GIN,2049,40.921
2407,Guinea,GIN,2050,40.921
2408,"Gambia, The",GMB,2023,40.921
2409,"Gambia, The",GMB,2024,40.921
2410,"Gambia, The",GMB,2025,40.921
2411,"Gambia, The",GMB,2026,40.921
2412,"Gambia, The",GMB,2027,40.921
2413,"Gambia, The",GMB,2028,40.921
2414,"Gambia, The",GMB,2029,40.921
2415,"Gambia, The",GMB,2030,40.921
2416,"Gambia, The",GMB,2031,40.921
2417,"Gambia, The",GMB,2032,40.921
2418,"Gambia, The",GMB,2033,40.921
2419,"Gambia, The",GMB,2034,40.921
2420,"Gambia, The",GMB,2035,40.921
2421,"Gambia, The",GMB,2036,40.921
2422,"Gambia, The",GMB,2037,40.921
2423,"Gambia, The",GMB,2038,40.921
2424,"Gambia, The",GMB,2039,40.921
2425,"Gambia, The",GMB,2040,40.921
2426,"Gambia, The",GMB,2041,40.921
2427,"Gambia, The",GMB,2042,40.921
2428,"Gambia, The",GMB,2043,40.921
2429,"Gambia, The",GMB,2044,40.921
2430,"Gambia, The",GMB,2045,40.921
2431,"Gambia, The",GMB,2046,40.921
2432,"Gambia, The",GMB,2047,40.921
2433,"Gambia, The",GMB,2048,40.921
2434,"Gambia, The",GMB,2049,40.921
2435,"Gambia, The",GMB,2050,40.921
2436,Guinea-Bissau,GNB,2023,40.921
2437,Guinea-Bissau,GNB,2024,40.921
2438,Guinea-Bissau,GNB,2025,40.921
2439,Guinea-Bissau,GNB,2026,40.921
2440,Guinea-Bissau,GNB,2027,40.921
2441,Guinea-Bissau,GNB,2028,40.921
2442,Guinea-Bissau,GNB,2029,40.921
2443,Guinea-Bissau,GNB,2030,40.921
2444,Guinea-Bissau,GNB,2031,40.921
2445,Guinea-Bissau,GNB,2032,40.921
2446,Guinea-Bissau,GNB,2033,40.921
2447,Guinea-Bissau,GNB,2034,40.921
2448,Guinea-Bissau,GNB,2035,40.921
2449,Guinea-Bissau,GNB,2036,40.921
2450,Guinea-Bissau,GNB,2037,40.921
2451,Guinea-Bissau,GNB,2038,40.921
2452,Guinea-Bissau,GNB,2039,40.921
2453,Guinea-Bissau,GNB,2040,40.921
2454,Guinea-Bissau,GNB,2041,40.921
2455,Guinea-Bissau,GNB,2042,40.921
2456,Guinea-Bissau,GNB,2043,40.921
2457,Guinea-Bissau,GNB,2044,40.921
2458,Guinea-Bissau,GNB,2045,40.921
2459,Guinea-Bissau,GNB,2046,40.921
2460,Guinea-Bissau,GNB,2047,40.921
2461,Guinea-Bissau,GNB,2048,40.921
2462,Guinea-Bissau,GNB,2049,40.921
2463,Guinea-Bissau,GNB,2050,40.921
2464,Equatorial Guinea,GNQ,2023,40.921
2465,Equatorial Guinea,GNQ,2024,40.921
2466,Equatorial Guinea,GNQ,2025,40.921
2467,Equatorial Guinea,GNQ,2026,40.921
2468,Equatorial Guinea,GNQ,2027,40.921
2469,Equatorial Guinea,GNQ,2028,40.921
2470,Equatorial Guinea,GNQ,2029,40.921
2471,Equatorial Guinea,GNQ,2030,40.921
2472,Equatorial Guinea,GNQ,2031,40.921
2473,Equatorial Guinea,GNQ,2032,40.921
2474,Equatorial Guinea,GNQ,2033,40.921
2475,Equatorial Guinea,GNQ,2034,40.921
2476,Equatorial Guinea,GNQ,2035,40.921
2477,Equatorial Guinea,GNQ,2036,40.921
2478,Equatorial Guinea,GNQ,2037,40.921
2479,Equatorial Guinea,GNQ,2038,40.921
2480,Equatorial Guinea,GNQ,2039,40.921
2481,Equatorial Guinea,GNQ,2040,40.921
2482,Equatorial Guinea,GNQ,2041,40.921
2483,Equatorial Guinea,GNQ,2042,40.921
2484,Equatorial Guinea,GNQ,2043,40.921
2485,Equatorial Guinea,GNQ,2044,40.921
2486,Equatorial Guinea,GNQ,2045,40.921
2487,Equatorial Guinea,GNQ,2046,40.921
2488,Equatorial Guinea,GNQ,2047,40.921
2489,Equatorial Guinea,GNQ,2048,40.921
2490,Equatorial Guinea,GNQ,2049,40.921
2491,Equatorial Guinea,GNQ,2050,40.921
2492,Greece,GRC,2023,40.921
2493,Greece,GRC,2024,40.921
2494,Greece,GRC,2025,40.921
2495,Greece,GRC,2026,40.921
2496,Greece,GRC,2027,40.921
2497,Greece,GRC,2028,40.921
2498,Greece,GRC,2029,40.921
2499,Greece,GRC,2030,40.921
2500,Greece,GRC,2031,40.921
2501,Greece,GRC,2032,40.921
2502,Greece,GRC,2033,40.921
2503,Greece,GRC,2034,40.921
2504,Greece,GRC,2035,40.921
2505,Greece,GRC,2036,40.921
2506,Greece,GRC,2037,40.921
2507,Greece,GRC,2038,40.921
2508,Greece,GRC,2039,40.921
2509,Greece,GRC,2040,40.921
2510,Greece,GRC,2041,40.921
2511,Greece,GRC,2042,40.921
2512,Greece,GRC,2043,40.921
2513,Greece,GRC,2044,40.921
2514,Greece,GRC,2045,40.921
2515,Greece,GRC,2046,40.921
2516,Greece,GRC,2047,40.921
2517,Greece,GRC,2048,40.921
2518,Greece,GRC,2049,40.921
2519,Greece,GRC,2050,40.921
2520,Grenada,GRD,2023,40.921
2521,Grenada,GRD,2024,40.921
2522,Grenada,GRD,2025,40.921
2523,Grenada,GRD,2026,40.921
2524,Grenada,GRD,2027,40.921
2525,Grenada,GRD,2028,40.921
2526,Grenada,GRD,2029,40.921
2527,Grenada,GRD,2030,40.921
2528,Grenada,GRD,2031,40.921
2529,Grenada,GRD,2032,40.921
2530,Grenada,GRD,2033,40.921
2531,Grenada,GRD,2034,40.921
2532,Grenada,GRD,2035,40.921
2533,Grenada,GRD,2036,40.921
2534,Grenada,GRD,2037,40.921
2535,Grenada,GRD,2038,40.921
2536,Grenada,GRD,2039,40.921
2537,Grenada,GRD,2040,40.921
2538,Grenada,GRD,2041,40.921
2539,Grenada,GRD,2042,40.921
2540,Grenada,GRD,2043,40.921
2541,Grenada,GRD,2044,40.921
2542,Grenada,GRD,2045,40.921
2543,Grenada,GRD,2046,40.921
2544,Grenada,GRD,2047,40.921
2545,Grenada,GRD,2048,40.921
2546,Grenada,GRD,2049,40.921
2547,Grenada,GRD,2050,40.921
2548,Greenland,GRL,2023,40.921
2549,Greenland,GRL,2024,40.921
2550,Greenland,GRL,2025,40.921
2551,Greenland,GRL,2026,40.921
2552,Greenland,GRL,2027,40.921
2553,Greenland,GRL,2028,40.921
2554,Greenland,GRL,2029,40.921
2555,Greenland,GRL,2030,40.921
2556,Greenland,GRL,2031,40.921
2557,Greenland,GRL,2032,40.921
2558,Greenland,GRL,2033,40.921
2559,Greenland,GRL,2034,40.921
2560,Greenland,GRL,2035,40.921
2561,Greenland,GRL,2036,40.921
2562,Greenland,GRL,2037,40.921
2563,Greenland,GRL,2038,40.921
2564,Greenland,GRL,2039,40.921
2565,Greenland,GRL,2040,40.921
2566,Greenland,GRL,2041,40.921
2567,Greenland,GRL,2042,40.921
2568,Greenland,GRL,2043,40.921
2569,Greenland,GRL,2044,40.921
2570,Greenland,GRL,2045,40.921
2571,Greenland,GRL,2046,40.921
2572,Greenland,GRL,2047,40.921
2573,Greenland,GRL,2048,40.921
2574,Greenland,GRL,2049,40.921
2575,Greenland,GRL,2050,40.921
