Year,iso_code3,nemomod_entc_residual_capacity_pp_solar_gw
2010,MMR,0.0
2011,MMR,0.0
2012,MMR,0.0
2013,MMR,0.0
2014,MMR,0.0
2015,MMR,0.0
2016,MMR,0.0
2017,MMR,0.0
2018,MMR,0.0
2019,MMR,0.0
2020,MMR,0.0953284854913674
2010,MNE,0.0
2011,MNE,0.0
2012,MNE,0.0
2013,MNE,0.0
2014,MNE,0.0
2015,MNE,0.0
2016,MNE,0.0
2017,MNE,0.0
2018,MNE,0.0
2019,MNE,0.0
2020,MNE,0.0
2010,MNG,0.0
2011,MNG,0.0
2012,MNG,0.0
2013,MNG,0.0
2014,MNG,0.0202819332566167
2015,MNG,0.0398755656108597
2016,MNG,0.0406900452488687
2017,MNG,0.0586577181208053
2018,MNG,0.0653691275167785
2019,MNG,0.0664876957494407
2020,MNG,0.0833517699115044
2010,MOZ,0.0
2011,MOZ,0.0
2012,MOZ,0.0
2013,MOZ,0.0
2014,MOZ,0.0
2015,MOZ,0.0
2016,MOZ,0.0
2017,MOZ,0.0
2018,MOZ,0.0
2019,MOZ,0.0
2020,MOZ,0.0
2010,MRT,0.0
2011,MRT,0.0
2012,MRT,0.0
2013,MRT,0.0
2014,MRT,0.0
2015,MRT,0.0
2016,MRT,0.0
2017,MRT,0.0
2018,MRT,0.165
2019,MRT,0.176
2020,MRT,0.1245749800969819
2010,MUS,0.0141999999999999
2011,MUS,0.0141999999999999
2012,MUS,0.0141999999999999
2013,MUS,0.0141999999999999
2014,MUS,0.0141999999999999
2015,MUS,0.0141999999999999
2016,MUS,0.0141999999999999
2017,MUS,0.0141999999999999
2018,MUS,0.0562999999999999
2019,MUS,0.0713
2020,MUS,0.1119
2010,MWI,0.0
2011,MWI,0.0
2012,MWI,0.0
2013,MWI,0.0
2014,MWI,0.0
2015,MWI,0.0
2016,MWI,0.0
2017,MWI,0.0
2018,MWI,0.0
2019,MWI,0.0
2020,MWI,0.0
2010,MYS,0.0
2011,MYS,0.0
2012,MYS,0.0799230811343479
2013,MYS,0.1346620084647941
2014,MYS,0.1221098354584413
2015,MYS,0.2524819408507242
2016,MYS,0.36344925839814
2017,MYS,0.3709273226974126
2018,MYS,0.4608557701979113
2019,MYS,0.4576851856344111
2020,MYS,0.5953698852947247
2010,NAM,0.0501628005958714
2011,NAM,0.0561
2012,NAM,0.0612055714285714
2013,NAM,0.0591430714285714
2014,NAM,0.059367
2015,NAM,0.0760981379310344
2016,NAM,0.0824696924623115
2017,NAM,0.0880553326633165
2018,NAM,0.0908161768844221
2019,NAM,0.0985824835820895
2020,NAM,0.1002196895522388
2010,NER,0.0
2011,NER,0.0
2012,NER,0.0
2013,NER,0.0
2014,NER,0.0
2015,NER,0.0
2016,NER,0.0120505502392344
2017,NER,0.0121463397129186
2018,NER,0.0130377930622009
2019,NER,0.0135825956937799
2020,NER,0.0135825956937799
2010,NGA,0.0
2011,NGA,0.0
2012,NGA,0.0
2013,NGA,0.0
2014,NGA,0.0
2015,NGA,0.0
2016,NGA,0.0
2017,NGA,0.0
2018,NGA,0.0
2019,NGA,0.0
2020,NGA,0.0464371373307543
2010,NIC,0.0
2011,NIC,0.0229432156347511
2012,NIC,0.0266280275907373
2013,NIC,0.0267236294958121
2014,NIC,0.0274921694859582
2015,NIC,0.0278542979142716
2016,NIC,0.0288941238298571
2017,NIC,0.0306747610445064
2018,NIC,0.0306747610445064
2019,NIC,0.0335170967318114
2020,NIC,0.0279608138101109
2010,NLD,0.0
2011,NLD,0.0154184097927118
2012,NLD,0.0573910795572964
2013,NLD,0.0524018273102176
2014,NLD,0.1831933264326332
2015,NLD,0.1724070056331764
2016,NLD,0.2681464125768594
2017,NLD,0.319870448791813
2018,NLD,0.4809457136571759
2019,NLD,0.5086890309919017
2020,NLD,0.656715962607964
2010,NOR,0.0
2011,NOR,0.0
2012,NOR,0.0
2013,NOR,0.0
2014,NOR,0.0
2015,NOR,0.0
2016,NOR,0.0
2017,NOR,0.0
2018,NOR,0.0
2019,NOR,0.0
2020,NOR,0.0
2010,NPL,0.0
2011,NPL,0.0
2012,NPL,0.0
2013,NPL,0.0
2014,NPL,0.0466938844464466
2015,NPL,0.0449093366370086
2016,NPL,0.0654467089876378
2017,NPL,0.0659895943732536
2018,NPL,0.0687644281722709
2019,NPL,0.069241352731477
2020,NPL,0.0714412790203248
2010,NZL,0.0
2011,NZL,0.0
2012,NZL,0.0
2013,NZL,0.0
2014,NZL,0.0
2015,NZL,0.0
2016,NZL,0.0
2017,NZL,0.0
2018,NZL,0.0
2019,NZL,0.0
2020,NZL,0.0
2010,OMN,0.0
2011,OMN,0.0
2012,OMN,0.0
2013,OMN,0.0
2014,OMN,0.0106694219755564
2015,OMN,0.0102199917340733
2016,OMN,0.0106057743402019
2017,OMN,0.2768676873857404
2018,OMN,0.2843395817527422
2019,OMN,2.140822358087488
2020,OMN,2.166737122384891
2010,PAK,0.0
2011,PAK,0.0
2012,PAK,0.0
2013,PAK,0.0
2014,PAK,0.0
2015,PAK,1.0135037656462271
2016,PAK,1.168134356659142
2017,PAK,1.3346736179322505
2018,PAK,1.3753749564004183
2019,PAK,1.4860359493082196
2020,PAK,1.4491895315024232
2010,PAN,0.0
2011,PAN,0.0122733397497593
2012,PAN,0.0124324671158164
2013,PAN,0.0290583970925784
2014,PAN,0.0322825427186942
2015,PAN,0.036794064014282
2016,PAN,0.0428410394774212
2017,PAN,0.0673364847715736
2018,PAN,0.079756154822335
2019,PAN,0.0804682106598984
2020,PAN,0.0779654629378224
2010,PER,0.0
2011,PER,0.0
2012,PER,0.3660660535773135
2013,PER,0.3575997900997026
2014,PER,0.3625152177715585
2015,PER,0.392887190713639
2016,PER,0.4717961243766975
2017,PER,0.480181011067418
2018,PER,0.4944483182659694
2019,PER,0.4927629560411345
2020,PER,0.4949348366913961
2010,PHL,0.0
2011,PHL,0.0
2012,PHL,0.0
2013,PHL,0.0
2014,PHL,0.0
2015,PHL,0.1879482389045717
2016,PHL,1.525644305633865
2017,PHL,1.3922836501787397
2018,PHL,1.4214262278362984
2019,PHL,1.5215373049521397
2020,PHL,1.564342345495377
2010,PNG,0.0
2011,PNG,0.0
2012,PNG,0.0
2013,PNG,0.0
2014,PNG,0.0
2015,PNG,0.0
2016,PNG,0.0
2017,PNG,0.0
2018,PNG,0.0
2019,PNG,0.0
2020,PNG,0.0
2010,POL,0.0
2011,POL,0.0022612394476801
2012,POL,0.002224793492654
2013,POL,0.002312734082397
2014,POL,0.0138935786900012
2015,POL,0.0375381521055939
2016,POL,0.0379413778082021
2017,POL,0.0397815768829058
2018,POL,0.0415099112825458
2019,POL,0.0403743456891367
2020,POL,0.0414040694622595
2010,PRK,0.0
2011,PRK,0.0
2012,PRK,0.0
2013,PRK,0.0
2014,PRK,0.0
2015,PRK,0.0
2016,PRK,0.0
2017,PRK,0.0
2018,PRK,0.0
2019,PRK,0.0
2020,PRK,0.0
2010,PRT,0.2231720002691884
2011,PRT,0.2488613214332109
2012,PRT,0.321529083646369
2013,PRT,0.3727085355580547
2014,PRT,0.7836702771547306
2015,PRT,0.8199450211800473
2016,PRT,0.8747135248247974
2017,PRT,0.8901285196896351
2018,PRT,0.9026521142613984
2019,PRT,0.9199943329478428
2020,PRT,0.9260293029923647
2010,PRY,0.0
2011,PRY,0.0
2012,PRY,0.0
2013,PRY,0.0
2014,PRY,0.0
2015,PRY,0.0
2016,PRY,0.0
2017,PRY,0.0
2018,PRY,0.0
2019,PRY,0.0
2020,PRY,0.0
2010,QAT,0.0
2011,QAT,0.0
2012,QAT,0.0
2013,QAT,0.0
2014,QAT,0.0
2015,QAT,0.0
2016,QAT,0.0
2017,QAT,0.0
2018,QAT,0.0
2019,QAT,0.0
2020,QAT,0.0
2010,ROU,0.0822376098418277
2011,ROU,0.099227241847826
2012,ROU,0.0959269367558373
2013,ROU,0.1214273685836777
2014,ROU,0.164380485673263
2015,ROU,0.2667917272028032
2016,ROU,0.46050075112669
2017,ROU,0.6321218868761326
2018,ROU,0.6866900039666799
2019,ROU,0.6333923167182238
2020,ROU,0.7359750812567715
2010,RUS,0.0
2011,RUS,0.0
2012,RUS,0.0
2013,RUS,0.0671894894976134
2014,RUS,1.118619662169516
2015,RUS,2.030788613660915
2016,RUS,2.3814664772478613
2017,RUS,2.4548789484538878
2018,RUS,2.560797382411659
2019,RUS,2.848256025133834
2020,RUS,2.976728626497954
2010,RWA,0.0
2011,RWA,0.0
2012,RWA,0.0
2013,RWA,0.0
2014,RWA,0.0
2015,RWA,0.0086976979961832
2016,RWA,0.0085
2017,RWA,0.0091598822800495
2018,RWA,0.0098964787277984
2019,RWA,0.0100245404791408
2020,RWA,0.0104612143742255
2010,SAU,0.0
2011,SAU,0.0
2012,SAU,0.1836773770352389
2013,SAU,0.1527576255178115
2014,SAU,0.1406459278281552
2015,SAU,0.1409287879752162
2016,SAU,0.137
2017,SAU,0.1460469841966889
2018,SAU,0.137
2019,SAU,0.137
2020,SAU,0.1404124885101364
2010,SDN,0.0
2011,SDN,0.0
2012,SDN,0.0
2013,SDN,0.0
2014,SDN,0.0
2015,SDN,0.0
2016,SDN,0.0
2017,SDN,0.0
2018,SDN,0.0
2019,SDN,0.0
2020,SDN,0.0
2010,SEN,0.0
2011,SEN,0.0
2012,SEN,0.0
2013,SEN,0.0
2014,SEN,0.0
2015,SEN,0.0
2016,SEN,0.2633156554942724
2017,SEN,0.3546255213943013
2018,SEN,0.4099034416919612
2019,SEN,0.6342177155786474
2020,SEN,0.4555302793732225
2010,SGP,0.0
2011,SGP,0.0
2012,SGP,0.0
2013,SGP,0.0
2014,SGP,0.0
2015,SGP,0.0
2016,SGP,0.0
2017,SGP,0.0
2018,SGP,0.0
2019,SGP,0.0
2020,SGP,0.0
2010,SLE,0.0
2011,SLE,0.0
2012,SLE,0.0
2013,SLE,0.0
2014,SLE,0.0
2015,SLE,0.0
2016,SLE,0.0
2017,SLE,0.0
2018,SLE,0.0
2019,SLE,0.0
2020,SLE,0.0
2010,SLV,0.0523685196021065
2011,SLV,0.0528056173200702
2012,SLV,0.0524018724400234
2013,SLV,0.1041620849858356
2014,SLV,0.0762869457107335
2015,SLV,0.0806760049730625
2016,SLV,0.0834714463323663
2017,SLV,0.1079810933004521
2018,SLV,0.1119504151253596
2019,SLV,0.2874936925996205
2020,SLV,0.4465839971801198
2010,SRB,0.0
2011,SRB,0.0
2012,SRB,0.0
2013,SRB,0.0
2014,SRB,0.0
2015,SRB,0.0
2016,SRB,0.0
2017,SRB,0.0
2018,SRB,0.0
2019,SRB,0.0
2020,SRB,0.0
2012,SUR,0.467
2013,SUR,0.537
2014,SUR,0.5024
2015,SUR,0.502
2016,SUR,0.4807
2017,SUR,0.5023
2018,SUR,0.505
2019,SUR,0.5032
2020,SUR,0.49
2010,SVK,0.0
2011,SVK,0.0
2012,SVK,0.0
2013,SVK,0.0
2014,SVK,0.0
2015,SVK,0.0
2016,SVK,0.0
2017,SVK,0.0
2018,SVK,0.0
2019,SVK,0.0419225666385237
2020,SVK,0.0537360262160968
2010,SVN,0.0
2011,SVN,0.0
2012,SVN,0.0
2013,SVN,0.0
2014,SVN,0.0
2015,SVN,0.0
2016,SVN,0.0
2017,SVN,0.0
2018,SVN,0.0
2019,SVN,0.0
2020,SVN,0.0
2010,SWE,0.0
2011,SWE,0.0
2012,SWE,0.0
2013,SWE,0.0
2014,SWE,0.0
2015,SWE,0.0
2016,SWE,0.0
2017,SWE,0.0
2018,SWE,0.0
2019,SWE,0.0
2020,SWE,0.0
2010,SWZ,0.0
2011,SWZ,0.0
2012,SWZ,0.0
2013,SWZ,0.0
2014,SWZ,0.0
2015,SWZ,0.0
2016,SWZ,0.0
2017,SWZ,0.0
2018,SWZ,0.0
2019,SWZ,0.0
2020,SWZ,0.0
2010,SYR,0.0
2011,SYR,0.0
2012,SYR,0.0
2013,SYR,0.0
2014,SYR,0.0
2015,SYR,0.0
2016,SYR,0.0
2017,SYR,0.0
2018,SYR,0.0
2019,SYR,0.0
2020,SYR,0.0
2010,TGO,0.0
2011,TGO,0.0
2012,TGO,0.0
2013,TGO,0.0
2014,TGO,0.0
2015,TGO,0.0
2016,TGO,0.0
2017,TGO,0.0
2018,TGO,0.0
2019,TGO,0.0
2020,TGO,0.0
2010,THA,0.1473172952615278
2011,THA,0.135929155479697
2012,THA,0.2074623367159367
2013,THA,0.3366010418912122
2014,THA,0.6179231455567441
2015,THA,0.9258282597481238
2016,THA,1.185496549936126
2017,THA,1.3560574573609392
2018,THA,1.7838951620514345
2019,THA,2.006438663132877
2020,THA,2.3670114211941216
2010,TJK,0.0
2011,TJK,0.0
2012,TJK,0.0
2013,TJK,0.0
2014,TJK,0.0
2015,TJK,0.0
2016,TJK,0.0
2017,TJK,0.0
2018,TJK,0.0
2019,TJK,0.0
2020,TJK,0.0
2010,TKM,0.0
2011,TKM,0.0
2012,TKM,0.0
2013,TKM,0.0
2014,TKM,0.0
2015,TKM,0.0
2016,TKM,0.0
2017,TKM,0.0
2018,TKM,0.0
2019,TKM,0.0
2020,TKM,0.0
2010,TTO,0.0
2011,TTO,0.0
2012,TTO,0.0
2013,TTO,0.0
2014,TTO,0.0
2015,TTO,0.0
2016,TTO,0.0
2017,TTO,0.0
2018,TTO,0.0
2019,TTO,0.0
2020,TTO,0.0
2010,TUN,0.0
2011,TUN,0.0
2012,TUN,0.0
2013,TUN,0.0
2014,TUN,0.0
2015,TUN,0.0
2016,TUN,0.0
2017,TUN,0.0
2018,TUN,0.0
2019,TUN,0.0
2020,TUN,0.0
2010,TUR,0.0
2011,TUR,0.0
2012,TUR,0.0
2013,TUR,0.0
2014,TUR,0.0
2015,TUR,1.2580355958768603
2016,TUR,1.3491335004367286
2017,TUR,1.4654621885887906
2018,TUR,1.5230963015568388
2019,TUR,1.5698163995136576
2020,TUR,1.530913720215781
2010,TZA,0.0
2011,TZA,0.0
2012,TZA,0.0
2013,TZA,0.0
2014,TZA,0.0
2015,TZA,0.0
2016,TZA,0.0
2017,TZA,0.0
2018,TZA,0.0
2019,TZA,0.0
2020,TZA,0.0
2010,UGA,0.0
2011,UGA,0.0
2012,UGA,0.0
2013,UGA,0.0
2014,UGA,0.0
2015,UGA,0.0279087103308575
2016,UGA,0.0282587440918298
2017,UGA,0.0295593787981093
2018,UGA,0.0318767319378798
2019,UGA,0.0568522584943371
2020,UGA,0.0723297346278317
2010,UKR,0.0881480917966273
2011,UKR,0.1082084806151333
2012,UKR,0.1979748036649214
2013,UKR,0.3508278822957051
2014,UKR,0.4948730975005189
2015,UKR,0.6129056605856236
2016,UKR,0.8358602575062485
2017,UKR,0.8507083693734215
2018,UKR,1.0129603171763293
2019,UKR,1.0477677801377356
2020,UKR,1.6022955711468505
2010,URY,0.0
2011,URY,0.016
2012,URY,0.0255
2013,URY,0.0262958328236877
2014,URY,0.0615411740240326
2015,URY,0.0753802543127885
2016,URY,0.0875832657674629
2017,URY,0.1136865220571769
2018,URY,0.1932707556078546
2019,URY,0.2187527152337029
2020,URY,0.295682484723964
2010,USA,0.96588604471188
2011,USA,1.640682332176351
2012,USA,3.4892314366327706
2013,USA,8.713052623822483
2014,USA,12.649167846207815
2015,USA,16.503276379103617
2016,USA,24.81539111922123
2017,USA,33.32549187199205
2018,USA,40.80716831497667
2019,USA,47.03692424376175
2020,USA,51.47848207026115
2010,UZB,0.0
2011,UZB,0.0
2012,UZB,0.0
2013,UZB,0.0
2014,UZB,0.0
2015,UZB,0.1945948174322732
2016,UZB,0.2076615135453475
2017,UZB,0.2116884910188457
2018,UZB,0.2215197290930506
2019,UZB,0.2473242049469964
2020,UZB,0.2576834511189635
2010,VEN,0.0
2011,VEN,0.0
2012,VEN,0.0
2013,VEN,0.0
2014,VEN,0.0
2015,VEN,0.0
2016,VEN,0.0
2017,VEN,0.0
2018,VEN,0.0
2019,VEN,0.0
2020,VEN,0.0
2010,VNM,0.0
2011,VNM,0.0
2012,VNM,0.0
2013,VNM,0.1817323903739759
2014,VNM,0.2409384573172002
2015,VNM,0.3894648423629909
2016,VNM,0.4847712701635903
2017,VNM,0.4855702826746654
2018,VNM,1.0569998928906943
2019,VNM,2.478942410247196
2020,VNM,3.2630209593682578
2010,XKX,0.0
2011,XKX,0.0
2012,XKX,0.0
2013,XKX,0.0
2014,XKX,0.0
2015,XKX,0.0
2016,XKX,0.0
2017,XKX,0.0
2018,XKX,0.0
2019,XKX,0.0
2020,XKX,0.0
2010,YEM,0.0
2011,YEM,0.0
2012,YEM,0.0
2013,YEM,0.0
2014,YEM,0.0
2015,YEM,0.0
2016,YEM,0.0
2017,YEM,0.0
2018,YEM,0.0
2019,YEM,0.0
2020,YEM,0.0
2010,ZAF,0.0
2011,ZAF,0.0850256233043401
2012,ZAF,0.1973155101470167
2013,ZAF,0.458944148188341
2014,ZAF,1.6096109674635637
2015,ZAF,1.8354705108525875
2016,ZAF,2.497338831152083
2017,ZAF,2.8237337943519347
2018,ZAF,2.914851408161755
2019,ZAF,3.043363138246709
2020,ZAF,3.053683491066284
2010,ZMB,0.0
2011,ZMB,0.0
2012,ZMB,0.0
2013,ZMB,0.0
2014,ZMB,0.0
2015,ZMB,0.0
2016,ZMB,0.0507477643718949
2017,ZMB,0.0519997161107168
2018,ZMB,0.0520360894251242
2019,ZMB,0.0535079311568488
2020,ZMB,0.0540388573456352
2010,ZWE,0.0
2011,ZWE,0.0
2012,ZWE,0.0
2013,ZWE,0.0
2014,ZWE,0.0
2015,ZWE,0.0
2016,ZWE,0.0
2017,ZWE,0.0
2018,ZWE,0.0
2019,ZWE,0.0
2020,ZWE,0.0
