,Nation,iso_code3,Year,occrate_trns_passenger_per_vehicle_public
251,Cuba,CUB,2005,78.34671428571428
252,Cuba,CUB,2006,78.34671428571428
253,Cuba,CUB,2007,78.34671428571428
254,Cuba,CUB,2008,78.34671428571428
255,Curacao,CUW,2004,78.34671428571428
256,Curacao,CUW,2005,78.34671428571428
257,Curacao,CUW,2006,78.34671428571428
258,Curacao,CUW,2007,78.34671428571428
259,Curacao,CUW,2008,78.34671428571428
260,Cayman Islands,CYM,2004,78.34671428571428
261,Cayman Islands,CYM,2005,78.34671428571428
262,Cayman Islands,CYM,2006,78.34671428571428
263,Cayman Islands,CYM,2007,78.34671428571428
264,Cayman Islands,CYM,2008,78.34671428571428
265,Cyprus,CYP,2004,78.34671428571428
266,Cyprus,CYP,2005,78.34671428571428
267,Cyprus,CYP,2006,78.34671428571428
268,Cyprus,CYP,2007,78.34671428571428
269,Cyprus,CYP,2008,78.34671428571428
270,Czechia,CZE,2004,78.34671428571428
271,Czechia,CZE,2005,78.34671428571428
272,Czechia,CZE,2006,78.34671428571428
273,Czechia,CZE,2007,78.34671428571428
274,Czechia,CZE,2008,78.34671428571428
275,Germany,DEU,2004,91.4
276,Germany,DEU,2005,91.4
277,Germany,DEU,2006,91.4
278,Germany,DEU,2007,91.4
279,Germany,DEU,2008,91.4
280,Djibouti,DJI,2004,78.34671428571428
281,Djibouti,DJI,2005,78.34671428571428
282,Djibouti,DJI,2006,78.34671428571428
283,Djibouti,DJI,2007,78.34671428571428
284,Djibouti,DJI,2008,78.34671428571428
285,Dominica,DMA,2004,78.34671428571428
286,Dominica,DMA,2005,78.34671428571428
287,Dominica,DMA,2006,78.34671428571428
288,Dominica,DMA,2007,78.34671428571428
289,Dominica,DMA,2008,78.34671428571428
290,Denmark,DNK,2004,65.1
291,Denmark,DNK,2005,65.1
292,Denmark,DNK,2006,63.5
293,Denmark,DNK,2007,63.5
294,Denmark,DNK,2008,63.5
295,Dominican Republic,DOM,2004,78.34671428571428
296,Dominican Republic,DOM,2005,78.34671428571428
297,Dominican Republic,DOM,2006,78.34671428571428
298,Dominican Republic,DOM,2007,78.34671428571428
299,Dominican Republic,DOM,2008,78.34671428571428
300,Algeria,DZA,2004,78.34671428571428
301,Algeria,DZA,2005,78.34671428571428
302,Algeria,DZA,2006,78.34671428571428
303,Algeria,DZA,2007,78.34671428571428
304,Algeria,DZA,2008,78.34671428571428
305,East Asia & Pacific (excluding high income),EAP,2004,78.34671428571428
306,East Asia & Pacific (excluding high income),EAP,2005,78.34671428571428
307,East Asia & Pacific (excluding high income),EAP,2006,78.34671428571428
308,East Asia & Pacific (excluding high income),EAP,2007,78.34671428571428
309,East Asia & Pacific (excluding high income),EAP,2008,78.34671428571428
310,Early-demographic dividend,EAR,2004,78.34671428571428
311,Early-demographic dividend,EAR,2005,78.34671428571428
312,Early-demographic dividend,EAR,2006,78.34671428571428
313,Early-demographic dividend,EAR,2007,78.34671428571428
314,Early-demographic dividend,EAR,2008,78.34671428571428
315,East Asia & Pacific,EAS,2004,78.34671428571428
316,East Asia & Pacific,EAS,2005,78.34671428571428
317,East Asia & Pacific,EAS,2006,78.34671428571428
318,East Asia & Pacific,EAS,2007,78.34671428571428
319,East Asia & Pacific,EAS,2008,78.34671428571428
320,Europe & Central Asia (excluding high income),ECA,2004,78.34671428571428
321,Europe & Central Asia (excluding high income),ECA,2005,78.34671428571428
322,Europe & Central Asia (excluding high income),ECA,2006,78.34671428571428
323,Europe & Central Asia (excluding high income),ECA,2007,78.34671428571428
324,Europe & Central Asia (excluding high income),ECA,2008,78.34671428571428
325,Europe & Central Asia,ECS,2004,78.34671428571428
326,Europe & Central Asia,ECS,2005,78.34671428571428
327,Europe & Central Asia,ECS,2006,78.34671428571428
328,Europe & Central Asia,ECS,2007,78.34671428571428
329,Europe & Central Asia,ECS,2008,78.34671428571428
330,Ecuador,ECU,2004,78.34671428571428
331,Ecuador,ECU,2005,78.34671428571428
332,Ecuador,ECU,2006,78.34671428571428
333,Ecuador,ECU,2007,78.34671428571428
334,Ecuador,ECU,2008,78.34671428571428
335,"Egypt, Arab Rep.",EGY,2004,78.34671428571428
336,"Egypt, Arab Rep.",EGY,2005,78.34671428571428
337,"Egypt, Arab Rep.",EGY,2006,78.34671428571428
338,"Egypt, Arab Rep.",EGY,2007,78.34671428571428
339,"Egypt, Arab Rep.",EGY,2008,78.34671428571428
340,Euro area,EMU,2004,78.34671428571428
