,Nation,iso_code3,Year,occrate_trns_passenger_per_vehicle_road_heavy_regional
592,Jordan,JOR,2006,24.122000000000003
593,Jordan,JOR,2007,24.122000000000003
594,Jordan,JOR,2008,24.122000000000003
595,Japan,JPN,2004,24.122000000000003
596,Japan,JPN,2005,24.122000000000003
597,Japan,JPN,2006,24.122000000000003
598,Japan,JPN,2007,24.122000000000003
599,Japan,JPN,2008,24.122000000000003
600,Kazakhstan,KAZ,2004,24.122000000000003
601,Kazakhstan,KAZ,2005,24.122000000000003
602,Kazakhstan,KAZ,2006,24.122000000000003
603,Kazakhstan,KAZ,2007,24.122000000000003
604,Kazakhstan,KAZ,2008,24.122000000000003
605,Kenya,KEN,2004,24.122000000000003
606,Kenya,KEN,2005,24.122000000000003
607,Kenya,KEN,2006,24.122000000000003
608,Kenya,KEN,2007,24.122000000000003
609,Kenya,KEN,2008,24.122000000000003
610,Kyrgyz Republic,KGZ,2004,24.122000000000003
611,Kyrgyz Republic,KGZ,2005,24.122000000000003
612,Kyrgyz Republic,KGZ,2006,24.122000000000003
613,Kyrgyz Republic,KGZ,2007,24.122000000000003
614,Kyrgyz Republic,KGZ,2008,24.122000000000003
615,Cambodia,KHM,2004,24.122000000000003
616,Cambodia,KHM,2005,24.122000000000003
617,Cambodia,KHM,2006,24.122000000000003
618,Cambodia,KHM,2007,24.122000000000003
619,Cambodia,KHM,2008,24.122000000000003
620,Kiribati,KIR,2004,24.122000000000003
621,Kiribati,KIR,2005,24.122000000000003
622,Kiribati,KIR,2006,24.122000000000003
623,Kiribati,KIR,2007,24.122000000000003
624,Kiribati,KIR,2008,24.122000000000003
625,St. Kitts and Nevis,KNA,2004,24.122000000000003
626,St. Kitts and Nevis,KNA,2005,24.122000000000003
627,St. Kitts and Nevis,KNA,2006,24.122000000000003
628,St. Kitts and Nevis,KNA,2007,24.122000000000003
629,St. Kitts and Nevis,KNA,2008,24.122000000000003
630,"Korea, Rep.",KOR,2004,24.122000000000003
631,"Korea, Rep.",KOR,2005,24.122000000000003
632,"Korea, Rep.",KOR,2006,24.122000000000003
633,"Korea, Rep.",KOR,2007,24.122000000000003
634,"Korea, Rep.",KOR,2008,24.122000000000003
635,Kuwait,KWT,2004,24.122000000000003
636,Kuwait,KWT,2005,24.122000000000003
637,Kuwait,KWT,2006,24.122000000000003
638,Kuwait,KWT,2007,24.122000000000003
639,Kuwait,KWT,2008,24.122000000000003
640,Latin America & Caribbean (excluding high income),LAC,2004,24.122000000000003
641,Latin America & Caribbean (excluding high income),LAC,2005,24.122000000000003
642,Latin America & Caribbean (excluding high income),LAC,2006,24.122000000000003
643,Latin America & Caribbean (excluding high income),LAC,2007,24.122000000000003
644,Latin America & Caribbean (excluding high income),LAC,2008,24.122000000000003
645,Lao PDR,LAO,2004,24.122000000000003
646,Lao PDR,LAO,2005,24.122000000000003
647,Lao PDR,LAO,2006,24.122000000000003
648,Lao PDR,LAO,2007,24.122000000000003
649,Lao PDR,LAO,2008,24.122000000000003
650,Lebanon,LBN,2004,24.122000000000003
651,Lebanon,LBN,2005,24.122000000000003
652,Lebanon,LBN,2006,24.122000000000003
653,Lebanon,LBN,2007,24.122000000000003
654,Lebanon,LBN,2008,24.122000000000003
655,Liberia,LBR,2004,24.122000000000003
656,Liberia,LBR,2005,24.122000000000003
657,Liberia,LBR,2006,24.122000000000003
658,Liberia,LBR,2007,24.122000000000003
659,Liberia,LBR,2008,24.122000000000003
660,Libya,LBY,2004,24.122000000000003
661,Libya,LBY,2005,24.122000000000003
662,Libya,LBY,2006,24.122000000000003
663,Libya,LBY,2007,24.122000000000003
664,Libya,LBY,2008,24.122000000000003
665,St. Lucia,LCA,2004,24.122000000000003
666,St. Lucia,LCA,2005,24.122000000000003
667,St. Lucia,LCA,2006,24.122000000000003
668,St. Lucia,LCA,2007,24.122000000000003
669,St. Lucia,LCA,2008,24.122000000000003
670,Latin America & Caribbean,LCN,2004,24.122000000000003
671,Latin America & Caribbean,LCN,2005,24.122000000000003
672,Latin America & Caribbean,LCN,2006,24.122000000000003
673,Latin America & Caribbean,LCN,2007,24.122000000000003
674,Latin America & Caribbean,LCN,2008,24.122000000000003
675,Least developed countries: UN classification,LDC,2004,24.122000000000003
676,Least developed countries: UN classification,LDC,2005,24.122000000000003
677,Least developed countries: UN classification,LDC,2006,24.122000000000003
678,Least developed countries: UN classification,LDC,2007,24.122000000000003
679,Least developed countries: UN classification,LDC,2008,24.122000000000003
680,Low income,LIC,2004,24.122000000000003
681,Low income,LIC,2005,24.122000000000003
682,Low income,LIC,2006,24.122000000000003
683,Low income,LIC,2007,24.122000000000003
684,Low income,LIC,2008,24.122000000000003
685,Liechtenstein,LIE,2004,24.122000000000003
686,Liechtenstein,LIE,2005,24.122000000000003
687,Liechtenstein,LIE,2006,24.122000000000003
688,Liechtenstein,LIE,2007,24.122000000000003
689,Liechtenstein,LIE,2008,24.122000000000003
690,Sri Lanka,LKA,2004,24.122000000000003
691,Sri Lanka,LKA,2005,24.122000000000003
692,Sri Lanka,LKA,2006,24.122000000000003
693,Sri Lanka,LKA,2007,24.122000000000003
694,Sri Lanka,LKA,2008,24.122000000000003
695,Lower middle income,LMC,2004,24.122000000000003
696,Lower middle income,LMC,2005,24.122000000000003
697,Lower middle income,LMC,2006,24.122000000000003
698,Lower middle income,LMC,2007,24.122000000000003
699,Lower middle income,LMC,2008,24.122000000000003
700,Low & middle income,LMY,2004,24.122000000000003
701,Low & middle income,LMY,2005,24.122000000000003
702,Low & middle income,LMY,2006,24.122000000000003
703,Low & middle income,LMY,2007,24.122000000000003
704,Low & middle income,LMY,2008,24.122000000000003
705,Lesotho,LSO,2004,24.122000000000003
706,Lesotho,LSO,2005,24.122000000000003
707,Lesotho,LSO,2006,24.122000000000003
708,Lesotho,LSO,2007,24.122000000000003
709,Lesotho,LSO,2008,24.122000000000003
710,Late-demographic dividend,LTE,2004,24.122000000000003
711,Late-demographic dividend,LTE,2005,24.122000000000003
712,Late-demographic dividend,LTE,2006,24.122000000000003
713,Late-demographic dividend,LTE,2007,24.122000000000003
714,Late-demographic dividend,LTE,2008,24.122000000000003
715,Lithuania,LTU,2004,24.122000000000003
716,Lithuania,LTU,2005,24.122000000000003
717,Lithuania,LTU,2006,24.122000000000003
718,Lithuania,LTU,2007,24.122000000000003
719,Lithuania,LTU,2008,24.122000000000003
720,Luxembourg,LUX,2004,24.122000000000003
721,Luxembourg,LUX,2005,24.122000000000003
722,Luxembourg,LUX,2006,24.122000000000003
723,Luxembourg,LUX,2007,24.122000000000003
724,Luxembourg,LUX,2008,24.122000000000003
725,Latvia,LVA,2004,24.122000000000003
726,Latvia,LVA,2005,24.122000000000003
727,Latvia,LVA,2006,24.122000000000003
728,Latvia,LVA,2007,24.122000000000003
729,Latvia,LVA,2008,24.122000000000003
730,"Macao SAR, China",MAC,2004,24.122000000000003
731,"Macao SAR, China",MAC,2005,24.122000000000003
732,"Macao SAR, China",MAC,2006,24.122000000000003
733,"Macao SAR, China",MAC,2007,24.122000000000003
734,"Macao SAR, China",MAC,2008,24.122000000000003
735,St. Martin (French part),MAF,2004,24.122000000000003
736,St. Martin (French part),MAF,2005,24.122000000000003
737,St. Martin (French part),MAF,2006,24.122000000000003
738,St. Martin (French part),MAF,2007,24.122000000000003
739,St. Martin (French part),MAF,2008,24.122000000000003
740,Morocco,MAR,2004,24.122000000000003
741,Morocco,MAR,2005,24.122000000000003
742,Morocco,MAR,2006,24.122000000000003
743,Morocco,MAR,2007,24.122000000000003
744,Morocco,MAR,2008,24.122000000000003
745,Monaco,MCO,2004,24.122000000000003
746,Monaco,MCO,2005,24.122000000000003
747,Monaco,MCO,2006,24.122000000000003
748,Monaco,MCO,2007,24.122000000000003
749,Monaco,MCO,2008,24.122000000000003
750,Moldova,MDA,2004,24.122000000000003
751,Moldova,MDA,2005,24.122000000000003
752,Moldova,MDA,2006,24.122000000000003
753,Moldova,MDA,2007,24.122000000000003
754,Moldova,MDA,2008,24.122000000000003
755,Madagascar,MDG,2004,24.122000000000003
756,Madagascar,MDG,2005,24.122000000000003
757,Madagascar,MDG,2006,24.122000000000003
758,Madagascar,MDG,2007,24.122000000000003
759,Madagascar,MDG,2008,24.122000000000003
760,Maldives,MDV,2004,24.122000000000003
761,Maldives,MDV,2005,24.122000000000003
762,Maldives,MDV,2006,24.122000000000003
763,Maldives,MDV,2007,24.122000000000003
764,Maldives,MDV,2008,24.122000000000003
765,Middle East & North Africa,MEA,2004,24.122000000000003
766,Middle East & North Africa,MEA,2005,24.122000000000003
767,Middle East & North Africa,MEA,2006,24.122000000000003
768,Middle East & North Africa,MEA,2007,24.122000000000003
769,Middle East & North Africa,MEA,2008,24.122000000000003
770,Mexico,MEX,2004,24.122000000000003
771,Mexico,MEX,2005,24.122000000000003
772,Mexico,MEX,2006,24.122000000000003
773,Mexico,MEX,2007,24.122000000000003
774,Mexico,MEX,2008,24.122000000000003
775,Marshall Islands,MHL,2004,24.122000000000003
776,Marshall Islands,MHL,2005,24.122000000000003
777,Marshall Islands,MHL,2006,24.122000000000003
778,Marshall Islands,MHL,2007,24.122000000000003
779,Marshall Islands,MHL,2008,24.122000000000003
780,Middle income,MIC,2004,24.122000000000003
781,Middle income,MIC,2005,24.122000000000003
782,Middle income,MIC,2006,24.122000000000003
783,Middle income,MIC,2007,24.122000000000003
784,Middle income,MIC,2008,24.122000000000003
785,North Macedonia,MKD,2004,24.122000000000003
786,North Macedonia,MKD,2005,24.122000000000003
787,North Macedonia,MKD,2006,24.122000000000003
788,North Macedonia,MKD,2007,24.122000000000003
789,North Macedonia,MKD,2008,24.122000000000003
790,Mali,MLI,2004,24.122000000000003
791,Mali,MLI,2005,24.122000000000003
792,Mali,MLI,2006,24.122000000000003
793,Mali,MLI,2007,24.122000000000003
794,Mali,MLI,2008,24.122000000000003
795,Malta,MLT,2004,24.122000000000003
796,Malta,MLT,2005,24.122000000000003
797,Malta,MLT,2006,24.122000000000003
798,Malta,MLT,2007,24.122000000000003
799,Malta,MLT,2008,24.122000000000003
800,Myanmar,MMR,2004,24.122000000000003
801,Myanmar,MMR,2005,24.122000000000003
802,Myanmar,MMR,2006,24.122000000000003
803,Myanmar,MMR,2007,24.122000000000003
804,Myanmar,MMR,2008,24.122000000000003
805,Middle East & North Africa (excluding high income),MNA,2004,24.122000000000003
806,Middle East & North Africa (excluding high income),MNA,2005,24.122000000000003
807,Middle East & North Africa (excluding high income),MNA,2006,24.122000000000003
808,Middle East & North Africa (excluding high income),MNA,2007,24.122000000000003
809,Middle East & North Africa (excluding high income),MNA,2008,24.122000000000003
810,Montenegro,MNE,2004,24.122000000000003
811,Montenegro,MNE,2005,24.122000000000003
812,Montenegro,MNE,2006,24.122000000000003
813,Montenegro,MNE,2007,24.122000000000003
814,Montenegro,MNE,2008,24.122000000000003
815,Mongolia,MNG,2004,24.122000000000003
816,Mongolia,MNG,2005,24.122000000000003
817,Mongolia,MNG,2006,24.122000000000003
818,Mongolia,MNG,2007,24.122000000000003
819,Mongolia,MNG,2008,24.122000000000003
820,Northern Mariana Islands,MNP,2004,24.122000000000003
821,Northern Mariana Islands,MNP,2005,24.122000000000003
822,Northern Mariana Islands,MNP,2006,24.122000000000003
823,Northern Mariana Islands,MNP,2007,24.122000000000003
824,Northern Mariana Islands,MNP,2008,24.122000000000003
825,Mozambique,MOZ,2004,24.122000000000003
826,Mozambique,MOZ,2005,24.122000000000003
827,Mozambique,MOZ,2006,24.122000000000003
828,Mozambique,MOZ,2007,24.122000000000003
829,Mozambique,MOZ,2008,24.122000000000003
830,Mauritania,MRT,2004,24.122000000000003
831,Mauritania,MRT,2005,24.122000000000003
832,Mauritania,MRT,2006,24.122000000000003
833,Mauritania,MRT,2007,24.122000000000003
834,Mauritania,MRT,2008,24.122000000000003
835,Mauritius,MUS,2004,24.122000000000003
836,Mauritius,MUS,2005,24.122000000000003
837,Mauritius,MUS,2006,24.122000000000003
838,Mauritius,MUS,2007,24.122000000000003
839,Mauritius,MUS,2008,24.122000000000003
840,Malawi,MWI,2004,24.122000000000003
841,Malawi,MWI,2005,24.122000000000003
842,Malawi,MWI,2006,24.122000000000003
843,Malawi,MWI,2007,24.122000000000003
844,Malawi,MWI,2008,24.122000000000003
845,Malaysia,MYS,2004,24.122000000000003
846,Malaysia,MYS,2005,24.122000000000003
847,Malaysia,MYS,2006,24.122000000000003
848,Malaysia,MYS,2007,24.122000000000003
849,Malaysia,MYS,2008,24.122000000000003
850,North America,NAC,2004,24.122000000000003
851,North America,NAC,2005,24.122000000000003
852,North America,NAC,2006,24.122000000000003
853,North America,NAC,2007,24.122000000000003
854,North America,NAC,2008,24.122000000000003
855,Namibia,NAM,2004,24.122000000000003
856,Namibia,NAM,2005,24.122000000000003
857,Namibia,NAM,2006,24.122000000000003
858,Namibia,NAM,2007,24.122000000000003
859,Namibia,NAM,2008,24.122000000000003
860,New Caledonia,NCL,2004,24.122000000000003
861,New Caledonia,NCL,2005,24.122000000000003
862,New Caledonia,NCL,2006,24.122000000000003
863,New Caledonia,NCL,2007,24.122000000000003
864,New Caledonia,NCL,2008,24.122000000000003
865,Niger,NER,2004,24.122000000000003
866,Niger,NER,2005,24.122000000000003
867,Niger,NER,2006,24.122000000000003
868,Niger,NER,2007,24.122000000000003
869,Niger,NER,2008,24.122000000000003
870,Nigeria,NGA,2004,24.122000000000003
871,Nigeria,NGA,2005,24.122000000000003
872,Nigeria,NGA,2006,24.122000000000003
873,Nigeria,NGA,2007,24.122000000000003
874,Nigeria,NGA,2008,24.122000000000003
875,Nicaragua,NIC,2004,24.122000000000003
876,Nicaragua,NIC,2005,24.122000000000003
877,Nicaragua,NIC,2006,24.122000000000003
878,Nicaragua,NIC,2007,24.122000000000003
879,Nicaragua,NIC,2008,24.122000000000003
880,Netherlands,NLD,2004,24.122000000000003
881,Netherlands,NLD,2005,24.122000000000003
882,Netherlands,NLD,2006,24.122000000000003
883,Netherlands,NLD,2007,24.122000000000003
884,Netherlands,NLD,2008,24.122000000000003
885,Norway,NOR,2004,18.2
886,Norway,NOR,2005,21.7
887,Norway,NOR,2006,21.7
888,Norway,NOR,2007,18.900000000000002
889,Norway,NOR,2008,19.6
890,Nepal,NPL,2004,24.122000000000003
891,Nepal,NPL,2005,24.122000000000003
892,Nepal,NPL,2006,24.122000000000003
893,Nepal,NPL,2007,24.122000000000003
894,Nepal,NPL,2008,24.122000000000003
895,Nauru,NRU,2004,24.122000000000003
896,Nauru,NRU,2005,24.122000000000003
897,Nauru,NRU,2006,24.122000000000003
898,Nauru,NRU,2007,24.122000000000003
899,Nauru,NRU,2008,24.122000000000003
900,New Zealand,NZL,2004,24.122000000000003
901,New Zealand,NZL,2005,24.122000000000003
902,New Zealand,NZL,2006,24.122000000000003
903,New Zealand,NZL,2007,24.122000000000003
904,New Zealand,NZL,2008,24.122000000000003
905,OECD members,OED,2004,24.122000000000003
906,OECD members,OED,2005,24.122000000000003
907,OECD members,OED,2006,24.122000000000003
908,OECD members,OED,2007,24.122000000000003
909,OECD members,OED,2008,24.122000000000003
910,Oman,OMN,2004,24.122000000000003
911,Oman,OMN,2005,24.122000000000003
912,Oman,OMN,2006,24.122000000000003
913,Oman,OMN,2007,24.122000000000003
914,Oman,OMN,2008,24.122000000000003
915,Other small states,OSS,2004,24.122000000000003
916,Other small states,OSS,2005,24.122000000000003
917,Other small states,OSS,2006,24.122000000000003
918,Other small states,OSS,2007,24.122000000000003
919,Other small states,OSS,2008,24.122000000000003
920,Pakistan,PAK,2004,24.122000000000003
921,Pakistan,PAK,2005,24.122000000000003
922,Pakistan,PAK,2006,24.122000000000003
923,Pakistan,PAK,2007,24.122000000000003
924,Pakistan,PAK,2008,24.122000000000003
925,Panama,PAN,2004,24.122000000000003
926,Panama,PAN,2005,24.122000000000003
927,Panama,PAN,2006,24.122000000000003
928,Panama,PAN,2007,24.122000000000003
929,Panama,PAN,2008,24.122000000000003
930,Peru,PER,2004,24.122000000000003
931,Peru,PER,2005,24.122000000000003
932,Peru,PER,2006,24.122000000000003
933,Peru,PER,2007,24.122000000000003
934,Peru,PER,2008,24.122000000000003
935,Philippines,PHL,2004,24.122000000000003
936,Philippines,PHL,2005,24.122000000000003
937,Philippines,PHL,2006,24.122000000000003
938,Philippines,PHL,2007,24.122000000000003
939,Philippines,PHL,2008,24.122000000000003
940,Palau,PLW,2004,24.122000000000003
941,Palau,PLW,2005,24.122000000000003
942,Palau,PLW,2006,24.122000000000003
943,Palau,PLW,2007,24.122000000000003
944,Palau,PLW,2008,24.122000000000003
945,Papua New Guinea,PNG,2004,24.122000000000003
946,Papua New Guinea,PNG,2005,24.122000000000003
947,Papua New Guinea,PNG,2006,24.122000000000003
948,Papua New Guinea,PNG,2007,24.122000000000003
949,Papua New Guinea,PNG,2008,24.122000000000003
950,Poland,POL,2004,31.5
951,Poland,POL,2005,31.5
952,Poland,POL,2006,32.2
953,Poland,POL,2007,29.4
954,Poland,POL,2008,32.9
955,Pre-demographic dividend,PRE,2004,24.122000000000003
956,Pre-demographic dividend,PRE,2005,24.122000000000003
957,Pre-demographic dividend,PRE,2006,24.122000000000003
958,Pre-demographic dividend,PRE,2007,24.122000000000003
959,Pre-demographic dividend,PRE,2008,24.122000000000003
960,Puerto Rico,PRI,2004,24.122000000000003
961,Puerto Rico,PRI,2005,24.122000000000003
962,Puerto Rico,PRI,2006,24.122000000000003
963,Puerto Rico,PRI,2007,24.122000000000003
964,Puerto Rico,PRI,2008,24.122000000000003
965,"Korea, Dem. People's Rep.",PRK,2004,24.122000000000003
966,"Korea, Dem. People's Rep.",PRK,2005,24.122000000000003
967,"Korea, Dem. People's Rep.",PRK,2006,24.122000000000003
968,"Korea, Dem. People's Rep.",PRK,2007,24.122000000000003
969,"Korea, Dem. People's Rep.",PRK,2008,24.122000000000003
970,Portugal,PRT,2004,24.122000000000003
971,Portugal,PRT,2005,24.122000000000003
972,Portugal,PRT,2006,24.122000000000003
973,Portugal,PRT,2007,24.122000000000003
974,Portugal,PRT,2008,24.122000000000003
975,Paraguay,PRY,2004,24.122000000000003
976,Paraguay,PRY,2005,24.122000000000003
977,Paraguay,PRY,2006,24.122000000000003
978,Paraguay,PRY,2007,24.122000000000003
979,Paraguay,PRY,2008,24.122000000000003
980,West Bank and Gaza,PSE,2004,24.122000000000003
981,West Bank and Gaza,PSE,2005,24.122000000000003
982,West Bank and Gaza,PSE,2006,24.122000000000003
983,West Bank and Gaza,PSE,2007,24.122000000000003
984,West Bank and Gaza,PSE,2008,24.122000000000003
985,Pacific island small states,PSS,2004,24.122000000000003
986,Pacific island small states,PSS,2005,24.122000000000003
987,Pacific island small states,PSS,2006,24.122000000000003
988,Pacific island small states,PSS,2007,24.122000000000003
989,Pacific island small states,PSS,2008,24.122000000000003
990,Post-demographic dividend,PST,2004,24.122000000000003
991,Post-demographic dividend,PST,2005,24.122000000000003
992,Post-demographic dividend,PST,2006,24.122000000000003
993,Post-demographic dividend,PST,2007,24.122000000000003
994,Post-demographic dividend,PST,2008,24.122000000000003
995,French Polynesia,PYF,2004,24.122000000000003
996,French Polynesia,PYF,2005,24.122000000000003
997,French Polynesia,PYF,2006,24.122000000000003
998,French Polynesia,PYF,2007,24.122000000000003
999,French Polynesia,PYF,2008,24.122000000000003
1000,Qatar,QAT,2004,24.122000000000003
1001,Qatar,QAT,2005,24.122000000000003
1002,Qatar,QAT,2006,24.122000000000003
1003,Qatar,QAT,2007,24.122000000000003
1004,Qatar,QAT,2008,24.122000000000003
1005,Romania,ROU,2004,24.122000000000003
1006,Romania,ROU,2005,24.122000000000003
1007,Romania,ROU,2006,24.122000000000003
1008,Romania,ROU,2007,24.122000000000003
1009,Romania,ROU,2008,24.122000000000003
1010,Russian Federation,RUS,2004,24.122000000000003
1011,Russian Federation,RUS,2005,24.122000000000003
1012,Russian Federation,RUS,2006,24.122000000000003
1013,Russian Federation,RUS,2007,24.122000000000003
1014,Russian Federation,RUS,2008,24.122000000000003
1015,Rwanda,RWA,2004,24.122000000000003
1016,Rwanda,RWA,2005,24.122000000000003
1017,Rwanda,RWA,2006,24.122000000000003
1018,Rwanda,RWA,2007,24.122000000000003
1019,Rwanda,RWA,2008,24.122000000000003
1020,South Asia,SAS,2004,24.122000000000003
1021,South Asia,SAS,2005,24.122000000000003
1022,South Asia,SAS,2006,24.122000000000003
1023,South Asia,SAS,2007,24.122000000000003
1024,South Asia,SAS,2008,24.122000000000003
1025,Saudi Arabia,SAU,2004,24.122000000000003
1026,Saudi Arabia,SAU,2005,24.122000000000003
1027,Saudi Arabia,SAU,2006,24.122000000000003
1028,Saudi Arabia,SAU,2007,24.122000000000003
1029,Saudi Arabia,SAU,2008,24.122000000000003
1030,Sudan,SDN,2004,24.122000000000003
1031,Sudan,SDN,2005,24.122000000000003
1032,Sudan,SDN,2006,24.122000000000003
1033,Sudan,SDN,2007,24.122000000000003
1034,Sudan,SDN,2008,24.122000000000003
1035,Senegal,SEN,2004,24.122000000000003
1036,Senegal,SEN,2005,24.122000000000003
1037,Senegal,SEN,2006,24.122000000000003
1038,Senegal,SEN,2007,24.122000000000003
1039,Senegal,SEN,2008,24.122000000000003
1040,Singapore,SGP,2004,24.122000000000003
1041,Singapore,SGP,2005,24.122000000000003
1042,Singapore,SGP,2006,24.122000000000003
1043,Singapore,SGP,2007,24.122000000000003
1044,Singapore,SGP,2008,24.122000000000003
1045,Solomon Islands,SLB,2004,24.122000000000003
1046,Solomon Islands,SLB,2005,24.122000000000003
1047,Solomon Islands,SLB,2006,24.122000000000003
1048,Solomon Islands,SLB,2007,24.122000000000003
1049,Solomon Islands,SLB,2008,24.122000000000003
1050,Sierra Leone,SLE,2004,24.122000000000003
1051,Sierra Leone,SLE,2005,24.122000000000003
1052,Sierra Leone,SLE,2006,24.122000000000003
1053,Sierra Leone,SLE,2007,24.122000000000003
1054,Sierra Leone,SLE,2008,24.122000000000003
1055,El Salvador,SLV,2004,24.122000000000003
1056,El Salvador,SLV,2005,24.122000000000003
1057,El Salvador,SLV,2006,24.122000000000003
1058,El Salvador,SLV,2007,24.122000000000003
1059,El Salvador,SLV,2008,24.122000000000003
1060,San Marino,SMR,2004,24.122000000000003
1061,San Marino,SMR,2005,24.122000000000003
1062,San Marino,SMR,2006,24.122000000000003
1063,San Marino,SMR,2007,24.122000000000003
1064,San Marino,SMR,2008,24.122000000000003
1065,Somalia,SOM,2004,24.122000000000003
1066,Somalia,SOM,2005,24.122000000000003
1067,Somalia,SOM,2006,24.122000000000003
1068,Somalia,SOM,2007,24.122000000000003
1069,Somalia,SOM,2008,24.122000000000003
1070,Serbia,SRB,2004,24.122000000000003
1071,Serbia,SRB,2005,24.122000000000003
1072,Serbia,SRB,2006,24.122000000000003
1073,Serbia,SRB,2007,24.122000000000003
1074,Serbia,SRB,2008,24.122000000000003
1075,Sub-Saharan Africa (excluding high income),SSA,2004,24.122000000000003
1076,Sub-Saharan Africa (excluding high income),SSA,2005,24.122000000000003
1077,Sub-Saharan Africa (excluding high income),SSA,2006,24.122000000000003
1078,Sub-Saharan Africa (excluding high income),SSA,2007,24.122000000000003
1079,Sub-Saharan Africa (excluding high income),SSA,2008,24.122000000000003
1080,South Sudan,SSD,2004,24.122000000000003
1081,South Sudan,SSD,2005,24.122000000000003
1082,South Sudan,SSD,2006,24.122000000000003
1083,South Sudan,SSD,2007,24.122000000000003
1084,South Sudan,SSD,2008,24.122000000000003
1085,Sub-Saharan Africa,SSF,2004,24.122000000000003
1086,Sub-Saharan Africa,SSF,2005,24.122000000000003
1087,Sub-Saharan Africa,SSF,2006,24.122000000000003
1088,Sub-Saharan Africa,SSF,2007,24.122000000000003
1089,Sub-Saharan Africa,SSF,2008,24.122000000000003
1090,Small states,SST,2004,24.122000000000003
1091,Small states,SST,2005,24.122000000000003
1092,Small states,SST,2006,24.122000000000003
1093,Small states,SST,2007,24.122000000000003
1094,Small states,SST,2008,24.122000000000003
1095,Sao Tome and Principe,STP,2004,24.122000000000003
1096,Sao Tome and Principe,STP,2005,24.122000000000003
1097,Sao Tome and Principe,STP,2006,24.122000000000003
1098,Sao Tome and Principe,STP,2007,24.122000000000003
1099,Sao Tome and Principe,STP,2008,24.122000000000003
1100,Suriname,SUR,2004,24.122000000000003
1101,Suriname,SUR,2005,24.122000000000003
1102,Suriname,SUR,2006,24.122000000000003
1103,Suriname,SUR,2007,24.122000000000003
1104,Suriname,SUR,2008,24.122000000000003
1105,Slovak Republic,SVK,2004,24.122000000000003
1106,Slovak Republic,SVK,2005,24.122000000000003
1107,Slovak Republic,SVK,2006,24.122000000000003
1108,Slovak Republic,SVK,2007,24.122000000000003
1109,Slovak Republic,SVK,2008,24.122000000000003
1110,Slovenia,SVN,2004,24.122000000000003
1111,Slovenia,SVN,2005,24.122000000000003
1112,Slovenia,SVN,2006,24.122000000000003
1113,Slovenia,SVN,2007,24.122000000000003
1114,Slovenia,SVN,2008,24.122000000000003
1115,Sweden,SWE,2004,24.122000000000003
1116,Sweden,SWE,2005,24.122000000000003
1117,Sweden,SWE,2006,24.122000000000003
1118,Sweden,SWE,2007,24.122000000000003
1119,Sweden,SWE,2008,24.122000000000003
1120,Eswatini,SWZ,2004,24.122000000000003
1121,Eswatini,SWZ,2005,24.122000000000003
1122,Eswatini,SWZ,2006,24.122000000000003
1123,Eswatini,SWZ,2007,24.122000000000003
1124,Eswatini,SWZ,2008,24.122000000000003
1125,Sint Maarten (Dutch part),SXM,2004,24.122000000000003
1126,Sint Maarten (Dutch part),SXM,2005,24.122000000000003
1127,Sint Maarten (Dutch part),SXM,2006,24.122000000000003
1128,Sint Maarten (Dutch part),SXM,2007,24.122000000000003
1129,Sint Maarten (Dutch part),SXM,2008,24.122000000000003
1130,Seychelles,SYC,2004,24.122000000000003
1131,Seychelles,SYC,2005,24.122000000000003
1132,Seychelles,SYC,2006,24.122000000000003
1133,Seychelles,SYC,2007,24.122000000000003
1134,Seychelles,SYC,2008,24.122000000000003
1135,Syrian Arab Republic,SYR,2004,24.122000000000003
1136,Syrian Arab Republic,SYR,2005,24.122000000000003
1137,Syrian Arab Republic,SYR,2006,24.122000000000003
1138,Syrian Arab Republic,SYR,2007,24.122000000000003
1139,Syrian Arab Republic,SYR,2008,24.122000000000003
1140,Turks and Caicos Islands,TCA,2004,24.122000000000003
1141,Turks and Caicos Islands,TCA,2005,24.122000000000003
1142,Turks and Caicos Islands,TCA,2006,24.122000000000003
1143,Turks and Caicos Islands,TCA,2007,24.122000000000003
1144,Turks and Caicos Islands,TCA,2008,24.122000000000003
1145,Chad,TCD,2004,24.122000000000003
1146,Chad,TCD,2005,24.122000000000003
1147,Chad,TCD,2006,24.122000000000003
1148,Chad,TCD,2007,24.122000000000003
1149,Chad,TCD,2008,24.122000000000003
1150,East Asia & Pacific (IDA & IBRD countries),TEA,2004,24.122000000000003
1151,East Asia & Pacific (IDA & IBRD countries),TEA,2005,24.122000000000003
1152,East Asia & Pacific (IDA & IBRD countries),TEA,2006,24.122000000000003
1153,East Asia & Pacific (IDA & IBRD countries),TEA,2007,24.122000000000003
1154,East Asia & Pacific (IDA & IBRD countries),TEA,2008,24.122000000000003
1155,Europe & Central Asia (IDA & IBRD countries),TEC,2004,24.122000000000003
1156,Europe & Central Asia (IDA & IBRD countries),TEC,2005,24.122000000000003
1157,Europe & Central Asia (IDA & IBRD countries),TEC,2006,24.122000000000003
1158,Europe & Central Asia (IDA & IBRD countries),TEC,2007,24.122000000000003
1159,Europe & Central Asia (IDA & IBRD countries),TEC,2008,24.122000000000003
1160,Togo,TGO,2004,24.122000000000003
1161,Togo,TGO,2005,24.122000000000003
1162,Togo,TGO,2006,24.122000000000003
1163,Togo,TGO,2007,24.122000000000003
