"year","prodinit_ippu_textiles_tonne","location_code"
2026,6771.55362799971,"BWA"
2027,6657.60308893211,"BWA"
2028,6545.57008992505,"BWA"
2029,6435.42236294441,"BWA"
2030,6327.12818295697,"BWA"
2031,6220.65635879293,"BWA"
2032,6115.97622416212,"BWA"
2033,6013.05762882143,"BWA"
2034,5911.87092989084,"BWA"
2035,5812.38698331562,"BWA"
2036,5714.57713547219,"BWA"
2037,5618.41321491518,"BWA"
2038,5523.86752426351,"BWA"
2039,5430.9128322228,"BWA"
2040,5339.52236574225,"BWA"
2041,5249.66980230334,"BWA"
2042,5161.32926233835,"BWA"
2043,5074.47530177649,"BWA"
2044,4989.08290471539,"BWA"
2045,4905.12747621601,"BWA"
2046,4822.58483521869,"BWA"
2047,4741.43120757848,"BWA"
2048,4661.64321921766,"BWA"
2049,4583.19788939346,"BWA"
2050,4506.0726240791,"BWA"
2021,802.9614,"CAF"
2022,728.219558956567,"CAF"
2023,660.434892694589,"CAF"
2024,598.959808376319,"CAF"
2025,543.206992874767,"CAF"
2026,492.643801773517,"CAF"
2027,446.787170653778,"CAF"
2028,405.199000052738,"CAF"
2029,367.481970002602,"CAF"
2030,333.275744163773,"CAF"
2031,302.253527287693,"CAF"
2032,274.118943120442,"CAF"
2033,248.603202919603,"CAF"
2034,225.462537533315,"CAF"
2035,204.475868508423,"CAF"
2036,185.442695978243,"CAF"
2037,168.18118315151,"CAF"
2038,152.526419102321,"CAF"
2039,138.328843264342,"CAF"
2040,125.452816577399,"CAF"
2041,113.775325635644,"CAF"
2042,103.184807457156,"CAF"
2043,93.5800836471942,"CAF"
2044,84.8693937724508,"CAF"
2045,76.9695187114665,"CAF"
2046,69.8049856059872,"CAF"
2047,63.3073468176197,"CAF"
2048,57.414526001172,"CAF"
2049,52.0702250472735,"CAF"
2050,47.2233862283974,"CAF"
2021,1225421,"CAN"
2022,1235846.646097,"CAN"
2023,1246360.9915851,"CAN"
2024,1256964.79110165,"CAN"
2025,1267658.80570432,"CAN"
2026,1278443.80292569,"CAN"
2027,1289320.5568284,"CAN"
2028,1300289.84806062,"CAN"
2029,1311352.46391215,"CAN"
2030,1322509.1983709,"CAN"
2031,1333760.85217987,"CAN"
2032,1345108.23289463,"CAN"
2033,1356552.15494128,"CAN"
2034,1368093.43967488,"CAN"
2035,1379732.91543846,"CAN"
2036,1391471.41762239,"CAN"
2037,1403309.78872443,"CAN"
2038,1415248.87841009,"CAN"
2039,1427289.54357372,"CAN"
2040,1439432.64839994,"CAN"
2041,1451679.06442568,"CAN"
2042,1464029.67060276,"CAN"
2043,1476485.35336094,"CAN"
2044,1489047.00667155,"CAN"
2045,1501715.53211167,"CAN"
2046,1514491.83892881,"CAN"
2047,1527376.84410619,"CAN"
2048,1540371.47242854,"CAN"
2049,1553476.65654849,"CAN"
2050,1566693.33705349,"CAN"
2021,519583,"CHE"
2022,527756.471324307,"CHE"
2023,536058.518128353,"CHE"
2024,544491.163011024,"CHE"
2025,553056.460388361,"CHE"
2026,561756.496994076,"CHE"
2027,570593.392387929,"CHE"
2028,579569.299472113,"CHE"
2029,588686.405015758,"CHE"
2030,597946.930187686,"CHE"
2031,607353.131097544,"CHE"
2032,616907.299345454,"CHE"
2033,626611.762580309,"CHE"
2034,636468.885066848,"CHE"
2035,646481.068261656,"CHE"
2036,656650.751398217,"CHE"
2037,666980.412081184,"CHE"
2038,677472.566889982,"CHE"
2039,688129.77199192,"CHE"
2040,698954.623764934,"CHE"
2041,709949.759430139,"CHE"
2042,721117.857694326,"CHE"
2043,732461.639402562,"CHE"
2044,743983.868201063,"CHE"
2045,755687.351210492,"CHE"
2046,767574.939709848,"CHE"
2047,779649.529831109,"CHE"
2048,791914.063264812,"CHE"
2049,804371.527976726,"CHE"
2050,817024.958935797,"CHE"
2021,214809.8,"CHL"
2022,220056.959929763,"CHL"
2023,225432.292258218,"CHL"
2024,230938.927853112,"CHL"
2025,236580.074059911,"CHL"
2026,242359.016569925,"CHL"
2027,248279.121334058,"CHL"
2028,254343.836523313,"CHL"
2029,260556.694537181,"CHL"
2030,266921.31406109,"CHL"
2031,273441.402174114,"CHL"
2032,280120.756508163,"CHL"
2033,286963.267459919,"CHL"
2034,293972.920456801,"CHL"
2035,301153.79827828,"CHL"
2036,308510.0834339,"CHL"
2037,316046.060599385,"CHL"
2038,323766.119112248,"CHL"
2039,331674.755528374,"CHL"
2040,339776.576241035,"CHL"
2041,348076.300163891,"CHL"
2042,356578.76147953,"CHL"
2043,365288.912455137,"CHL"
2044,374211.82632695,"CHL"
2045,383352.700255171,"CHL"
2046,392716.858351055,"CHL"
2047,402309.754777951,"CHL"
2048,412136.976928075,"CHL"
2049,422204.248676899,"CHL"
2050,432517.433717029,"CHL"
2021,27488700,"CHN"
2022,29264209.2127121,"CHN"
2023,31154399.4748892,"CHN"
2024,33166678.0942557,"CHN"
2025,35308930.8203362,"CHN"
2026,37589552.7472561,"CHN"
2027,40017481.2125703,"CHN"
2028,42602230.8210441,"CHN"
2029,45353930.7306379,"CHN"
2030,48283364.3468132,"CHN"
2031,51402011.580713,"CHN"
2032,54722093.8368216,"CHN"
2033,58256621.9063984,"CHN"
2034,62019446.9543744,"CHN"
2035,66025314.7995182,"CHN"
2036,70289923.7005854,"CHN"
2037,74829985.8749051,"CHN"
2038,79663292.990484,"CHN"
2039,84808785.888278,"CHN"
2040,90286628.807862,"CHN"
2041,96118288.4073731,"CHN"
2042,102326617.887393,"CHN"
2043,108935946.548433,"CHN"
2044,115972175.132988,"CHN"
2045,123462877.325776,"CHN"
2046,131437407.809934,"CHN"
2047,139927017.302618,"CHN"
2048,148964975.020812,"CHN"
2049,158586699.057266,"CHN"
2050,168829895.177483,"CHN"
2021,48219.62,"CIV"
2022,53006.3568732275,"CIV"
2023,58268.2706535628,"CIV"
2024,64052.5319081436,"CIV"
2025,70410.9938020425,"CIV"
2026,77400.6569373561,"CIV"
2027,85084.1803366295,"CIV"
2028,93530.4431513444,"CIV"
2029,102815.162130918,"CIV"
2030,113021.570387535,"CIV"
2031,124241.16354161,"CIV"
2032,136574.519936731,"CIV"
2033,150132.202276917,"CIV"
2034,165035.748768942,"CIV"
2035,181418.762654846,"CIV"
2036,199428.109901781,"CIV"
2037,219225.235785911,"CIV"
2038,240987.612172917,"CIV"
2039,264910.328469295,"CIV"
2040,291207.840506569,"CIV"
2041,320115.893036343,"CIV"
2042,351893.633070445,"CIV"
2043,386825.933011263,"CIV"
2044,425225.944398032,"CIV"
2045,467437.905162198,"CIV"
2046,513840.225557592,"CIV"
2047,564848.880429282,"CIV"
2048,620921.138231232,"CIV"
2049,682559.660221613,"CIV"
2050,750317.006583124,"CIV"
2021,44953.1,"CMR"
2022,49538.1494734474,"CMR"
2023,54590.8569876965,"CMR"
2024,60158.921928412,"CMR"
2025,66294.9088416845,"CMR"
2026,73056.7436623489,"CMR"
2027,80508.260555752,"CMR"
2028,88719.8045353511,"CMR"
2029,97768.8955450739,"CMR"
2030,107740.960275615,"CMR"
2031,118730.13862328,"CMR"
2032,130840.172404643,"CMR"
2033,144185.384716802,"CMR"
2034,158891.759188742,"CMR"
2035,175098.129312348,"CMR"
2036,192957.489080756,"CMR"
2037,212638.437306961,"CMR"
2038,234326.769257571,"CMR"
2039,258227.230627289,"CMR"
2040,284565.450412297,"CMR"
2041,313590.070929552,"CMR"
2042,345575.095090153,"CMR"
2043,380822.473085878,"CMR"
2044,419664.952908167,"CMR"
2045,462469.221609457,"CMR"
2046,509639.366961525,"CMR"
2047,561620.692190153,"CMR"
2048,618903.919798563,"CMR"
2049,682029.824165268,"CMR"
2050,751594.336649711,"CMR"
2021,17677.08,"COD"
2022,19815.0272389576,"COD"
2023,22211.5476357312,"COD"
2024,24897.9142155502,"COD"
2025,27909.1823069397,"COD"
2026,31284.6469908517,"COD"
2027,35068.355875795,"COD"
2028,39309.6838903449,"COD"
2029,44063.9775936974,"COD"
2030,49393.2774121027,"COD"
2031,55367.1272258882,"COD"
2032,62063.4818716556,"COD"
2033,69569.7244019605,"COD"
2034,77983.8063770499,"COD"
2035,87415.5260687194,"COD"
2036,97987.9612560154,"COD"
2037,109839.075309829,"COD"
2038,123123.517524737,"COD"
2039,138014.641191245,"COD"
2040,154706.765742955,"COD"
2041,173417.712498201,"COD"
2042,194391.647085919,"COD"
2043,217902.265647569,"COD"
2044,244256.366392931,"COD"
2045,273797.85311628,"COD"
2046,306912.222916183,"COD"
2047,344031.596680742,"COD"
2048,385640.357982821,"COD"
2049,432281.473969172,"COD"
2050,484563.580726901,"COD"
2021,5749.777,"COG"
2022,5927.25790978537,"COG"
2023,6110.21720131288,"COG"
2024,6298.82397821488,"COG"
2025,6493.25256392028,"COG"
2026,6693.68266277642,"COG"
2027,6900.29952614418,"COG"
2028,7113.29412362015,"COG"
2029,7332.86331954392,"COG"
2030,7559.21005495373,"COG"
2031,7792.5435351586,"COG"
2032,8033.07942310034,"COG"
2033,8281.04003868421,"COG"
2034,8536.65456426228,"COG"
2035,8800.15925645968,"COG"
2036,9071.79766453926,"COG"
2037,9351.8208555067,"COG"
2038,9640.48764616399,"COG"
2039,9938.06484232582,"COG"
2040,10244.82748542,"COG"
2041,10561.0591066996,"COG"
2042,10887.0519893026,"COG"
2043,11223.1074383995,"COG"
2044,11569.536059681,"COG"
2045,11926.6580464409,"COG"
2046,12294.8034755213,"COG"
2047,12674.3126123918,"COG"
2048,13065.5362256469,"COG"
2049,13468.8359112106,"COG"
2050,13884.5844265481,"COG"
2021,208448.9,"COL"
2022,206008.07809043,"COL"
2023,203595.836862236,"COL"
2024,201211.841651368,"COL"
2025,198855.761712507,"COL"
2026,196527.27017318,"COL"
2027,194226.043988408,"COL"
2028,191951.763895896,"COL"
2029,189704.114371731,"COL"
2030,187482.783586612,"COL"
2031,185287.463362589,"COL"
2032,183117.849130304,"COL"
2033,180973.63988674,"COL"
2034,178854.538153461,"COL"
2035,176760.249935336,"COL"
2036,174690.484679759,"COL"
2037,172644.955236332,"COL"
2038,170623.377817034,"COL"
2039,168625.471956841,"COL"
2040,166650.960474824,"COL"
2041,164699.569435687,"COL"
2042,162771.028111768,"COL"
2043,160865.068945476,"COL"
2044,158981.427512172,"COL"
2045,157119.842483484,"COL"
2046,155280.055591052,"COL"
2047,153461.811590695,"COL"
2048,151664.858227003,"COL"
2049,149888.946198336,"COL"
2050,148133.829122241,"COL"
2021,1104.942,"COM"
2022,1362.62015358089,"COM"
2023,1680.39017699102,"COM"
2024,2072.26580313476,"COM"
2025,2555.52883945756,"COM"
2026,3151.49129972619,"COM"
2027,3886.43526885732,"COM"
2028,4792.77194905484,"COM"
2029,5910.47100146369,"COM"
2030,7288.82321764388,"COM"
2031,8988.61425509201,"COM"
2032,11084.805299059,"COM"
2033,13669.8388684818,"COM"
2034,16857.7155528496,"COM"
2035,20789.0214650606,"COM"
2036,25637.1281221252,"COM"
2037,31615.8381699159,"COM"
2038,38988.8141302253,"COM"
2039,48081.2059801007,"COM"
2040,59293.9903424427,"COM"
2041,73121.6536495519,"COM"
2042,90173.9991113029,"COM"
2043,111203.039180379,"COM"
2044,137136.159478625,"COM"
2045,169117.016721472,"COM"
2046,208555.974248562,"COM"
2047,257192.299379323,"COM"
2048,317170.865511562,"COM"
2049,391136.741543672,"COM"
2050,482351.840036281,"COM"
2021,1193.632,"CPV"
2022,1236.06083459721,"CPV"
2023,1279.99784424777,"CPV"
2024,1325.49663853142,"CPV"
2025,1372.61273263363,"CPV"
2026,1421.40361508228,"CPV"
2027,1471.92881789203,"CPV"
2028,1524.24998920212,"CPV"
2029,1578.43096849612,"CPV"
2030,1634.53786449543,"CPV"
2031,1692.63913582156,"CPV"
2032,1752.80567452574,"CPV"
2033,1815.11089258751,"CPV"
2034,1879.63081148814,"CPV"
2035,1946.44415496792,"CPV"
2036,2015.63244508065,"CPV"
2037,2087.2801016625,"CPV"
2038,2161.4745453365,"CPV"
2039,2238.30630417857,"CPV"
2040,2317.86912417492,"CPV"
2041,2400.26008360597,"CPV"
2042,2485.57971149598,"CPV"
2043,2573.93211027321,"CPV"
2044,2665.42508279006,"CPV"
2045,2760.1702638584,"CPV"
2046,2858.2832564603,"CPV"
2047,2959.88377280062,"CPV"
2048,3065.09578037342,"CPV"
2049,3174.04765322039,"CPV"
2050,3286.87232856603,"CPV"
2021,33385.16,"CRI"
2022,33340.0137322168,"CRI"
2023,33294.9285150769,"CRI"
2024,33249.9042660225,"CRI"
2025,33204.9409026071,"CRI"
2026,33160.0383424962,"CRI"
2027,33115.1965034662,"CRI"
2028,33070.4153034049,"CRI"
2029,33025.6946603111,"CRI"
2030,32981.0344922946,"CRI"
2031,32936.4347175756,"CRI"
2032,32891.8952544854,"CRI"
2033,32847.4160214652,"CRI"
2034,32802.9969370669,"CRI"
2035,32758.6379199524,"CRI"
2036,32714.3388888935,"CRI"
2037,32670.0997627719,"CRI"
2038,32625.9204605792,"CRI"
2039,32581.8009014162,"CRI"
2040,32537.7410044933,"CRI"
2041,32493.7406891302,"CRI"
2042,32449.7998747555,"CRI"
2043,32405.918480907,"CRI"
2044,32362.0964272311,"CRI"
2045,32318.3336334829,"CRI"
2046,32274.6300195262,"CRI"
2047,32230.9855053329,"CRI"
2048,32187.4000109834,"CRI"
2049,32143.8734566658,"CRI"
2050,32100.4057626765,"CRI"
2021,28764.34,"CUB"
2022,30268.4462195128,"CUB"
2023,31851.2031405392,"CUB"
2024,33516.7234598877,"CUB"
2025,35269.3349299826,"CUB"
2026,37113.5916042628,"CUB"
2027,39054.2856706112,"CUB"
2028,41096.4599035606,"CUB"
2029,43245.4207676341,"CUB"
2030,45506.7522058679,"CUB"
2031,47886.3301493448,"CUB"
2032,50390.3377854412,"CUB"
2033,53025.2816244596,"CUB"
2034,55798.0084063975,"CUB"
2035,58715.7228917807,"CUB"
2036,61786.0065827925,"CUB"
2037,65016.8374233414,"CUB"
2038,68416.61052926,"CUB"
2039,71994.1600024982,"CUB"
2040,75758.7818859954,"CUB"
2041,79720.2583188786,"CUB"
2042,83888.8829547503,"CUB"
2043,88275.487709117,"CUB"
2044,92891.4709054569,"CUB"
2045,97748.8268930647,"CUB"
2046,102860.177213633,"CUB"
2047,108238.803397554,"CUB"
2048,113898.681475163,"CUB"
2049,119854.518292594,"CUB"
2050,126121.789726619,"CUB"
2021,2302.887,"CUW"
2022,2341.93311369819,"CUW"
2023,2381.64126552284,"CUW"
2024,2422.02268052145,"CUW"
2025,2463.08877406543,"CUW"
2026,2504.85115507713,"CUW"
2027,2547.32162931151,"CUW"
2028,2590.51220269351,"CUW"
2029,2634.435084712,"CUW"
2030,2679.10269187125,"CUW"
2031,2724.52765120097,"CUW"
2032,2770.72280382576,"CUW"
2033,2817.70120859523,"CUW"
2034,2865.47614577553,"CUW"
2035,2914.06112080357,"CUW"
2036,2963.46986810483,"CUW"
2037,3013.71635497595,"CUW"
2038,3064.81478553311,"CUW"
2039,3116.77960472737,"CUW"
2040,3169.62550242812,"CUW"
2041,3223.36741757571,"CUW"
2042,3278.02054240454,"CUW"
2043,3333.60032673774,"CUW"
2044,3390.12248235463,"CUW"
2045,3447.6029874323,"CUW"
2046,3506.05809106244,"CUW"
2047,3565.50431784476,"CUW"
2048,3625.95847255837,"CUW"
2049,3687.43764491221,"CUW"
2050,3749.9592143762,"CUW"
2021,1502.696,"CYM"
2022,1504.89619203372,"CYM"
2023,1507.09960550742,"CYM"
2024,1509.30624513783,"CYM"
2025,1511.51611564856,"CYM"
2026,1513.72922177015,"CYM"
2027,1515.94556824006,"CYM"
2028,1518.16515980268,"CYM"
2029,1520.38800120937,"CYM"
2030,1522.61409721843,"CYM"
2031,1524.84345259511,"CYM"
2032,1527.07607211168,"CYM"
2033,1529.31196054736,"CYM"
2034,1531.55112268838,"CYM"
2035,1533.79356332799,"CYM"
2036,1536.03928726643,"CYM"
2037,1538.28829931099,"CYM"
2038,1540.54060427601,"CYM"
2039,1542.79620698284,"CYM"
2040,1545.05511225992,"CYM"
2041,1547.31732494276,"CYM"
2042,1549.58284987393,"CYM"
2043,1551.85169190311,"CYM"
2044,1554.12385588707,"CYM"
2045,1556.39934668969,"CYM"
2046,1558.67816918198,"CYM"
2047,1560.96032824207,"CYM"
2048,1563.24582875524,"CYM"
2049,1565.53467561394,"CYM"
2050,1567.82687371774,"CYM"
2021,10391.96,"CYP"
2022,9740.53448589638,"CYP"
2023,9129.94392500901,"CYP"
2024,8557.6285566775,"CYP"
2025,8021.18908019362,"CYP"
2026,7518.37659628418,"CYP"
2027,7047.08317911754,"CYP"
2028,6605.33303930872,"CYP"
2029,6191.27424087634,"CYP"
2030,5803.17093742643,"CYP"
2031,5439.39609501516,"CYP"
2032,5098.42467118284,"CYP"
2033,4778.82722156372,"CYP"
2034,4479.26390726887,"CYP"
2035,4198.47887791941,"CYP"
2036,3935.29500678231,"CYP"
2037,3688.60895593699,"CYP"
2038,3457.3865507845,"CYP"
2039,3240.65844450813,"CYP"
2040,3037.51605430956,"CYP"
2041,2847.10775238416,"CYP"
2042,2668.63529566712,"CYP"
2043,2501.3504793827,"CYP"
2044,2344.55200036765,"CYP"
2045,2197.58251701878,"CYP"
2046,2059.82589353927,"CYP"
2047,1930.70461693093,"CYP"
2048,1809.67737590359,"CYP"
2049,1696.23679155187,"CYP"
2050,1589.90729028569,"CYP"
2021,325448.7,"CZE"
2022,337550.531454204,"CZE"
2023,350102.370312174,"CZE"
2024,363120.950129009,"CZE"
2025,376623.626698163,"CZE"
2026,390628.401189418,"CZE"
2027,405153.944147247,"CZE"
2028,420219.620381553,"CZE"
2029,435845.51478398,"CZE"
2030,452052.459104195,"CZE"
2031,468862.059721858,"CZE"
2032,486296.726451283,"CZE"
2033,504379.702417218,"CZE"
2034,523135.095041538,"CZE"
2035,542587.908182201,"CZE"
2036,562764.075467276,"CZE"
2037,583690.494868508,"CZE"
2038,605395.064560504,"CZE"
2039,627906.72011334,"CZE"
2040,651255.473068179,"CZE"
2041,675472.450947332,"CZE"
2042,700589.938752085,"CZE"
2043,726641.422003635,"CZE"
2044,753661.631384502,"CZE"
2045,781686.589039935,"CZE"
2046,810753.656601037,"CZE"
2047,840901.584993638,"CZE"
2048,872170.566099312,"CZE"
2049,904602.286337406,"CZE"
2050,938239.982239534,"CZE"
2021,4270852,"DEU"
2022,4338286.69922727,"DEU"
2023,4406786.159926,"DEU"
2024,4476367.19416776,"DEU"
2025,4547046.87947869,"DEU"
2026,4618842.56303081,"DEU"
2027,4691771.86589968,"DEU"
2028,4765852.68738915,"DEU"
2029,4841103.20942446,"DEU"
2030,4917541.90101474,"DEU"
2031,4995187.52278586,"DEU"
2032,5074059.13158497,"DEU"
2033,5154176.08515766,"DEU"
2034,5235558.04689902,"DEU"
2035,5318224.99067969,"DEU"
2036,5402197.20574813,"DEU"
2037,5487495.30171025,"DEU"
2038,5574140.21358777,"DEU"
2039,5662153.20695629,"DEU"
2040,5751555.88316465,"DEU"
2041,5842370.1846366,"DEU"
2042,5934618.40025619,"DEU"
2043,6028323.17083824,"DEU"
2044,6123507.49468516,"DEU"
2045,6220194.73323149,"DEU"
2046,6318408.61677757,"DEU"
2047,6418173.25031378,"DEU"
2048,6519513.11943672,"DEU"
2049,6622453.09635876,"DEU"
2050,6727018.44601257,"DEU"
2021,9573.719,"DJI"
2022,10516.2086313616,"DJI"
2023,11551.4821333616,"DJI"
2024,12688.6736612885,"DJI"
2025,13937.8165869891,"DJI"
2026,15309.9320226999,"DJI"
2027,16817.126059651,"DJI"
2028,18472.6965793751,"DJI"
2029,20291.2505801088,"DJI"
2030,22288.8330534521,"DJI"
2031,24483.0685483552,"DJI"
2032,26893.3166714452,"DJI"
2033,29540.8428956598,"DJI"
2034,32449.0061842253,"DJI"
2035,35643.4650853714,"DJI"
2036,39152.4041161454,"DJI"
2037,43006.7824326958,"DJI"
2038,47240.6069810287,"DJI"
2039,51891.2325382285,"DJI"
2040,56999.6912913897,"DJI"
2041,62611.0548621137,"DJI"
2042,68774.8319706914,"DJI"
2043,75545.4052485383,"DJI"
2044,82982.511052851,"DJI"
2045,91151.7665168628,"DJI"
2046,100125.248485828,"DJI"
2047,109982.129446654,"DJI"
2048,120809.37606195,"DJI"
2049,132702.516471612,"DJI"
2050,145766.483131809,"DJI"
2021,399.3032,"DMA"
2022,397.443116080581,"DMA"
2023,395.591697035842,"DMA"
2024,393.748902501985,"DMA"
2025,391.914692303237,"DMA"
2026,390.089026450979,"DMA"
2027,388.271865142872,"DMA"
2028,386.463168761989,"DMA"
2029,384.662897875951,"DMA"
2030,382.871013236069,"DMA"
2031,381.087475776484,"DMA"
2032,379.312246613323,"DMA"
2033,377.545287043842,"DMA"
2034,375.786558545592,"DMA"
2035,374.03602277557,"DMA"
2036,372.293641569388,"DMA"
2037,370.559376940442,"DMA"
2038,368.833191079079,"DMA"
2039,367.115046351779,"DMA"
2040,365.404905300329,"DMA"
2041,363.702730641007,"DMA"
2042,362.008485263775,"DMA"
2043,360.322132231462,"DMA"
2044,358.643634778964,"DMA"
2045,356.97295631244,"DMA"
2046,355.310060408515,"DMA"
2047,353.654910813486,"DMA"
2048,352.007471442533,"DMA"
2049,350.367706378928,"DMA"
2050,348.735579873258,"DMA"
2021,362342.5,"DNK"
2022,362006.924247755,"DNK"
2023,361671.659281811,"DNK"
2024,361336.70481434,"DNK"
2025,361002.060557782,"DNK"
2026,360667.726224841,"DNK"
2027,360333.701528487,"DNK"
2028,359999.986181957,"DNK"
2029,359666.579898755,"DNK"
2030,359333.482392646,"DNK"
2031,359000.693377665,"DNK"
2032,358668.212568108,"DNK"
2033,358336.039678538,"DNK"
2034,358004.174423781,"DNK"
2035,357672.616518928,"DNK"
2036,357341.365679333,"DNK"
2037,357010.421620614,"DNK"
2038,356679.784058653,"DNK"
2039,356349.452709594,"DNK"
2040,356019.427289846,"DNK"
2041,355689.707516077,"DNK"
2042,355360.293105221,"DNK"
2043,355031.183774472,"DNK"
2044,354702.379241286,"DNK"
2045,354373.879223383,"DNK"
2046,354045.683438741,"DNK"
2047,353717.791605602,"DNK"
2048,353390.203442467,"DNK"
2049,353062.918668099,"DNK"
2050,352735.937001521,"DNK"
2021,138331.5,"DOM"
2022,140235.858757676,"DOM"
2023,142166.434120232,"DOM"
2024,144123.587002001,"DOM"
2025,146107.683285891,"DOM"
2026,148119.093891785,"DOM"
2027,150158.194845883,"DOM"
2028,152225.367351,"DOM"
2029,154320.997857828,"DOM"
2030,156445.478137185,"DOM"
2031,158599.205353252,"DOM"
2032,160782.582137823,"DOM"
2033,162996.016665576,"DOM"
2034,165239.92273038,"DOM"
2035,167514.71982265,"DOM"
2036,169820.833207771,"DOM"
2037,172158.694005601,"DOM"
2038,174528.739271066,"DOM"
2039,176931.412075864,"DOM"
2040,179367.161591301,"DOM"
2041,181836.443172256,"DOM"
2042,184339.718442312,"DOM"
2043,186877.455380053,"DOM"
2044,189450.128406552,"DOM"
2045,192058.218474063,"DOM"
2046,194702.21315593,"DOM"
2047,197382.606737742,"DOM"
2048,200099.900309733,"DOM"
2049,202854.601860464,"DOM"
2050,205647.226371786,"DOM"
2021,82962.9,"DZA"
2022,86271.069381482,"DZA"
2023,89711.1529638486,"DZA"
2024,93288.4108636141,"DZA"
2025,97008.3129459439,"DZA"
2026,100876.547188443,"DZA"
2027,104899.02837845,"DZA"
2028,109081.907157142,"DZA"
2029,113431.579424275,"DZA"
2030,117954.696117936,"DZA"
2031,122658.173384273,"DZA"
2032,127549.20315274,"DZA"
2033,132635.264133037,"DZA"
2034,137924.133250555,"DZA"
2035,143423.897537808,"DZA"
2036,149142.966500047,"DZA"
2037,155090.084973953,"DZA"
2038,161274.346499072,"DZA"
2039,167705.207222441,"DZA"
2040,174392.500357666,"DZA"
2041,181346.451220561,"DZA"
2042,188577.692864336,"DZA"
2043,196097.282338237,"DZA"
2044,203916.717594516,"DZA"
2045,212047.955069562,"DZA"
2046,220503.427966085,"DZA"
2047,229296.065264314,"DZA"
2048,238439.311491263,"DZA"
2049,247947.147278308,"DZA"
2050,257834.110738504,"DZA"
2021,55827.44,"ECU"
2022,57387.8631731203,"ECU"
2023,58991.9014659597,"ECU"
2024,60640.7739572277,"ECU"
2025,62335.7337998931,"ECU"
2026,64078.0691735877,"ECU"
2027,65869.1042636308,"ECU"
2028,67710.2002674176,"ECU"
2029,69602.7564289377,"ECU"
2030,71548.2111022089,"ECU"
2031,73548.0428444344,"ECU"
2032,75603.7715397158,"ECU"
2033,77716.9595541737,"ECU"
2034,79889.2129233553,"ECU"
2035,82122.1825728314,"ECU"
2036,84417.5655729092,"ECU"
2037,86777.1064284164,"ECU"
2038,89202.5984045347,"ECU"
2039,91695.884889693,"ECU"
2040,94258.8607965526,"ECU"
2041,96893.474002153,"ECU"
2042,99601.7268283096,"ECU"
2043,102385.677563391,"ECU"
2044,105247.442026628,"ECU"
2045,108189.195176155,"ECU"
2046,111213.172761982,"ECU"
2047,114321.673025186,"ECU"
2048,117517.058444586,"ECU"
2049,120801.757532236,"ECU"
2050,124178.266679117,"ECU"
2021,522686.4,"EGY"
2022,545888.52231529,"EGY"
2023,570120.590081492,"EGY"
2024,595428.322721056,"EGY"
2025,621859.46914798,"EGY"
2026,649463.897857227,"EGY"
2027,678293.691013216,"EGY"
2028,708403.242714921,"EGY"
2029,739849.36162297,"EGY"
2030,772691.378142369,"EGY"
2031,806991.256363094,"EGY"
2032,842813.71096973,"EGY"
2033,880226.329340752,"EGY"
2034,919299.699067806,"EGY"
2035,960107.541135594,"EGY"
2036,1002726.84901363,"EGY"
2037,1047238.03392228,"EGY"
2038,1093725.07654725,"EGY"
2039,1142275.68548857,"EGY"
2040,1192981.46274332,"EGY"
2041,1245938.07653401,"EGY"
2042,1301245.4418089,"EGY"
2043,1359007.90875479,"EGY"
2044,1419334.45967782,"EGY"
2045,1482338.91462394,"EGY"
2046,1548140.14612684,"EGY"
2047,1616862.30348859,"EGY"
2048,1688635.04701611,"EGY"
2049,1763593.79265547,"EGY"
2050,1841879.9674855,"EGY"
2021,1009.479,"ERI"
2022,1006.70297413864,"ERI"
2023,1003.93458223458,"ERI"
2024,1001.17380329475,"ERI"
2025,998.420616383818,"ERI"
2026,995.675000624008,"ERI"
2027,992.936935194967,"ERI"
2028,990.206399333595,"ERI"
2029,987.48337233389,"ERI"
2030,984.76783354679,"ERI"
2031,982.059762380018,"ERI"
2032,979.359138297923,"ERI"
2033,976.665940821328,"ERI"
2034,973.980149527373,"ERI"
2035,971.301744049359,"ERI"
2036,968.630704076595,"ERI"
2037,965.967009354243,"ERI"
2038,963.310639683166,"ERI"
2039,960.661574919774,"ERI"
2040,958.019794975869,"ERI"
2041,955.385279818497,"ERI"
2042,952.758009469793,"ERI"
2043,950.137964006829,"ERI"
2044,947.525123561467,"ERI"
2045,944.919468320203,"ERI"
2046,942.320978524021,"ERI"
2047,939.72963446824,"ERI"
2048,937.145416502367,"ERI"
2049,934.568305029948,"ERI"
2050,931.998280508416,"ERI"
2021,1929142,"ESP"
2022,1932951.82742542,"ESP"
2023,1936769.17880968,"ESP"
2024,1940594.06901171,"ESP"
2025,1944426.51291979,"ESP"
2026,1948266.52545159,"ESP"
2027,1952114.12155425,"ESP"
2028,1955969.31620443,"ESP"
2029,1959832.12440836,"ESP"
2030,1963702.56120191,"ESP"
2031,1967580.64165065,"ESP"
2032,1971466.38084987,"ESP"
2033,1975359.79392473,"ESP"
2034,1979260.8960302,"ESP"
2035,1983169.70235122,"ESP"
2036,1987086.22810271,"ESP"
2037,1991010.48852962,"ESP"
2038,1994942.49890702,"ESP"
2039,1998882.27454016,"ESP"
2040,2002829.83076449,"ESP"
2041,2006785.18294577,"ESP"
2042,2010748.34648008,"ESP"
2043,2014719.33679392,"ESP"
