year,location_code,prodinit_ippu_metals_tonne
2019,ISL,1103852.91812852
2020,ISL,1212991.30076149
2010,ISR,3077807.14223238
2011,ISR,3450370.14243411
2012,ISR,3315546.99169215
2013,ISR,3989778.38146826
2014,ISR,4124907.29310928
2015,ISR,4236100.23599321
2016,ISR,4469078.16342039
2017,ISR,4812125.20668882
2018,ISR,4704997.54509006
2019,ISR,5392665.19220852
2020,ISR,6417832.34538416
2010,ITA,66282223.0358726
2011,ITA,71230170.4619684
2012,ITA,65180331.5665416
2013,ITA,71157489.3624736
2014,ITA,69547319.1297334
2015,ITA,61711486.4771135
2016,ITA,62894969.3362108
2017,ITA,66754420.8751677
2018,ITA,71188548.902813
2019,ITA,70322908.0847933
2020,ITA,64714321.1499689
2010,JAM,104124.609593448
2011,JAM,128680.084155241
2012,JAM,113890.753947989
2013,JAM,113597.574898082
2014,JAM,124027.803172458
2015,JAM,128643.470396428
2016,JAM,129961.584459341
2017,JAM,146626.26763033
2018,JAM,159722.989456785
2019,JAM,156231.572344347
2020,JAM,166113.674968843
2010,JOR,644536.68869215
2011,JOR,664253.033682638
2012,JOR,663566.8466561
2013,JOR,795539.802347382
2014,JOR,725546.453590827
2015,JOR,768733.28849449
2016,JOR,737076.682770782
2017,JOR,684843.504901618
2018,JOR,786825.234849902
2019,JOR,835519.511874811
2020,JOR,930096.015572212
2010,JPN,139807374.603567
2011,JPN,145371696.312626
2012,JPN,144261601.683554
2013,JPN,128157284.798234
2014,JPN,112153765.215334
2015,JPN,104979756.212876
2016,JPN,113680430.999433
2017,JPN,111090277.867487
2018,JPN,112859077.148048
2019,JPN,116001318.801086
2020,JPN,114692952.325669
2010,KAZ,4459219.64709775
2011,KAZ,5527189.23277018
2012,KAZ,7158356.68834754
2013,KAZ,8153438.31779107
2014,KAZ,6756247.84076671
2015,KAZ,8244984.26610348
2016,KAZ,6995572.95323419
2017,KAZ,8894230.05183169
2018,KAZ,8185477.6715234
2019,KAZ,8640285.083545
2020,KAZ,8575950.83973869
2010,KEN,898199.314725597
2011,KEN,937186.383875776
2012,KEN,1075759.65941683
2013,KEN,1565165.95314565
2014,KEN,1405865.16391427
2015,KEN,1818110.89896999
2016,KEN,1970369.2366484
2017,KEN,1773313.25606651
2018,KEN,2063754.30053743
2019,KEN,2415783.49140947
2020,KEN,3001593.47941947
2010,KGZ,93781.3907785238
2011,KGZ,132704.703964167
2012,KGZ,150334.81707036
2013,KGZ,185384.414328377
2014,KGZ,161698.769441187
2015,KGZ,186980.754736671
2016,KGZ,164197.915309394
2017,KGZ,199751.95875274
2018,KGZ,241753.330882207
2019,KGZ,263851.264468516
2020,KGZ,249883.233129098
2010,KHM,192299.964417699
2011,KHM,254639.735422511
2012,KHM,308994.593778837
2013,KHM,305013.359897522
2014,KHM,317008.064904264
2015,KHM,324431.587116139
2016,KHM,355401.693221611
2017,KHM,480155.51317743
2018,KHM,658395.222121302
2019,KHM,906898.167028244
2020,KHM,833723.357932887
2010,KIR,2061.49596948817
2011,KIR,2579.91819645805
2012,KIR,3740.27031296411
2013,KIR,1648.27530507305
2014,KIR,3352.94252411984
2015,KIR,1634.42365763393
2016,KIR,1959.23710839609
2017,KIR,1954.38123631168
2018,KIR,1482.59321851322
2019,KIR,1836.49789467822
2020,KIR,1889.08651804201
2010,KOR,36151507.4362583
2011,KOR,35747087.2349049
2012,KOR,35658768.984273
2013,KOR,38385860.9704234
2014,KOR,42338135.0880123
2015,KOR,43791935.9374594
2016,KOR,46368752.7239733
2017,KOR,48419036.8109972
2018,KOR,47609520.5302691
2019,KOR,50111213.8358236
2020,KOR,47522847.0918267
2010,KWT,1933778.035845
2011,KWT,2200156.49186395
2012,KWT,1651572.29214441
2013,KWT,2230759.13735258
2014,KWT,1867201.09071222
2015,KWT,1402790.39188065
2016,KWT,1693904.71647509
2017,KWT,1807676.70639278
2018,KWT,2177123.87053771
2019,KWT,2048555.42303396
2020,KWT,1901351.81562383
2010,LAO,401363.869150253
2011,LAO,471885.715317096
2012,LAO,551183.520794285
2013,LAO,613505.735996931
2014,LAO,567504.15063222
2015,LAO,655289.666686991
2016,LAO,654115.755970657
2017,LAO,559264.059221205
2018,LAO,559264.059221205
2019,LAO,559264.059221205
2020,LAO,559264.059221205
2010,LBN,772117.467541144
2011,LBN,900913.212938634
2012,LBN,1005723.79614748
2013,LBN,1015792.01783214
2014,LBN,901492.1250949
2015,LBN,830529.377918718
2016,LBN,886665.726567343
2017,LBN,994467.747544122
2018,LBN,1121536.96208788
2019,LBN,876146.567272252
2020,LBN,798750.940508234
2010,LBY,1811919.2525057
2011,LBY,373814.269395192
2012,LBY,856829.05913439
2013,LBY,822476.724792436
2014,LBY,652012.892772994
2015,LBY,593206.185197563
2016,LBY,666596.166906985
2017,LBY,630637.069974324
2018,LBY,715463.690500141
2019,LBY,660144.91066825
2020,LBY,778310.022184798
2010,LKA,1338500.14426684
2011,LKA,1338500.14426684
2012,LKA,1338500.14426684
2013,LKA,1338500.14426684
2014,LKA,1338500.14426684
2015,LKA,1145013.9270656
2016,LKA,1335937.08362927
2017,LKA,1377521.28329703
2018,LKA,1235300.70948914
2019,LKA,1426578.44236869
2020,LKA,1510649.41975131
2010,LSO,13432.5038462475
2011,LSO,13904.6469802096
2012,LSO,17936.8137818737
2013,LSO,19476.1165793974
2014,LSO,18800.0385230343
2015,LSO,19132.187751534
2016,LSO,17166.5612497188
2017,LSO,46007.9340829393
2018,LSO,25094.7183196997
2019,LSO,19270.482205194
2020,LSO,15795.0797589644
2010,LTU,593950.383724205
2011,LTU,660592.130978992
2012,LTU,709307.253538013
2013,LTU,818767.948821654
2014,LTU,928515.399560331
2015,LTU,820946.22231864
2016,LTU,915305.476930425
2017,LTU,1105711.08948285
2018,LTU,1241265.13164412
2019,LTU,1242756.37466912
2020,LTU,1375228.80404364
2010,LUX,1121713.74940627
2011,LUX,1179095.03586658
2012,LUX,1019524.66755318
2013,LUX,1085447.94008921
2014,LUX,1049434.97223154
2015,LUX,804203.887151956
2016,LUX,807093.44977965
2017,LUX,857834.522545733
2018,LUX,946271.171455776
2019,LUX,853739.970277113
2020,LUX,784206.195056122
2010,LVA,777912.96017434
2011,LVA,858976.05470103
2012,LVA,917945.806898289
2013,LVA,888961.084320978
2014,LVA,801728.381624526
2015,LVA,695967.170652009
2016,LVA,757098.226841098
2017,LVA,836109.302442925
2018,LVA,966195.828342384
2019,LVA,989549.394398413
2020,LVA,950218.577986371
2010,MAC,174662.514348862
2011,MAC,261459.085498311
2012,MAC,304335.855370719
2013,MAC,463077.11085476
2014,MAC,519476.130118245
2015,MAC,585004.806799993
2016,MAC,381462.426191559
2017,MAC,459370.915338801
2018,MAC,335123.523538684
2019,MAC,288336.80960802
2020,MAC,152627.655310761
2010,MAR,1473831.22762213
2011,MAR,1737459.33804131
2012,MAR,1610131.75648511
2013,MAR,1857132.64533847
2014,MAR,1984737.84588821
2015,MAR,2155990.59788103
2016,MAR,2159475.79937519
2017,MAR,2168183.15020904
2018,MAR,2238181.93821021
2019,MAR,2550529.03761205
2020,MAR,2502333.59032293
2010,MDA,227704.266596832
2011,MDA,251192.424187023
2012,MDA,248469.518832791
2013,MDA,244315.998163128
2014,MDA,296828.006924384
2015,MDA,237363.987565372
2016,MDA,193003.392270635
2017,MDA,320712.63437827
2018,MDA,408691.749890294
2019,MDA,352579.697664176
2020,MDA,396270.167760273
2010,MDG,127558.161787077
2011,MDG,129765.640192519
2012,MDG,163713.598073629
2013,MDG,422696.874624131
2014,MDG,534747.898352
2015,MDG,536724.69605287
2016,MDG,452934.046740891
2017,MDG,487869.775846014
2018,MDG,498192.674003147
2019,MDG,565173.081333056
2020,MDG,437527.831251015
2010,MDV,47623.3514560405
2011,MDV,47623.3514560405
2012,MDV,47623.3514560405
2013,MDV,47623.3514560405
2014,MDV,24076.1034960518
2015,MDV,36082.0538581338
2016,MDV,50909.8031214834
2017,MDV,54352.1032743191
2018,MDV,65329.557567784
2019,MDV,60982.6862625449
2020,MDV,41631.1526119665
2010,MEX,21700380.9841075
2011,MEX,24586038.5983064
2012,MEX,26334873.1501738
2013,MEX,29120203.254405
2014,MEX,28930114.8938487
2015,MEX,26996774.8237087
2016,MEX,25621793.5007735
2017,MEX,26397795.9750511
2018,MEX,27976062.2295101
2019,MEX,28937875.7092751
2020,MEX,25425029.7416747
2010,MHL,13066.9190120231
2011,MHL,9721.14597118141
2012,MHL,17218.1188069731
2013,MHL,11906.2906730513
2014,MHL,10650.7239300184
2015,MHL,15276.0393731789
2016,MHL,40797.5637086844
2017,MHL,27237.0812791934
2018,MHL,18855.7483183812
2019,MHL,19709.0311636258
2020,MHL,74687.4512152967
2010,MKD,634169.427320407
2011,MKD,645068.153012722
2012,MKD,553288.723108562
2013,MKD,592594.741379117
2014,MKD,510121.283888764
2015,MKD,458188.22506783
2016,MKD,454813.339849978
2017,MKD,426706.094845971
2018,MKD,488109.852507218
2019,MKD,475669.487703965
2020,MKD,486795.306248835
2010,MLI,133252.134961415
2011,MLI,128008.248635518
2012,MLI,107256.773604977
2013,MLI,90686.6602081936
2014,MLI,72611.7546805445
2015,MLI,78539.7648743263
2016,MLI,115355.673544955
2017,MLI,135230.378490203
2018,MLI,129976.017350864
2019,MLI,143687.78379236
2020,MLI,123386.954131275
2010,MLT,42189.544719491
2011,MLT,41447.5950692301
2012,MLT,44310.3283476271
2013,MLT,53566.2171140162
2014,MLT,60442.3348151866
2015,MLT,132225.964468492
2016,MLT,84815.9083473201
2017,MLT,78159.4466897854
2018,MLT,76593.1230442774
2019,MLT,73400.7823904763
2020,MLT,59621.1281828214
2010,MMR,2639401.54288567
2011,MMR,4759927.34266434
2012,MMR,8540156.47809439
2013,MMR,2710804.63082091
2014,MMR,2895551.04018024
2015,MMR,2774102.39546323
2016,MMR,1946015.08150503
2017,MMR,1984305.53845276
2018,MMR,2259653.31525866
2019,MMR,2633984.15714346
2020,MMR,3341479.76597189
2010,MNE,163271.213422465
2011,MNE,181094.938643184
2012,MNE,175322.319576468
2013,MNE,134360.067325135
2014,MNE,139475.05098049
2015,MNE,113787.56347876
2016,MNE,138959.540414064
2017,MNE,151153.947293602
2018,MNE,156688.881047879
2019,MNE,154669.324431294
2020,MNE,149473.563856517
2010,MNG,85492.3299680327
2011,MNG,148703.628571593
2012,MNG,169042.439119177
2013,MNG,213695.392316402
2014,MNG,209566.238456228
2015,MNG,205228.122341913
2016,MNG,127723.936563194
2017,MNG,164246.625980858
2018,MNG,180699.212000861
2019,MNG,206684.154795137
2020,MNG,228298.989933602
2010,MNP,893.612152804663
2011,MNP,612.666655500673
2012,MNP,792.454904012072
2013,MNP,868.44635628522
2014,MNP,1139.73776998982
2015,MNP,1899.39792148672
2016,MNP,2382.01606369976
2017,MNP,2127.6767754794
2018,MNP,3627.47949477018
2019,MNP,3855.58078825506
2020,MNP,1819.90688822836
2010,MOZ,1244086.29300052
2011,MOZ,1154892.69651879
2012,MOZ,1067151.02776536
2013,MOZ,1305090.50791447
2014,MOZ,1120076.67558866
2015,MOZ,897660.721172839
2016,MOZ,794535.780677651
2017,MOZ,846343.333156896
2018,MOZ,820974.230269457
2019,MOZ,972940.711502968
2020,MOZ,1063465.46006624
2010,MRT,61292.4534515309
2011,MRT,95877.4010895771
2012,MRT,86480.9562720219
2013,MRT,109578.477588709
2014,MRT,114444.163841913
2015,MRT,110196.181015445
2016,MRT,118383.808012512
2017,MRT,119893.157566114
2018,MRT,125223.328812326
2019,MRT,146547.02893668
2020,MRT,102277.46760123
2010,MUS,135732.462637033
2011,MUS,98610.4887225601
2012,MUS,95708.8690995165
2013,MUS,110417.082898496
2014,MUS,104465.290224358
2015,MUS,120463.384649688
2016,MUS,102132.336337633
2017,MUS,109368.571950853
2018,MUS,132726.290873664
2019,MUS,150276.78746701
2020,MUS,155024.077854734
2010,MYS,5982924.85218056
2011,MYS,7085502.22208074
2012,MYS,7558426.27442566
2013,MYS,9565311.47928471
2014,MYS,9508067.23772637
2015,MYS,9343944.61795267
2016,MYS,8721488.22024825
2017,MYS,9351344.25003446
2018,MYS,10955065.8551886
2019,MYS,12770678.7166461
2020,MYS,11995831.9603852
2010,NAM,407087.265398176
2011,NAM,539802.821510298
2012,NAM,460208.718720226
2013,NAM,507257.429857832
2014,NAM,650403.244745475
2015,NAM,596646.73034772
2016,NAM,648945.554334261
2017,NAM,746772.887993982
2018,NAM,1256821.11381198
2019,NAM,1228453.66937987
2020,NAM,1246951.61638163
2010,NCL,959435.683251397
2011,NCL,1070528.33590756
2012,NCL,1027045.51805679
2013,NCL,1200113.31047655
2014,NCL,1177405.56374622
2015,NCL,1119047.85930271
2016,NCL,1059825.72734154
2017,NCL,1112056.08899264
2018,NCL,1090682.26088443
2019,NCL,1090682.26088443
2020,NCL,1090682.26088443
2010,NER,55515.8869564101
2011,NER,41812.6394209132
2012,NER,48315.9413621296
2013,NER,63683.4795291557
2014,NER,77363.4684290743
2015,NER,65923.3020067466
2016,NER,62561.0702366653
2017,NER,68454.0753021174
2018,NER,73783.2205862669
2019,NER,112800.076906325
2020,NER,130710.2271703
2010,NGA,3772995.19489225
2011,NGA,3331386.77963805
2012,NGA,5778089.77181602
2013,NGA,7521150.64893752
2014,NGA,8640876.44489877
2015,NGA,7997545.33613555
2016,NGA,5122571.12573378
2017,NGA,4765866.62105715
2018,NGA,4302674.7790959
2019,NGA,5639729.3234038
2020,NGA,9310232.55494771
2010,NIC,112975.966260838
2011,NIC,126063.51631386
2012,NIC,147595.541345395
2013,NIC,167288.531097636
2014,NIC,147441.854799579
2015,NIC,168757.46913669
2016,NIC,189820.508197794
2017,NIC,185606.982195615
2018,NIC,171058.604878699
2019,NIC,166840.211783412
2020,NIC,188949.060947327
2010,NLD,20268477.7932083
2011,NLD,21512250.2402197
2012,NLD,18899183.8746595
2013,NLD,19993838.0532962
2014,NLD,20195372.8923975
2015,NLD,16093603.3828474
2016,NLD,17701912.8333964
2017,NLD,18466228.8012741
2018,NLD,19948535.5582425
2019,NLD,19209192.4291615
2020,NLD,18563639.4175662
2010,NOR,10807066.9571716
2011,NOR,11320885.6865304
2012,NOR,11466444.5645324
2013,NOR,11828169.3162604
2014,NOR,11488583.7321268
2015,NOR,9205658.25371967
2016,NOR,8816461.67420053
2017,NOR,11035779.3406614
2018,NOR,10405164.9059176
2019,NOR,10270020.6639828
2020,NOR,9990190.91502813
2010,NPL,456481.604069508
2011,NPL,551516.1127375
2012,NPL,518483.996783001
2013,NPL,516418.755709334
2014,NPL,660189.895779835
2015,NPL,478109.792606148
2016,NPL,675950.395423492
2017,NPL,790163.205986574
2018,NPL,1008057.54750964
2019,NPL,959399.889240669
2020,NPL,905228.645782654
2010,NRU,401.288535982316
2011,NRU,569.369860491332
2012,NRU,874.38766529532
2013,NRU,1051.92800262523
2014,NRU,707.346189718129
2015,NRU,569.039319866652
2016,NRU,582.499666630816
2017,NRU,973.715564747936
2018,NRU,994.461232901284
2019,NRU,611.074938822412
2020,NRU,509.764388278343
2010,NZL,2153804.93370073
2011,NZL,2630990.0370049
2012,NZL,2403195.38926505
2013,NZL,2620214.306724
2014,NZL,2519284.21490525
2015,NZL,2434960.52133542
2016,NZL,2526967.22642841
2017,NZL,2651175.09712841
2018,NZL,2756543.89108833
2019,NZL,2876541.32572919
2020,NZL,3149101.85680708
2010,OMN,1367193.74522034
2011,OMN,1767598.42020499
2012,OMN,2149181.87011827
2013,OMN,2041485.72213159
2014,OMN,2197983.1145753
2015,OMN,1981460.40829016
2016,OMN,2511332.2674746
2017,OMN,2659305.93236065
2018,OMN,3556215.8866794
2019,OMN,3547686.9185658
2020,OMN,3244558.45721221
2010,PAK,3743326.66306834
2011,PAK,4036529.96833713
2012,PAK,4638154.55262002
2013,PAK,4576341.79198075
2014,PAK,5540746.00963714
2015,PAK,6772412.72009262
2016,PAK,7908376.10090831
2017,PAK,8673497.93653174
2018,PAK,8342294.16468544
2019,PAK,8032957.60177738
2020,PAK,9176584.68129583
2010,PAN,329412.170184728
2011,PAN,358556.693602904
2012,PAN,452558.784671832
2013,PAN,637738.298426564
2014,PAN,606320.061287592
2015,PAN,576801.291414735
2016,PAN,594330.591812207
2017,PAN,740953.662869596
2018,PAN,592843.099160531
2019,PAN,682571.330767703
2020,PAN,626682.316451324
2010,PER,4941313.89440968
2011,PER,5067004.66318539
2012,PER,5458244.19794423
2013,PER,6006801.99881709
2014,PER,6170842.73066699
2015,PER,5534339.79452095
2016,PER,5239407.35483547
2017,PER,5305976.42178821
2018,PER,6067662.89541135
2019,PER,6355391.96059473
2020,PER,6318025.43231926
2010,PHL,5085545.06503391
2011,PHL,6092170.04334461
2012,PHL,6362054.63121593
2013,PHL,7347455.93016062
2014,PHL,7441791.53759968
2015,PHL,7189527.14145025
2016,PHL,6956555.74013382
2017,PHL,7259349.24561909
2018,PHL,7069010.28879677
2019,PHL,7897627.99462493
2020,PHL,9337943.91767279
2010,POL,16509184.3281122
2011,POL,19122108.2831803
2012,POL,18485104.7636219
2013,POL,20589923.8054737
2014,POL,20185736.1697906
2015,POL,18725144.5446204
2016,POL,18238714.1564694
2017,POL,20162026.8912024
2018,POL,22614585.6273175
2019,POL,22845729.812725
2020,POL,22255740.9817764
2010,PRT,5519499.21732893
2011,PRT,5579497.53802099
2012,PRT,5058356.52297882
2013,PRT,5538561.24446177
2014,PRT,5533357.54579664
2015,PRT,5017049.39954414
2016,PRT,5155413.4360934
2017,PRT,5658744.90122441
2018,PRT,6177424.94517709
2019,PRT,5857817.05188529
2020,PRT,5956364.14283573
2010,PRY,230386.621720918
2011,PRY,300350.051879983
2012,PRY,336144.085823273
2013,PRY,386366.29455632
2014,PRY,406960.80976051
2015,PRY,369189.428968967
2016,PRY,373643.447799493
2017,PRY,398357.885470165
2018,PRY,443378.387368673
2019,PRY,427988.12578654
2020,PRY,489947.653299795
2010,PSE,160931.751114172
2011,PSE,198398.090425662
2012,PSE,193425.684556051
2013,PSE,212232.621526981
2014,PSE,219326.840162319
2015,PSE,232976.857412579
2016,PSE,228475.487193963
2017,PSE,261374.52014366
2018,PSE,334029.359127569
2019,PSE,317623.813944554
2020,PSE,322315.282367091
2010,PYF,51839.1493818872
2011,PYF,51839.1493818872
2012,PYF,51839.1493818872
2013,PYF,51839.1493818872
2014,PYF,51839.1493818872
2015,PYF,51839.1493818872
2016,PYF,51839.1493818872
2017,PYF,43514.0220231004
2018,PYF,51839.1493818872
2019,PYF,53969.0759266302
2020,PYF,58034.3501959309
2010,QAT,1895774.37891228
2011,QAT,1261209.04692051
2012,QAT,1524506.28213262
2013,QAT,1902663.16114179
2014,QAT,2107496.87687559
2015,QAT,2222873.8184166
2016,QAT,1867604.81956354
2017,QAT,1752251.15157058
2018,QAT,2027800.4589015
2019,QAT,2197206.87785502
2020,QAT,1703370.34000372
2010,ROU,6498563.59275532
2011,ROU,7406154.94270676
2012,ROU,6844484.34560227
2013,ROU,6915913.2420214
2014,ROU,6822604.33727223
2015,ROU,6229133.97896125
2016,ROU,6169987.7754449
2017,ROU,7032669.41433971
2018,ROU,8045326.53636133
2019,ROU,8261545.27237773
2020,ROU,8277175.79933693
2010,RUS,41713571.730911
2011,RUS,49019137.7473293
2012,RUS,52804290.2590708
2013,RUS,54352769.821003
2014,RUS,49680756.0750166
2015,RUS,37681931.0355013
2016,RUS,41166460.1013082
2017,RUS,49707367.0794999
2018,RUS,48088326.382271
2019,RUS,49441115.6123546
2020,RUS,48482409.1127835
2010,RWA,94668.4874925332
2011,RWA,95587.9006974474
2012,RWA,111825.398778941
2013,RWA,95047.2271369021
2014,RWA,110885.219065768
2015,RWA,99770.8397152991
2016,RWA,85491.698163665
2017,RWA,87574.2629784096
2018,RWA,109611.350748827
2019,RWA,98123.5197699048
2020,RWA,121564.971725844
2010,SAU,8059061.67623251
2011,SAU,10769751.3856458
2012,SAU,13592222.0571264
2013,SAU,14173114.3082649
2014,SAU,12847564.0963115
2015,SAU,11142651.4189883
2016,SAU,10741815.5233979
2017,SAU,10311022.9246246
2018,SAU,12089801.7617502
2019,SAU,12731428.1128513
2020,SAU,14314800.2540108
2010,SDN,850617.783350731
2011,SDN,1271813.45212016
2012,SDN,1119334.9524981
2013,SDN,1108186.70959081
2014,SDN,18609365.7301976
2015,SDN,22677056.2845307
2016,SDN,19101963.5274583
2017,SDN,20201679.1595304
2018,SDN,20162556.0609598
2019,SDN,20397392.0230748
2020,SDN,42972983.8221039
2010,SEN,370728.866011056
2011,SEN,469439.447669045
2012,SEN,441876.465016182
2013,SEN,442728.271844787
2014,SEN,449602.667046077
2015,SEN,488204.040709782
2016,SEN,549874.215870622
2017,SEN,607649.491580205
2018,SEN,669537.731793767
2019,SEN,667037.028769782
2020,SEN,720741.03976083
2010,SGP,2261112.5656366
2011,SGP,2608177.28377378
2012,SGP,2727875.28111107
2013,SGP,2954344.99781244
2014,SGP,2977833.60667775
2015,SGP,2824051.79561317
2016,SGP,2746425.54772672
2017,SGP,2154822.58778752
2018,SGP,2522020.13119713
2019,SGP,2644987.84921622
2020,SGP,2152735.78213382
2010,SLB,7939.0109122818
2011,SLB,11445.7412866761
2012,SLB,11335.1521201481
2013,SLB,9899.95809689945
2014,SLB,8974.0859325753
2015,SLB,15598.6225197657
2016,SLB,25497.4953911151
2017,SLB,23060.8769887574
2018,SLB,23296.1458554442
2019,SLB,17766.5079472992
2020,SLB,30988.9545015172
2010,SLE,56070.2185572399
2011,SLE,64941.650212379
2012,SLE,62011.2024052801
2013,SLE,52850.3768043935
2014,SLE,51435.2024117633
2015,SLE,60125.342640578
2016,SLE,43185.2277537436
2017,SLE,59365.5874684124
2018,SLE,86369.6204503942
2019,SLE,88379.4550956756
2020,SLE,87219.7032545946
2010,SLV,342799.480075637
2011,SLV,377642.479004978
2012,SLV,395227.089245284
2013,SLV,461093.7009761
2014,SLV,411710.672808765
2015,SLV,454694.771829416
2016,SLV,488921.317581452
2017,SLV,540670.793726652
2018,SLV,580229.131052459
2019,SLV,547339.903030655
2020,SLV,545519.857413516
2010,SMR,6860.1728411625
2011,SMR,6860.1728411625
2012,SMR,6860.1728411625
2013,SMR,6860.1728411625
2014,SMR,6860.1728411625
2015,SMR,7668.14997073455
2016,SMR,6699.13703407645
2017,SMR,7048.4304256002
2018,SMR,7471.8566474783
2019,SMR,6972.48963073503
2020,SMR,5300.97333835048
2010,SOM,49487.7501034563
2011,SOM,49487.7501034563
2012,SOM,49487.7501034563
2013,SOM,25839.3180016095
2014,SOM,21427.5180911836
2015,SOM,34369.1331977521
2016,SOM,62283.0566560896
2017,SOM,39491.4501720096
2018,SOM,67728.9415210004
2019,SOM,74760.6337437652
2020,SOM,70001.9494442403
2010,SRB,1979571.53008393
2011,SRB,2123396.17791612
2012,SRB,1614596.81477551
2013,SRB,1736049.45496675
2014,SRB,1595300.45123249
2015,SRB,1432576.01459763
2016,SRB,1451676.00004668
2017,SRB,1723187.06722606
2018,SRB,2000415.37619662
2019,SRB,2053042.72438099
2020,SRB,1994744.30964635
2010,SSD,25224.525693099
2011,SSD,25224.525693099
2012,SSD,3595.57263100254
2013,SSD,21858.5392195787
2014,SSD,26354.6298875992
2015,SSD,49089.3610342156
2016,SSD,25224.525693099
2017,SSD,25224.525693099
2018,SSD,25224.525693099
2019,SSD,25224.525693099
2020,SSD,25224.525693099
2010,SUR,59425.3722361745
2011,SUR,59425.3722361745
2012,SUR,59425.3722361745
2013,SUR,59425.3722361745
2014,SUR,59425.3722361745
2015,SUR,59425.3722361745
2016,SUR,59425.3722361745
2017,SUR,59425.3722361745
2018,SUR,59425.3722361745
2019,SUR,59425.3722361745
2020,SUR,59425.3722361745
2010,SVK,3801975.83418062
2011,SVK,3869107.9597753
2012,SVK,3799697.69012352
2013,SVK,3892261.46382332
2014,SVK,3788363.64014286
2015,SVK,3419274.22469093
2016,SVK,3491775.54280296
2017,SVK,3809451.40125661
2018,SVK,4153415.75028918
2019,SVK,4081420.01179045
2020,SVK,3993440.2351798
2010,SVN,2026453.93477221
2011,SVN,2168918.63683414
2012,SVN,2025691.39836046
2013,SVN,2202198.20143359
2014,SVN,2209382.10191726
2015,SVN,2069631.61229651
2016,SVN,2169428.799923
2017,SVN,2346780.66781351
2018,SVN,2568474.26999443
2019,SVN,2578934.97341868
2020,SVN,2510416.58983751
2010,SWE,13904405.3095125
2011,SWE,15620918.8959632
2012,SWE,14426664.8533987
2013,SWE,14946306.7822641
2014,SWE,14361555.0439645
2015,SWE,12584876.9531112
2016,SWE,13107017.0451591
2017,SWE,14268843.2727528
2018,SWE,14554781.0156658
2019,SWE,14104660.1385956
2020,SWE,13982378.5540062
2010,SWZ,49152.6409049659
2011,SWZ,61771.0964516787
2012,SWZ,55703.5229148588
2013,SWZ,65712.5533406557
2014,SWZ,62685.1181062373
2015,SWZ,51204.3644613913
2016,SWZ,54708.0027576835
2017,SWZ,58581.2421378956
2018,SWZ,64908.9961342252
2019,SWZ,60042.5629041271
2020,SWZ,55071.3806550393
2010,SXM,4286.3043594601
2011,SXM,1046.99515356696
2012,SXM,1098.47125534934
2013,SXM,4140.8193008838
2014,SXM,3814.22981438078
2015,SXM,4223.28225939581
2016,SXM,4549.8745769148
2017,SXM,6205.78441572882
2018,SXM,9210.97809946047
2019,SXM,4286.3043594601
2020,SXM,4286.3043594601
2010,SYC,14264.0210966612
2011,SYC,12528.0950343865
2012,SYC,16719.9651192585
2013,SYC,20240.2465923219
2014,SYC,13567.1324980372
2015,SYC,16362.0353311449
2016,SYC,15029.0318605703
2017,SYC,15207.8087925762
2018,SYC,17935.5856040762
2019,SYC,17850.7820601769
2020,SYC,24925.9254889426
2010,SYR,1526722.5483194
2011,SYR,1539825.43212883
2012,SYR,934132.894289252
2013,SYR,732340.176521354
2014,SYR,414909.666683655
2015,SYR,282822.145137414
2016,SYR,180184.691712252
2017,SYR,291278.708727276
2018,SYR,379694.017093956
2019,SYR,375300.437997613
2020,SYR,240870.616442195
2010,TCD,93217.7486678193
2011,TCD,36674.229372428
2012,TCD,63144.0609651252
2013,TCD,79508.9486488939
2014,TCD,71681.7239356145
2015,TCD,54038.2363273708
2016,TCD,47272.6799092404
2017,TCD,38003.0600303931
2018,TCD,51374.0003681796
2019,TCD,59939.1651852519
2020,TCD,34470.8596196299
2010,TGO,100500.512325995
2011,TGO,91722.0103273841
2012,TGO,149363.817163541
2013,TGO,164193.877605795
2014,TGO,151562.687707332
2015,TGO,147490.947822369
2016,TGO,154019.911549067
2017,TGO,203335.382005114
2018,TGO,271492.410179486
2019,TGO,317705.461346184
2020,TGO,274334.144702647
2010,THA,8931741.3046391
2011,THA,8979357.38134387
2012,THA,10513752.1424767
2013,THA,11333136.1031204
2014,THA,10650164.3697948
2015,THA,10870866.6340861
2016,THA,11803649.0810204
2017,THA,12592070.6310657
2018,THA,13696784.5712241
2019,THA,15110445.0085303
2020,THA,15111167.8557039
2010,TJK,850569.522569558
2011,TJK,651712.549410671
2012,TJK,743982.219537497
2013,TJK,832437.346591642
2014,TJK,624694.718438774
2015,TJK,635147.823759502
2016,TJK,635147.823759502
2017,TJK,465388.292014148
2018,TJK,553860.409122409
2019,TJK,527154.205278772
2020,TJK,466531.150872048
2010,TKM,375059.794301091
2011,TKM,477961.978789386
2012,TKM,868937.61623278
2013,TKM,736725.121713542
2014,TKM,884886.176760662
2015,TKM,705047.568744664
2016,TKM,630963.669765805
2017,TKM,357770.644384397
2018,TKM,684538.257064232
2019,TKM,635765.647528506
2020,TKM,635765.647528506
2010,TLS,6722.31347842499
2011,TLS,13342.2241812848
2012,TLS,10082.4178517228
2013,TLS,20556.54806449
2014,TLS,16725.9394257296
2015,TLS,22344.0698874154
2016,TLS,25090.8361195051
2017,TLS,30695.4069781324
2018,TLS,29369.2751514681
