iso_code3,Nation,Year,pop_lvst_initial_sheep
BWA,Botswana,2024,133502.0
BWA,Botswana,2025,133502.0
BWA,Botswana,2026,133502.0
BWA,Botswana,2027,133502.0
BWA,Botswana,2028,133502.0
BWA,Botswana,2029,133502.0
BWA,Botswana,2030,133502.0
BWA,Botswana,2031,133502.0
BWA,Botswana,2032,133502.0
BWA,Botswana,2033,133502.0
BWA,Botswana,2034,133502.0
BWA,Botswana,2035,133502.0
BWA,Botswana,2036,133502.0
BWA,Botswana,2037,133502.0
BWA,Botswana,2038,133502.0
BWA,Botswana,2039,133502.0
BWA,Botswana,2040,133502.0
BWA,Botswana,2041,133502.0
BWA,Botswana,2042,133502.0
BWA,Botswana,2043,133502.0
BWA,Botswana,2044,133502.0
BWA,Botswana,2045,133502.0
BWA,Botswana,2046,133502.0
BWA,Botswana,2047,133502.0
BWA,Botswana,2048,133502.0
BWA,Botswana,2049,133502.0
BWA,Botswana,2050,133502.0
CAF,Central African Republic,2023,441336.0
CAF,Central African Republic,2024,441336.0
CAF,Central African Republic,2025,441336.0
CAF,Central African Republic,2026,441336.0
CAF,Central African Republic,2027,441336.0
CAF,Central African Republic,2028,441336.0
CAF,Central African Republic,2029,441336.0
CAF,Central African Republic,2030,441336.0
CAF,Central African Republic,2031,441336.0
CAF,Central African Republic,2032,441336.0
CAF,Central African Republic,2033,441336.0
CAF,Central African Republic,2034,441336.0
CAF,Central African Republic,2035,441336.0
CAF,Central African Republic,2036,441336.0
CAF,Central African Republic,2037,441336.0
CAF,Central African Republic,2038,441336.0
CAF,Central African Republic,2039,441336.0
CAF,Central African Republic,2040,441336.0
CAF,Central African Republic,2041,441336.0
CAF,Central African Republic,2042,441336.0
CAF,Central African Republic,2043,441336.0
CAF,Central African Republic,2044,441336.0
CAF,Central African Republic,2045,441336.0
CAF,Central African Republic,2046,441336.0
CAF,Central African Republic,2047,441336.0
CAF,Central African Republic,2048,441336.0
CAF,Central African Republic,2049,441336.0
CAF,Central African Republic,2050,441336.0
CAN,Canada,2023,822200.0
CAN,Canada,2024,822200.0
CAN,Canada,2025,822200.0
CAN,Canada,2026,822200.0
CAN,Canada,2027,822200.0
CAN,Canada,2028,822200.0
CAN,Canada,2029,822200.0
CAN,Canada,2030,822200.0
CAN,Canada,2031,822200.0
CAN,Canada,2032,822200.0
CAN,Canada,2033,822200.0
CAN,Canada,2034,822200.0
CAN,Canada,2035,822200.0
CAN,Canada,2036,822200.0
CAN,Canada,2037,822200.0
CAN,Canada,2038,822200.0
CAN,Canada,2039,822200.0
CAN,Canada,2040,822200.0
CAN,Canada,2041,822200.0
CAN,Canada,2042,822200.0
CAN,Canada,2043,822200.0
CAN,Canada,2044,822200.0
CAN,Canada,2045,822200.0
CAN,Canada,2046,822200.0
CAN,Canada,2047,822200.0
CAN,Canada,2048,822200.0
CAN,Canada,2049,822200.0
CAN,Canada,2050,822200.0
CHE,Switzerland,2023,355893.0
CHE,Switzerland,2024,355893.0
CHE,Switzerland,2025,355893.0
CHE,Switzerland,2026,355893.0
CHE,Switzerland,2027,355893.0
CHE,Switzerland,2028,355893.0
CHE,Switzerland,2029,355893.0
CHE,Switzerland,2030,355893.0
CHE,Switzerland,2031,355893.0
CHE,Switzerland,2032,355893.0
CHE,Switzerland,2033,355893.0
CHE,Switzerland,2034,355893.0
CHE,Switzerland,2035,355893.0
CHE,Switzerland,2036,355893.0
CHE,Switzerland,2037,355893.0
CHE,Switzerland,2038,355893.0
CHE,Switzerland,2039,355893.0
CHE,Switzerland,2040,355893.0
CHE,Switzerland,2041,355893.0
CHE,Switzerland,2042,355893.0
CHE,Switzerland,2043,355893.0
CHE,Switzerland,2044,355893.0
CHE,Switzerland,2045,355893.0
CHE,Switzerland,2046,355893.0
CHE,Switzerland,2047,355893.0
CHE,Switzerland,2048,355893.0
CHE,Switzerland,2049,355893.0
CHE,Switzerland,2050,355893.0
CHL,Chile,2023,1830249.0
CHL,Chile,2024,1830249.0
CHL,Chile,2025,1830249.0
CHL,Chile,2026,1830249.0
CHL,Chile,2027,1830249.0
CHL,Chile,2028,1830249.0
CHL,Chile,2029,1830249.0
CHL,Chile,2030,1830249.0
CHL,Chile,2031,1830249.0
CHL,Chile,2032,1830249.0
CHL,Chile,2033,1830249.0
CHL,Chile,2034,1830249.0
CHL,Chile,2035,1830249.0
CHL,Chile,2036,1830249.0
CHL,Chile,2037,1830249.0
CHL,Chile,2038,1830249.0
CHL,Chile,2039,1830249.0
CHL,Chile,2040,1830249.0
CHL,Chile,2041,1830249.0
CHL,Chile,2042,1830249.0
CHL,Chile,2043,1830249.0
CHL,Chile,2044,1830249.0
CHL,Chile,2045,1830249.0
CHL,Chile,2046,1830249.0
CHL,Chile,2047,1830249.0
CHL,Chile,2048,1830249.0
CHL,Chile,2049,1830249.0
CHL,Chile,2050,1830249.0
CHN,"China, mainland",2023,194030100.0
CHN,"China, mainland",2024,194030100.0
CHN,"China, mainland",2025,194030100.0
CHN,"China, mainland",2026,194030100.0
CHN,"China, mainland",2027,194030100.0
CHN,"China, mainland",2028,194030100.0
CHN,"China, mainland",2029,194030100.0
CHN,"China, mainland",2030,194030100.0
CHN,"China, mainland",2031,194030100.0
CHN,"China, mainland",2032,194030100.0
CHN,"China, mainland",2033,194030100.0
CHN,"China, mainland",2034,194030100.0
CHN,"China, mainland",2035,194030100.0
CHN,"China, mainland",2036,194030100.0
CHN,"China, mainland",2037,194030100.0
CHN,"China, mainland",2038,194030100.0
CHN,"China, mainland",2039,194030100.0
CHN,"China, mainland",2040,194030100.0
CHN,"China, mainland",2041,194030100.0
CHN,"China, mainland",2042,194030100.0
CHN,"China, mainland",2043,194030100.0
CHN,"China, mainland",2044,194030100.0
CHN,"China, mainland",2045,194030100.0
CHN,"China, mainland",2046,194030100.0
CHN,"China, mainland",2047,194030100.0
CHN,"China, mainland",2048,194030100.0
CHN,"China, mainland",2049,194030100.0
CHN,"China, mainland",2050,194030100.0
CIV,Côte d'Ivoire,2023,2271386.0
CIV,Côte d'Ivoire,2024,2271386.0
CIV,Côte d'Ivoire,2025,2271386.0
CIV,Côte d'Ivoire,2026,2271386.0
CIV,Côte d'Ivoire,2027,2271386.0
CIV,Côte d'Ivoire,2028,2271386.0
CIV,Côte d'Ivoire,2029,2271386.0
CIV,Côte d'Ivoire,2030,2271386.0
CIV,Côte d'Ivoire,2031,2271386.0
CIV,Côte d'Ivoire,2032,2271386.0
CIV,Côte d'Ivoire,2033,2271386.0
CIV,Côte d'Ivoire,2034,2271386.0
CIV,Côte d'Ivoire,2035,2271386.0
CIV,Côte d'Ivoire,2036,2271386.0
CIV,Côte d'Ivoire,2037,2271386.0
CIV,Côte d'Ivoire,2038,2271386.0
CIV,Côte d'Ivoire,2039,2271386.0
CIV,Côte d'Ivoire,2040,2271386.0
CIV,Côte d'Ivoire,2041,2271386.0
CIV,Côte d'Ivoire,2042,2271386.0
CIV,Côte d'Ivoire,2043,2271386.0
CIV,Côte d'Ivoire,2044,2271386.0
CIV,Côte d'Ivoire,2045,2271386.0
CIV,Côte d'Ivoire,2046,2271386.0
CIV,Côte d'Ivoire,2047,2271386.0
CIV,Côte d'Ivoire,2048,2271386.0
CIV,Côte d'Ivoire,2049,2271386.0
CIV,Côte d'Ivoire,2050,2271386.0
CMR,Cameroon,2023,3605529.0
CMR,Cameroon,2024,3605529.0
CMR,Cameroon,2025,3605529.0
CMR,Cameroon,2026,3605529.0
CMR,Cameroon,2027,3605529.0
CMR,Cameroon,2028,3605529.0
CMR,Cameroon,2029,3605529.0
CMR,Cameroon,2030,3605529.0
CMR,Cameroon,2031,3605529.0
CMR,Cameroon,2032,3605529.0
CMR,Cameroon,2033,3605529.0
CMR,Cameroon,2034,3605529.0
CMR,Cameroon,2035,3605529.0
CMR,Cameroon,2036,3605529.0
CMR,Cameroon,2037,3605529.0
CMR,Cameroon,2038,3605529.0
CMR,Cameroon,2039,3605529.0
CMR,Cameroon,2040,3605529.0
CMR,Cameroon,2041,3605529.0
CMR,Cameroon,2042,3605529.0
CMR,Cameroon,2043,3605529.0
CMR,Cameroon,2044,3605529.0
CMR,Cameroon,2045,3605529.0
CMR,Cameroon,2046,3605529.0
CMR,Cameroon,2047,3605529.0
CMR,Cameroon,2048,3605529.0
CMR,Cameroon,2049,3605529.0
CMR,Cameroon,2050,3605529.0
COD,Democratic Republic of the Congo,2023,917265.0
COD,Democratic Republic of the Congo,2024,917265.0
COD,Democratic Republic of the Congo,2025,917265.0
COD,Democratic Republic of the Congo,2026,917265.0
COD,Democratic Republic of the Congo,2027,917265.0
COD,Democratic Republic of the Congo,2028,917265.0
COD,Democratic Republic of the Congo,2029,917265.0
COD,Democratic Republic of the Congo,2030,917265.0
COD,Democratic Republic of the Congo,2031,917265.0
COD,Democratic Republic of the Congo,2032,917265.0
COD,Democratic Republic of the Congo,2033,917265.0
COD,Democratic Republic of the Congo,2034,917265.0
COD,Democratic Republic of the Congo,2035,917265.0
COD,Democratic Republic of the Congo,2036,917265.0
COD,Democratic Republic of the Congo,2037,917265.0
COD,Democratic Republic of the Congo,2038,917265.0
COD,Democratic Republic of the Congo,2039,917265.0
COD,Democratic Republic of the Congo,2040,917265.0
COD,Democratic Republic of the Congo,2041,917265.0
COD,Democratic Republic of the Congo,2042,917265.0
COD,Democratic Republic of the Congo,2043,917265.0
COD,Democratic Republic of the Congo,2044,917265.0
COD,Democratic Republic of the Congo,2045,917265.0
COD,Democratic Republic of the Congo,2046,917265.0
COD,Democratic Republic of the Congo,2047,917265.0
COD,Democratic Republic of the Congo,2048,917265.0
COD,Democratic Republic of the Congo,2049,917265.0
COD,Democratic Republic of the Congo,2050,917265.0
COG,Congo,2023,126990.0
COG,Congo,2024,126990.0
COG,Congo,2025,126990.0
COG,Congo,2026,126990.0
COG,Congo,2027,126990.0
COG,Congo,2028,126990.0
COG,Congo,2029,126990.0
COG,Congo,2030,126990.0
COG,Congo,2031,126990.0
COG,Congo,2032,126990.0
COG,Congo,2033,126990.0
COG,Congo,2034,126990.0
COG,Congo,2035,126990.0
COG,Congo,2036,126990.0
COG,Congo,2037,126990.0
COG,Congo,2038,126990.0
COG,Congo,2039,126990.0
COG,Congo,2040,126990.0
COG,Congo,2041,126990.0
COG,Congo,2042,126990.0
COG,Congo,2043,126990.0
COG,Congo,2044,126990.0
COG,Congo,2045,126990.0
COG,Congo,2046,126990.0
COG,Congo,2047,126990.0
COG,Congo,2048,126990.0
COG,Congo,2049,126990.0
COG,Congo,2050,126990.0
COK,Cook Islands,2023,0.0
COK,Cook Islands,2024,0.0
COK,Cook Islands,2025,0.0
COK,Cook Islands,2026,0.0
COK,Cook Islands,2027,0.0
COK,Cook Islands,2028,0.0
COK,Cook Islands,2029,0.0
COK,Cook Islands,2030,0.0
COK,Cook Islands,2031,0.0
COK,Cook Islands,2032,0.0
COK,Cook Islands,2033,0.0
COK,Cook Islands,2034,0.0
COK,Cook Islands,2035,0.0
COK,Cook Islands,2036,0.0
COK,Cook Islands,2037,0.0
COK,Cook Islands,2038,0.0
COK,Cook Islands,2039,0.0
COK,Cook Islands,2040,0.0
COK,Cook Islands,2041,0.0
COK,Cook Islands,2042,0.0
COK,Cook Islands,2043,0.0
COK,Cook Islands,2044,0.0
COK,Cook Islands,2045,0.0
COK,Cook Islands,2046,0.0
COK,Cook Islands,2047,0.0
COK,Cook Islands,2048,0.0
COK,Cook Islands,2049,0.0
COK,Cook Islands,2050,0.0
COL,Colombia,2023,1819247.0
COL,Colombia,2024,1819247.0
COL,Colombia,2025,1819247.0
COL,Colombia,2026,1819247.0
COL,Colombia,2027,1819247.0
COL,Colombia,2028,1819247.0
COL,Colombia,2029,1819247.0
COL,Colombia,2030,1819247.0
COL,Colombia,2031,1819247.0
COL,Colombia,2032,1819247.0
COL,Colombia,2033,1819247.0
COL,Colombia,2034,1819247.0
COL,Colombia,2035,1819247.0
COL,Colombia,2036,1819247.0
COL,Colombia,2037,1819247.0
COL,Colombia,2038,1819247.0
COL,Colombia,2039,1819247.0
COL,Colombia,2040,1819247.0
COL,Colombia,2041,1819247.0
COL,Colombia,2042,1819247.0
COL,Colombia,2043,1819247.0
COL,Colombia,2044,1819247.0
COL,Colombia,2045,1819247.0
COL,Colombia,2046,1819247.0
COL,Colombia,2047,1819247.0
COL,Colombia,2048,1819247.0
COL,Colombia,2049,1819247.0
COL,Colombia,2050,1819247.0
COM,Comoros,2023,25660.0
COM,Comoros,2024,25660.0
COM,Comoros,2025,25660.0
COM,Comoros,2026,25660.0
COM,Comoros,2027,25660.0
COM,Comoros,2028,25660.0
COM,Comoros,2029,25660.0
COM,Comoros,2030,25660.0
COM,Comoros,2031,25660.0
COM,Comoros,2032,25660.0
COM,Comoros,2033,25660.0
COM,Comoros,2034,25660.0
COM,Comoros,2035,25660.0
COM,Comoros,2036,25660.0
COM,Comoros,2037,25660.0
COM,Comoros,2038,25660.0
COM,Comoros,2039,25660.0
COM,Comoros,2040,25660.0
COM,Comoros,2041,25660.0
COM,Comoros,2042,25660.0
COM,Comoros,2043,25660.0
COM,Comoros,2044,25660.0
COM,Comoros,2045,25660.0
COM,Comoros,2046,25660.0
COM,Comoros,2047,25660.0
COM,Comoros,2048,25660.0
COM,Comoros,2049,25660.0
COM,Comoros,2050,25660.0
CPV,Cabo Verde,2023,19229.0
CPV,Cabo Verde,2024,19229.0
CPV,Cabo Verde,2025,19229.0
CPV,Cabo Verde,2026,19229.0
CPV,Cabo Verde,2027,19229.0
CPV,Cabo Verde,2028,19229.0
CPV,Cabo Verde,2029,19229.0
CPV,Cabo Verde,2030,19229.0
CPV,Cabo Verde,2031,19229.0
CPV,Cabo Verde,2032,19229.0
CPV,Cabo Verde,2033,19229.0
CPV,Cabo Verde,2034,19229.0
CPV,Cabo Verde,2035,19229.0
CPV,Cabo Verde,2036,19229.0
CPV,Cabo Verde,2037,19229.0
CPV,Cabo Verde,2038,19229.0
CPV,Cabo Verde,2039,19229.0
CPV,Cabo Verde,2040,19229.0
CPV,Cabo Verde,2041,19229.0
CPV,Cabo Verde,2042,19229.0
CPV,Cabo Verde,2043,19229.0
CPV,Cabo Verde,2044,19229.0
CPV,Cabo Verde,2045,19229.0
CPV,Cabo Verde,2046,19229.0
CPV,Cabo Verde,2047,19229.0
CPV,Cabo Verde,2048,19229.0
CPV,Cabo Verde,2049,19229.0
CPV,Cabo Verde,2050,19229.0
CRI,Costa Rica,2023,2873.0
CRI,Costa Rica,2024,2873.0
CRI,Costa Rica,2025,2873.0
CRI,Costa Rica,2026,2873.0
CRI,Costa Rica,2027,2873.0
CRI,Costa Rica,2028,2873.0
CRI,Costa Rica,2029,2873.0
CRI,Costa Rica,2030,2873.0
CRI,Costa Rica,2031,2873.0
CRI,Costa Rica,2032,2873.0
CRI,Costa Rica,2033,2873.0
CRI,Costa Rica,2034,2873.0
CRI,Costa Rica,2035,2873.0
CRI,Costa Rica,2036,2873.0
CRI,Costa Rica,2037,2873.0
CRI,Costa Rica,2038,2873.0
CRI,Costa Rica,2039,2873.0
CRI,Costa Rica,2040,2873.0
CRI,Costa Rica,2041,2873.0
CRI,Costa Rica,2042,2873.0
CRI,Costa Rica,2043,2873.0
CRI,Costa Rica,2044,2873.0
CRI,Costa Rica,2045,2873.0
CRI,Costa Rica,2046,2873.0
CRI,Costa Rica,2047,2873.0
CRI,Costa Rica,2048,2873.0
CRI,Costa Rica,2049,2873.0
CRI,Costa Rica,2050,2873.0
CUB,Cuba,2023,1411800.0
CUB,Cuba,2024,1411800.0
CUB,Cuba,2025,1411800.0
CUB,Cuba,2026,1411800.0
CUB,Cuba,2027,1411800.0
CUB,Cuba,2028,1411800.0
CUB,Cuba,2029,1411800.0
CUB,Cuba,2030,1411800.0
CUB,Cuba,2031,1411800.0
CUB,Cuba,2032,1411800.0
CUB,Cuba,2033,1411800.0
CUB,Cuba,2034,1411800.0
CUB,Cuba,2035,1411800.0
CUB,Cuba,2036,1411800.0
CUB,Cuba,2037,1411800.0
CUB,Cuba,2038,1411800.0
CUB,Cuba,2039,1411800.0
CUB,Cuba,2040,1411800.0
CUB,Cuba,2041,1411800.0
CUB,Cuba,2042,1411800.0
CUB,Cuba,2043,1411800.0
CUB,Cuba,2044,1411800.0
CUB,Cuba,2045,1411800.0
CUB,Cuba,2046,1411800.0
CUB,Cuba,2047,1411800.0
CUB,Cuba,2048,1411800.0
CUB,Cuba,2049,1411800.0
CUB,Cuba,2050,1411800.0
CYP,Cyprus,2023,343400.0
CYP,Cyprus,2024,343400.0
CYP,Cyprus,2025,343400.0
CYP,Cyprus,2026,343400.0
CYP,Cyprus,2027,343400.0
CYP,Cyprus,2028,343400.0
CYP,Cyprus,2029,343400.0
CYP,Cyprus,2030,343400.0
CYP,Cyprus,2031,343400.0
CYP,Cyprus,2032,343400.0
CYP,Cyprus,2033,343400.0
CYP,Cyprus,2034,343400.0
CYP,Cyprus,2035,343400.0
CYP,Cyprus,2036,343400.0
CYP,Cyprus,2037,343400.0
CYP,Cyprus,2038,343400.0
CYP,Cyprus,2039,343400.0
CYP,Cyprus,2040,343400.0
CYP,Cyprus,2041,343400.0
CYP,Cyprus,2042,343400.0
CYP,Cyprus,2043,343400.0
CYP,Cyprus,2044,343400.0
CYP,Cyprus,2045,343400.0
CYP,Cyprus,2046,343400.0
CYP,Cyprus,2047,343400.0
CYP,Cyprus,2048,343400.0
CYP,Cyprus,2049,343400.0
CYP,Cyprus,2050,343400.0
CZE,Czechia,2023,174200.0
CZE,Czechia,2024,174200.0
CZE,Czechia,2025,174200.0
CZE,Czechia,2026,174200.0
CZE,Czechia,2027,174200.0
CZE,Czechia,2028,174200.0
CZE,Czechia,2029,174200.0
CZE,Czechia,2030,174200.0
CZE,Czechia,2031,174200.0
CZE,Czechia,2032,174200.0
CZE,Czechia,2033,174200.0
CZE,Czechia,2034,174200.0
CZE,Czechia,2035,174200.0
CZE,Czechia,2036,174200.0
CZE,Czechia,2037,174200.0
CZE,Czechia,2038,174200.0
CZE,Czechia,2039,174200.0
CZE,Czechia,2040,174200.0
CZE,Czechia,2041,174200.0
CZE,Czechia,2042,174200.0
CZE,Czechia,2043,174200.0
CZE,Czechia,2044,174200.0
CZE,Czechia,2045,174200.0
CZE,Czechia,2046,174200.0
CZE,Czechia,2047,174200.0
CZE,Czechia,2048,174200.0
CZE,Czechia,2049,174200.0
CZE,Czechia,2050,174200.0
DEU,Germany,2023,1516900.0
DEU,Germany,2024,1516900.0
DEU,Germany,2025,1516900.0
DEU,Germany,2026,1516900.0
DEU,Germany,2027,1516900.0
DEU,Germany,2028,1516900.0
DEU,Germany,2029,1516900.0
DEU,Germany,2030,1516900.0
DEU,Germany,2031,1516900.0
DEU,Germany,2032,1516900.0
DEU,Germany,2033,1516900.0
DEU,Germany,2034,1516900.0
DEU,Germany,2035,1516900.0
DEU,Germany,2036,1516900.0
DEU,Germany,2037,1516900.0
DEU,Germany,2038,1516900.0
DEU,Germany,2039,1516900.0
DEU,Germany,2040,1516900.0
DEU,Germany,2041,1516900.0
DEU,Germany,2042,1516900.0
DEU,Germany,2043,1516900.0
DEU,Germany,2044,1516900.0
DEU,Germany,2045,1516900.0
DEU,Germany,2046,1516900.0
DEU,Germany,2047,1516900.0
DEU,Germany,2048,1516900.0
DEU,Germany,2049,1516900.0
DEU,Germany,2050,1516900.0
DJI,Djibouti,2023,470014.0
DJI,Djibouti,2024,470014.0
DJI,Djibouti,2025,470014.0
DJI,Djibouti,2026,470014.0
DJI,Djibouti,2027,470014.0
DJI,Djibouti,2028,470014.0
DJI,Djibouti,2029,470014.0
DJI,Djibouti,2030,470014.0
DJI,Djibouti,2031,470014.0
DJI,Djibouti,2032,470014.0
DJI,Djibouti,2033,470014.0
DJI,Djibouti,2034,470014.0
DJI,Djibouti,2035,470014.0
DJI,Djibouti,2036,470014.0
DJI,Djibouti,2037,470014.0
DJI,Djibouti,2038,470014.0
DJI,Djibouti,2039,470014.0
DJI,Djibouti,2040,470014.0
DJI,Djibouti,2041,470014.0
DJI,Djibouti,2042,470014.0
DJI,Djibouti,2043,470014.0
DJI,Djibouti,2044,470014.0
DJI,Djibouti,2045,470014.0
DJI,Djibouti,2046,470014.0
DJI,Djibouti,2047,470014.0
DJI,Djibouti,2048,470014.0
DJI,Djibouti,2049,470014.0
DJI,Djibouti,2050,470014.0
DMA,Dominica,2023,8387.0
DMA,Dominica,2024,8387.0
DMA,Dominica,2025,8387.0
DMA,Dominica,2026,8387.0
DMA,Dominica,2027,8387.0
DMA,Dominica,2028,8387.0
DMA,Dominica,2029,8387.0
DMA,Dominica,2030,8387.0
DMA,Dominica,2031,8387.0
DMA,Dominica,2032,8387.0
DMA,Dominica,2033,8387.0
DMA,Dominica,2034,8387.0
DMA,Dominica,2035,8387.0
DMA,Dominica,2036,8387.0
DMA,Dominica,2037,8387.0
DMA,Dominica,2038,8387.0
DMA,Dominica,2039,8387.0
DMA,Dominica,2040,8387.0
DMA,Dominica,2041,8387.0
DMA,Dominica,2042,8387.0
DMA,Dominica,2043,8387.0
DMA,Dominica,2044,8387.0
DMA,Dominica,2045,8387.0
DMA,Dominica,2046,8387.0
DMA,Dominica,2047,8387.0
DMA,Dominica,2048,8387.0
DMA,Dominica,2049,8387.0
DMA,Dominica,2050,8387.0
DNK,Denmark,2023,132510.0
DNK,Denmark,2024,132510.0
DNK,Denmark,2025,132510.0
DNK,Denmark,2026,132510.0
DNK,Denmark,2027,132510.0
DNK,Denmark,2028,132510.0
DNK,Denmark,2029,132510.0
DNK,Denmark,2030,132510.0
DNK,Denmark,2031,132510.0
DNK,Denmark,2032,132510.0
DNK,Denmark,2033,132510.0
DNK,Denmark,2034,132510.0
DNK,Denmark,2035,132510.0
DNK,Denmark,2036,132510.0
DNK,Denmark,2037,132510.0
DNK,Denmark,2038,132510.0
DNK,Denmark,2039,132510.0
DNK,Denmark,2040,132510.0
DNK,Denmark,2041,132510.0
DNK,Denmark,2042,132510.0
DNK,Denmark,2043,132510.0
DNK,Denmark,2044,132510.0
DNK,Denmark,2045,132510.0
DNK,Denmark,2046,132510.0
DNK,Denmark,2047,132510.0
DNK,Denmark,2048,132510.0
DNK,Denmark,2049,132510.0
DNK,Denmark,2050,132510.0
DOM,Dominican Republic,2023,260130.0
DOM,Dominican Republic,2024,260130.0
DOM,Dominican Republic,2025,260130.0
DOM,Dominican Republic,2026,260130.0
DOM,Dominican Republic,2027,260130.0
DOM,Dominican Republic,2028,260130.0
DOM,Dominican Republic,2029,260130.0
DOM,Dominican Republic,2030,260130.0
DOM,Dominican Republic,2031,260130.0
DOM,Dominican Republic,2032,260130.0
DOM,Dominican Republic,2033,260130.0
DOM,Dominican Republic,2034,260130.0
DOM,Dominican Republic,2035,260130.0
DOM,Dominican Republic,2036,260130.0
DOM,Dominican Republic,2037,260130.0
DOM,Dominican Republic,2038,260130.0
DOM,Dominican Republic,2039,260130.0
DOM,Dominican Republic,2040,260130.0
DOM,Dominican Republic,2041,260130.0
DOM,Dominican Republic,2042,260130.0
DOM,Dominican Republic,2043,260130.0
DOM,Dominican Republic,2044,260130.0
DOM,Dominican Republic,2045,260130.0
DOM,Dominican Republic,2046,260130.0
DOM,Dominican Republic,2047,260130.0
DOM,Dominican Republic,2048,260130.0
DOM,Dominican Republic,2049,260130.0
DOM,Dominican Republic,2050,260130.0
DZA,Algeria,2023,31192020.0
DZA,Algeria,2024,31192020.0
DZA,Algeria,2025,31192020.0
DZA,Algeria,2026,31192020.0
DZA,Algeria,2027,31192020.0
DZA,Algeria,2028,31192020.0
DZA,Algeria,2029,31192020.0
DZA,Algeria,2030,31192020.0
DZA,Algeria,2031,31192020.0
DZA,Algeria,2032,31192020.0
DZA,Algeria,2033,31192020.0
DZA,Algeria,2034,31192020.0
DZA,Algeria,2035,31192020.0
DZA,Algeria,2036,31192020.0
DZA,Algeria,2037,31192020.0
DZA,Algeria,2038,31192020.0
DZA,Algeria,2039,31192020.0
DZA,Algeria,2040,31192020.0
DZA,Algeria,2041,31192020.0
DZA,Algeria,2042,31192020.0
DZA,Algeria,2043,31192020.0
DZA,Algeria,2044,31192020.0
DZA,Algeria,2045,31192020.0
DZA,Algeria,2046,31192020.0
DZA,Algeria,2047,31192020.0
DZA,Algeria,2048,31192020.0
DZA,Algeria,2049,31192020.0
DZA,Algeria,2050,31192020.0
ECU,Ecuador,2023,551960.0
ECU,Ecuador,2024,551960.0
ECU,Ecuador,2025,551960.0
ECU,Ecuador,2026,551960.0
ECU,Ecuador,2027,551960.0
ECU,Ecuador,2028,551960.0
ECU,Ecuador,2029,551960.0
ECU,Ecuador,2030,551960.0
ECU,Ecuador,2031,551960.0
ECU,Ecuador,2032,551960.0
ECU,Ecuador,2033,551960.0
ECU,Ecuador,2034,551960.0
ECU,Ecuador,2035,551960.0
ECU,Ecuador,2036,551960.0
ECU,Ecuador,2037,551960.0
ECU,Ecuador,2038,551960.0
ECU,Ecuador,2039,551960.0
ECU,Ecuador,2040,551960.0
ECU,Ecuador,2041,551960.0
ECU,Ecuador,2042,551960.0
ECU,Ecuador,2043,551960.0
ECU,Ecuador,2044,551960.0
ECU,Ecuador,2045,551960.0
ECU,Ecuador,2046,551960.0
ECU,Ecuador,2047,551960.0
ECU,Ecuador,2048,551960.0
ECU,Ecuador,2049,551960.0
ECU,Ecuador,2050,551960.0
EGY,Egypt,2023,2083708.0
EGY,Egypt,2024,2083708.0
EGY,Egypt,2025,2083708.0
EGY,Egypt,2026,2083708.0
EGY,Egypt,2027,2083708.0
EGY,Egypt,2028,2083708.0
EGY,Egypt,2029,2083708.0
EGY,Egypt,2030,2083708.0
EGY,Egypt,2031,2083708.0
EGY,Egypt,2032,2083708.0
EGY,Egypt,2033,2083708.0
EGY,Egypt,2034,2083708.0
EGY,Egypt,2035,2083708.0
EGY,Egypt,2036,2083708.0
EGY,Egypt,2037,2083708.0
EGY,Egypt,2038,2083708.0
EGY,Egypt,2039,2083708.0
EGY,Egypt,2040,2083708.0
EGY,Egypt,2041,2083708.0
EGY,Egypt,2042,2083708.0
EGY,Egypt,2043,2083708.0
EGY,Egypt,2044,2083708.0
EGY,Egypt,2045,2083708.0
EGY,Egypt,2046,2083708.0
EGY,Egypt,2047,2083708.0
EGY,Egypt,2048,2083708.0
EGY,Egypt,2049,2083708.0
EGY,Egypt,2050,2083708.0
ERI,Eritrea,2023,2462123.0
ERI,Eritrea,2024,2462123.0
ERI,Eritrea,2025,2462123.0
ERI,Eritrea,2026,2462123.0
ERI,Eritrea,2027,2462123.0
ERI,Eritrea,2028,2462123.0
ERI,Eritrea,2029,2462123.0
ERI,Eritrea,2030,2462123.0
ERI,Eritrea,2031,2462123.0
ERI,Eritrea,2032,2462123.0
ERI,Eritrea,2033,2462123.0
ERI,Eritrea,2034,2462123.0
ERI,Eritrea,2035,2462123.0
ERI,Eritrea,2036,2462123.0
ERI,Eritrea,2037,2462123.0
ERI,Eritrea,2038,2462123.0
ERI,Eritrea,2039,2462123.0
ERI,Eritrea,2040,2462123.0
ERI,Eritrea,2041,2462123.0
ERI,Eritrea,2042,2462123.0
ERI,Eritrea,2043,2462123.0
ERI,Eritrea,2044,2462123.0
ERI,Eritrea,2045,2462123.0
ERI,Eritrea,2046,2462123.0
ERI,Eritrea,2047,2462123.0
ERI,Eritrea,2048,2462123.0
ERI,Eritrea,2049,2462123.0
ERI,Eritrea,2050,2462123.0
ESP,Spain,2023,14452590.0
ESP,Spain,2024,14452590.0
ESP,Spain,2025,14452590.0
ESP,Spain,2026,14452590.0
ESP,Spain,2027,14452590.0
ESP,Spain,2028,14452590.0
ESP,Spain,2029,14452590.0
ESP,Spain,2030,14452590.0
ESP,Spain,2031,14452590.0
ESP,Spain,2032,14452590.0
