Year,iso_code3,cost_enfu_fuel_waste_usd_per_mmbtu
2015,TUN,9380.0
2016,TUN,9380.0
2017,TUN,9380.0
2018,TUN,9380.0
2019,TUN,9380.0
2020,TUN,9380.0
2015,TUR,9380.0
2016,TUR,9380.0
2017,TUR,9380.0
2018,TUR,9380.0
2019,TUR,9380.0
2020,TUR,9380.0
2015,TUV,9380.0
2016,TUV,9380.0
2017,TUV,9380.0
2018,TUV,9380.0
2019,TUV,9380.0
2020,TUV,9380.0
2015,TZA,9380.0
2016,TZA,9380.0
2017,TZA,9380.0
2018,TZA,9380.0
2019,TZA,9380.0
2020,TZA,9380.0
2015,UGA,9380.0
2016,UGA,9380.0
2017,UGA,9380.0
2018,UGA,9380.0
2019,UGA,9380.0
2020,UGA,9380.0
2015,UKR,9380.0
2016,UKR,9380.0
2017,UKR,9380.0
2018,UKR,9380.0
2019,UKR,9380.0
2020,UKR,9380.0
2015,URY,9380.0
2016,URY,9380.0
2017,URY,9380.0
2018,URY,9380.0
2019,URY,9380.0
2020,URY,9380.0
2015,USA,9380.0
2016,USA,9380.0
2017,USA,9380.0
2018,USA,9380.0
2019,USA,9380.0
2020,USA,9380.0
2015,UZB,9380.0
2016,UZB,9380.0
2017,UZB,9380.0
2018,UZB,9380.0
2019,UZB,9380.0
2020,UZB,9380.0
2015,VCT,9380.0
2016,VCT,9380.0
2017,VCT,9380.0
2018,VCT,9380.0
2019,VCT,9380.0
2020,VCT,9380.0
2015,VEN,9380.0
2016,VEN,9380.0
2017,VEN,9380.0
2018,VEN,9380.0
2019,VEN,9380.0
2020,VEN,9380.0
2015,VGB,9380.0
2016,VGB,9380.0
2017,VGB,9380.0
2018,VGB,9380.0
2019,VGB,9380.0
2020,VGB,9380.0
2015,VIR,9380.0
2016,VIR,9380.0
2017,VIR,9380.0
2018,VIR,9380.0
2019,VIR,9380.0
2020,VIR,9380.0
2015,VNM,9380.0
2016,VNM,9380.0
2017,VNM,9380.0
2018,VNM,9380.0
2019,VNM,9380.0
2020,VNM,9380.0
2015,VUT,9380.0
2016,VUT,9380.0
2017,VUT,9380.0
2018,VUT,9380.0
2019,VUT,9380.0
2020,VUT,9380.0
2015,WSM,9380.0
2016,WSM,9380.0
2017,WSM,9380.0
2018,WSM,9380.0
2019,WSM,9380.0
2020,WSM,9380.0
2015,XKX,9380.0
2016,XKX,9380.0
2017,XKX,9380.0
2018,XKX,9380.0
2019,XKX,9380.0
2020,XKX,9380.0
2015,YEM,9380.0
2016,YEM,9380.0
2017,YEM,9380.0
2018,YEM,9380.0
2019,YEM,9380.0
2020,YEM,9380.0
2015,ZAF,9380.0
2016,ZAF,9380.0
2017,ZAF,9380.0
2018,ZAF,9380.0
2019,ZAF,9380.0
2020,ZAF,9380.0
2015,ZMB,9380.0
2016,ZMB,9380.0
2017,ZMB,9380.0
2018,ZMB,9380.0
2019,ZMB,9380.0
2020,ZMB,9380.0
2015,ZWE,9380.0
2016,ZWE,9380.0
2017,ZWE,9380.0
2018,ZWE,9380.0
2019,ZWE,9380.0
2020,ZWE,9380.0
