Year,iso_code3,cost_enfu_fuel_gasoline_usd_per_m3
2017,POL,2859.375
2018,POL,2859.375
2019,POL,2859.375
2020,POL,2859.375
2015,PRI,2070.2170293586955
2016,PRI,2070.2170293586955
2017,PRI,2070.2170293586955
2018,PRI,2070.2170293586955
2019,PRI,2070.2170293586955
2020,PRI,2070.2170293586955
2015,PRK,2070.2170293586955
2016,PRK,2070.2170293586955
2017,PRK,2070.2170293586955
2018,PRK,2070.2170293586955
2019,PRK,2070.2170293586955
2020,PRK,2070.2170293586955
2015,PRT,2566.25
2016,PRT,2566.25
2017,PRT,2566.25
2018,PRT,2566.25
2019,PRT,2566.25
2020,PRT,2566.25
2015,PRY,2062.733897
2016,PRY,2062.733897
2017,PRY,2062.733897
2018,PRY,2062.733897
2019,PRY,2062.733897
2020,PRY,2062.733897
2015,PYF,2070.2170293586955
2016,PYF,2070.2170293586955
2017,PYF,2070.2170293586955
2018,PYF,2070.2170293586955
2019,PYF,2070.2170293586955
2020,PYF,2070.2170293586955
2015,QAT,805.0
2016,QAT,805.0
2017,QAT,805.0
2018,QAT,805.0
2019,QAT,805.0
2020,QAT,805.0
2015,ROU,3310.0
2016,ROU,3310.0
2017,ROU,3310.0
2018,ROU,3310.0
2019,ROU,3310.0
2020,ROU,3310.0
2015,RUS,1521.428571
2016,RUS,1521.428571
2017,RUS,1521.428571
2018,RUS,1521.428571
2019,RUS,1521.428571
2020,RUS,1521.428571
2015,RWA,2070.2170293586955
2016,RWA,2070.2170293586955
2017,RWA,2070.2170293586955
2018,RWA,2070.2170293586955
2019,RWA,2070.2170293586955
2020,RWA,2070.2170293586955
2015,SAU,349.28571400000004
2016,SAU,349.28571400000004
2017,SAU,349.28571400000004
2018,SAU,349.28571400000004
2019,SAU,349.28571400000004
2020,SAU,349.28571400000004
2015,SDN,2070.2170293586955
2016,SDN,2070.2170293586955
2017,SDN,2070.2170293586955
2018,SDN,2070.2170293586955
2019,SDN,2070.2170293586955
2020,SDN,2070.2170293586955
2015,SEN,2070.2170293586955
2016,SEN,2070.2170293586955
2017,SEN,2070.2170293586955
2018,SEN,2070.2170293586955
2019,SEN,2070.2170293586955
2020,SEN,2070.2170293586955
2015,SGP,2280.47619
2016,SGP,2280.47619
2017,SGP,2280.47619
2018,SGP,2280.47619
2019,SGP,2280.47619
2020,SGP,2280.47619
2015,SLB,2070.2170293586955
2016,SLB,2070.2170293586955
2017,SLB,2070.2170293586955
2018,SLB,2070.2170293586955
2019,SLB,2070.2170293586955
2020,SLB,2070.2170293586955
2015,SLE,2070.2170293586955
2016,SLE,2070.2170293586955
2017,SLE,2070.2170293586955
2018,SLE,2070.2170293586955
2019,SLE,2070.2170293586955
2020,SLE,2070.2170293586955
2015,SLV,1993.571429
2016,SLV,1993.571429
2017,SLV,1993.571429
2018,SLV,1993.571429
2019,SLV,1993.571429
2020,SLV,1993.571429
2015,SMR,2070.2170293586955
2016,SMR,2070.2170293586955
2017,SMR,2070.2170293586955
2018,SMR,2070.2170293586955
2019,SMR,2070.2170293586955
2020,SMR,2070.2170293586955
2015,SOM,2070.2170293586955
2016,SOM,2070.2170293586955
2017,SOM,2070.2170293586955
2018,SOM,2070.2170293586955
2019,SOM,2070.2170293586955
2020,SOM,2070.2170293586955
2015,SRB,2062.733897
2016,SRB,2062.733897
2017,SRB,2062.733897
2018,SRB,2062.733897
2019,SRB,2062.733897
2020,SRB,2062.733897
2015,SSD,2070.2170293586955
2016,SSD,2070.2170293586955
2017,SSD,2070.2170293586955
2018,SSD,2070.2170293586955
2019,SSD,2070.2170293586955
2020,SSD,2070.2170293586955
2015,STP,2070.2170293586955
2016,STP,2070.2170293586955
2017,STP,2070.2170293586955
2018,STP,2070.2170293586955
2019,STP,2070.2170293586955
2020,STP,2070.2170293586955
2015,SUR,2070.2170293586955
2016,SUR,2070.2170293586955
2017,SUR,2070.2170293586955
2018,SUR,2070.2170293586955
2019,SUR,2070.2170293586955
2020,SUR,2070.2170293586955
2015,SVK,2799.9999999999995
2016,SVK,2799.9999999999995
2017,SVK,2799.9999999999995
2018,SVK,2799.9999999999995
2019,SVK,2799.9999999999995
2020,SVK,2799.9999999999995
2015,SVN,2235.625
2016,SVN,2235.625
2017,SVN,2235.625
2018,SVN,2235.625
2019,SVN,2235.625
2020,SVN,2235.625
2015,SWE,1597.5
2016,SWE,1597.5
2017,SWE,1597.5
2018,SWE,1597.5
2019,SWE,1597.5
2020,SWE,1597.5
2015,SWZ,2070.2170293586955
2016,SWZ,2070.2170293586955
2017,SWZ,2070.2170293586955
2018,SWZ,2070.2170293586955
2019,SWZ,2070.2170293586955
2020,SWZ,2070.2170293586955
2015,SXM,2070.2170293586955
2016,SXM,2070.2170293586955
2017,SXM,2070.2170293586955
2018,SXM,2070.2170293586955
2019,SXM,2070.2170293586955
2020,SXM,2070.2170293586955
2015,SYC,2070.2170293586955
2016,SYC,2070.2170293586955
2017,SYC,2070.2170293586955
2018,SYC,2070.2170293586955
2019,SYC,2070.2170293586955
2020,SYC,2070.2170293586955
2015,SYR,2070.2170293586955
2016,SYR,2070.2170293586955
2017,SYR,2070.2170293586955
2018,SYR,2070.2170293586955
2019,SYR,2070.2170293586955
2020,SYR,2070.2170293586955
2015,TCA,2070.2170293586955
2016,TCA,2070.2170293586955
2017,TCA,2070.2170293586955
2018,TCA,2070.2170293586955
2019,TCA,2070.2170293586955
2020,TCA,2070.2170293586955
2015,TCD,2070.2170293586955
2016,TCD,2070.2170293586955
2017,TCD,2070.2170293586955
2018,TCD,2070.2170293586955
2019,TCD,2070.2170293586955
2020,TCD,2070.2170293586955
2015,TGO,2070.2170293586955
2016,TGO,2070.2170293586955
2017,TGO,2070.2170293586955
2018,TGO,2070.2170293586955
2019,TGO,2070.2170293586955
2020,TGO,2070.2170293586955
2015,THA,3381.428571
2016,THA,3381.428571
2017,THA,3381.428571
2018,THA,3381.428571
2019,THA,3381.428571
2020,THA,3381.428571
2015,TJK,2797.142857
2016,TJK,2797.142857
2017,TJK,2797.142857
2018,TJK,2797.142857
2019,TJK,2797.142857
2020,TJK,2797.142857
2015,TKM,514.285714
2016,TKM,514.285714
2017,TKM,514.285714
2018,TKM,514.285714
2019,TKM,514.285714
2020,TKM,514.285714
2015,TLS,2070.2170293586955
2016,TLS,2070.2170293586955
2017,TLS,2070.2170293586955
2018,TLS,2070.2170293586955
2019,TLS,2070.2170293586955
2020,TLS,2070.2170293586955
2015,TON,2070.2170293586955
2016,TON,2070.2170293586955
2017,TON,2070.2170293586955
2018,TON,2070.2170293586955
2019,TON,2070.2170293586955
2020,TON,2070.2170293586955
2015,TTO,2070.2170293586955
2016,TTO,2070.2170293586955
2017,TTO,2070.2170293586955
2018,TTO,2070.2170293586955
2019,TTO,2070.2170293586955
2020,TTO,2070.2170293586955
2015,TUN,2070.2170293586955
2016,TUN,2070.2170293586955
2017,TUN,2070.2170293586955
2018,TUN,2070.2170293586955
2019,TUN,2070.2170293586955
2020,TUN,2070.2170293586955
2015,TUR,4092.5
2016,TUR,4092.5
2017,TUR,4092.5
2018,TUR,4092.5
2019,TUR,4092.5
2020,TUR,4092.5
2015,TUV,2070.2170293586955
2016,TUV,2070.2170293586955
2017,TUV,2070.2170293586955
2018,TUV,2070.2170293586955
2019,TUV,2070.2170293586955
2020,TUV,2070.2170293586955
2015,TZA,3512.0
2016,TZA,3512.0
2017,TZA,3512.0
2018,TZA,3512.0
2019,TZA,3512.0
2020,TZA,3512.0
2015,UGA,2070.2170293586955
2016,UGA,2070.2170293586955
2017,UGA,2070.2170293586955
2018,UGA,2070.2170293586955
2019,UGA,2070.2170293586955
2020,UGA,2070.2170293586955
2015,UKR,3234.0
2016,UKR,3234.0
2017,UKR,3234.0
2018,UKR,3234.0
2019,UKR,3234.0
2020,UKR,3234.0
2015,URY,2172.777778
2016,URY,2172.777778
2017,URY,2172.777778
2018,URY,2172.777778
2019,URY,2172.777778
2020,URY,2172.777778
2015,USA,833.333333
2016,USA,833.333333
2017,USA,833.333333
2018,USA,833.333333
2019,USA,833.333333
2020,USA,833.333333
2015,UZB,2553.571429
2016,UZB,2553.571429
2017,UZB,2553.571429
2018,UZB,2553.571429
2019,UZB,2553.571429
2020,UZB,2553.571429
2015,VCT,2070.2170293586955
2016,VCT,2070.2170293586955
2017,VCT,2070.2170293586955
2018,VCT,2070.2170293586955
2019,VCT,2070.2170293586955
2020,VCT,2070.2170293586955
2015,VEN,26.0
2016,VEN,26.0
2017,VEN,26.0
2018,VEN,26.0
2019,VEN,26.0
2020,VEN,26.0
2015,VGB,2070.2170293586955
2016,VGB,2070.2170293586955
2017,VGB,2070.2170293586955
2018,VGB,2070.2170293586955
2019,VGB,2070.2170293586955
2020,VGB,2070.2170293586955
2015,VIR,2070.2170293586955
2016,VIR,2070.2170293586955
2017,VIR,2070.2170293586955
2018,VIR,2070.2170293586955
2019,VIR,2070.2170293586955
2020,VIR,2070.2170293586955
2015,VNM,2526.666667
2016,VNM,2526.666667
2017,VNM,2526.666667
2018,VNM,2526.666667
2019,VNM,2526.666667
2020,VNM,2526.666667
2015,VUT,2070.2170293586955
2016,VUT,2070.2170293586955
2017,VUT,2070.2170293586955
2018,VUT,2070.2170293586955
2019,VUT,2070.2170293586955
2020,VUT,2070.2170293586955
2015,WSM,2070.2170293586955
2016,WSM,2070.2170293586955
2017,WSM,2070.2170293586955
2018,WSM,2070.2170293586955
2019,WSM,2070.2170293586955
2020,WSM,2070.2170293586955
2015,XKX,2062.733897
2016,XKX,2062.733897
2017,XKX,2062.733897
2018,XKX,2062.733897
2019,XKX,2062.733897
2020,XKX,2062.733897
2015,YEM,2070.2170293586955
2016,YEM,2070.2170293586955
2017,YEM,2070.2170293586955
2018,YEM,2070.2170293586955
2019,YEM,2070.2170293586955
2020,YEM,2070.2170293586955
2015,ZAF,2221.428571
2016,ZAF,2221.428571
2017,ZAF,2221.428571
2018,ZAF,2221.428571
2019,ZAF,2221.428571
2020,ZAF,2221.428571
2015,ZMB,2070.2170293586955
2016,ZMB,2070.2170293586955
2017,ZMB,2070.2170293586955
2018,ZMB,2070.2170293586955
2019,ZMB,2070.2170293586955
2020,ZMB,2070.2170293586955
2015,ZWE,2070.2170293586955
2016,ZWE,2070.2170293586955
2017,ZWE,2070.2170293586955
2018,ZWE,2070.2170293586955
2019,ZWE,2070.2170293586955
2020,ZWE,2070.2170293586955
