"iso_code3","Year","frac_wali_ww_domestic_urban_treatment_path_untreated_no_sewerage"
"BOL",2023,0.773066967100706
"BOL",2024,0.773066967100706
"BOL",2025,0.773066967100706
"BOL",2026,0.773066967100706
"BOL",2027,0.773066967100706
"BOL",2028,0.773066967100706
"BOL",2029,0.773066967100706
"BOL",2030,0.773066967100706
"BOL",2031,0.773066967100706
"BOL",2032,0.773066967100706
"BOL",2033,0.773066967100706
"BOL",2034,0.773066967100706
"BOL",2035,0.773066967100706
"BOL",2036,0.773066967100706
"BOL",2037,0.773066967100706
"BOL",2038,0.773066967100706
"BOL",2039,0.773066967100706
"BOL",2040,0.773066967100706
"BOL",2041,0.773066967100706
"BOL",2042,0.773066967100706
"BOL",2043,0.773066967100706
"BOL",2044,0.773066967100706
"BOL",2045,0.773066967100706
"BOL",2046,0.773066967100706
"BOL",2047,0.773066967100706
"BOL",2048,0.773066967100706
"BOL",2049,0.773066967100706
"BOL",2050,0.773066967100706
"BRA",2021,0.379954049396898
"BRA",2022,0.379954049396898
"BRA",2023,0.379954049396898
"BRA",2024,0.379954049396898
"BRA",2025,0.379954049396898
"BRA",2026,0.379954049396898
"BRA",2027,0.379954049396898
"BRA",2028,0.379954049396898
"BRA",2029,0.379954049396898
"BRA",2030,0.379954049396898
"BRA",2031,0.379954049396898
"BRA",2032,0.379954049396898
"BRA",2033,0.379954049396898
"BRA",2034,0.379954049396898
"BRA",2035,0.379954049396898
"BRA",2036,0.379954049396898
"BRA",2037,0.379954049396898
"BRA",2038,0.379954049396898
"BRA",2039,0.379954049396898
"BRA",2040,0.379954049396898
"BRA",2041,0.379954049396898
"BRA",2042,0.379954049396898
"BRA",2043,0.379954049396898
"BRA",2044,0.379954049396898
"BRA",2045,0.379954049396898
"BRA",2046,0.379954049396898
"BRA",2047,0.379954049396898
"BRA",2048,0.379954049396898
"BRA",2049,0.379954049396898
"BRA",2050,0.379954049396898
"BRB",2021,0.861111111111111
"BRB",2022,0.861111111111111
"BRB",2023,0.861111111111111
"BRB",2024,0.861111111111111
"BRB",2025,0.861111111111111
"BRB",2026,0.861111111111111
"BRB",2027,0.861111111111111
"BRB",2028,0.861111111111111
"BRB",2029,0.861111111111111
"BRB",2030,0.861111111111111
"BRB",2031,0.861111111111111
"BRB",2032,0.861111111111111
"BRB",2033,0.861111111111111
"BRB",2034,0.861111111111111
"BRB",2035,0.861111111111111
"BRB",2036,0.861111111111111
"BRB",2037,0.861111111111111
"BRB",2038,0.861111111111111
"BRB",2039,0.861111111111111
"BRB",2040,0.861111111111111
"BRB",2041,0.861111111111111
"BRB",2042,0.861111111111111
"BRB",2043,0.861111111111111
"BRB",2044,0.861111111111111
"BRB",2045,0.861111111111111
"BRB",2046,0.861111111111111
"BRB",2047,0.861111111111111
"BRB",2048,0.861111111111111
"BRB",2049,0.861111111111111
"BRB",2050,0.861111111111111
"BTN",2021,1
"BTN",2022,1
"BTN",2023,1
"BTN",2024,1
"BTN",2025,1
"BTN",2026,1
"BTN",2027,1
"BTN",2028,1
