Year,iso_code3,cost_enfu_fuel_natural_gas_usd_per_mmbtu
2049,NGA,6.239751837344495
2050,NGA,6.239751837344495
2021,NIC,6.239751837344495
2022,NIC,6.239751837344495
2023,NIC,6.239751837344495
2024,NIC,6.239751837344495
2025,NIC,6.239751837344495
2026,NIC,6.239751837344495
2027,NIC,6.239751837344495
2028,NIC,6.239751837344495
2029,NIC,6.239751837344495
2030,NIC,6.239751837344495
2031,NIC,6.239751837344495
2032,NIC,6.239751837344495
2033,NIC,6.239751837344495
2034,NIC,6.239751837344495
2035,NIC,6.239751837344495
2036,NIC,6.239751837344495
2037,NIC,6.239751837344495
2038,NIC,6.239751837344495
2039,NIC,6.239751837344495
2040,NIC,6.239751837344495
2041,NIC,6.239751837344495
2042,NIC,6.239751837344495
2043,NIC,6.239751837344495
2044,NIC,6.239751837344495
2045,NIC,6.239751837344495
2046,NIC,6.239751837344495
2047,NIC,6.239751837344495
2048,NIC,6.239751837344495
2049,NIC,6.239751837344495
2050,NIC,6.239751837344495
2021,NLD,18.23000807396388
2022,NLD,18.23000807396388
2023,NLD,18.23000807396388
2024,NLD,18.23000807396388
2025,NLD,18.23000807396388
2026,NLD,18.23000807396388
2027,NLD,18.23000807396388
2028,NLD,18.23000807396388
2029,NLD,18.23000807396388
2030,NLD,18.23000807396388
2031,NLD,18.23000807396388
2032,NLD,18.23000807396388
2033,NLD,18.23000807396388
2034,NLD,18.23000807396388
2035,NLD,18.23000807396388
2036,NLD,18.23000807396388
2037,NLD,18.23000807396388
2038,NLD,18.23000807396388
2039,NLD,18.23000807396388
2040,NLD,18.23000807396388
2041,NLD,18.23000807396388
2042,NLD,18.23000807396388
2043,NLD,18.23000807396388
2044,NLD,18.23000807396388
2045,NLD,18.23000807396388
2046,NLD,18.23000807396388
2047,NLD,18.23000807396388
2048,NLD,18.23000807396388
2049,NLD,18.23000807396388
2050,NLD,18.23000807396388
2021,NOR,6.239751837344495
2022,NOR,6.239751837344495
2023,NOR,6.239751837344495
2024,NOR,6.239751837344495
2025,NOR,6.239751837344495
2026,NOR,6.239751837344495
2027,NOR,6.239751837344495
2028,NOR,6.239751837344495
2029,NOR,6.239751837344495
2030,NOR,6.239751837344495
2031,NOR,6.239751837344495
2032,NOR,6.239751837344495
2033,NOR,6.239751837344495
2034,NOR,6.239751837344495
2035,NOR,6.239751837344495
2036,NOR,6.239751837344495
2037,NOR,6.239751837344495
2038,NOR,6.239751837344495
2039,NOR,6.239751837344495
2040,NOR,6.239751837344495
2041,NOR,6.239751837344495
2042,NOR,6.239751837344495
2043,NOR,6.239751837344495
2044,NOR,6.239751837344495
2045,NOR,6.239751837344495
2046,NOR,6.239751837344495
2047,NOR,6.239751837344495
2048,NOR,6.239751837344495
2049,NOR,6.239751837344495
2050,NOR,6.239751837344495
2021,NPL,6.239751837344495
2022,NPL,6.239751837344495
2023,NPL,6.239751837344495
2024,NPL,6.239751837344495
2025,NPL,6.239751837344495
2026,NPL,6.239751837344495
2027,NPL,6.239751837344495
2028,NPL,6.239751837344495
2029,NPL,6.239751837344495
2030,NPL,6.239751837344495
2031,NPL,6.239751837344495
2032,NPL,6.239751837344495
2033,NPL,6.239751837344495
2034,NPL,6.239751837344495
2035,NPL,6.239751837344495
2036,NPL,6.239751837344495
2037,NPL,6.239751837344495
2038,NPL,6.239751837344495
2039,NPL,6.239751837344495
2040,NPL,6.239751837344495
2041,NPL,6.239751837344495
2042,NPL,6.239751837344495
2043,NPL,6.239751837344495
2044,NPL,6.239751837344495
2045,NPL,6.239751837344495
2046,NPL,6.239751837344495
2047,NPL,6.239751837344495
2048,NPL,6.239751837344495
2049,NPL,6.239751837344495
2050,NPL,6.239751837344495
2021,NRU,6.239751837344495
2022,NRU,6.239751837344495
2023,NRU,6.239751837344495
2024,NRU,6.239751837344495
2025,NRU,6.239751837344495
2026,NRU,6.239751837344495
2027,NRU,6.239751837344495
2028,NRU,6.239751837344495
2029,NRU,6.239751837344495
2030,NRU,6.239751837344495
2031,NRU,6.239751837344495
2032,NRU,6.239751837344495
2033,NRU,6.239751837344495
2034,NRU,6.239751837344495
2035,NRU,6.239751837344495
2036,NRU,6.239751837344495
2037,NRU,6.239751837344495
2038,NRU,6.239751837344495
2039,NRU,6.239751837344495
2040,NRU,6.239751837344495
2041,NRU,6.239751837344495
2042,NRU,6.239751837344495
2043,NRU,6.239751837344495
2044,NRU,6.239751837344495
2045,NRU,6.239751837344495
2046,NRU,6.239751837344495
2047,NRU,6.239751837344495
2048,NRU,6.239751837344495
2049,NRU,6.239751837344495
2050,NRU,6.239751837344495
2021,NZL,15.748419032154658
2022,NZL,15.748419032154658
2023,NZL,15.748419032154658
2024,NZL,15.748419032154658
2025,NZL,15.748419032154658
2026,NZL,15.748419032154658
2027,NZL,15.748419032154658
2028,NZL,15.748419032154658
2029,NZL,15.748419032154658
2030,NZL,15.748419032154658
2031,NZL,15.748419032154658
2032,NZL,15.748419032154658
2033,NZL,15.748419032154658
2034,NZL,15.748419032154658
2035,NZL,15.748419032154658
2036,NZL,15.748419032154658
2037,NZL,15.748419032154658
2038,NZL,15.748419032154658
2039,NZL,15.748419032154658
2040,NZL,15.748419032154658
2041,NZL,15.748419032154658
2042,NZL,15.748419032154658
2043,NZL,15.748419032154658
2044,NZL,15.748419032154658
2045,NZL,15.748419032154658
2046,NZL,15.748419032154658
2047,NZL,15.748419032154658
2048,NZL,15.748419032154658
2049,NZL,15.748419032154658
2050,NZL,15.748419032154658
2021,OMN,6.239751837344495
2022,OMN,6.239751837344495
2023,OMN,6.239751837344495
2024,OMN,6.239751837344495
2025,OMN,6.239751837344495
2026,OMN,6.239751837344495
2027,OMN,6.239751837344495
2028,OMN,6.239751837344495
2029,OMN,6.239751837344495
2030,OMN,6.239751837344495
2031,OMN,6.239751837344495
2032,OMN,6.239751837344495
2033,OMN,6.239751837344495
2034,OMN,6.239751837344495
2035,OMN,6.239751837344495
2036,OMN,6.239751837344495
2037,OMN,6.239751837344495
2038,OMN,6.239751837344495
2039,OMN,6.239751837344495
2040,OMN,6.239751837344495
2041,OMN,6.239751837344495
2042,OMN,6.239751837344495
2043,OMN,6.239751837344495
2044,OMN,6.239751837344495
2045,OMN,6.239751837344495
2046,OMN,6.239751837344495
2047,OMN,6.239751837344495
2048,OMN,6.239751837344495
2049,OMN,6.239751837344495
2050,OMN,6.239751837344495
2021,PAK,6.239751837344495
2022,PAK,6.239751837344495
2023,PAK,6.239751837344495
2024,PAK,6.239751837344495
2025,PAK,6.239751837344495
2026,PAK,6.239751837344495
2027,PAK,6.239751837344495
2028,PAK,6.239751837344495
2029,PAK,6.239751837344495
2030,PAK,6.239751837344495
2031,PAK,6.239751837344495
2032,PAK,6.239751837344495
2033,PAK,6.239751837344495
2034,PAK,6.239751837344495
2035,PAK,6.239751837344495
2036,PAK,6.239751837344495
2037,PAK,6.239751837344495
2038,PAK,6.239751837344495
2039,PAK,6.239751837344495
2040,PAK,6.239751837344495
2041,PAK,6.239751837344495
2042,PAK,6.239751837344495
2043,PAK,6.239751837344495
2044,PAK,6.239751837344495
2045,PAK,6.239751837344495
2046,PAK,6.239751837344495
2047,PAK,6.239751837344495
2048,PAK,6.239751837344495
2049,PAK,6.239751837344495
2050,PAK,6.239751837344495
2021,PAN,6.239751837344495
2022,PAN,6.239751837344495
2023,PAN,6.239751837344495
2024,PAN,6.239751837344495
2025,PAN,6.239751837344495
2026,PAN,6.239751837344495
2027,PAN,6.239751837344495
2028,PAN,6.239751837344495
2029,PAN,6.239751837344495
2030,PAN,6.239751837344495
2031,PAN,6.239751837344495
2032,PAN,6.239751837344495
2033,PAN,6.239751837344495
2034,PAN,6.239751837344495
2035,PAN,6.239751837344495
2036,PAN,6.239751837344495
2037,PAN,6.239751837344495
2038,PAN,6.239751837344495
2039,PAN,6.239751837344495
2040,PAN,6.239751837344495
2041,PAN,6.239751837344495
2042,PAN,6.239751837344495
2043,PAN,6.239751837344495
