"iso_code3","Year","frac_wali_ww_domestic_urban_treatment_path_primary"
"DNK",2049,0.00234986945169713
"DNK",2050,0.00234986945169713
"DOM",2021,0
"DOM",2022,0
"DOM",2023,0
"DOM",2024,0
"DOM",2025,0
"DOM",2026,0
"DOM",2027,0
"DOM",2028,0
"DOM",2029,0
"DOM",2030,0
"DOM",2031,0
"DOM",2032,0
"DOM",2033,0
"DOM",2034,0
"DOM",2035,0
"DOM",2036,0
"DOM",2037,0
"DOM",2038,0
"DOM",2039,0
"DOM",2040,0
"DOM",2041,0
"DOM",2042,0
"DOM",2043,0
"DOM",2044,0
"DOM",2045,0
"DOM",2046,0
"DOM",2047,0
"DOM",2048,0
"DOM",2049,0
"DOM",2050,0
"DZA",2021,0
"DZA",2022,0
"DZA",2023,0
"DZA",2024,0
"DZA",2025,0
"DZA",2026,0
"DZA",2027,0
"DZA",2028,0
"DZA",2029,0
"DZA",2030,0
"DZA",2031,0
"DZA",2032,0
"DZA",2033,0
"DZA",2034,0
"DZA",2035,0
"DZA",2036,0
"DZA",2037,0
"DZA",2038,0
"DZA",2039,0
"DZA",2040,0
"DZA",2041,0
"DZA",2042,0
"DZA",2043,0
"DZA",2044,0
"DZA",2045,0
"DZA",2046,0
"DZA",2047,0
"DZA",2048,0
"DZA",2049,0
"DZA",2050,0
"ECU",2021,0
"ECU",2022,0
"ECU",2023,0
"ECU",2024,0
"ECU",2025,0
"ECU",2026,0
"ECU",2027,0
"ECU",2028,0
"ECU",2029,0
"ECU",2030,0
"ECU",2031,0
"ECU",2032,0
"ECU",2033,0
"ECU",2034,0
"ECU",2035,0
"ECU",2036,0
"ECU",2037,0
"ECU",2038,0
"ECU",2039,0
"ECU",2040,0
"ECU",2041,0
"ECU",2042,0
"ECU",2043,0
"ECU",2044,0
"ECU",2045,0
"ECU",2046,0
"ECU",2047,0
"ECU",2048,0
"ECU",2049,0
"ECU",2050,0
"ESP",2021,0.01178337104191
