iso_code3,Nation,Year,yf_agrc_tubers_tonne_ha
BEL,Belgium,2048,36.039143602
BEL,Belgium,2049,36.039143602
BEL,Belgium,2050,36.039143602
BEN,Benin,2023,17.8342183745
BEN,Benin,2024,17.8342183745
BEN,Benin,2025,17.8342183745
BEN,Benin,2026,17.8342183745
BEN,Benin,2027,17.8342183745
BEN,Benin,2028,17.8342183745
BEN,Benin,2029,17.8342183745
BEN,Benin,2030,17.8342183745
BEN,Benin,2031,17.8342183745
BEN,Benin,2032,17.8342183745
BEN,Benin,2033,17.8342183745
BEN,Benin,2034,17.8342183745
BEN,Benin,2035,17.8342183745
BEN,Benin,2036,17.8342183745
BEN,Benin,2037,17.8342183745
BEN,Benin,2038,17.8342183745
BEN,Benin,2039,17.8342183745
BEN,Benin,2040,17.8342183745
BEN,Benin,2041,17.8342183745
BEN,Benin,2042,17.8342183745
BEN,Benin,2043,17.8342183745
BEN,Benin,2044,17.8342183745
BEN,Benin,2045,17.8342183745
BEN,Benin,2046,17.8342183745
BEN,Benin,2047,17.8342183745
BEN,Benin,2048,17.8342183745
BEN,Benin,2049,17.8342183745
BEN,Benin,2050,17.8342183745
BFA,Burkina Faso,2023,17.01308009775
BFA,Burkina Faso,2024,17.01308009775
BFA,Burkina Faso,2025,17.01308009775
BFA,Burkina Faso,2026,17.01308009775
BFA,Burkina Faso,2027,17.01308009775
BFA,Burkina Faso,2028,17.01308009775
BFA,Burkina Faso,2029,17.01308009775
BFA,Burkina Faso,2030,17.01308009775
BFA,Burkina Faso,2031,17.01308009775
BFA,Burkina Faso,2032,17.01308009775
BFA,Burkina Faso,2033,17.01308009775
BFA,Burkina Faso,2034,17.01308009775
BFA,Burkina Faso,2035,17.01308009775
BFA,Burkina Faso,2036,17.01308009775
BFA,Burkina Faso,2037,17.01308009775
BFA,Burkina Faso,2038,17.01308009775
BFA,Burkina Faso,2039,17.01308009775
BFA,Burkina Faso,2040,17.01308009775
BFA,Burkina Faso,2041,17.01308009775
BFA,Burkina Faso,2042,17.01308009775
BFA,Burkina Faso,2043,17.01308009775
BFA,Burkina Faso,2044,17.01308009775
BFA,Burkina Faso,2045,17.01308009775
BFA,Burkina Faso,2046,17.01308009775
BFA,Burkina Faso,2047,17.01308009775
BFA,Burkina Faso,2048,17.01308009775
BFA,Burkina Faso,2049,17.01308009775
BFA,Burkina Faso,2050,17.01308009775
BGD,Bangladesh,2023,37.045111708
BGD,Bangladesh,2024,37.045111708
BGD,Bangladesh,2025,37.045111708
BGD,Bangladesh,2026,37.045111708
BGD,Bangladesh,2027,37.045111708
BGD,Bangladesh,2028,37.045111708
BGD,Bangladesh,2029,37.045111708
BGD,Bangladesh,2030,37.045111708
BGD,Bangladesh,2031,37.045111708
BGD,Bangladesh,2032,37.045111708
BGD,Bangladesh,2033,37.045111708
BGD,Bangladesh,2034,37.045111708
BGD,Bangladesh,2035,37.045111708
BGD,Bangladesh,2036,37.045111708
BGD,Bangladesh,2037,37.045111708
BGD,Bangladesh,2038,37.045111708
BGD,Bangladesh,2039,37.045111708
BGD,Bangladesh,2040,37.045111708
BGD,Bangladesh,2041,37.045111708
BGD,Bangladesh,2042,37.045111708
BGD,Bangladesh,2043,37.045111708
BGD,Bangladesh,2044,37.045111708
BGD,Bangladesh,2045,37.045111708
BGD,Bangladesh,2046,37.045111708
BGD,Bangladesh,2047,37.045111708
BGD,Bangladesh,2048,37.045111708
BGD,Bangladesh,2049,37.045111708
BGD,Bangladesh,2050,37.045111708
BGR,Bulgaria,2023,70.5372027085
BGR,Bulgaria,2024,70.5372027085
BGR,Bulgaria,2025,70.5372027085
BGR,Bulgaria,2026,70.5372027085
BGR,Bulgaria,2027,70.5372027085
BGR,Bulgaria,2028,70.5372027085
BGR,Bulgaria,2029,70.5372027085
BGR,Bulgaria,2030,70.5372027085
BGR,Bulgaria,2031,70.5372027085
BGR,Bulgaria,2032,70.5372027085
BGR,Bulgaria,2033,70.5372027085
BGR,Bulgaria,2034,70.5372027085
BGR,Bulgaria,2035,70.5372027085
BGR,Bulgaria,2036,70.5372027085
BGR,Bulgaria,2037,70.5372027085
BGR,Bulgaria,2038,70.5372027085
BGR,Bulgaria,2039,70.5372027085
BGR,Bulgaria,2040,70.5372027085
BGR,Bulgaria,2041,70.5372027085
BGR,Bulgaria,2042,70.5372027085
BGR,Bulgaria,2043,70.5372027085
BGR,Bulgaria,2044,70.5372027085
BGR,Bulgaria,2045,70.5372027085
BGR,Bulgaria,2046,70.5372027085
BGR,Bulgaria,2047,70.5372027085
BGR,Bulgaria,2048,70.5372027085
BGR,Bulgaria,2049,70.5372027085
BGR,Bulgaria,2050,70.5372027085
BHR,Bahrain,2023,7.898234868333334
BHR,Bahrain,2024,7.898234868333334
BHR,Bahrain,2025,7.898234868333334
BHR,Bahrain,2026,7.898234868333334
BHR,Bahrain,2027,7.898234868333334
BHR,Bahrain,2028,7.898234868333334
BHR,Bahrain,2029,7.898234868333334
BHR,Bahrain,2030,7.898234868333334
BHR,Bahrain,2031,7.898234868333334
BHR,Bahrain,2032,7.898234868333334
BHR,Bahrain,2033,7.898234868333334
BHR,Bahrain,2034,7.898234868333334
BHR,Bahrain,2035,7.898234868333334
BHR,Bahrain,2036,7.898234868333334
BHR,Bahrain,2037,7.898234868333334
BHR,Bahrain,2038,7.898234868333334
BHR,Bahrain,2039,7.898234868333334
BHR,Bahrain,2040,7.898234868333334
BHR,Bahrain,2041,7.898234868333334
BHR,Bahrain,2042,7.898234868333334
BHR,Bahrain,2043,7.898234868333334
BHR,Bahrain,2044,7.898234868333334
BHR,Bahrain,2045,7.898234868333334
BHR,Bahrain,2046,7.898234868333334
BHR,Bahrain,2047,7.898234868333334
BHR,Bahrain,2048,7.898234868333334
BHR,Bahrain,2049,7.898234868333334
BHR,Bahrain,2050,7.898234868333334
BHS,Bahamas,2023,10.097644616399998
BHS,Bahamas,2024,10.097644616399998
BHS,Bahamas,2025,10.097644616399998
BHS,Bahamas,2026,10.097644616399998
BHS,Bahamas,2027,10.097644616399998
BHS,Bahamas,2028,10.097644616399998
BHS,Bahamas,2029,10.097644616399998
BHS,Bahamas,2030,10.097644616399998
BHS,Bahamas,2031,10.097644616399998
BHS,Bahamas,2032,10.097644616399998
BHS,Bahamas,2033,10.097644616399998
BHS,Bahamas,2034,10.097644616399998
BHS,Bahamas,2035,10.097644616399998
BHS,Bahamas,2036,10.097644616399998
BHS,Bahamas,2037,10.097644616399998
BHS,Bahamas,2038,10.097644616399998
BHS,Bahamas,2039,10.097644616399998
BHS,Bahamas,2040,10.097644616399998
BHS,Bahamas,2041,10.097644616399998
BHS,Bahamas,2042,10.097644616399998
BHS,Bahamas,2043,10.097644616399998
BHS,Bahamas,2044,10.097644616399998
BHS,Bahamas,2045,10.097644616399998
BHS,Bahamas,2046,10.097644616399998
BHS,Bahamas,2047,10.097644616399998
BHS,Bahamas,2048,10.097644616399998
BHS,Bahamas,2049,10.097644616399998
BHS,Bahamas,2050,10.097644616399998
BIH,Bosnia and Herzegovina,2023,7.197533145
BIH,Bosnia and Herzegovina,2024,7.197533145
BIH,Bosnia and Herzegovina,2025,7.197533145
BIH,Bosnia and Herzegovina,2026,7.197533145
BIH,Bosnia and Herzegovina,2027,7.197533145
BIH,Bosnia and Herzegovina,2028,7.197533145
BIH,Bosnia and Herzegovina,2029,7.197533145
BIH,Bosnia and Herzegovina,2030,7.197533145
BIH,Bosnia and Herzegovina,2031,7.197533145
BIH,Bosnia and Herzegovina,2032,7.197533145
BIH,Bosnia and Herzegovina,2033,7.197533145
BIH,Bosnia and Herzegovina,2034,7.197533145
BIH,Bosnia and Herzegovina,2035,7.197533145
BIH,Bosnia and Herzegovina,2036,7.197533145
BIH,Bosnia and Herzegovina,2037,7.197533145
BIH,Bosnia and Herzegovina,2038,7.197533145
BIH,Bosnia and Herzegovina,2039,7.197533145
BIH,Bosnia and Herzegovina,2040,7.197533145
BIH,Bosnia and Herzegovina,2041,7.197533145
BIH,Bosnia and Herzegovina,2042,7.197533145
BIH,Bosnia and Herzegovina,2043,7.197533145
BIH,Bosnia and Herzegovina,2044,7.197533145
BIH,Bosnia and Herzegovina,2045,7.197533145
BIH,Bosnia and Herzegovina,2046,7.197533145
BIH,Bosnia and Herzegovina,2047,7.197533145
BIH,Bosnia and Herzegovina,2048,7.197533145
BIH,Bosnia and Herzegovina,2049,7.197533145
BIH,Bosnia and Herzegovina,2050,7.197533145
BLR,Belarus,2023,5.755601434
BLR,Belarus,2024,5.755601434
BLR,Belarus,2025,5.755601434
BLR,Belarus,2026,5.755601434
BLR,Belarus,2027,5.755601434
BLR,Belarus,2028,5.755601434
BLR,Belarus,2029,5.755601434
BLR,Belarus,2030,5.755601434
BLR,Belarus,2031,5.755601434
BLR,Belarus,2032,5.755601434
BLR,Belarus,2033,5.755601434
BLR,Belarus,2034,5.755601434
BLR,Belarus,2035,5.755601434
BLR,Belarus,2036,5.755601434
BLR,Belarus,2037,5.755601434
BLR,Belarus,2038,5.755601434
BLR,Belarus,2039,5.755601434
BLR,Belarus,2040,5.755601434
BLR,Belarus,2041,5.755601434
BLR,Belarus,2042,5.755601434
BLR,Belarus,2043,5.755601434
BLR,Belarus,2044,5.755601434
BLR,Belarus,2045,5.755601434
BLR,Belarus,2046,5.755601434
BLR,Belarus,2047,5.755601434
BLR,Belarus,2048,5.755601434
BLR,Belarus,2049,5.755601434
BLR,Belarus,2050,5.755601434
BLZ,Belize,2023,20.3437373205
BLZ,Belize,2024,20.3437373205
BLZ,Belize,2025,20.3437373205
BLZ,Belize,2026,20.3437373205
BLZ,Belize,2027,20.3437373205
BLZ,Belize,2028,20.3437373205
BLZ,Belize,2029,20.3437373205
BLZ,Belize,2030,20.3437373205
BLZ,Belize,2031,20.3437373205
BLZ,Belize,2032,20.3437373205
BLZ,Belize,2033,20.3437373205
BLZ,Belize,2034,20.3437373205
BLZ,Belize,2035,20.3437373205
BLZ,Belize,2036,20.3437373205
BLZ,Belize,2037,20.3437373205
BLZ,Belize,2038,20.3437373205
BLZ,Belize,2039,20.3437373205
BLZ,Belize,2040,20.3437373205
BLZ,Belize,2041,20.3437373205
BLZ,Belize,2042,20.3437373205
BLZ,Belize,2043,20.3437373205
BLZ,Belize,2044,20.3437373205
BLZ,Belize,2045,20.3437373205
BLZ,Belize,2046,20.3437373205
BLZ,Belize,2047,20.3437373205
BLZ,Belize,2048,20.3437373205
BLZ,Belize,2049,20.3437373205
BLZ,Belize,2050,20.3437373205
BOL,Bolivia (Plurinational State of),2023,12.188535619333335
BOL,Bolivia (Plurinational State of),2024,12.188535619333335
BOL,Bolivia (Plurinational State of),2025,12.188535619333335
BOL,Bolivia (Plurinational State of),2026,12.188535619333335
BOL,Bolivia (Plurinational State of),2027,12.188535619333335
BOL,Bolivia (Plurinational State of),2028,12.188535619333335
BOL,Bolivia (Plurinational State of),2029,12.188535619333335
BOL,Bolivia (Plurinational State of),2030,12.188535619333335
BOL,Bolivia (Plurinational State of),2031,12.188535619333335
BOL,Bolivia (Plurinational State of),2032,12.188535619333335
BOL,Bolivia (Plurinational State of),2033,12.188535619333335
BOL,Bolivia (Plurinational State of),2034,12.188535619333335
BOL,Bolivia (Plurinational State of),2035,12.188535619333335
BOL,Bolivia (Plurinational State of),2036,12.188535619333335
BOL,Bolivia (Plurinational State of),2037,12.188535619333335
BOL,Bolivia (Plurinational State of),2038,12.188535619333335
BOL,Bolivia (Plurinational State of),2039,12.188535619333335
BOL,Bolivia (Plurinational State of),2040,12.188535619333335
BOL,Bolivia (Plurinational State of),2041,12.188535619333335
BOL,Bolivia (Plurinational State of),2042,12.188535619333335
BOL,Bolivia (Plurinational State of),2043,12.188535619333335
BOL,Bolivia (Plurinational State of),2044,12.188535619333335
BOL,Bolivia (Plurinational State of),2045,12.188535619333335
BOL,Bolivia (Plurinational State of),2046,12.188535619333335
BOL,Bolivia (Plurinational State of),2047,12.188535619333335
BOL,Bolivia (Plurinational State of),2048,12.188535619333335
BOL,Bolivia (Plurinational State of),2049,12.188535619333335
BOL,Bolivia (Plurinational State of),2050,12.188535619333335
BRA,Brazil,2023,19.93017816625
BRA,Brazil,2024,19.93017816625
BRA,Brazil,2025,19.93017816625
BRA,Brazil,2026,19.93017816625
BRA,Brazil,2027,19.93017816625
BRA,Brazil,2028,19.93017816625
BRA,Brazil,2029,19.93017816625
BRA,Brazil,2030,19.93017816625
BRA,Brazil,2031,19.93017816625
BRA,Brazil,2032,19.93017816625
BRA,Brazil,2033,19.93017816625
BRA,Brazil,2034,19.93017816625
BRA,Brazil,2035,19.93017816625
BRA,Brazil,2036,19.93017816625
BRA,Brazil,2037,19.93017816625
BRA,Brazil,2038,19.93017816625
BRA,Brazil,2039,19.93017816625
BRA,Brazil,2040,19.93017816625
BRA,Brazil,2041,19.93017816625
BRA,Brazil,2042,19.93017816625
BRA,Brazil,2043,19.93017816625
