Year,iso_code3,pij_lndu_forests_mangroves_to_forests_secondary
2027,BLZ,0.0021264934487482
2028,BLZ,0.0021264934487482
2029,BLZ,0.0021264934487482
2030,BLZ,0.0021264934487482
2031,BLZ,0.0021264934487482
2032,BLZ,0.0021264934487482
2033,BLZ,0.0021264934487482
2034,BLZ,0.0021264934487482
2035,BLZ,0.0021264934487482
2036,BLZ,0.0021264934487482
2037,BLZ,0.0021264934487482
2038,BLZ,0.0021264934487482
2039,BLZ,0.0021264934487482
2040,BLZ,0.0021264934487482
2041,BLZ,0.0021264934487482
2042,BLZ,0.0021264934487482
2043,BLZ,0.0021264934487482
2044,BLZ,0.0021264934487482
2045,BLZ,0.0021264934487482
2046,BLZ,0.0021264934487482
2047,BLZ,0.0021264934487482
2048,BLZ,0.0021264934487482
2049,BLZ,0.0021264934487482
2050,BLZ,0.0021264934487482
2019,BOL,0.0013705258916957
2020,BOL,0.00136427995243
2021,BOL,0.00136427995243
2022,BOL,0.00136427995243
2023,BOL,0.00136427995243
2024,BOL,0.00136427995243
2025,BOL,0.00136427995243
2026,BOL,0.00136427995243
2027,BOL,0.00136427995243
2028,BOL,0.00136427995243
2029,BOL,0.00136427995243
2030,BOL,0.00136427995243
2031,BOL,0.00136427995243
2032,BOL,0.00136427995243
2033,BOL,0.00136427995243
2034,BOL,0.00136427995243
2035,BOL,0.00136427995243
2036,BOL,0.00136427995243
2037,BOL,0.00136427995243
2038,BOL,0.00136427995243
2039,BOL,0.00136427995243
2040,BOL,0.00136427995243
2041,BOL,0.00136427995243
2042,BOL,0.00136427995243
2043,BOL,0.00136427995243
2044,BOL,0.00136427995243
2045,BOL,0.00136427995243
2046,BOL,0.00136427995243
2047,BOL,0.00136427995243
2048,BOL,0.00136427995243
2049,BOL,0.00136427995243
2050,BOL,0.00136427995243
2019,BRA,0.0048815788856913
2020,BRA,0.0027594967730146
2021,BRA,0.0027594967730146
2022,BRA,0.0027594967730146
2023,BRA,0.0027594967730146
2024,BRA,0.0027594967730146
2025,BRA,0.0027594967730146
2026,BRA,0.0027594967730146
2027,BRA,0.0027594967730146
2028,BRA,0.0027594967730146
2029,BRA,0.0027594967730146
2030,BRA,0.0027594967730146
2031,BRA,0.0027594967730146
2032,BRA,0.0027594967730146
2033,BRA,0.0027594967730146
2034,BRA,0.0027594967730146
2035,BRA,0.0027594967730146
2036,BRA,0.0027594967730146
2037,BRA,0.0027594967730146
2038,BRA,0.0027594967730146
2039,BRA,0.0027594967730146
2040,BRA,0.0027594967730146
2041,BRA,0.0027594967730146
2042,BRA,0.0027594967730146
2043,BRA,0.0027594967730146
2044,BRA,0.0027594967730146
2045,BRA,0.0027594967730146
2046,BRA,0.0027594967730146
2047,BRA,0.0027594967730146
2048,BRA,0.0027594967730146
2049,BRA,0.0027594967730146
2050,BRA,0.0027594967730146
2019,BRN,0.0291104750750533
2020,BRN,0.0339183899388416
2021,BRN,0.0339183899388416
2022,BRN,0.0339183899388416
2023,BRN,0.0339183899388416
2024,BRN,0.0339183899388416
2025,BRN,0.0339183899388416
2026,BRN,0.0339183899388416
2027,BRN,0.0339183899388416
2028,BRN,0.0339183899388416
2029,BRN,0.0339183899388416
2030,BRN,0.0339183899388416
2031,BRN,0.0339183899388416
2032,BRN,0.0339183899388416
2033,BRN,0.0339183899388416
2034,BRN,0.0339183899388416
2035,BRN,0.0339183899388416
2036,BRN,0.0339183899388416
2037,BRN,0.0339183899388416
2038,BRN,0.0339183899388416
2039,BRN,0.0339183899388416
2040,BRN,0.0339183899388416
2041,BRN,0.0339183899388416
2042,BRN,0.0339183899388416
2043,BRN,0.0339183899388416
2044,BRN,0.0339183899388416
2045,BRN,0.0339183899388416
2046,BRN,0.0339183899388416
2047,BRN,0.0339183899388416
2048,BRN,0.0339183899388416
2049,BRN,0.0339183899388416
2050,BRN,0.0339183899388416
2019,BWA,0.0013714304697988
2020,BWA,0.0013663911035736
2021,BWA,0.0013663911035736
2022,BWA,0.0013663911035736
2023,BWA,0.0013663911035736
2024,BWA,0.0013663911035736
2025,BWA,0.0013663911035736
2026,BWA,0.0013663911035736
2027,BWA,0.0013663911035736
2028,BWA,0.0013663911035736
2029,BWA,0.0013663911035736
2030,BWA,0.0013663911035736
2031,BWA,0.0013663911035736
2032,BWA,0.0013663911035736
2033,BWA,0.0013663911035736
2034,BWA,0.0013663911035736
2035,BWA,0.0013663911035736
2036,BWA,0.0013663911035736
2037,BWA,0.0013663911035736
2038,BWA,0.0013663911035736
2039,BWA,0.0013663911035736
2040,BWA,0.0013663911035736
2041,BWA,0.0013663911035736
2042,BWA,0.0013663911035736
2043,BWA,0.0013663911035736
2044,BWA,0.0013663911035736
2045,BWA,0.0013663911035736
2046,BWA,0.0013663911035736
2047,BWA,0.0013663911035736
2048,BWA,0.0013663911035736
2049,BWA,0.0013663911035736
2050,BWA,0.0013663911035736
2019,CAF,0.0013694641284627
2020,CAF,0.0013668559578085
2021,CAF,0.0013668559578085
2022,CAF,0.0013668559578085
2023,CAF,0.0013668559578085
2024,CAF,0.0013668559578085
2025,CAF,0.0013668559578085
2026,CAF,0.0013668559578085
2027,CAF,0.0013668559578085
2028,CAF,0.0013668559578085
2029,CAF,0.0013668559578085
2030,CAF,0.0013668559578085
2031,CAF,0.0013668559578085
2032,CAF,0.0013668559578085
2033,CAF,0.0013668559578085
2034,CAF,0.0013668559578085
2035,CAF,0.0013668559578085
2036,CAF,0.0013668559578085
2037,CAF,0.0013668559578085
2038,CAF,0.0013668559578085
2039,CAF,0.0013668559578085
2040,CAF,0.0013668559578085
2041,CAF,0.0013668559578085
2042,CAF,0.0013668559578085
2043,CAF,0.0013668559578085
2044,CAF,0.0013668559578085
2045,CAF,0.0013668559578085
2046,CAF,0.0013668559578085
2047,CAF,0.0013668559578085
2048,CAF,0.0013668559578085
2049,CAF,0.0013668559578085
2050,CAF,0.0013668559578085
2019,CAN,0.0013704213223565
2020,CAN,0.0013669943934819
2021,CAN,0.0013669943934819
2022,CAN,0.0013669943934819
2023,CAN,0.0013669943934819
2024,CAN,0.0013669943934819
2025,CAN,0.0013669943934819
2026,CAN,0.0013669943934819
2027,CAN,0.0013669943934819
2028,CAN,0.0013669943934819
2029,CAN,0.0013669943934819
2030,CAN,0.0013669943934819
2031,CAN,0.0013669943934819
2032,CAN,0.0013669943934819
2033,CAN,0.0013669943934819
2034,CAN,0.0013669943934819
2035,CAN,0.0013669943934819
2036,CAN,0.0013669943934819
2037,CAN,0.0013669943934819
2038,CAN,0.0013669943934819
2039,CAN,0.0013669943934819
2040,CAN,0.0013669943934819
2041,CAN,0.0013669943934819
2042,CAN,0.0013669943934819
2043,CAN,0.0013669943934819
2044,CAN,0.0013669943934819
2045,CAN,0.0013669943934819
2046,CAN,0.0013669943934819
2047,CAN,0.0013669943934819
2048,CAN,0.0013669943934819
2049,CAN,0.0013669943934819
2050,CAN,0.0013669943934819
2019,CHE,0.0013699757109495
2020,CHE,0.0013673038758269
2021,CHE,0.0013673038758269
2022,CHE,0.0013673038758269
2023,CHE,0.0013673038758269
2024,CHE,0.0013673038758269
2025,CHE,0.0013673038758269
2026,CHE,0.0013673038758269
2027,CHE,0.0013673038758269
2028,CHE,0.0013673038758269
2029,CHE,0.0013673038758269
2030,CHE,0.0013673038758269
2031,CHE,0.0013673038758269
2032,CHE,0.0013673038758269
2033,CHE,0.0013673038758269
2034,CHE,0.0013673038758269
2035,CHE,0.0013673038758269
2036,CHE,0.0013673038758269
2037,CHE,0.0013673038758269
2038,CHE,0.0013673038758269
2039,CHE,0.0013673038758269
2040,CHE,0.0013673038758269
2041,CHE,0.0013673038758269
2042,CHE,0.0013673038758269
2043,CHE,0.0013673038758269
2044,CHE,0.0013673038758269
2045,CHE,0.0013673038758269
2046,CHE,0.0013673038758269
2047,CHE,0.0013673038758269
2048,CHE,0.0013673038758269
2049,CHE,0.0013673038758269
2050,CHE,0.0013673038758269
2019,CHL,0.0013701080094312
2020,CHL,0.0013667416680998
2021,CHL,0.0013667416680998
2022,CHL,0.0013667416680998
2023,CHL,0.0013667416680998
2024,CHL,0.0013667416680998
2025,CHL,0.0013667416680998
2026,CHL,0.0013667416680998
2027,CHL,0.0013667416680998
2028,CHL,0.0013667416680998
2029,CHL,0.0013667416680998
2030,CHL,0.0013667416680998
2031,CHL,0.0013667416680998
2032,CHL,0.0013667416680998
2033,CHL,0.0013667416680998
2034,CHL,0.0013667416680998
2035,CHL,0.0013667416680998
2036,CHL,0.0013667416680998
2037,CHL,0.0013667416680998
2038,CHL,0.0013667416680998
2039,CHL,0.0013667416680998
2040,CHL,0.0013667416680998
2041,CHL,0.0013667416680998
2042,CHL,0.0013667416680998
2043,CHL,0.0013667416680998
2044,CHL,0.0013667416680998
2045,CHL,0.0013667416680998
2046,CHL,0.0013667416680998
2047,CHL,0.0013667416680998
2048,CHL,0.0013667416680998
2049,CHL,0.0013667416680998
2050,CHL,0.0013667416680998
2019,CHN,0.0021682356133175
2020,CHN,0.0025325308014657
2021,CHN,0.0025325308014657
2022,CHN,0.0025325308014657
2023,CHN,0.0025325308014657
2024,CHN,0.0025325308014657
2025,CHN,0.0025325308014657
2026,CHN,0.0025325308014657
2027,CHN,0.0025325308014657
2028,CHN,0.0025325308014657
2029,CHN,0.0025325308014657
2030,CHN,0.0025325308014657
2031,CHN,0.0025325308014657
2032,CHN,0.0025325308014657
2033,CHN,0.0025325308014657
2034,CHN,0.0025325308014657
2035,CHN,0.0025325308014657
2036,CHN,0.0025325308014657
2037,CHN,0.0025325308014657
2038,CHN,0.0025325308014657
2039,CHN,0.0025325308014657
2040,CHN,0.0025325308014657
2041,CHN,0.0025325308014657
2042,CHN,0.0025325308014657
2043,CHN,0.0025325308014657
2044,CHN,0.0025325308014657
2045,CHN,0.0025325308014657
2046,CHN,0.0025325308014657
2047,CHN,0.0025325308014657
2048,CHN,0.0025325308014657
2049,CHN,0.0025325308014657
2050,CHN,0.0025325308014657
2019,CIV,0.0016600798417838
2020,CIV,0.0024669117643869
2021,CIV,0.0024669117643869
2022,CIV,0.0024669117643869
2023,CIV,0.0024669117643869
2024,CIV,0.0024669117643869
2025,CIV,0.0024669117643869
2026,CIV,0.0024669117643869
2027,CIV,0.0024669117643869
2028,CIV,0.0024669117643869
2029,CIV,0.0024669117643869
2030,CIV,0.0024669117643869
2031,CIV,0.0024669117643869
2032,CIV,0.0024669117643869
2033,CIV,0.0024669117643869
2034,CIV,0.0024669117643869
