Year,iso_code3,pij_lndu_wetlands_to_forests_secondary
2029,BGD,0.0013002169622074
2030,BGD,0.0013002169622074
2031,BGD,0.0013002169622074
2032,BGD,0.0013002169622074
2033,BGD,0.0013002169622074
2034,BGD,0.0013002169622074
2035,BGD,0.0013002169622074
2036,BGD,0.0013002169622074
2037,BGD,0.0013002169622074
2038,BGD,0.0013002169622074
2039,BGD,0.0013002169622074
2040,BGD,0.0013002169622074
2041,BGD,0.0013002169622074
2042,BGD,0.0013002169622074
2043,BGD,0.0013002169622074
2044,BGD,0.0013002169622074
2045,BGD,0.0013002169622074
2046,BGD,0.0013002169622074
2047,BGD,0.0013002169622074
2048,BGD,0.0013002169622074
2049,BGD,0.0013002169622074
2050,BGD,0.0013002169622074
2019,BGR,3.607861009772123e-05
2020,BGR,0.0009748231555977
2021,BGR,0.0009748231555977
2022,BGR,0.0009748231555977
2023,BGR,0.0009748231555977
2024,BGR,0.0009748231555977
2025,BGR,0.0009748231555977
2026,BGR,0.0009748231555977
2027,BGR,0.0009748231555977
2028,BGR,0.0009748231555977
2029,BGR,0.0009748231555977
2030,BGR,0.0009748231555977
2031,BGR,0.0009748231555977
2032,BGR,0.0009748231555977
2033,BGR,0.0009748231555977
2034,BGR,0.0009748231555977
2035,BGR,0.0009748231555977
2036,BGR,0.0009748231555977
2037,BGR,0.0009748231555977
2038,BGR,0.0009748231555977
2039,BGR,0.0009748231555977
2040,BGR,0.0009748231555977
2041,BGR,0.0009748231555977
2042,BGR,0.0009748231555977
2043,BGR,0.0009748231555977
2044,BGR,0.0009748231555977
2045,BGR,0.0009748231555977
2046,BGR,0.0009748231555977
2047,BGR,0.0009748231555977
2048,BGR,0.0009748231555977
2049,BGR,0.0009748231555977
2050,BGR,0.0009748231555977
2019,BHS,0.0001800804647233
2020,BHS,0.0008029245571894
2021,BHS,0.0008029245571894
2022,BHS,0.0008029245571894
2023,BHS,0.0008029245571894
2024,BHS,0.0008029245571894
2025,BHS,0.0008029245571894
2026,BHS,0.0008029245571894
2027,BHS,0.0008029245571894
2028,BHS,0.0008029245571894
2029,BHS,0.0008029245571894
2030,BHS,0.0008029245571894
2031,BHS,0.0008029245571894
2032,BHS,0.0008029245571894
2033,BHS,0.0008029245571894
2034,BHS,0.0008029245571894
2035,BHS,0.0008029245571894
2036,BHS,0.0008029245571894
2037,BHS,0.0008029245571894
2038,BHS,0.0008029245571894
2039,BHS,0.0008029245571894
2040,BHS,0.0008029245571894
2041,BHS,0.0008029245571894
2042,BHS,0.0008029245571894
2043,BHS,0.0008029245571894
2044,BHS,0.0008029245571894
2045,BHS,0.0008029245571894
2046,BHS,0.0008029245571894
2047,BHS,0.0008029245571894
2048,BHS,0.0008029245571894
2049,BHS,0.0008029245571894
2050,BHS,0.0008029245571894
2019,BIH,2.8156011969276715e-05
2020,BIH,0.0068317717445506
2021,BIH,0.0068317717445506
2022,BIH,0.0068317717445506
2023,BIH,0.0068317717445506
2024,BIH,0.0068317717445506
2025,BIH,0.0068317717445506
2026,BIH,0.0068317717445506
2027,BIH,0.0068317717445506
2028,BIH,0.0068317717445506
2029,BIH,0.0068317717445506
2030,BIH,0.0068317717445506
2031,BIH,0.0068317717445506
2032,BIH,0.0068317717445506
2033,BIH,0.0068317717445506
2034,BIH,0.0068317717445506
2035,BIH,0.0068317717445506
2036,BIH,0.0068317717445506
2037,BIH,0.0068317717445506
2038,BIH,0.0068317717445506
2039,BIH,0.0068317717445506
2040,BIH,0.0068317717445506
2041,BIH,0.0068317717445506
2042,BIH,0.0068317717445506
2043,BIH,0.0068317717445506
2044,BIH,0.0068317717445506
2045,BIH,0.0068317717445506
2046,BIH,0.0068317717445506
2047,BIH,0.0068317717445506
2048,BIH,0.0068317717445506
2049,BIH,0.0068317717445506
2050,BIH,0.0068317717445506
2019,BLR,1.965251214189958e-05
2020,BLR,0.0041732610040534
2021,BLR,0.0041732610040534
2022,BLR,0.0041732610040534
2023,BLR,0.0041732610040534
2024,BLR,0.0041732610040534
2025,BLR,0.0041732610040534
2026,BLR,0.0041732610040534
2027,BLR,0.0041732610040534
2028,BLR,0.0041732610040534
2029,BLR,0.0041732610040534
2030,BLR,0.0041732610040534
2031,BLR,0.0041732610040534
2032,BLR,0.0041732610040534
2033,BLR,0.0041732610040534
