"Nation","iso_code3","efficfactor_scoe_heat_energy_residential_gas_petroleum_liquid","Year"
"Qatar","QAT",1.1297,2027
"Romania","ROU",1.0987,2027
"Russian Federation","RUS",1.0987,2027
"Saudi Arabia","SAU",1.1297,2027
"Senegal","SEN",1.1297,2027
"Serbia","SRB",1.0987,2027
"Singapore","SGP",1.1297,2027
"Slovak Republic","SVK",1.0987,2027
"Slovenia","SVN",1.0987,2027
"South Africa","ZAF",1.12307391304348,2027
"South Sudan","SSD",1.1297,2027
"Spain","ESP",1.0987,2027
"Sri Lanka","LKA",1.09241860465116,2027
"Sudan","SDN",1.1297,2027
"Suriname","SUR",1.1297,2027
"Sweden","SWE",1.0987,2027
"Switzerland","CHE",1.0987,2027
"Syrian Arab Republic","SYR",1.1297,2027
"Tajikistan","TJK",1.0987,2027
"Thailand","THA",1.1774,2027
"Togo","TGO",1.1297,2027
"Trinidad and Tobago","TTO",1.1297,2027
"Tunisia","TUN",1.1183652173913,2027
"Turkey","TUR",1.0987,2027
"Turkmenistan","TKM",1.0987,2027
"Ukraine","UKR",1.0987,2027
"United Arab Emirates","ARE",1.1297,2027
"United Kingdom","GBR",1.0987,2027
"United States","USA",1.1297,2027
"Uruguay","URY",1.11658260869565,2027
"Uzbekistan","UZB",1.0987,2027
"Venezuela","VEN",1.1768,2027
"Vietnam","VNM",1.088,2027
"Zambia","ZMB",1.09386,2027
"Zimbabwe","ZWE",1.1297,2027
"Albania","ALB",1.0987,2028
"Algeria","DZA",1.18,2028
"Angola","AGO",1.1297,2028
"Argentina","ARG",1.10977608695652,2028
"Armenia","ARM",1.0987,2028
"Australia","AUS",1.1393,2028
"Austria","AUT",1.0987,2028
"Azerbaijan","AZE",1.0987,2028
"Bahrain","BHR",1.1297,2028
"Bangladesh","BGD",1.1297,2028
"Belarus","BLR",1.0987,2028
"Belgium","BEL",1.0987,2028
"Benin","BEN",1.1297,2028
"Bolivia","BOL",1.1297,2028
"Bosnia and Herzegovina","BIH",1.0987,2028
"Botswana","BWA",1.1297,2028
"Brazil","BRA",1.11678723404255,2028
"Brunei Darussalam","BRN",1.1297,2028
"Bulgaria","BGR",1.0987,2028
"Cambodia","KHM",1.18,2028
"Cameroon","CMR",1.1297,2028
"Canada","CAN",1.1297,2028
"Chile","CHL",1.1297,2028
"China","CHN",1.17360930232558,2028
"Colombia","COL",1.102,2028
"Costa Rica","CRI",1.1297,2028
"Croatia","HRV",1.0987,2028
"Cuba","CUB",1.12005652173913,2028
"Cyprus","CYP",1.0987,2028
"Denmark","DNK",1.0987,2028
"Dominican Republic","DOM",1.1297,2028
"Ecuador","ECU",1.1297,2028
"Egypt","EGY",1.1297,2028
"El Salvador","SLV",1.1297,2028
"Eritrea","ERI",1.1297,2028
"Estonia","EST",1.0987,2028
"Ethiopia","ETH",1.1297,2028
"Finland","FIN",1.0987,2028
"France","FRA",1.0987,2028
"Gabon","GAB",1.1297,2028
"Georgia","GEO",1.0987,2028
"Germany","DEU",1.0987,2028
"Ghana","GHA",1.1297,2028
"Gibraltar","GIB",1.11779932589735,2028
"Greece","GRC",1.0987,2028
"Guatemala","GTM",1.1297,2028
"Haiti","HTI",1.1297,2028
"Honduras","HND",1.1297,2028
"Hungary","HUN",1.0987,2028
"Iceland","ISL",1.0987,2028
"India","IND",1.1297,2028
"Indonesia","IDN",1.1297,2028
"Iraq","IRQ",1.1297,2028
"Ireland","IRL",1.0987,2028
"Israel","ISR",1.1297,2028
"Italy","ITA",1.0987,2028
"Jamaica","JAM",1.1297,2028
"Japan","JPN",1.1393,2028
"Jordan","JOR",1.11931086956522,2028
"Kazakhstan","KAZ",1.0987,2028
"Kenya","KEN",1.1297,2028
"Korea","KOR",1.1393,2028
"Kosovo","XKX",1.0987,2028
"Kuwait","KWT",1.1297,2028
"Latvia","LVA",1.0987,2028
"Lebanon","LBN",1.1297,2028
"Libya","LBY",1.1297,2028
"Lithuania","LTU",1.0987,2028
"Luxembourg","LUX",1.0987,2028
"Malaysia","MYS",1.10802826086957,2028
"Malta","MLT",1.0987,2028
"Mauritius","MUS",1.1297,2028
"Mexico","MEX",1.1297,2028
"Mongolia","MNG",1.11779932589735,2028
"Montenegro","MNE",1.0987,2028
"Morocco","MAR",1.1297,2028
"Mozambique","MOZ",1.10758043478261,2028
"Myanmar","MMR",1.1297,2028
"Namibia","NAM",1.1297,2028
"Nepal","NPL",1.17287837837838,2028
"Netherlands","NLD",1.0987,2028
"New Zealand","NZL",1.1393,2028
"Nicaragua","NIC",1.12678695652174,2028
"Niger","NER",1.1297,2028
"Nigeria","NGA",1.1297,2028
"Norway","NOR",1.0987,2028
"Oman","OMN",1.1297,2028
"Pakistan","PAK",1.085,2028
"Panama","PAN",1.1297,2028
"Paraguay","PRY",1.095,2028
"Peru","PER",1.1297,2028
"Philippines","PHL",1.076,2028
"Poland","POL",1.0987,2028
"Portugal","PRT",1.0987,2028
"Qatar","QAT",1.1297,2028
"Romania","ROU",1.0987,2028
"Russian Federation","RUS",1.0987,2028
"Saudi Arabia","SAU",1.1297,2028
"Senegal","SEN",1.1297,2028
"Serbia","SRB",1.0987,2028
"Singapore","SGP",1.1297,2028
"Slovak Republic","SVK",1.0987,2028
"Slovenia","SVN",1.0987,2028
"South Africa","ZAF",1.12307391304348,2028
"South Sudan","SSD",1.1297,2028
"Spain","ESP",1.0987,2028
"Sri Lanka","LKA",1.09241860465116,2028
"Sudan","SDN",1.1297,2028
"Suriname","SUR",1.1297,2028
"Sweden","SWE",1.0987,2028
"Switzerland","CHE",1.0987,2028
"Syrian Arab Republic","SYR",1.1297,2028
"Tajikistan","TJK",1.0987,2028
"Thailand","THA",1.1774,2028
"Togo","TGO",1.1297,2028
"Trinidad and Tobago","TTO",1.1297,2028
"Tunisia","TUN",1.1183652173913,2028
"Turkey","TUR",1.0987,2028
"Turkmenistan","TKM",1.0987,2028
"Ukraine","UKR",1.0987,2028
"United Arab Emirates","ARE",1.1297,2028
"United Kingdom","GBR",1.0987,2028
"United States","USA",1.1297,2028
"Uruguay","URY",1.11658260869565,2028
"Uzbekistan","UZB",1.0987,2028
"Venezuela","VEN",1.1768,2028
"Vietnam","VNM",1.088,2028
"Zambia","ZMB",1.09386,2028
"Zimbabwe","ZWE",1.1297,2028
"Albania","ALB",1.0987,2029
"Algeria","DZA",1.18,2029
"Angola","AGO",1.1297,2029
"Argentina","ARG",1.10977608695652,2029
"Armenia","ARM",1.0987,2029
"Australia","AUS",1.1393,2029
"Austria","AUT",1.0987,2029
"Azerbaijan","AZE",1.0987,2029
"Bahrain","BHR",1.1297,2029
"Bangladesh","BGD",1.1297,2029
"Belarus","BLR",1.0987,2029
"Belgium","BEL",1.0987,2029
"Benin","BEN",1.1297,2029
"Bolivia","BOL",1.1297,2029
"Bosnia and Herzegovina","BIH",1.0987,2029
"Botswana","BWA",1.1297,2029
"Brazil","BRA",1.11678723404255,2029
"Brunei Darussalam","BRN",1.1297,2029
"Bulgaria","BGR",1.0987,2029
"Cambodia","KHM",1.18,2029
"Cameroon","CMR",1.1297,2029
"Canada","CAN",1.1297,2029
"Chile","CHL",1.1297,2029
"China","CHN",1.17360930232558,2029
"Colombia","COL",1.102,2029
"Costa Rica","CRI",1.1297,2029
"Croatia","HRV",1.0987,2029
"Cuba","CUB",1.12005652173913,2029
"Cyprus","CYP",1.0987,2029
"Denmark","DNK",1.0987,2029
"Dominican Republic","DOM",1.1297,2029
"Ecuador","ECU",1.1297,2029
"Egypt","EGY",1.1297,2029
"El Salvador","SLV",1.1297,2029
"Eritrea","ERI",1.1297,2029
"Estonia","EST",1.0987,2029
"Ethiopia","ETH",1.1297,2029
"Finland","FIN",1.0987,2029
"France","FRA",1.0987,2029
"Gabon","GAB",1.1297,2029
"Georgia","GEO",1.0987,2029
"Germany","DEU",1.0987,2029
"Ghana","GHA",1.1297,2029
"Gibraltar","GIB",1.11779932589735,2029
"Greece","GRC",1.0987,2029
"Guatemala","GTM",1.1297,2029
"Haiti","HTI",1.1297,2029
"Honduras","HND",1.1297,2029
"Hungary","HUN",1.0987,2029
"Iceland","ISL",1.0987,2029
"India","IND",1.1297,2029
"Indonesia","IDN",1.1297,2029
"Iraq","IRQ",1.1297,2029
"Ireland","IRL",1.0987,2029
"Israel","ISR",1.1297,2029
"Italy","ITA",1.0987,2029
"Jamaica","JAM",1.1297,2029
"Japan","JPN",1.1393,2029
"Jordan","JOR",1.11931086956522,2029
"Kazakhstan","KAZ",1.0987,2029
"Kenya","KEN",1.1297,2029
"Korea","KOR",1.1393,2029
"Kosovo","XKX",1.0987,2029
"Kuwait","KWT",1.1297,2029
"Latvia","LVA",1.0987,2029
"Lebanon","LBN",1.1297,2029
"Libya","LBY",1.1297,2029
"Lithuania","LTU",1.0987,2029
"Luxembourg","LUX",1.0987,2029
"Malaysia","MYS",1.10802826086957,2029
"Malta","MLT",1.0987,2029
"Mauritius","MUS",1.1297,2029
"Mexico","MEX",1.1297,2029
"Mongolia","MNG",1.11779932589735,2029
"Montenegro","MNE",1.0987,2029
"Morocco","MAR",1.1297,2029
"Mozambique","MOZ",1.10758043478261,2029
"Myanmar","MMR",1.1297,2029
"Namibia","NAM",1.1297,2029
"Nepal","NPL",1.17287837837838,2029
"Netherlands","NLD",1.0987,2029
"New Zealand","NZL",1.1393,2029
"Nicaragua","NIC",1.12678695652174,2029
"Niger","NER",1.1297,2029
"Nigeria","NGA",1.1297,2029
"Norway","NOR",1.0987,2029
"Oman","OMN",1.1297,2029
"Pakistan","PAK",1.085,2029
"Panama","PAN",1.1297,2029
"Paraguay","PRY",1.095,2029
"Peru","PER",1.1297,2029
"Philippines","PHL",1.076,2029
"Poland","POL",1.0987,2029
"Portugal","PRT",1.0987,2029
"Qatar","QAT",1.1297,2029
"Romania","ROU",1.0987,2029
"Russian Federation","RUS",1.0987,2029
"Saudi Arabia","SAU",1.1297,2029
"Senegal","SEN",1.1297,2029
"Serbia","SRB",1.0987,2029
"Singapore","SGP",1.1297,2029
"Slovak Republic","SVK",1.0987,2029
"Slovenia","SVN",1.0987,2029
"South Africa","ZAF",1.12307391304348,2029
"South Sudan","SSD",1.1297,2029
"Spain","ESP",1.0987,2029
"Sri Lanka","LKA",1.09241860465116,2029
"Sudan","SDN",1.1297,2029
"Suriname","SUR",1.1297,2029
"Sweden","SWE",1.0987,2029
"Switzerland","CHE",1.0987,2029
"Syrian Arab Republic","SYR",1.1297,2029
"Tajikistan","TJK",1.0987,2029
"Thailand","THA",1.1774,2029
"Togo","TGO",1.1297,2029
"Trinidad and Tobago","TTO",1.1297,2029
"Tunisia","TUN",1.1183652173913,2029
"Turkey","TUR",1.0987,2029
"Turkmenistan","TKM",1.0987,2029
"Ukraine","UKR",1.0987,2029
"United Arab Emirates","ARE",1.1297,2029
"United Kingdom","GBR",1.0987,2029
"United States","USA",1.1297,2029
"Uruguay","URY",1.11658260869565,2029
"Uzbekistan","UZB",1.0987,2029
"Venezuela","VEN",1.1768,2029
"Vietnam","VNM",1.088,2029
"Zambia","ZMB",1.09386,2029
"Zimbabwe","ZWE",1.1297,2029
"Albania","ALB",1.0987,2030
"Algeria","DZA",1.18,2030
"Angola","AGO",1.1297,2030
"Argentina","ARG",1.10977608695652,2030
"Armenia","ARM",1.0987,2030
"Australia","AUS",1.1393,2030
"Austria","AUT",1.0987,2030
"Azerbaijan","AZE",1.0987,2030
"Bahrain","BHR",1.1297,2030
"Bangladesh","BGD",1.1297,2030
"Belarus","BLR",1.0987,2030
"Belgium","BEL",1.0987,2030
"Benin","BEN",1.1297,2030
"Bolivia","BOL",1.1297,2030
"Bosnia and Herzegovina","BIH",1.0987,2030
"Botswana","BWA",1.1297,2030
"Brazil","BRA",1.11678723404255,2030
"Brunei Darussalam","BRN",1.1297,2030
"Bulgaria","BGR",1.0987,2030
"Cambodia","KHM",1.18,2030
"Cameroon","CMR",1.1297,2030
"Canada","CAN",1.1297,2030
"Chile","CHL",1.1297,2030
"China","CHN",1.17360930232558,2030
"Colombia","COL",1.102,2030
"Costa Rica","CRI",1.1297,2030
"Croatia","HRV",1.0987,2030
"Cuba","CUB",1.12005652173913,2030
"Cyprus","CYP",1.0987,2030
"Denmark","DNK",1.0987,2030
"Dominican Republic","DOM",1.1297,2030
"Ecuador","ECU",1.1297,2030
"Egypt","EGY",1.1297,2030
"El Salvador","SLV",1.1297,2030
"Eritrea","ERI",1.1297,2030
"Estonia","EST",1.0987,2030
"Ethiopia","ETH",1.1297,2030
"Finland","FIN",1.0987,2030
"France","FRA",1.0987,2030
"Gabon","GAB",1.1297,2030
"Georgia","GEO",1.0987,2030
"Germany","DEU",1.0987,2030
"Ghana","GHA",1.1297,2030
"Gibraltar","GIB",1.11779932589735,2030
"Greece","GRC",1.0987,2030
"Guatemala","GTM",1.1297,2030
"Haiti","HTI",1.1297,2030
"Honduras","HND",1.1297,2030
"Hungary","HUN",1.0987,2030
"Iceland","ISL",1.0987,2030
"India","IND",1.1297,2030
"Indonesia","IDN",1.1297,2030
"Iraq","IRQ",1.1297,2030
"Ireland","IRL",1.0987,2030
"Israel","ISR",1.1297,2030
"Italy","ITA",1.0987,2030
"Jamaica","JAM",1.1297,2030
"Japan","JPN",1.1393,2030
"Jordan","JOR",1.11931086956522,2030
"Kazakhstan","KAZ",1.0987,2030
"Kenya","KEN",1.1297,2030
"Korea","KOR",1.1393,2030
"Kosovo","XKX",1.0987,2030
"Kuwait","KWT",1.1297,2030
"Latvia","LVA",1.0987,2030
"Lebanon","LBN",1.1297,2030
"Libya","LBY",1.1297,2030
"Lithuania","LTU",1.0987,2030
"Luxembourg","LUX",1.0987,2030
"Malaysia","MYS",1.10802826086957,2030
"Malta","MLT",1.0987,2030
"Mauritius","MUS",1.1297,2030
"Mexico","MEX",1.1297,2030
"Mongolia","MNG",1.11779932589735,2030
"Montenegro","MNE",1.0987,2030
"Morocco","MAR",1.1297,2030
"Mozambique","MOZ",1.10758043478261,2030
"Myanmar","MMR",1.1297,2030
"Namibia","NAM",1.1297,2030
"Nepal","NPL",1.17287837837838,2030
"Netherlands","NLD",1.0987,2030
"New Zealand","NZL",1.1393,2030
"Nicaragua","NIC",1.12678695652174,2030
"Niger","NER",1.1297,2030
"Nigeria","NGA",1.1297,2030
"Norway","NOR",1.0987,2030
"Oman","OMN",1.1297,2030
"Pakistan","PAK",1.085,2030
"Panama","PAN",1.1297,2030
"Paraguay","PRY",1.095,2030
"Peru","PER",1.1297,2030
"Philippines","PHL",1.076,2030
"Poland","POL",1.0987,2030
"Portugal","PRT",1.0987,2030
"Qatar","QAT",1.1297,2030
"Romania","ROU",1.0987,2030
"Russian Federation","RUS",1.0987,2030
"Saudi Arabia","SAU",1.1297,2030
"Senegal","SEN",1.1297,2030
"Serbia","SRB",1.0987,2030
"Singapore","SGP",1.1297,2030
"Slovak Republic","SVK",1.0987,2030
"Slovenia","SVN",1.0987,2030
"South Africa","ZAF",1.12307391304348,2030
"South Sudan","SSD",1.1297,2030
"Spain","ESP",1.0987,2030
"Sri Lanka","LKA",1.09241860465116,2030
"Sudan","SDN",1.1297,2030
"Suriname","SUR",1.1297,2030
"Sweden","SWE",1.0987,2030
"Switzerland","CHE",1.0987,2030
"Syrian Arab Republic","SYR",1.1297,2030
"Tajikistan","TJK",1.0987,2030
"Thailand","THA",1.1774,2030
"Togo","TGO",1.1297,2030
"Trinidad and Tobago","TTO",1.1297,2030
"Tunisia","TUN",1.1183652173913,2030
"Turkey","TUR",1.0987,2030
"Turkmenistan","TKM",1.0987,2030
"Ukraine","UKR",1.0987,2030
"United Arab Emirates","ARE",1.1297,2030
"United Kingdom","GBR",1.0987,2030
"United States","USA",1.1297,2030
"Uruguay","URY",1.11658260869565,2030
"Uzbekistan","UZB",1.0987,2030
"Venezuela","VEN",1.1768,2030
"Vietnam","VNM",1.088,2030
"Zambia","ZMB",1.09386,2030
"Zimbabwe","ZWE",1.1297,2030
"Albania","ALB",1.0987,2031
"Algeria","DZA",1.18,2031
"Angola","AGO",1.1297,2031
"Argentina","ARG",1.10977608695652,2031
"Armenia","ARM",1.0987,2031
"Australia","AUS",1.1393,2031
"Austria","AUT",1.0987,2031
"Azerbaijan","AZE",1.0987,2031
"Bahrain","BHR",1.1297,2031
"Bangladesh","BGD",1.1297,2031
"Belarus","BLR",1.0987,2031
"Belgium","BEL",1.0987,2031
"Benin","BEN",1.1297,2031
"Bolivia","BOL",1.1297,2031
"Bosnia and Herzegovina","BIH",1.0987,2031
"Botswana","BWA",1.1297,2031
"Brazil","BRA",1.11678723404255,2031
"Brunei Darussalam","BRN",1.1297,2031
"Bulgaria","BGR",1.0987,2031
"Cambodia","KHM",1.18,2031
"Cameroon","CMR",1.1297,2031
"Canada","CAN",1.1297,2031
"Chile","CHL",1.1297,2031
"China","CHN",1.17360930232558,2031
"Colombia","COL",1.102,2031
"Costa Rica","CRI",1.1297,2031
"Croatia","HRV",1.0987,2031
"Cuba","CUB",1.12005652173913,2031
"Cyprus","CYP",1.0987,2031
"Denmark","DNK",1.0987,2031
"Dominican Republic","DOM",1.1297,2031
"Ecuador","ECU",1.1297,2031
"Egypt","EGY",1.1297,2031
"El Salvador","SLV",1.1297,2031
"Eritrea","ERI",1.1297,2031
"Estonia","EST",1.0987,2031
"Ethiopia","ETH",1.1297,2031
"Finland","FIN",1.0987,2031
"France","FRA",1.0987,2031
"Gabon","GAB",1.1297,2031
"Georgia","GEO",1.0987,2031
"Germany","DEU",1.0987,2031
"Ghana","GHA",1.1297,2031
"Gibraltar","GIB",1.11779932589735,2031
"Greece","GRC",1.0987,2031
"Guatemala","GTM",1.1297,2031
"Haiti","HTI",1.1297,2031
"Honduras","HND",1.1297,2031
"Hungary","HUN",1.0987,2031
"Iceland","ISL",1.0987,2031
"India","IND",1.1297,2031
"Indonesia","IDN",1.1297,2031
"Iraq","IRQ",1.1297,2031
"Ireland","IRL",1.0987,2031
"Israel","ISR",1.1297,2031
"Italy","ITA",1.0987,2031
"Jamaica","JAM",1.1297,2031
"Japan","JPN",1.1393,2031
"Jordan","JOR",1.11931086956522,2031
"Kazakhstan","KAZ",1.0987,2031
"Kenya","KEN",1.1297,2031
"Korea","KOR",1.1393,2031
"Kosovo","XKX",1.0987,2031
"Kuwait","KWT",1.1297,2031
"Latvia","LVA",1.0987,2031
"Lebanon","LBN",1.1297,2031
"Libya","LBY",1.1297,2031
"Lithuania","LTU",1.0987,2031
"Luxembourg","LUX",1.0987,2031
"Malaysia","MYS",1.10802826086957,2031
"Malta","MLT",1.0987,2031
"Mauritius","MUS",1.1297,2031
"Mexico","MEX",1.1297,2031
"Mongolia","MNG",1.11779932589735,2031
"Montenegro","MNE",1.0987,2031
"Morocco","MAR",1.1297,2031
"Mozambique","MOZ",1.10758043478261,2031
"Myanmar","MMR",1.1297,2031
"Namibia","NAM",1.1297,2031
"Nepal","NPL",1.17287837837838,2031
"Netherlands","NLD",1.0987,2031
"New Zealand","NZL",1.1393,2031
"Nicaragua","NIC",1.12678695652174,2031
"Niger","NER",1.1297,2031
"Nigeria","NGA",1.1297,2031
"Norway","NOR",1.0987,2031
"Oman","OMN",1.1297,2031
"Pakistan","PAK",1.085,2031
"Panama","PAN",1.1297,2031
"Paraguay","PRY",1.095,2031
"Peru","PER",1.1297,2031
"Philippines","PHL",1.076,2031
"Poland","POL",1.0987,2031
"Portugal","PRT",1.0987,2031
"Qatar","QAT",1.1297,2031
"Romania","ROU",1.0987,2031
"Russian Federation","RUS",1.0987,2031
"Saudi Arabia","SAU",1.1297,2031
"Senegal","SEN",1.1297,2031
"Serbia","SRB",1.0987,2031
"Singapore","SGP",1.1297,2031
"Slovak Republic","SVK",1.0987,2031
"Slovenia","SVN",1.0987,2031
"South Africa","ZAF",1.12307391304348,2031
"South Sudan","SSD",1.1297,2031
"Spain","ESP",1.0987,2031
"Sri Lanka","LKA",1.09241860465116,2031
"Sudan","SDN",1.1297,2031
"Suriname","SUR",1.1297,2031
"Sweden","SWE",1.0987,2031
"Switzerland","CHE",1.0987,2031
"Syrian Arab Republic","SYR",1.1297,2031
"Tajikistan","TJK",1.0987,2031
"Thailand","THA",1.1774,2031
"Togo","TGO",1.1297,2031
"Trinidad and Tobago","TTO",1.1297,2031
"Tunisia","TUN",1.1183652173913,2031
"Turkey","TUR",1.0987,2031
"Turkmenistan","TKM",1.0987,2031
"Ukraine","UKR",1.0987,2031
"United Arab Emirates","ARE",1.1297,2031
"United Kingdom","GBR",1.0987,2031
"United States","USA",1.1297,2031
"Uruguay","URY",1.11658260869565,2031
"Uzbekistan","UZB",1.0987,2031
"Venezuela","VEN",1.1768,2031
"Vietnam","VNM",1.088,2031
"Zambia","ZMB",1.09386,2031
"Zimbabwe","ZWE",1.1297,2031
"Albania","ALB",1.0987,2032
"Algeria","DZA",1.18,2032
"Angola","AGO",1.1297,2032
"Argentina","ARG",1.10977608695652,2032
"Armenia","ARM",1.0987,2032
"Australia","AUS",1.1393,2032
"Austria","AUT",1.0987,2032
"Azerbaijan","AZE",1.0987,2032
"Bahrain","BHR",1.1297,2032
"Bangladesh","BGD",1.1297,2032
"Belarus","BLR",1.0987,2032
"Belgium","BEL",1.0987,2032
"Benin","BEN",1.1297,2032
"Bolivia","BOL",1.1297,2032
"Bosnia and Herzegovina","BIH",1.0987,2032
"Botswana","BWA",1.1297,2032
"Brazil","BRA",1.11678723404255,2032
"Brunei Darussalam","BRN",1.1297,2032
"Bulgaria","BGR",1.0987,2032
"Cambodia","KHM",1.18,2032
"Cameroon","CMR",1.1297,2032
"Canada","CAN",1.1297,2032
"Chile","CHL",1.1297,2032
"China","CHN",1.17360930232558,2032
"Colombia","COL",1.102,2032
"Costa Rica","CRI",1.1297,2032
"Croatia","HRV",1.0987,2032
"Cuba","CUB",1.12005652173913,2032
"Cyprus","CYP",1.0987,2032
"Denmark","DNK",1.0987,2032
"Dominican Republic","DOM",1.1297,2032
"Ecuador","ECU",1.1297,2032
"Egypt","EGY",1.1297,2032
"El Salvador","SLV",1.1297,2032
"Eritrea","ERI",1.1297,2032
"Estonia","EST",1.0987,2032
"Ethiopia","ETH",1.1297,2032
"Finland","FIN",1.0987,2032
"France","FRA",1.0987,2032
"Gabon","GAB",1.1297,2032
"Georgia","GEO",1.0987,2032
"Germany","DEU",1.0987,2032
"Ghana","GHA",1.1297,2032
"Gibraltar","GIB",1.11779932589735,2032
"Greece","GRC",1.0987,2032
"Guatemala","GTM",1.1297,2032
"Haiti","HTI",1.1297,2032
"Honduras","HND",1.1297,2032
"Hungary","HUN",1.0987,2032
"Iceland","ISL",1.0987,2032
"India","IND",1.1297,2032
"Indonesia","IDN",1.1297,2032
"Iraq","IRQ",1.1297,2032
"Ireland","IRL",1.0987,2032
"Israel","ISR",1.1297,2032
"Italy","ITA",1.0987,2032
"Jamaica","JAM",1.1297,2032
"Japan","JPN",1.1393,2032
"Jordan","JOR",1.11931086956522,2032
"Kazakhstan","KAZ",1.0987,2032
"Kenya","KEN",1.1297,2032
"Korea","KOR",1.1393,2032
"Kosovo","XKX",1.0987,2032
"Kuwait","KWT",1.1297,2032
"Latvia","LVA",1.0987,2032
"Lebanon","LBN",1.1297,2032
"Libya","LBY",1.1297,2032
"Lithuania","LTU",1.0987,2032
"Luxembourg","LUX",1.0987,2032
"Malaysia","MYS",1.10802826086957,2032
"Malta","MLT",1.0987,2032
"Mauritius","MUS",1.1297,2032
"Mexico","MEX",1.1297,2032
"Mongolia","MNG",1.11779932589735,2032
"Montenegro","MNE",1.0987,2032
"Morocco","MAR",1.1297,2032
"Mozambique","MOZ",1.10758043478261,2032
"Myanmar","MMR",1.1297,2032
"Namibia","NAM",1.1297,2032
"Nepal","NPL",1.17287837837838,2032
"Netherlands","NLD",1.0987,2032
"New Zealand","NZL",1.1393,2032
"Nicaragua","NIC",1.12678695652174,2032
"Niger","NER",1.1297,2032
"Nigeria","NGA",1.1297,2032
"Norway","NOR",1.0987,2032
"Oman","OMN",1.1297,2032
"Pakistan","PAK",1.085,2032
"Panama","PAN",1.1297,2032
"Paraguay","PRY",1.095,2032
"Peru","PER",1.1297,2032
"Philippines","PHL",1.076,2032
"Poland","POL",1.0987,2032
"Portugal","PRT",1.0987,2032
"Qatar","QAT",1.1297,2032
"Romania","ROU",1.0987,2032
"Russian Federation","RUS",1.0987,2032
"Saudi Arabia","SAU",1.1297,2032
"Senegal","SEN",1.1297,2032
"Serbia","SRB",1.0987,2032
"Singapore","SGP",1.1297,2032
"Slovak Republic","SVK",1.0987,2032
"Slovenia","SVN",1.0987,2032
"South Africa","ZAF",1.12307391304348,2032
"South Sudan","SSD",1.1297,2032
"Spain","ESP",1.0987,2032
"Sri Lanka","LKA",1.09241860465116,2032
"Sudan","SDN",1.1297,2032
"Suriname","SUR",1.1297,2032
"Sweden","SWE",1.0987,2032
"Switzerland","CHE",1.0987,2032
"Syrian Arab Republic","SYR",1.1297,2032
"Tajikistan","TJK",1.0987,2032
"Thailand","THA",1.1774,2032
"Togo","TGO",1.1297,2032
"Trinidad and Tobago","TTO",1.1297,2032
"Tunisia","TUN",1.1183652173913,2032
"Turkey","TUR",1.0987,2032
"Turkmenistan","TKM",1.0987,2032
"Ukraine","UKR",1.0987,2032
"United Arab Emirates","ARE",1.1297,2032
"United Kingdom","GBR",1.0987,2032
"United States","USA",1.1297,2032
"Uruguay","URY",1.11658260869565,2032
"Uzbekistan","UZB",1.0987,2032
"Venezuela","VEN",1.1768,2032
"Vietnam","VNM",1.088,2032
"Zambia","ZMB",1.09386,2032
"Zimbabwe","ZWE",1.1297,2032
"Albania","ALB",1.0987,2033
"Algeria","DZA",1.18,2033
"Angola","AGO",1.1297,2033
"Argentina","ARG",1.10977608695652,2033
"Armenia","ARM",1.0987,2033
"Australia","AUS",1.1393,2033
"Austria","AUT",1.0987,2033
"Azerbaijan","AZE",1.0987,2033
"Bahrain","BHR",1.1297,2033
"Bangladesh","BGD",1.1297,2033
"Belarus","BLR",1.0987,2033
"Belgium","BEL",1.0987,2033
"Benin","BEN",1.1297,2033
"Bolivia","BOL",1.1297,2033
"Bosnia and Herzegovina","BIH",1.0987,2033
"Botswana","BWA",1.1297,2033
"Brazil","BRA",1.11678723404255,2033
"Brunei Darussalam","BRN",1.1297,2033
"Bulgaria","BGR",1.0987,2033
"Cambodia","KHM",1.18,2033
"Cameroon","CMR",1.1297,2033
"Canada","CAN",1.1297,2033
"Chile","CHL",1.1297,2033
"China","CHN",1.17360930232558,2033
"Colombia","COL",1.102,2033
"Costa Rica","CRI",1.1297,2033
"Croatia","HRV",1.0987,2033
"Cuba","CUB",1.12005652173913,2033
"Cyprus","CYP",1.0987,2033
"Denmark","DNK",1.0987,2033
"Dominican Republic","DOM",1.1297,2033
"Ecuador","ECU",1.1297,2033
"Egypt","EGY",1.1297,2033
"El Salvador","SLV",1.1297,2033
"Eritrea","ERI",1.1297,2033
"Estonia","EST",1.0987,2033
"Ethiopia","ETH",1.1297,2033
"Finland","FIN",1.0987,2033
"France","FRA",1.0987,2033
"Gabon","GAB",1.1297,2033
"Georgia","GEO",1.0987,2033
"Germany","DEU",1.0987,2033
"Ghana","GHA",1.1297,2033
"Gibraltar","GIB",1.11779932589735,2033
"Greece","GRC",1.0987,2033
"Guatemala","GTM",1.1297,2033
"Haiti","HTI",1.1297,2033
"Honduras","HND",1.1297,2033
"Hungary","HUN",1.0987,2033
"Iceland","ISL",1.0987,2033
"India","IND",1.1297,2033
"Indonesia","IDN",1.1297,2033
"Iraq","IRQ",1.1297,2033
"Ireland","IRL",1.0987,2033
"Israel","ISR",1.1297,2033
"Italy","ITA",1.0987,2033
"Jamaica","JAM",1.1297,2033
"Japan","JPN",1.1393,2033
"Jordan","JOR",1.11931086956522,2033
"Kazakhstan","KAZ",1.0987,2033
