TIMESERIES,UNIT,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brazil.Bioethanol (litre).Transport,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.03,1.33,1.33,1.39,1.61,1.43,1.45,1.49,1.65,1.98,1.94,1.97,2.06,2.23,2.64,2.69
Brazil.Bioethanol (litre).Transport,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.35,0.43,0.45,0.57,0.74,0.73,0.79,0.74,0.94,1.18,1.00,0.91,0.88,0.67,0.76,0.84
Brazil.Bioethanol (litre).Transport,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.19,1.37,1.30,1.31,1.47,1.26,1.19,1.15,1.19,1.34,1.24,1.19,1.18,1.19,1.32,..
Brazil.Fuel oil (tonnes).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1282.20,1502.10,1251.40,1714.90,2058.70,..
Brazil.Fuel oil (tonnes).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,657.54,695.42,532.51,514.99,589.88,..
Brazil.Fuel oil (tonnes).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,821.92,910.36,715.09,917.06,1029.35,..
Brazil.Liquified Petroleum Gas (litre).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.03,1.24,1.31,1.27,1.36,1.39,1.40,1.51,1.62,1.63,1.66,1.74,1.83,2.04,2.29,2.50
Brazil.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.35,0.40,0.45,0.53,0.63,0.71,0.77,0.76,0.92,0.97,0.85,0.81,0.78,0.61,0.66,0.78
Brazil.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.18,1.27,1.29,1.20,1.24,1.22,1.15,1.17,1.16,1.11,1.07,1.06,1.05,1.09,1.14,..
Brazil.Natural gas (MWh).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,111.70,123.80,137.92,150.40,130.22,130.00
Brazil.Natural gas (MWh).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.28,57.31,58.69,45.17,37.31,40.75
Brazil.Natural gas (MWh).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.60,75.03,78.81,80.43,65.11,..
Brazil.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,343.80,381.50,400.13,434.96,419.19,407.93
Brazil.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,176.31,176.62,170.27,130.62,120.11,127.88
Brazil.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,220.39,231.21,228.65,232.60,209.59,..
Brazil.Natural gas (MWh).Transport,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,131.81,149.99,159.02,169.21,177.23,194.62
Brazil.Natural gas (MWh).Transport,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.59,69.44,67.67,50.81,50.78,61.01
Brazil.Natural gas (MWh).Transport,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.49,90.90,90.87,90.48,88.61,..
Bulgaria.Kerosene (1000 litres).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1730.96,1324.54,1590.94,1913.49,1514.38,1408.58,1299.04,1032.08,1357.80,1128.69
Bulgaria.Kerosene (1000 litres).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1291.76,939.39,1074.96,1357.09,996.30,958.22,883.70,586.41,767.12,648.67
Bulgaria.Kerosene (1000 litres).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2545.53,1919.63,2339.61,2733.56,2194.75,2071.45,1968.24,1517.76,1967.82,..
Bulgaria.Kerosene (1000 litres).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2077.15,1589.45,1909.13,2296.19,1817.26,1690.30,1558.85,1238.49,1629.36,1354.43
Bulgaria.Kerosene (1000 litres).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1550.11,1127.27,1289.95,1628.50,1195.56,1149.86,1060.44,703.69,920.54,778.41
Bulgaria.Kerosene (1000 litres).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3054.64,2303.55,2807.54,3280.27,2633.70,2485.74,2361.89,1821.31,2361.38,..
Bulgaria.Liquified Petroleum Gas (litre).Transport,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.03,0.80,1.04,1.17,1.25,1.28,1.20,0.95,0.83,0.96
Bulgaria.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.77,0.57,0.70,0.83,0.82,0.87,0.81,0.54,0.47,0.55
Bulgaria.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.52,1.17,1.53,1.68,1.80,1.88,1.81,1.39,1.20,..
Bulgaria.Natural gas (MWh).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.60,59.00,67.30,68.40,76.65,94.10,87.60,86.90,74.50,54.90,58.70
Bulgaria.Natural gas (MWh).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.19,44.03,47.73,46.22,54.36,61.91,59.59,59.12,42.33,31.02,33.74
Bulgaria.Natural gas (MWh).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.58,86.77,97.54,100.59,109.50,136.38,128.82,131.67,109.56,79.56,..
Bulgaria.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.20,72.90,80.30,78.10,88.20,102.65,100.80,95.25,84.90,66.45,64.60
Bulgaria.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.20,54.40,56.95,52.77,62.55,67.53,68.57,64.80,48.24,37.54,37.13
Bulgaria.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.76,107.21,116.38,114.85,126.00,148.77,148.24,144.32,124.85,96.30,..
Chinese Taipei.Coal (tonne).Electricity Generation,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,972.32,922.14,1056.98,1086.69,1073.19,1596.04,1856.70,1778.93,2304.52,3736.38,2915.49,..,..,..,..,..,..,..,..
Chinese Taipei.Coal (tonne).Electricity Generation,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.13,29.53,31.26,31.43,31.18,47.74,57.70,54.69,70.17,118.50,88.19,..,..,..,..,..,..,..,..
Chinese Taipei.Coal (tonne).Electricity Generation,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chinese Taipei.Coal (tonne).Industry,Total price (National currency/unit),..,427.00,446.00,446.00,1373.00,1341.00,1341.00,1341.00,1496.00,2102.00,2353.00,3105.00,2690.00,2300.00,2500.00,2450.00,2575.00,2550.00,2550.00,2550.00,2350.00,2305.00,2305.00,2305.00,2305.00,2305.00,2305.00,2305.00,2305.00,2305.00,2305.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chinese Taipei.Coal (tonne).Industry,Total price (USD/unit),..,10.68,11.14,11.66,36.13,35.29,35.29,35.29,40.38,58.36,65.36,84.26,68.76,57.40,63.13,61.48,67.91,80.09,89.19,96.55,87.52,85.97,91.61,87.34,87.11,87.01,83.94,80.31,68.89,71.43,73.81,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chinese Taipei.Coal (tonne).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chinese Taipei.Fuel oil (tonnes).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3952.00,4171.00,4224.00,4767.00,4552.00,4292.00,6321.00,6881.00,7552.75,8390.50,8654.10,9280.14,11700.87,14272.80,17344.20,13308.97,17726.05,19780.72,23093.31,22444.43,22191.04,16380.31,12531.54,13202.24
Chinese Taipei.Fuel oil (tonnes).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,149.36,157.46,153.82,166.10,136.04,133.00,202.40,203.52,218.41,243.77,258.87,288.38,359.69,434.62,550.09,402.57,560.07,671.22,779.65,753.93,730.69,513.33,387.61,433.71
Chinese Taipei.Fuel oil (tonnes).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chinese Taipei.Kerosene (1000 litres).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,8300.00,9200.00,9200.00,8850.00,8850.00,8710.00,6990.00,6040.00,5360.00,5360.00,6505.00,6288.00,5855.00,5774.00,5489.00,5695.00,5695.00,6393.00,6185.00,5932.00,8191.00,7728.00,7571.00,8241.25,8412.34,9008.97,11315.93,13978.13,17422.34,14084.14,18158.96,25026.62,25047.81,22967.44,22885.42,16358.17,12451.10,13537.46
Chinese Taipei.Kerosene (1000 litres).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,230.56,249.66,235.17,220.86,223.49,218.57,184.34,189.70,187.48,202.95,242.27,234.54,232.71,218.79,207.44,214.99,207.39,222.75,184.85,183.82,262.28,228.57,218.94,239.43,251.64,279.96,347.86,425.64,552.56,426.02,573.74,849.22,845.64,771.50,753.55,512.63,385.13,444.73
Chinese Taipei.Kerosene (1000 litres).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chinese Taipei.Liquified Petroleum Gas (litre).Transport,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.07,7.07,11.78,12.95,14.09,15.78,17.38,18.69,16.66,19.63,20.48,21.49,23.12,22.97,18.56,15.19,17.34
Chinese Taipei.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.21,0.20,0.34,0.39,0.44,0.48,0.53,0.59,0.50,0.62,0.69,0.73,0.78,0.76,0.58,0.47,0.57
Chinese Taipei.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chinese Taipei.Natural gas (MWh).Electricity Generation,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,652.28,652.28,613.16,626.40,609.89,592.35,552.37,629.84,630.52,559.41,657.87,710.75,749.46,765.26,807.68,902.64,974.92,1131.74,1489.11,1330.16,1471.78,1554.17,1805.10,1887.11,1861.82,1180.90,866.09,982.64
Chinese Taipei.Natural gas (MWh).Electricity Generation,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.29,24.33,24.37,23.74,23.05,22.36,20.11,21.95,18.84,17.34,21.07,21.02,21.67,22.23,24.16,28.05,29.97,34.46,47.23,40.23,46.50,52.74,60.94,63.39,61.31,37.01,26.79,32.28
Chinese Taipei.Natural gas (MWh).Electricity Generation,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chinese Taipei.Natural gas (MWh).Industry,Total price (National currency/unit),..,63.20,63.20,63.20,219.26,219.26,219.26,219.26,253.65,601.89,840.76,936.28,936.28,936.28,936.28,936.28,840.76,745.23,697.42,697.42,716.51,716.51,673.52,672.40,641.70,664.66,664.66,758.73,762.00,688.74,795.87,838.35,807.44,894.08,968.07,1071.47,1157.44,1342.96,1757.46,1493.46,1636.72,1723.18,2011.42,2099.18,2073.07,1370.22,1045.30,1162.53
Chinese Taipei.Natural gas (MWh).Industry,Total price (USD/unit),..,1.58,1.58,1.65,5.77,5.77,5.77,5.77,6.85,16.71,23.35,25.41,23.93,23.37,23.64,23.50,22.17,23.41,24.39,26.41,26.69,26.73,26.77,25.48,24.25,25.09,24.20,26.44,22.77,21.34,25.48,24.80,23.35,25.98,28.96,33.30,35.58,40.89,55.74,45.17,51.71,58.47,67.91,70.51,68.26,42.94,32.33,38.19
Chinese Taipei.Natural gas (MWh).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chinese Taipei.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,826.40,1006.97,1006.97,1006.97,1006.97,1261.14,1104.39,985.99,985.99,985.99,1006.02,1006.02,961.13,955.98,946.95,969.99,969.99,1064.06,1072.14,983.58,1062.77,1082.03,752.60,824.59,891.83,996.47,1079.02,1230.24,1624.22,1448.44,1592.13,1678.07,1965.56,2052.85,2026.93,1324.32,999.29,1116.49
Chinese Taipei.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,22.95,27.33,25.74,25.13,25.43,31.65,29.12,30.97,34.49,37.33,37.47,37.52,38.20,36.23,35.79,36.62,35.32,37.08,32.04,30.48,34.03,32.00,21.76,23.96,26.68,30.97,33.17,37.46,51.51,43.81,50.30,56.94,66.36,68.96,66.74,41.50,30.91,36.68
Chinese Taipei.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Croatia.Coal (tonne).Electricity Generation,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,676.00,472.00,534.00,..,..,..,..,..,..,..
Croatia.Coal (tonne).Electricity Generation,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,136.84,89.39,97.09,..,..,..,..,..,..,..
Croatia.Coal (tonne).Electricity Generation,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,174.68,122.92,137.98,..,..,..,..,..,..,..
Croatia.Coal (tonne).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,457.00,393.00,463.00,636.00,548.00,605.00,..,..,..,..,..,..,..
Croatia.Coal (tonne).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.81,67.30,86.38,128.75,103.79,110.00,..,..,..,..,..,..,..
Croatia.Coal (tonne).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,111.74,100.26,119.64,164.34,142.71,156.33,..,..,..,..,..,..,..
Croatia.Kerosene (1000 litres).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5370.07,5116.46,3900.54,3245.82,2763.30
Croatia.Kerosene (1000 litres).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,942.12,889.82,568.59,476.63,417.42
Croatia.Kerosene (1000 litres).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1500.02,1445.33,1098.74,919.49,..
Croatia.Kerosene (1000 litres).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2090.00,2300.00,2110.00,2100.00,2640.00,3140.00,2710.00,2770.00,3290.00,4170.00,4700.00,4660.00,5830.00,4086.00,5088.75,..,..,6712.59,6395.58,4875.67,4057.27,3454.12
Croatia.Kerosene (1000 litres).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,384.90,373.38,331.76,295.36,318.84,376.50,344.35,413.43,545.61,700.84,804.79,869.40,1180.16,773.86,925.23,..,..,1177.65,1112.27,710.74,595.78,521.77
Croatia.Kerosene (1000 litres).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,641.10,670.55,576.50,560.00,696.57,811.37,698.45,694.24,820.45,1019.56,1198.98,1204.13,1506.46,1064.06,1314.92,..,..,1875.03,1806.66,1373.43,1149.37,..
Croatia.Liquified Petroleum Gas (litre).Transport,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.81,4.61,..,..,5.16,5.04,3.96,3.80,4.40
Croatia.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.72,0.84,..,..,0.91,0.88,0.58,0.56,0.66
Croatia.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.99,1.19,..,..,1.44,1.42,1.12,1.08,..
Croatia.Natural gas (MWh).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,212.40,202.10,238.65,329.15,382.95,439.85,439.85,411.85,382.80,322.00,271.20
Croatia.Natural gas (MWh).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.63,40.91,45.20,59.84,71.71,75.19,77.17,71.63,55.80,47.28,40.97
Croatia.Natural gas (MWh).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.88,52.22,62.15,85.05,102.12,120.18,122.86,116.34,107.83,91.22,..
Croatia.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,208.70,198.90,237.30,277.80,277.70,321.50,353.60,358.55,354.80,300.95,267.30
Croatia.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.94,40.26,44.94,50.51,52.00,54.96,62.03,62.36,51.72,44.19,40.38
Croatia.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.93,51.40,61.80,71.78,74.05,87.84,98.77,101.29,99.94,85.25,..
Cyprus.Kerosene (1000 litres).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,618.82,681.07,680.29,752.92,533.23,664.29,848.53,914.27,880.28,836.92,685.00,584.44,496.62
Cyprus.Kerosene (1000 litres).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,783.32,873.17,931.90,1107.24,740.60,874.07,1178.52,1172.14,1173.70,1115.89,761.11,649.38,558.00
Cyprus.Kerosene (1000 litres).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,859.48,959.26,971.84,1091.19,784.16,948.99,1212.19,1287.70,1275.77,1230.76,1037.87,899.14,..
Cyprus.Kerosene (1000 litres).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,711.64,783.24,782.33,865.86,613.22,763.94,975.82,1066.74,1038.73,995.50,815.14,695.49,590.98
Cyprus.Kerosene (1000 litres).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,900.82,1004.15,1071.69,1273.33,851.69,1005.18,1355.30,1367.62,1384.97,1327.34,905.72,772.77,664.02
Cyprus.Kerosene (1000 litres).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,988.40,1103.15,1117.62,1254.88,901.79,1091.34,1394.02,1502.45,1505.40,1463.98,1235.07,1069.98,..
Cyprus.Liquified Petroleum Gas (litre).Transport,Total price (National currency/unit),..,..,..,..,..,..,..,..,0.08,0.08,0.11,0.13,0.14,0.14,0.14,0.14,0.12,0.11,0.11,0.11,0.13,0.17,0.17,0.17,0.17,0.17,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.25,0.31,0.38,0.45,..,..,..,..,..,..,..,..,..,..,..
Cyprus.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit),..,..,..,..,..,..,..,..,0.13,0.14,0.19,0.18,0.17,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.17,0.21,0.21,0.19,0.20,0.21,0.22,0.21,0.21,0.20,0.18,0.17,0.18,0.28,0.38,0.48,0.57,..,..,..,..,..,..,..,..,..,..,..
Cyprus.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.23,0.29,0.28,0.27,0.26,0.24,0.25,0.27,0.26,0.26,0.26,0.26,0.26,0.33,0.42,0.53,0.63,..,..,..,..,..,..,..,..,..,..,..
