Year,prodinit_ippu_plastic_tonne,iso_code3
2049,131921.995148945,"BTN"
2050,149279.836495949,"BTN"
2021,25886.26,"BWA"
2022,26589.1410960232,"BWA"
2023,27311.1072910583,"BWA"
2024,28052.6767965159,"BWA"
2025,28814.3818946305,"BWA"
2026,29596.7693205208,"BWA"
2027,30400.4006546245,"BWA"
2028,31225.8527257876,"BWA"
2029,32073.7180253002,"BWA"
2030,32944.6051321732,"BWA"
2031,33839.1391499631,"BWA"
2032,34757.9621554574,"BWA"
2033,35701.7336595434,"BWA"
2034,36671.1310805903,"BWA"
2035,37666.8502306852,"BWA"
2036,38689.6058150719,"BWA"
2037,39740.1319451503,"BWA"
2038,40819.1826654056,"BWA"
2039,41927.5324946444,"BWA"
2040,43065.9769819278,"BWA"
2041,44235.3332775985,"BWA"
2042,45436.4407198134,"BWA"
2043,46670.1614370022,"BWA"
2044,47937.380966684,"BWA"
2045,49239.0088910865,"BWA"
2046,50575.9794900245,"BWA"
2047,51949.2524115046,"BWA"
2048,53359.8133605403,"BWA"
2049,54808.6748066685,"BWA"
2050,56296.8767106783,"BWA"
2021,1403.545,"CAF"
2022,1420.67618197669,"CAF"
2023,1438.01646120066,"CAF"
2024,1455.56838984015,"CAF"
2025,1473.33455121429,"CAF"
2026,1491.31756017332,"CAF"
2027,1509.52006348342,"CAF"
2028,1527.94474021627,"CAF"
2029,1546.59430214337,"CAF"
2030,1565.47149413518,"CAF"
2031,1584.57909456506,"CAF"
2032,1603.91991571825,"CAF"
2033,1623.49680420577,"CAF"
2034,1643.31264138337,"CAF"
2035,1663.37034377563,"CAF"
2036,1683.67286350521,"CAF"
2037,1704.22318872737,"CAF"
2038,1725.02434406972,"CAF"
2039,1746.07939107747,"CAF"
2040,1767.39142866394,"CAF"
2041,1788.96359356674,"CAF"
2042,1810.79906080938,"CAF"
2043,1832.90104416862,"CAF"
2044,1855.27279664747,"CAF"
2045,1877.91761095395,"CAF"
2046,1900.83881998571,"CAF"
2047,1924.03979732063,"CAF"
2048,1947.52395771328,"CAF"
2049,1971.29475759755,"CAF"
2050,1995.35569559534,"CAF"
2021,7744172,"CAN"
2022,7842270.37802795,"CAN"
2023,7941611.40559567,"CAN"
2024,8042210.82381846,"CAN"
2025,8144084.57321031,"CAN"
2026,8247248.7962098,"CAN"
2027,8351719.8397379,"CAN"
2028,8457514.25778829,"CAN"
2029,8564648.81405038,"CAN"
2030,8673140.48456562,"CAN"
2031,8783006.46041745,"CAN"
2032,8894264.15045532,"CAN"
2033,9006931.1840532,"CAN"
2034,9121025.41390308,"CAN"
2035,9236564.91884378,"CAN"
2036,9353568.00672566,"CAN"
2037,9472053.21731162,"CAN"
2038,9592039.32521479,"CAN"
2039,9713545.34287347,"CAN"
2040,9836590.52356378,"CAN"
2041,9961194.36445041,"CAN"
2042,10087376.6096761,"CAN"
2043,10215157.2534901,"CAN"
2044,10344556.5434165,"CAN"
2045,10475594.9834624,"CAN"
2046,10608293.3373672,"CAN"
2047,10742672.6318922,"CAN"
2048,10878754.1601529,"CAN"
2049,11016559.4849928,"CAN"
2050,11156110.4424,"CAN"
2021,1499068,"CHE"
2022,1498788.80922838,"CHE"
2023,1498509.67045406,"CHE"
2024,1498230.58366736,"CHE"
2025,1497951.54885859,"CHE"
2026,1497672.56601807,"CHE"
2027,1497393.63513613,"CHE"
2028,1497114.75620308,"CHE"
2029,1496835.92920925,"CHE"
2030,1496557.15414497,"CHE"
2031,1496278.43100056,"CHE"
2032,1495999.75976637,"CHE"
2033,1495721.14043271,"CHE"
2034,1495442.57298992,"CHE"
2035,1495164.05742835,"CHE"
2036,1494885.59373832,"CHE"
2037,1494607.18191017,"CHE"
2038,1494328.82193425,"CHE"
2039,1494050.5138009,"CHE"
2040,1493772.25750046,"CHE"
2041,1493494.05302329,"CHE"
2042,1493215.90035972,"CHE"
2043,1492937.79950011,"CHE"
2044,1492659.75043481,"CHE"
2045,1492381.75315418,"CHE"
2046,1492103.80764856,"CHE"
2047,1491825.91390832,"CHE"
2048,1491548.07192382,"CHE"
2049,1491270.28168542,"CHE"
2050,1490992.54318347,"CHE"
2021,752789,"CHL"
2022,773078.544694432,"CHL"
2023,793914.943319922,"CHL"
2024,815312.934956446,"CHL"
2025,837287.655939016,"CHL"
2026,859854.650564696,"CHL"
2027,883029.882088201,"CHL"
2028,906829.74401385,"CHL"
2029,931271.071691871,"CHL"
2030,956371.154227248,"CHL"
2031,982147.746709549,"CHL"
2032,1008619.08277238,"CHL"
2033,1035803.88749132,"CHL"
2034,1063721.39062954,"CHL"
2035,1092391.34024039,"CHL"
2036,1121834.01663659,"CHL"
2037,1152070.24673597,"CHL"
2038,1183121.41879385,"CHL"
2039,1215009.49753245,"CHL"
2040,1247757.03967819,"CHL"
2041,1281387.20991758,"CHL"
2042,1315923.79728336,"CHL"
2043,1351391.23198212,"CHL"
2044,1387814.60267559,"CHL"
2045,1425219.67422761,"CHL"
2046,1463632.90592949,"CHL"
2047,1503081.47021655,"CHL"
2048,1543593.27188918,"CHL"
2049,1585196.96785182,"CHL"
2050,1627921.98738413,"CHL"
2021,73376480,"CHN"
2022,80202752.8410381,"CHN"
2023,87664079.3246099,"CHN"
2024,95819539.0009013,"CHN"
2025,104733707.638081,"CHN"
2026,114477168.539872,"CHN"
2027,125127071.431407,"CHN"
2028,136767743.338684,"CHN"
2029,149491356.298626,"CHN"
2030,163398657.186748,"CHN"
2031,178599765.441273,"CHN"
2032,195215045.000167,"CHN"
2033,213376057.35517,"CHN"
2034,233226603.269221,"CHN"
2035,254923861.405674,"CHN"
2036,278639632.885119,"CHN"
2037,304561701.624319,"CHN"
2038,332895321.228564,"CHN"
2039,363864840.210821,"CHN"
2040,397715478.406327,"CHN"
2041,434715268.648454,"CHN"
2042,475157179.080237,"CHN"
2043,519361432.906255,"CHN"
2044,567678043.952882,"CHN"
2045,620489588.113753,"CHN"
2046,678214232.625016,"CHN"
2047,741309047.156508,"CHN"
2048,810273622.936381,"CHN"
2049,885654028.565816,"CHN"
2050,968047133.846348,"CHN"
2021,219510.9,"CIV"
2022,242379.533401096,"CIV"
2023,267630.619762996,"CIV"
2024,295512.362903169,"CIV"
2025,326298.824499036,"CIV"
2026,360292.617958391,"CIV"
2027,397827.882937085,"CIV"
2028,439273.569741806,"CIV"
2029,485037.065901751,"CIV"
2030,535568.200556342,"CIV"
2031,591363.666019824,"CIV"
2032,652971.899984222,"CIV"
2033,720998.476349935,"CIV"
2034,796112.057672755,"CIV"
2035,879050.967736495,"CIV"
2036,970630.448855859,"CIV"
2037,1071750.67524474,"CIV"
2038,1183405.60121675,"CIV"
2039,1306692.73119084,"CIV"
2040,1442823.90753552,"CIV"
2041,1593137.22229013,"CIV"
2042,1759110.16984851,"CIV"
2043,1942374.16988862,"CIV"
2044,2144730.60330009,"CIV"
2045,2368168.51873382,"CIV"
2046,2614884.18381897,"CIV"
2047,2887302.67322465,"CIV"
2048,3188101.70576462,"CIV"
2049,3520237.96485035,"CIV"
2050,3886976.16100727,"CIV"
2021,114894.2,"CMR"
2022,125813.467781063,"CMR"
2023,137770.476447867,"CMR"
2024,150863.850392407,"CMR"
2025,165201.587031131,"CMR"
2026,180901.947594584,"CMR"
2027,198094.432575558,"CMR"
2028,216920.849881481,"CMR"
2029,237536.484501432,"CMR"
2030,260111.379335491,"CMR"
2031,284831.737751023,"CMR"
2032,311901.459434527,"CMR"
2033,341543.822207146,"CMR"
2034,374003.323675866,"CMR"
2035,409547.697910808,"CMR"
2036,448470.123782661,"CMR"
2037,491091.64317519,"CMR"
2038,537763.809018827,"CMR"
2039,588871.584986986,"CMR"
2040,644836.520772532,"CMR"
2041,706120.229134869,"CMR"
2042,773228.193397198,"CMR"
2043,846713.936799139,"CMR"
2044,927183.58809457,"CMR"
2045,1015300.88105288,"CMR"
2046,1111792.62910079,"CMR"
2047,1217454.72026085,"CMR"
2048,1333158.68183461,"CMR"
2049,1459858.86897722,"CMR"
2050,1598600.33645705,"CMR"
2021,65213.98,"COD"
2022,72738.7371257529,"COD"
2023,81131.7432036717,"COD"
2024,90493.1816988622,"COD"
2025,100934.79581014,"COD"
2026,112581.222297355,"COD"
2027,125571.47921325,"COD"
2028,140060.625298203,"COD"
2029,156221.610845322,"COD"
2030,174247.342128782,"COD"
2031,194352.984037572,"COD"
2032,216778.528400117,"COD"
2033,241791.658656681,"COD"
2034,269690.945073865,"COD"
2035,300809.408640965,"COD"
2036,335518.496188828,"COD"
2037,374232.514180351,"COD"
2038,417413.574096752,"COD"
2039,465577.108450437,"COD"
2040,519298.023266553,"COD"
2041,579217.5604726,"COD"
2042,646050.952109292,"COD"
2043,720595.957727471,"COD"
2044,803742.386878069,"COD"
2045,896482.720360712,"COD"
2046,999923.957011942,"COD"
2047,1115300.82744274,"COD"
2048,1243990.53245166,"COD"
2049,1387529.1820393,"COD"
2050,1547630.13124896,"COD"
2021,12273.82,"COG"
2022,12850.05933703,"COG"
2023,13453.3523357187,"COG"
2024,14084.9691290858,"COG"
2025,14746.2394811874,"COG"
2026,15438.5555867132,"COG"
2027,16163.3750020205,"COG"
2028,16922.223713777,"COG"
2029,17716.6993516713,"COG"
2030,18548.4745519566,"COG"
2031,19419.3004789081,"COG"
2032,20331.0105116079,"COG"
2033,21285.5241038195,"COG"
2034,22284.8508250782,"COG"
2035,23331.0945915058,"COG"
2036,24426.4580952555,"COG"
2037,25573.2474419136,"COG"
2038,26773.8770056217,"COG"
2039,28030.8745121389,"COG"
2040,29346.8863605483,"COG"
2041,30724.6831948099,"COG"
2042,32167.1657368899,"COG"
2043,33677.3708937488,"COG"
2044,35258.4781510433,"COG"
2045,36913.8162670041,"COG"
2046,38646.8702805829,"COG"
2047,40461.2888486217,"COG"
2048,42360.8919274926,"COG"
2049,44349.6788153804,"COG"
2050,46431.8365721396,"COG"
2021,1562426,"COL"
2022,1579071.07446444,"COL"
2023,1595893.47476954,"COL"
2024,1612895.09002994,"COL"
2025,1630077.82948568,"COL"
2026,1647443.6227166,"COL"
2027,1664994.41985905,"COL"
2028,1682732.19182484,"COL"
2029,1700658.93052263,"COL"
2030,1718776.64908156,"COL"
2031,1737087.38207736,"COL"
2032,1755593.18576081,"COL"
2033,1774296.13828864,"COL"
2034,1793198.33995693,"COL"
2035,1812301.91343695,"COL"
2036,1831609.00401352,"COL"
2037,1851121.77982597,"COL"
2038,1870842.43211155,"COL"
2039,1890773.17545154,"COL"
2040,1910916.24801994,"COL"
2041,1931273.91183479,"COL"
2042,1951848.45301224,"COL"
2043,1972642.18202321,"COL"
2044,1993657.43395288,"COL"
2045,2014896.56876292,"COL"
2046,2036361.97155653,"COL"
2047,2058056.05284621,"COL"
2048,2079981.24882452,"COL"
2049,2102140.02163764,"COL"
2050,2124534.85966186,"COL"
2021,1997.661,"COM"
2022,2419.86287756977,"COM"
2023,2931.29632417125,"COM"
2024,3550.82026330731,"COM"
2025,4301.27941632734,"COM"
2026,5210.34669327054,"COM"
2027,6311.54362142216,"COM"
2028,7645.4764395169,"COM"
2029,9261.33343811652,"COM"
2030,11218.6987600468,"COM"
2031,13589.7495441295,"COM"
2032,16461.9174310905,"COM"
2033,19941.1125737123,"COM"
2034,24155.6290354401,"COM"
2035,29260.8755876037,"COM"
2036,35445.1063516933,"COM"
2037,42936.3626020507,"COM"
2038,52010.8817054433,"COM"
2039,63003.2832741267,"COM"
2040,76318.9081431093,"COM"
2041,92448.7651669466,"COM"
2042,111987.636993794,"COM"
2043,135656.012460594,"COM"
2044,164326.654358539,"COM"
2045,199056.78224557,"COM"
2046,241127.057035475,"COM"
2047,292088.804906236,"COM"
2048,353821.221892163,"COM"
2049,428600.668558491,"COM"
2050,519184.609974505,"COM"
2021,3540.655,"CPV"
2022,3595.04563782671,"CPV"
2023,3650.27181074035,"CPV"
2024,3706.34635401752,"CPV"
2025,3763.28230010708,"CPV"
2026,3821.09288165903,"CPV"
2027,3879.79153459995,"CPV"
2028,3939.39190125572,"CPV"
2029,3999.90783352212,"CPV"
2030,4061.35339608423,"CPV"
2031,4123.74286968521,"CPV"
2032,4187.09075444539,"CPV"
2033,4251.4117732322,"CPV"
2034,4316.72087508203,"CPV"
2035,4383.03323867453,"CPV"
2036,4450.36427586036,"CPV"
2037,4518.72963524309,"CPV"
2038,4588.14520581614,"CPV"
2039,4658.6271206556,"CPV"
2040,4730.19176066975,"CPV"
2041,4802.85575840618,"CPV"
2042,4876.63600191746,"CPV"
2043,4951.54963868608,"CPV"
2044,5027.6140796098,"CPV"
2045,5104.84700304813,"CPV"
2046,5183.26635893103,"CPV"
2047,5262.8903729307,"CPV"
2048,5343.73755069746,"CPV"
2049,5425.8266821607,"CPV"
2050,5509.17684589592,"CPV"
2021,379341.7,"CRI"
2022,399355.355861375,"CRI"
2023,420424.910457155,"CRI"
2024,442606.071857125,"CRI"
2025,465957.487228288,"CRI"
2026,490540.897898451,"CRI"
2027,516421.30260078,"CRI"
2028,543667.129330968,"CRI"
2029,572350.4162714,"CRI"
2030,602547.002260682,"CRI"
2031,634336.727312128,"CRI"
2032,667803.643711394,"CRI"
2033,703036.238251387,"CRI"
2034,740127.666192051,"CRI"
2035,779175.997563608,"CRI"
2036,820284.476464508,"CRI"
2037,863561.794039634,"CRI"
2038,909122.375860564,"CRI"
2039,957086.684467681,"CRI"
2040,1007581.5378741,"CRI"
2041,1060740.44487348,"CRI"
2042,1116703.95803836,"CRI"
2043,1175620.04534227,"CRI"
2044,1237644.48138823,"CRI"
2045,1302941.25927801,"CRI"
2046,1371683.02421125,"CRI"
2047,1444051.5299607,"CRI"
2048,1520238.11943062,"CRI"
2049,1600444.23056902,"CRI"
2050,1684881.9289711,"CRI"
2021,182971.4,"CUB"
2022,195190.238819736,"CUB"
2023,208225.052278692,"CUB"
2024,222130.331202198,"CUB"
2025,236964.205315498,"CUB"
2026,252788.686249659,"CUB"
2027,269669.926775432,"CUB"
2028,287678.497348751,"CUB"
2029,306889.681123965,"CUB"
2030,327383.788668061,"CUB"
2031,349246.493691521,"CUB"
2032,372569.191199298,"CUB"
2033,397449.379559138,"CUB"
2034,423991.068084432,"CUB"
2035,452305.211835485,"CUB"
2036,482510.175456817,"CUB"
2037,514732.227989559,"CUB"
2038,549106.070727429,"CUB"
2039,585775.400322966,"CUB"
2040,624893.50949802,"CUB"
2041,666623.927869718,"CUB"
2042,711141.105570819,"CUB"
2043,758631.14252227,"CUB"
2044,809292.566406612,"CUB"
2045,863337.162594501,"CUB"
2046,920990.859493744,"CUB"
2047,982494.673022001,"CUB"
2048,1048105.71415141,"CUB"
2049,1118098.26373708,"CUB"
2050,1192764.91912273,"CUB"
2021,3950.304,"CUW"
2022,4199.98527959317,"CUW"
2023,4465.44781080123,"CUW"
2024,4747.68905688189,"CUW"
2025,5047.76952634266,"CUW"
2026,5366.81675775287,"CUW"
2027,5706.02955641794,"CUW"
2028,6066.68249883526,"CUW"
2029,6450.13072185676,"CUW"
2030,6857.81501455333,"CUW"
2031,7291.26723191356,"CUW"
2032,7752.11605071838,"CUW"
2033,8242.09308921925,"CUW"
2034,8763.03941361411,"CUW"
2035,9316.91245576899,"CUW"
2036,9905.79336817826,"CUW"
2037,10531.8948437995,"CUW"
2038,11197.5694301454,"CUW"
2039,11905.3183688732,"CUW"
2040,12657.8009940849,"CUW"
2041,13457.8447246532,"CUW"
2042,14308.4556881177,"CUW"
2043,15212.830016071,"CUW"
2044,16174.3658534765,"CUW"
2045,17196.6761270413,"CUW"
2046,18283.6021206228,"CUW"
2047,19439.227908676,"CUW"
2048,20667.8957019753,"CUW"
2049,21974.2221632723,"CUW"
2050,23363.1157541936,"CUW"
2021,3700.458,"CYM"
2022,3764.05503034671,"CYM"
2023,3828.74505574132,"CYM"
2024,3894.54686068001,"CYM"
2025,3961.4795524942,"CYM"
2026,4029.56256689886,"CYM"
2027,4098.81567363621,"CYM"
2028,4169.25898221634,"CYM"
2029,4240.91294775664,"CYM"
2030,4313.79837692142,"CYM"
2031,4387.93643396373,"CYM"
2032,4463.34864687096,"CYM"
2033,4540.05691361605,"CYM"
2034,4618.08350851621,"CYM"
2035,4697.45108870081,"CYM"
2036,4778.18270069055,"CYM"
2037,4860.30178708957,"CYM"
2038,4943.83219339272,"CYM"
2039,5028.79817490967,"CYM"
2040,5115.22440380815,"CYM"
2041,5203.13597627817,"CYM"
2042,5292.55841981933,"CYM"
2043,5383.51770065349,"CYM"
2044,5476.0402312647,"CYM"
2045,5570.15287806885,"CYM"
2046,5665.88296921496,"CYM"
2047,5763.25830252076,"CYM"
2048,5862.30715354443,"CYM"
2049,5963.05828379526,"CYM"
2050,6065.54094908528,"CYM"
2021,27404.1,"CYP"
2022,26306.8620881292,"CYP"
2023,25253.5566912925,"CYP"
2024,24242.4247872612,"CYP"
2025,23271.7777836282,"CYP"
2026,22339.9946978553,"CYP"
2027,21445.5194502289,"CYP"
2028,20586.8582652035,"CYP"
2029,19762.5771767936,"CYP"
2030,18971.2996338475,"CYP"
2031,18211.7042012036,"CYP"
2032,17482.5223528912,"CYP"
2033,16782.5363536896,"CYP"
2034,16110.5772255074,"CYP"
2035,15465.5227951867,"CYP"
2036,14846.295820472,"CYP"
2037,14251.8621910125,"CYP"
2038,13681.2292013964,"CYP"
2039,13133.4438933306,"CYP"
2040,12607.5914641981,"CYP"
2041,12102.7937393359,"CYP"
2042,11618.2077054814,"CYP"
2043,11153.0241029386,"CYP"
2044,10706.4660741125,"CYP"
2045,10277.7878661555,"CYP"
2046,9866.27358555838,"CYP"
2047,9471.23600260677,"CYP"
2048,9092.01540370603,"CYP"
2049,8727.97848965815,"CYP"
2050,8378.51731805077,"CYP"
2021,1648398,"CZE"
2022,1685864.47325288,"CZE"
2023,1724182.52277436,"CZE"
2024,1763371.50405958,"CZE"
2025,1803451.21253516,"CZE"
2026,1844441.89355839,"CZE"
2027,1886364.25264369,"CZE"
2028,1929239.46592158,"CZE"
2029,1973089.19083532,"CZE"
2030,2017935.57708061,"CZE"
2031,2063801.27779411,"CZE"
2032,2110709.46099606,"CZE"
2033,2158683.82129315,"CZE"
2034,2207748.59184728,"CZE"
2035,2257928.55661643,"CZE"
2036,2309249.06287364,"CZE"
2037,2361736.0340107,"CZE"
2038,2415415.98263271,"CZE"
2039,2470316.02395032,"CZE"
2040,2526463.88947642,"CZE"
2041,2583887.94103401,"CZE"
2042,2642617.18508259,"CZE"
2043,2702681.28737008,"CZE"
2044,2764110.58791782,"CZE"
2045,2826936.11634616,"CZE"
2046,2891189.60754833,"CZE"
2047,2956903.51772064,"CZE"
2048,3024111.04075695,"CZE"
2049,3092846.12501588,"CZE"
2050,3163143.49046899,"CZE"
2021,20270780,"DEU"
2022,20396692.4283604,"DEU"
2023,20523386.9647411,"DEU"
2024,20650868.4672245,"DEU"
2025,20779141.8240692,"DEU"
2026,20908211.9538971,"DEU"
2027,21038083.8058826,"DEU"
2028,21168762.3599416,"DEU"
2029,21300252.6269232,"DEU"
2030,21432559.6488013,"DEU"
2031,21565688.4988682,"DEU"
2032,21699644.2819292,"DEU"
2033,21834432.134498,"DEU"
2034,21970057.224994,"DEU"
2035,22106524.7539404,"DEU"
2036,22243839.9541635,"DEU"
2037,22382008.0909934,"DEU"
2038,22521034.462466,"DEU"
2039,22660924.399526,"DEU"
2040,22801683.2662315,"DEU"
2041,22943316.4599594,"DEU"
2042,23085829.4116127,"DEU"
2043,23229227.5858285,"DEU"
2044,23373516.4811877,"DEU"
2045,23518701.6304256,"DEU"
2046,23664788.6006443,"DEU"
2047,23811782.9935262,"DEU"
2048,23959690.4455486,"DEU"
2049,24108516.6281998,"DEU"
2050,24258267.2481969,"DEU"
2021,21530.94,"DJI"
2022,23314.5647554726,"DJI"
2023,25245.9451253464,"DJI"
2024,27337.3211962876,"DJI"
2025,29601.9470247003,"DJI"
2026,32054.1746340589,"DJI"
2027,34709.5449705862,"DJI"
2028,37584.886393707,"DJI"
2029,40698.4213254583,"DJI"
2030,44069.8817347456,"DJI"
2031,47720.6341883237,"DJI"
2032,51673.8152610101,"DJI"
2033,55954.4781632919,"DJI"
2034,60589.7515155746,"DJI"
2035,65609.0112753024,"DJI"
2036,71044.066906534,"DJI"
2037,76929.3629718217,"DJI"
2038,83302.1974239766,"DJI"
2039,90202.9579811408,"DJI"
2040,97675.3780831902,"DJI"
2041,105766.814051584,"DJI"
2042,114528.545209159,"DJI"
2043,124016.09886187,"DJI"
2044,134289.602202048,"DJI"
2045,145414.163363342,"DJI"
2046,157460.28404229,"DJI"
2047,170504.306301493,"DJI"
2048,184628.896385996,"DJI"
2049,199923.568619055,"DJI"
2050,216485.252697473,"DJI"
2021,2385.571,"DMA"
2022,2427.84645347597,"DMA"
2023,2470.87108355015,"DMA"
2024,2514.65816661653,"DMA"
2025,2559.2212143442,"DMA"
2026,2604.57397784682,"DMA"
2027,2650.73045192584,"DMA"
2028,2697.704879389,"DMA"
2029,2745.5117554453,"DMA"
2030,2794.16583217789,"DMA"
2031,2843.68212309624,"DMA"
2032,2894.07590776891,"DMA"
2033,2945.36273653855,"DMA"
2034,2997.55843532025,"DMA"
2035,3050.67911048518,"DMA"
2036,3104.74115383053,"DMA"
2037,3159.76124763771,"DMA"
2038,3215.75636982005,"DMA"
2039,3272.74379916186,"DMA"
2040,3330.74112065018,"DMA"
2041,3389.76623090116,"DMA"
2042,3449.83734368248,"DMA"
2043,3510.97299553376,"DMA"
2044,3573.19205148643,"DMA"
2045,3636.51371088508,"DMA"
2046,3700.95751331193,"DMA"
2047,3766.54334461628,"DMA"
2048,3833.2914430508,"DMA"
2049,3901.2224055166,"DMA"
2050,3970.35719391896,"DMA"
2021,1002665,"DNK"
2022,996632.713384956,"DNK"
2023,990636.718534165,"DNK"
2024,984676.797107183,"DNK"
2025,978752.732077153,"DNK"
2026,972864.30772291,"DNK"
2027,967011.30962112,"DNK"
2028,961193.524638475,"DNK"
2029,955410.74092393,"DNK"
2030,949662.747900991,"DNK"
2031,943949.336260044,"DNK"
2032,938270.297950737,"DNK"
2033,932625.426174399,"DNK"
2034,927014.515376513,"DNK"
2035,921437.361239232,"DNK"
2036,915893.760673933,"DNK"
2037,910383.511813829,"DNK"
2038,904906.414006613,"DNK"
2039,899462.267807155,"DNK"
2040,894050.874970235,"DNK"
2041,888672.038443327,"DNK"
2042,883325.562359425,"DNK"
2043,878011.252029905,"DNK"
2044,872728.913937443,"DNK"
2045,867478.355728962,"DNK"
2046,862259.386208629,"DNK"
2047,857071.815330895,"DNK"
2048,851915.454193574,"DNK"
2049,846790.115030961,"DNK"
2050,841695.611206998,"DNK"
2021,558346.4,"DOM"
2022,592916.448176721,"DOM"
2023,629626.902794571,"DOM"
2024,668610.287236502,"DOM"
2025,710007.330078038,"DOM"
2026,753967.473112224,"DOM"
2027,800649.410828972,"DOM"
2028,850221.663296296,"DOM"
2029,902863.184511522,"DOM"
2030,958764.0084186,"DOM"
2031,1018125.93492361,"DOM"
2032,1081163.25838496,"DOM"
2033,1148103.54120807,"DOM"
2034,1219188.43533729,"DOM"
2035,1294674.5546104,"DOM"
2036,1374834.40112514,"DOM"
2037,1459957.34896166,"DOM"
2038,1550350.68881227,"DOM"
2039,1646340.73728943,"DOM"
2040,1748274.01491672,"DOM"
2041,1856518.49705501,"DOM"
2042,1971464.94228,"DOM"
2043,2093528.30300613,"DOM"
2044,2223149.22344951,"DOM"
2045,2360795.63033723,"DOM"
2046,2506964.42210548,"DOM"
2047,2662183.26268457,"DOM"
2048,2827012.4863462,"DOM"
2049,3002047.12048942,"DOM"
2050,3187919.03366752,"DOM"
2021,507942.8,"DZA"
2022,536185.297252776,"DZA"
2023,565998.126147368,"DZA"
2024,597468.599836124,"DZA"
2025,630688.886233513,"DZA"
2026,665756.277949285,"DZA"
2027,702773.477230386,"DZA"
2028,741848.896746133,"DZA"
2029,783096.977097556,"DZA"
2030,826638.521980828,"DZA"
2031,872601.051986336,"DZA"
2032,921119.178069614,"DZA"
2033,972334.995787889,"DZA"
2034,1026398.50145687,"DZA"
2035,1083468.03144656,"DZA"
2036,1143710.72590271,"DZA"
2037,1207303.01825192,"DZA"
2038,1274431.15192415,"DZA"
2039,1345291.72580583,"DZA"
2040,1420092.27002115,"DZA"
2041,1499051.85372774,"DZA"
2042,1582401.7267069,"DZA"
2043,1670385.99662726,"DZA"
2044,1763262.34396562,"DZA"
2045,1861302.77667846,"DZA"
2046,1964794.42683459,"DZA"
2047,2074040.39154193,"DZA"
2048,2189360.62063124,"DZA"
2049,2311092.85369669,"DZA"
2050,2439593.60923735,"DZA"
2021,386455.4,"ECU"
2022,403588.961914573,"ECU"
2023,421482.143034572,"ECU"
2024,440168.621198856,"ECU"
2025,459683.567358653,"ECU"
2026,480063.711774933,"ECU"
2027,501347.413150655,"ECU"
2028,523574.730828006,"ECU"
2029,546787.500186508,"ECU"
2030,571029.411383919,"ECU"
2031,596346.091588125,"ECU"
2032,622785.19085479,"ECU"
2033,650396.47181241,"ECU"
2034,679231.90332357,"ECU"
2035,709345.758298678,"ECU"
2036,740794.715846302,"ECU"
2037,773637.967952344,"ECU"
2038,807937.330888858,"ECU"
2039,843757.361562201,"ECU"
2040,881165.479019487,"ECU"
2041,920232.09134206,"ECU"
2042,961030.728164798,"ECU"
2043,1003638.17907069,"ECU"
2044,1048134.63812118,"ECU"
2045,1094603.85479419,"ECU"
2046,1143133.29161419,"ECU"
2047,1193814.2887706,"ECU"
2048,1246742.23603477,"ECU"
2049,1302016.75229878,"ECU"
2050,1359741.87307423,"ECU"
2021,2194324,"EGY"
2022,2385252.20826077,"EGY"
2023,2592793.08662389,"EGY"
2024,2818392.10409808,"EGY"
2025,3063620.50000121,"EGY"
2026,3330186.2272394,"EGY"
2027,3619945.84776104,"EGY"
2028,3934917.46303482,"EGY"
2029,4277294.76960909,"EGY"
2030,4649462.33764582,"EGY"
2031,5054012.21884051,"EGY"
2032,5493761.99939765,"EGY"
2033,5971774.42379629,"EGY"
2034,6491378.72602009,"EGY"
2035,7056193.81681849,"EGY"
2036,7670153.48849227,"EGY"
2037,8337533.81274837,"EGY"
2038,9062982.92244304,"EGY"
2039,9851553.38463551,"EGY"
2040,10708737.3904222,"EGY"
2041,11640505.0066395,"EGY"
2042,12653345.7558489,"EGY"
2043,13754313.8141978,"EGY"
2044,14951077.1419475,"EGY"
2045,16251970.8888512,"EGY"
2046,17666055.4463343,"EGY"
2047,19203179.5507984,"EGY"
2048,20874048.877545,"EGY"
2049,22690300.6030593,"EGY"
2050,24664584.454961,"EGY"
2021,2184.415,"ERI"
2022,2171.33067045329,"ERI"
2023,2158.32471414596,"ERI"
2024,2145.39666163364,"ERI"
2025,2132.54604628389,"ERI"
2026,2119.77240425932,"ERI"
2027,2107.07527450085,"ERI"
2028,2094.45419871109,"ERI"
2029,2081.90872133778,"ERI"
2030,2069.43838955735,"ERI"
2031,2057.04275325858,"ERI"
2032,2044.72136502635,"ERI"
2033,2032.4737801255,"ERI"
2034,2020.29955648475,"ERI"
2035,2008.19825468078,"ERI"
2036,1996.16943792235,"ERI"
2037,1984.21267203453,"ERI"
2038,1972.32752544304,"ERI"
2039,1960.51356915866,"ERI"
2040,1948.77037676177,"ERI"
2041,1937.09752438691,"ERI"
2042,1925.49459070756,"ERI"
2043,1913.96115692084,"ERI"
2044,1902.49680673246,"ERI"
2045,1891.10112634167,"ERI"
2046,1879.77370442632,"ERI"
2047,1868.51413212804,"ERI"
2048,1857.32200303744,"ERI"
2049,1846.19691317947,"ERI"
2050,1835.13846099884,"ERI"
2021,6203141,"ESP"
2022,6184425.05418149,"ESP"
2023,6165765.57759815,"ESP"
2024,6147162.39987255,"ESP"
2025,6128615.35114133,"ESP"
2026,6110124.26205365,"ESP"
2027,6091688.96376962,"ESP"
