"year","prodinit_ippu_cement_tonne","location_code"
2050,188058649823521,"BTN"
2021,3002810,"BWA"
2022,2860452.34541002,"BWA"
2023,2724843.60327883,"BWA"
2024,2595663.8201799,"BWA"
2025,2472608.21108546,"BWA"
2026,2355386.44026078,"BWA"
2027,2243721.93625002,"BWA"
2028,2137351.23933725,"BWA"
2029,2036023.3799432,"BWA"
2030,1939499.28649104,"BWA"
2031,1847551.22134413,"BWA"
2032,1759962.24348492,"BWA"
2033,1676525.6966673,"BWA"
2034,1597044.7218346,"BWA"
2035,1521331.79265304,"BWA"
2036,1449208.27306463,"BWA"
2037,1380503.9958157,"BWA"
2038,1315056.86096654,"BWA"
2039,1252712.45343504,"BWA"
2040,1193323.67867184,"BWA"
2041,1136750.41560744,"BWA"
2042,1082859.18605244,"BWA"
2043,1031522.83977091,"BWA"
2044,982620.254483869,"BWA"
2045,936036.050095003,"BWA"
2046,891660.316464439,"BWA"
2047,849388.354088253,"BWA"
2048,809120.427071876,"BWA"
2049,770761.527814582,"BWA"
2050,734221.152849842,"BWA"
2021,133036,"CAF"
2022,145537.557086424,"CAF"
2023,159213.900919181,"CAF"
2024,174175.42765851,"CAF"
2025,190542.907528058,"CAF"
2026,208448.459678417,"CAF"
2027,228036.618659797,"CAF"
2028,249465.501112446,"CAF"
2029,272908.082092411,"CAF"
2030,298553.591335208,"CAF"
2031,326609.040728109,"CAF"
2032,357300.895320886,"CAF"
2033,390876.901363495,"CAF"
2034,427608.086126719,"CAF"
2035,467790.945648425,"CAF"
2036,511749.838065034,"CAF"
2037,559839.601847305,"CAF"
2038,612448.420074965,"CAF"
2039,670000.95387076,"CAF"
2040,732961.770287173,"CAF"
2041,801839.092315883,"CAF"
2042,877188.901290247,"CAF"
2043,959619.424795595,"CAF"
2044,1049796.04631401,"CAF"
2045,1148446.67623446,"CAF"
2046,1256367.62758341,"CAF"
2047,1374430.04390507,"CAF"
2048,1503586.93117751,"CAF"
2049,1644880.85052653,"CAF"
2050,1799452.33383348,"CAF"
2021,121616600,"CAN"
2022,126381141.042244,"CAN"
2023,131332341.235816,"CAN"
2024,136477513.27641,"CAN"
2025,141824256.347248,"CAN"
2026,147380467.342723,"CAN"
2027,153154352.531748,"CAN"
2028,159154439.678041,"CAN"
2029,165389590.635241,"CAN"
2030,171869014.43546,"CAN"
2031,178602280.890597,"CAN"
2032,185599334.726519,"CAN"
2033,192870510.270957,"CAN"
2034,200426546.716842,"CAN"
2035,208278603.983595,"CAN"
2036,216438279.199817,"CAN"
2037,224917623.83172,"CAN"
2038,233729161.482586,"CAN"
2039,242885906.389558,"CAN"
2040,252401382.645067,"CAN"
2041,262289644.171304,"CAN"
2042,272565295.47721,"CAN"
2043,283243513.228674,"CAN"
2044,294340068.663767,"CAN"
2045,305871350.886141,"CAN"
2046,317854391.070982,"CAN"
2047,330306887.619277,"CAN"
2048,343247232.297537,"CAN"
2049,356694537.401597,"CAN"
2050,370668663.984599,"CAN"
2021,14783390,"CHE"
2022,14786251.2142591,"CHE"
2023,14789112.9822847,"CHE"
2024,14791975.3041841,"CHE"
2025,14794838.1800644,"CHE"
2026,14797701.6100329,"CHE"
2027,14800565.5941967,"CHE"
2028,14803430.1326632,"CHE"
2029,14806295.2255397,"CHE"
2030,14809160.8729334,"CHE"
2031,14812027.0749516,"CHE"
2032,14814893.8317018,"CHE"
2033,14817761.1432912,"CHE"
2034,14820629.0098273,"CHE"
2035,14823497.4314174,"CHE"
2036,14826366.408169,"CHE"
2037,14829235.9401896,"CHE"
2038,14832106.0275865,"CHE"
2039,14834976.6704674,"CHE"
2040,14837847.8689396,"CHE"
2041,14840719.6231108,"CHE"
2042,14843591.9330884,"CHE"
2043,14846464.7989801,"CHE"
2044,14849338.2208935,"CHE"
2045,14852212.1989361,"CHE"
2046,14855086.7332156,"CHE"
2047,14857961.8238397,"CHE"
2048,14860837.470916,"CHE"
2049,14863713.6745522,"CHE"
2050,14866590.434856,"CHE"
2021,9288329,"CHL"
2022,9876524.92579867,"CHL"
2023,10501969.1496632,"CHL"
2024,11167020.470164,"CHL"
2025,11874187.059963,"CHL"
2026,12626135.9251293,"CHL"
2027,13425702.9634783,"CHL"
2028,14275903.6598685,"CHL"
2029,15179944.4587925,"CHL"
2030,16141234.8571528,"CHL"
2031,17163400.2628288,"CHL"
2032,18250295.6675294,"CHL"
2033,19406020.1854984,"CHL"
2034,20634932.5129016,"CHL"
2035,21941667.3662019,"CHL"
2036,23331152.961515,"CHL"
2037,24808629.6008706,"CHL"
2038,26379669.4354717,"CHL"
2039,28050197.4804903,"CHL"
2040,29826513.960653,"CHL"
2041,31715318.07089,"CHL"
2042,33723733.2416603,"CHL"
2043,35859334.0042373,"CHL"
2044,38130174.557274,"CHL"
2045,40544819.1423851,"CHL"
2046,43112374.3433039,"CHL"
2047,45842523.4304259,"CHL"
2048,48745562.8802674,"CHL"
2049,51832441.2075678,"CHL"
2050,55114800.2564873,"CHL"
2021,649062900,"CHN"
2022,740346394.818155,"CHN"
2023,844467900.291697,"CHN"
2024,963232940.167456,"CHN"
2025,1098700965.07298,"CHN"
2026,1253221064.51472,"CHN"
2027,1429472701.37246,"CHN"
2028,1630512175.24845,"CHN"
2029,1859825620.371,"CHN"
2030,2121389457.06512,"CHN"
2031,2419739345.05177,"CHN"
2032,2760048834.26355,"CHN"
2033,3148219077.02485,"CHN"
2034,3590981157.2547,"CHN"
2035,4096012811.13655,"CHN"
2036,4672071563.25516,"CHN"
2037,5329146586.85372,"CHN"
2038,6078631921.55125,"CHN"
2039,6933524052.20977,"CHN"
2040,7908647275.07684,"CHN"
2041,9020910759.17537,"CHN"
2042,10289601760.5255,"CHN"
2043,11736720073.6933,"CHN"
2044,13387359520.2387,"CHN"
2045,15270143089.2803,"CHN"
2046,17417719275.7528,"CHN"
2047,19867328223.1326,"CHN"
2048,22661447487.8555,"CHN"
2049,25848528623.3349,"CHN"
2050,29483837356.3485,"CHN"
2021,12972060,"CIV"
2022,14119672.2585627,"CIV"
2023,15368811.4832358,"CIV"
2024,16728459.5620837,"CIV"
2025,18208392.9928817,"CIV"
2026,19819253.1806512,"CIV"
2027,21572622.9542779,"CIV"
2028,23481109.852402,"CIV"
2029,25558436.7774449,"CIV"
2030,27819540.6696174,"CIV"
2031,30280679.9104191,"CIV"
2032,32959551.227913,"CIV"
2033,35875416.9443741,"CIV"
2034,39049243.4812857,"CIV"
2035,42503852.1175949,"CIV"
2036,46264083.0852505,"CIV"
2037,50356974.1819456,"CIV"
2038,54811955.1853733,"CIV"
2039,59661059.4669231,"CIV"
2040,64939154.3264193,"CIV"
2041,70684191.7041134,"CIV"
2042,76937481.0726665,"CIV"
2043,83743986.4713406,"CIV"
2044,91152649.818212,"CIV"
2045,99216742.8251707,"CIV"
2046,107994250.046138,"CIV"
2047,117548285.812796,"CIV"
2048,127947548.055785,"CIV"
2049,139266812.274564,"CIV"
2050,151587469.207791,"CIV"
2021,7471947,"CMR"
2022,7940990.66175161,"CMR"
2023,8439478.04903142,"CMR"
2024,8969257.46092902,"CMR"
2025,9532293.22157709,"CMR"
2026,10130672.9635023,"CMR"
2027,10766615.3681806,"CMR"
2028,11442478.3924984,"CMR"
2029,12160768.0116206,"CMR"
2030,12924147.5106832,"CMR"
2031,13735447.3597625,"CMR"
2032,14597675.708735,"CMR"
2033,15514029.5409406,"CMR"
2034,16487906.5270067,"CMR"
2035,17522917.622782,"CMR"
2036,18622900.4580941,"CMR"
2037,19791933.5659708,"CMR"
2038,21034351.5050873,"CMR"
2039,22354760.931508,"CMR"
2040,23758057.6793164,"CMR"
2041,25249444.913462,"CMR"
2042,26834452.4221348,"CMR"
2043,28518957.1201978,"CMR"
2044,30309204.8397004,"CMR"
2045,32211833.4882699,"CMR"
2046,34233897.6612453,"CMR"
2047,36382894.7988133,"CMR"
2048,38666792.9851306,"CMR"
2049,41094060.4925068,"CMR"
2050,43673697.1801931,"CMR"
2021,5889085,"COD"
2022,6672056.55863969,"COD"
2023,7559126.5403177,"COD"
2024,8564135.14339053,"COD"
2025,9702762.66220227,"COD"
2026,10992774.1333791,"COD"
2027,12454296.5085844,"COD"
2028,14110132.6782249,"COD"
2029,15986117.2455528,"COD"
2030,18111519.602005,"COD"
2031,20519500.5926199,"COD"
2032,23247629.896495,"COD"
2033,26338472.1945324,"COD"
2034,29840251.2699475,"COD"
2035,33807602.4029385,"COD"
2036,38302424.7984889,"COD"
2037,43394847.3470091,"COD"
2038,49164322.7857604,"COD"
2039,55700867.3323295,"COD"
2040,63106465.1311007,"COD"
2041,71496659.4251105,"COD"
2042,81002355.2789842,"COD"
2043,91771861.9793072,"COD"
2044,103973206.978268,"COD"
2045,117796757.483065,"COD"
2046,133458190.593508,"COD"
2047,151201858.328348,"COD"
2048,171304600.04197,"COD"
2049,194080061.713352,"COD"
2050,219883589.49748,"COD"
2021,349981.9,"COG"
2022,344961.958171132,"COG"
2023,340014.019540044,"COG"
2024,335137.051333715,"COG"
2025,330330.035592633,"COG"
2026,325591.968958322,"COG"
2027,320921.862463908,"COG"
2028,316318.741327698,"COG"
2029,311781.644749715,"COG"
2030,307309.625711152,"COG"
2031,302901.750776702,"COG"
2032,298557.099899724,"COG"
2033,294274.766230206,"COG"
2034,290053.855925474,"COG"
2035,285893.487963632,"COG"
2036,281792.793959657,"COG"
2037,277750.917984152,"COG"
2038,273767.016384683,"COG"
2039,269840.257609689,"COG"
2040,265969.822034914,"COG"
2041,262154.901792325,"COG"
2042,258394.700601492,"COG"
2043,254688.433603378,"COG"
2044,251035.327196519,"COG"
2045,247434.618875554,"COG"
2046,243885.557072062,"COG"
2047,240387.400997697,"COG"
2048,236939.420489558,"COG"
2049,233540.895857789,"COG"
2050,230191.117735356,"COG"
2021,13749420,"COL"
2022,13408786.7197622,"COL"
2023,13076592.4159762,"COL"
2024,12752628.0182789,"COL"
2025,12436689.6358949,"COL"
2026,12128578.429315,"COL"
2027,11828100.4851545,"COL"
2028,11535066.6941117,"COL"
2029,11249292.6319493,"COL"
2030,10970598.4434253,"COL"
2031,10698808.7290987,"COL"
2032,10433752.4349402,"COL"
2033,10175262.7446767,"COL"
2034,9923176.97480415,"COL"
2035,9677336.47220058,"COL"
2036,9437586.51427577,"COL"
2037,9203776.21159495,"COL"
2038,8975758.41291471,"COL"
2039,8753389.61257163,"COL"
2040,8536529.86016537,"COL"
2041,8325042.67247921,"COL"
2042,8118794.94758273,"COL"
2043,7917656.8810626,"COL"
2044,7721501.88432866,"COL"
2045,7530206.50494384,"COL"
2046,7343650.34892803,"COL"
2047,7161716.00498663,"COL"
2048,6984288.97061645,"COL"
2049,6811257.58004218,"COL"
2050,6642512.93393825,"COL"
2021,1083716,"COM"
2022,1075929.71338182,"COM"
2023,1068199.36970377,"COM"
2024,1060524.5670268,"COM"
2025,1052904.90629974,"COM"
2026,1045339.9913385,"COM"
2027,1037829.42880551,"COM"
2028,1030372.82818924,"COM"
2029,1022969.80178393,"COM"
2030,1015619.96466938,"COM"
2031,1008322.93469099,"COM"
2032,1001078.33243986,"COM"
2033,993885.781233062,"COM"
2034,986744.90709407,"COM"
2035,979655.338733299,"COM"
2036,972616.707528809,"COM"
2037,965628.647507136,"COM"
2038,958690.795324263,"COM"
2039,951802.790246731,"COM"
2040,944964.274132876,"COM"
2041,938174.891414215,"COM"
2042,931434.289076952,"COM"
2043,924742.116643629,"COM"
2044,918098.026154896,"COM"
2045,911501.672151426,"COM"
2046,904952.711655946,"COM"
2047,898450.804155411,"COM"
2048,891995.611583292,"COM"
2049,885586.798302004,"COM"
2050,879224.031085452,"COM"
2021,631787.6,"CPV"
2022,612455.300814662,"CPV"
2023,593714.557702586,"CPV"
2024,575547.269423745,"CPV"
2025,557935.888624559,"CPV"
2026,540863.404889318,"CPV"
2027,524313.328310226,"CPV"
2028,508269.67356019,"CPV"
2029,492716.944452972,"CPV"
2030,477640.118975786,"CPV"
2031,463024.634779894,"CPV"
2032,448856.37511518,"CPV"
2033,435121.655195111,"CPV"
2034,421807.208978928,"CPV"
2035,408900.176358293,"CPV"
2036,396388.090736011,"CPV"
2037,384258.866984843,"CPV"
2038,372500.789774765,"CPV"
2039,361102.502257409,"CPV"
2040,350052.995096752,"CPV"
2041,339341.595835459,"CPV"
2042,328957.95858661,"CPV"
2043,318892.054040851,"CPV"
2044,309134.159779322,"CPV"
2045,299674.850883007,"CPV"
2046,290504.99082942,"CPV"
2047,281615.72266786,"CPV"
2048,272998.460464692,"CPV"
2049,264644.881010395,"CPV"
2050,256546.915780369,"CPV"
2021,4541191,"CRI"
2022,4854451.97841785,"CRI"
2023,5189322.3629583,"CRI"
2024,5547292.81624818,"CRI"
2025,5929956.82998119,"CRI"
2026,6339017.81828481,"CRI"
2027,6776296.70040275,"CRI"
2028,7243740.00644687,"CRI"
2029,7743428.54230102,"CRI"
2030,8277586.65224837,"CRI"
2031,8848592.12055434,"CRI"
2032,9458986.75608174,"CRI"
2033,10111487.7070551,"CRI"
2034,10808999.5563414,"CRI"
2035,11554627.2510887,"CRI"
2036,12351689.9242794,"CRI"
2037,13203735.6697224,"CRI"
2038,14114557.3362561,"CRI"
2039,15088209.4114695,"CRI"
2040,16129026.0700972,"CRI"
2041,17241640.4674316,"CRI"
2042,18431005.3636354,"CRI"
2043,19702415.1707624,"CRI"
2044,21061529.5206296,"CRI"
2045,22514398.4584498,"CRI"
2046,24067489.3743755,"CRI"
2047,25727715.7928366,"CRI"
2048,27502468.147829,"CRI"
2049,29399646.6811465,"CRI"
2050,31427696.6100033,"CRI"
2021,2116336,"CUB"
2022,2252059.76959243,"CUB"
2023,2396487.70602432,"CUB"
2024,2550178.02043731,"CUB"
2025,2713724.72288224,"CUB"
2026,2887759.91815641,"CUB"
2027,3072956.24887615,"CUB"
2028,3270029.49522743,"CUB"
2029,3479741.34144215,"CUB"
2030,3702902.31969283,"CUB"
2031,3940374.94278352,"CUB"
2032,4193077.03774486,"CUB"
2033,4461985.29321761,"CUB"
2034,4748139.03433502,"CUB"
2035,5052644.23969414,"CUB"
2036,5376677.81594136,"CUB"
2037,5721492.14649357,"CUB"
2038,6088419.93197544,"CUB"
2039,6478879.34108126,"CUB"
2040,6894379.49176907,"CUB"
2041,7336526.28397201,"CUB"
2042,7807028.60637006,"CUB"
2043,8307704.94121124,"CUB"
2044,8840490.39270988,"CUB"
2045,9407444.1661864,"CUB"
2046,10010757.5268555,"CUB"
2047,10652762.2690234,"CUB"
2048,11335939.7284268,"CUB"
2049,12062930.3725469,"CUB"
2050,12836544.0059647,"CUB"
2021,183910.5,"CUW"
2022,189379.575754017,"CUW"
2023,195011.289256304,"CUW"
2024,200810.476979851,"CUW"
2025,206782.119223242,"CUW"
2026,212931.344387701,"CUW"
2027,219263.43338132,"CUW"
2028,225783.824154269,"CUW"
2029,232498.116368859,"CUW"
2030,239412.076208497,"CUW"
2031,246531.641329633,"CUW"
2032,253862.925960984,"CUW"
2033,261412.226154377,"CUW"
2034,269186.02519176,"CUW"
2035,277190.999152989,"CUW"
2036,285434.022649197,"CUW"
2037,293922.174726661,"CUW"
2038,302662.744946228,"CUW"
2039,311663.239643538,"CUW"
2040,320931.38837541,"CUW"
2041,330475.150557923,"CUW"
2042,340302.722301905,"CUW"
2043,350422.54345169,"CUW"
2044,360843.304833192,"CUW"
2045,371573.955717522,"CUW"
2046,382623.711506556,"CUW"
2047,394002.061647046,"CUW"
2048,405718.777780092,"CUW"
2049,417783.922132952,"CUW"
2050,430207.856160404,"CUW"
2021,271077.4,"CYM"
2022,283578.341458349,"CYM"
2023,296655.773385269,"CYM"
2024,310336.281079273,"CYM"
2025,324647.67584023,"CYM"
2026,339619.051507356,"CYM"
2027,355280.843604497,"CYM"
2028,371664.891212939,"CYM"
2029,388804.501697534,"CYM"
2030,406734.518417716,"CYM"
2031,425491.391561068,"CYM"
2032,445113.252243428,"CYM"
2033,465639.990026181,"CYM"
2034,487113.334008318,"CYM"
2035,509576.937658122,"CYM"
2036,533076.467556922,"CYM"
2037,557659.696235346,"CYM"
2038,583376.599290779,"CYM"
2039,610279.45698347,"CYM"
2040,638422.960517824,"CYM"
2041,667864.32322493,"CYM"
2042,698663.396872364,"CYM"
2043,730882.793337701,"CYM"
2044,764588.011893099,"CYM"
2045,799847.572359708,"CYM"
2046,836733.154402591,"CYM"
2047,875319.743249343,"CYM"
2048,915685.782128635,"CYM"
2049,957913.331738572,"CYM"
2050,1002088.23706906,"CYM"
2021,2390910,"CYP"
2022,2544308.94268657,"CYP"
2023,2707549.84329601,"CYP"
2024,2881264.15426246,"CYP"
2025,3066123.84152153,"CYP"
2026,3262843.9838253,"CYP"
2027,3472185.53882738,"CYP"
2028,3694958.28663793,"CYP"
2029,3932023.96223478,"CYP"
2030,4184299.58884769,"CYP"
2031,4452761.02521003,"CYP"
2032,4738446.74039931,"CYP"
2033,5042461.83086858,"CYP"
2034,5365982.29520753,"CYP"
2035,5710259.58316889,"CYP"
2036,6076625.43655692,"CYP"
2037,6466497.04070353,"CYP"
2038,6881382.50645915,"CYP"
2039,7322886.70390393,"CYP"
2040,7792717.47034534,"CYP"
2041,8292692.21661607,"CYP"
2042,8824744.95722699,"CYP"
2043,9390933.79156926,"CYP"
2044,9993448.86510458,"CYP"
2045,10634620.8413393,"CYP"
2046,11316929.9173539,"CYP"
2047,12043015.4177617,"CYP"
2048,12815686.004209,"CYP"
2049,13637930.5399083,"CYP"
2050,14512929.651232,"CYP"
2021,17846720,"CZE"
2022,17979835.4381616,"CZE"
2023,18113943.7601628,"CZE"
2024,18249052.3717435,"CZE"
2025,18385168.7338817,"CZE"
2026,18522300.3632055,"CZE"
2027,18660454.8324082,"CZE"
2028,18799639.7706664,"CZE"
2029,18939862.8640614,"CZE"
2030,19081131.8560033,"CZE"
2031,19223454.5476594,"CZE"
2032,19366838.798384,"CZE"
2033,19511292.5261532,"CZE"
2034,19656823.7080016,"CZE"
2035,19803440.3804634,"CZE"
2036,19951150.6400154,"CZE"
2037,20099962.643525,"CZE"
2038,20249884.6086999,"CZE"
2039,20400924.8145421,"CZE"
2040,20553091.6018056,"CZE"
2041,20706393.3734561,"CZE"
2042,20860838.5951357,"CZE"
2043,21016435.7956303,"CZE"
2044,21173193.5673403,"CZE"
2045,21331120.5667551,"CZE"
2046,21490225.5149317,"CZE"
2047,21650517.1979756,"CZE"
2048,21812004.4675262,"CZE"
2049,21974696.2412459,"CZE"
2050,22138601.5033121,"CZE"
2021,151080800,"DEU"
2022,150913455.925987,"DEU"
2023,150746297.210002,"DEU"
2024,150579323.646733,"DEU"
2025,150412535.031097,"DEU"
2026,150245931.158238,"DEU"
2027,150079511.823525,"DEU"
2028,149913276.822555,"DEU"
2029,149747225.951153,"DEU"
2030,149581359.005368,"DEU"
2031,149415675.781475,"DEU"
2032,149250176.075975,"DEU"
2033,149084859.685595,"DEU"
2034,148919726.407287,"DEU"
2035,148754776.038227,"DEU"
2036,148590008.375816,"DEU"
2037,148425423.217681,"DEU"
2038,148261020.36167,"DEU"
2039,148096799.605859,"DEU"
2040,147932760.748543,"DEU"
2041,147768903.588244,"DEU"
2042,147605227.923707,"DEU"
2043,147441733.553897,"DEU"
2044,147278420.278005,"DEU"
2045,147115287.895442,"DEU"
2046,146952336.205842,"DEU"
2047,146789565.009063,"DEU"
2048,146626974.105181,"DEU"
2049,146464563.294496,"DEU"
2050,146302332.377528,"DEU"
2021,189115,"DJI"
2022,205490.520840023,"DJI"
2023,223284.002618005,"DJI"
2024,242618.226968875,"DJI"
2025,263626.607223737,"DJI"
2026,286454.109011416,"DJI"
2027,311258.250575156,"DJI"
2028,338210.18970702,"DJI"
2029,367495.904800246,"DJI"
2030,399317.478169252,"DJI"
2031,433894.490492685,"DJI"
2032,471465.536001683,"DJI"
2033,512289.868868712,"DJI"
2034,556649.192157675,"DJI"
2035,604849.601679712,"DJI"
2036,657223.698168017,"DJI"
2037,714132.882346465,"DJI"
2038,775969.84872888,"DJI"
2039,843161.295357065,"DJI"
2040,916170.868175828,"DJI"
2041,995502.36036225,"DJI"
2042,1081703.18868578,"DJI"
2043,1175368.17088731,"DJI"
2044,1277143.63014261,"DJI"
2045,1387731.8549323,"DJI"
2046,1507895.94509336,"DJI"
2047,1638465.07749143,"DJI"
2048,1780340.22764933,"DJI"
2049,1934500.38681282,"DJI"
2050,2102009.31735395,"DJI"
2021,162105.7,"DMA"
2022,288331.918199626,"DMA"
2023,512846.21733027,"DMA"
2024,912182.197074248,"DMA"
2025,1622467.5790547,"DMA"
2026,2885828.13118566,"DMA"
2027,5132924.75624979,"DMA"
2028,9129759.41588634,"DMA"
2029,16238793.8553894,"DMA"
2030,28883392.6356243,"DMA"
2031,51373912.2235831,"DMA"
2032,91377037.6787795,"DMA"
2033,162529242.05208,"DMA"
2034,289085258.102631,"DMA"
2035,514186157.500725,"DMA"
2036,914565503.272735,"DMA"
2037,1626706685.06927,"DMA"
2038,2893368085.47865,"DMA"
2039,5146335817.57852,"DMA"
2040,9153613216.44984,"DMA"
2041,16281221802.5426,"DMA"
2042,28958857788.225,"DMA"
2043,51508139534.5696,"DMA"
2044,91615783250.6595,"DMA"
2045,162953890714.662,"DMA"
2046,289840566296.254,"DMA"
2047,515529598603.039,"DMA"
2048,916955036460.144,"DMA"
2049,1630956866818.14,"DMA"
2050,2900927739805.11,"DMA"
2021,25109260,"DNK"
2022,25459220.0325372,"DNK"
2023,25814057.6291434,"DNK"
2024,26173840.7708135,"DNK"
2025,26538638.3860271,"DNK"
2026,26908520.3639534,"DNK"
2027,27283557.5678415,"DNK"
2028,27663821.8485958,"DNK"
2029,28049386.0585421,"DNK"
2030,28440324.0653849,"DNK"
2031,28836710.7663586,"DNK"
2032,29238622.1025772,"DNK"
2033,29646135.0735832,"DNK"
2034,30059327.7520991,"DNK"
2035,30478279.2989855,"DNK"
2036,30903069.9784062,"DNK"
2037,31333781.1732061,"DNK"
2038,31770495.4005027,"DNK"
2039,32213296.3274947,"DNK"
2040,32662268.7874916,"DNK"
2041,33117498.7961661,"DNK"
2042,33579073.5680334,"DNK"
2043,34047081.5331602,"DNK"
2044,34521612.354106,"DNK"
2045,35002756.9431014,"DNK"
2046,35490607.4794653,"DNK"
2047,35985257.4272646,"DNK"
2048,36486801.5532207,"DNK"
2049,36995335.9448652,"DNK"
2050,37510958.0289486,"DNK"
2021,10215270,"DOM"
2022,10184278.4388639,"DOM"
2023,10153380.9013672,"DOM"
2024,10122577.1022564,"DOM"
2025,10091866.7571437,"DOM"
2026,10061249.5825041,"DOM"
2027,10030725.2956726,"DOM"
2028,10000293.6148419,"DOM"
2029,9969954.2590595,"DOM"
2030,9939706.94822549,"DOM"
2031,9909551.40308959,"DOM"
2032,9879487.34524876,"DOM"
2033,9849514.49714458,"DOM"
2034,9819632.58206072,"DOM"
2035,9789841.32412034,"DOM"
2036,9760140.44828361,"DOM"
2037,9730529.68034507,"DOM"
2038,9701008.74693121,"DOM"
2039,9671577.37549786,"DOM"
2040,9642235.29432773,"DOM"
2041,9612982.23252786,"DOM"
2042,9583817.92002714,"DOM"
2043,9554742.08757383,"DOM"
2044,9525754.46673304,"DOM"
2045,9496854.78988428,"DOM"
2046,9468042.79021898,"DOM"
2047,9439318.20173802,"DOM"
2048,9410680.75924929,"DOM"
2049,9382130.19836523,"DOM"
2050,9353666.25550037,"DOM"
2021,8460550,"DZA"
2022,8403901.00671324,"DZA"
2023,8347631.31600615,"DZA"
2024,8291738.3881964,"DZA"
2025,8236219.70060652,"DZA"
2026,8181072.74745006,"DZA"
2027,8126295.03971843,"DZA"
2028,8071884.10506865,"DZA"
2029,8017837.48771167,"DZA"
2030,7964152.74830162,"DZA"
2031,7910827.46382564,"DZA"
2032,7857859.22749455,"DZA"
2033,7805245.64863424,"DZA"
2034,7752984.35257772,"DZA"
2035,7701072.98055798,"DZA"
2036,7649509.18960155,"DZA"
2037,7598290.65242267,"DZA"
2038,7547415.05731834,"DZA"
2039,7496880.10806393,"DZA"
2040,7446683.52380955,"DZA"
2041,7396823.03897713,"DZA"
2042,7347296.40315814,"DZA"
2043,7298101.38101202,"DZA"
2044,7249235.75216531,"DZA"
2045,7200697.31111141,"DZA"
2046,7152483.86711107,"DZA"
2047,7104593.24409346,"DZA"
2048,7057023.28055801,"DZA"
2049,7009771.82947683,"DZA"
2050,6962836.75819781,"DZA"
2021,3944281,"ECU"
2022,4784822.26266252,"ECU"
2023,5804486.0610263,"ECU"
2024,7041444.08781042,"ECU"
2025,8542002.5684399,"ECU"
2026,10362335.7608628,"ECU"
2027,12570588.8707626,"ECU"
2028,15249429.1059898,"ECU"
2029,18499140.3703828,"ECU"
2030,22441377.4485962,"ECU"
2031,27223720.221976,"ECU"
2032,33025198.4051356,"ECU"
2033,40062993.6248811,"ECU"
2034,48600569.737612,"ECU"
2035,58957535.7482411,"ECU"
2036,71521610.5545994,"ECU"
2037,86763137.4243178,"ECU"
2038,105252691.561865,"ECU"
2039,127682439.914997,"ECU"
2040,154892052.837094,"ECU"
2041,187900137.623163,"ECU"
2042,227942370.651752,"ECU"
2043,276517755.631146,"ECU"
2044,335444739.653535,"ECU"
2045,406929287.793458,"ECU"
2046,493647464.661757,"ECU"
2047,598845614.402343,"ECU"
2048,726461889.426779,"ECU"
2049,881273677.38382,"ECU"
2050,1069076445.37612,"ECU"
2021,29345440,"EGY"
2022,30752738.2518104,"EGY"
2023,32227525.2981166,"EGY"
2024,33773037.6507075,"EGY"
2025,35392667.0324503,"EGY"
2026,37089967.8206366,"EGY"
2027,38868664.8472849,"EGY"
2028,40732661.5735153,"EGY"
2029,42686048.6559374,"EGY"
2030,44733112.9238508,"EGY"
2031,46878346.7869577,"EGY"
2032,49126458.0942357,"EGY"
2033,51482380.4656043,"EGY"
2034,53951284.1190607,"EGY"
2035,56538587.2170439,"EGY"
2036,59249967.7569294,"EGY"
2037,62091376.0317465,"EGY"
2038,65069047.6884666,"EGY"
2039,68189517.4125174,"EGY"
2040,71459633.2685561,"EGY"
2041,74886571.7289728,"EGY"
2042,78477853.4231052,"EGY"
2043,82241359.6417262,"EGY"
2044,86185349.6330268,"EGY"
2045,90318478.728049,"EGY"
2046,94649817.3353475,"EGY"
2047,99188870.8465645,"EGY"
2048,103945600.496603,"EGY"
2049,108930445.224174,"EGY"
2050,114154344.580698,"EGY"
2021,261506.4,"ERI"
2022,270794.896266185,"ERI"
2023,280413.312422999,"ERI"
2024,290373.366958679,"ERI"
2025,300687.194592707,"ERI"
2026,311367.361060005,"ERI"
2027,322426.878420259,"ERI"
2028,333879.220911014,"ERI"
2029,345738.341363854,"ERI"
2030,358018.688203682,"ERI"
2031,370735.223051794,"ERI"
2032,383903.438954195,"ERI"
2033,397539.379257383,"ERI"
2034,411659.657154572,"ERI"
2035,426281.475926193,"ERI"
2036,441422.649899312,"ERI"
2037,457101.626151515,"ERI"
2038,473337.506985694,"ERI"
2039,490150.073203124,"ERI"
2040,507559.808203175,"ERI"
2041,525587.922939031,"ERI"
2042,544256.381759813,"ERI"
2043,563587.929170595,"ERI"
2044,583606.117542917,"ERI"
2045,604335.335809545,"ERI"
2046,625800.83917845,"ERI"
2047,648028.779902211,"ERI"
2048,671046.23914031,"ERI"
2049,694881.259953154,"ERI"
2050,719562.881468025,"ERI"
2021,94251650,"ESP"
2022,94129549.3814169,"ESP"
2023,94007606.9410838,"ESP"
2024,93885822.4740849,"ESP"
2025,93764195.7757696,"ESP"
2026,93642726.6417527,"ESP"
2027,93521414.8679135,"ESP"
2028,93400260.2503961,"ESP"
2029,93279262.5856083,"ESP"
2030,93158421.6702219,"ESP"
2031,93037737.301172,"ESP"
2032,92917209.2756569,"ESP"
2033,92796837.3911374,"ESP"
2034,92676621.4453368,"ESP"
